case_id,painting_id,base_mask_id,base_mask_type,sensitivity_mask_id,target_percentage_content,target_pixels,realised_pixels,realised_percentage_content,realised_percentage_full,percentage_error_content,absolute_percentage_error_content,absolute_pixel_error,scale_factor,base_mask_pixels,base_percentage_content,base_percentage_full,content_area_pixels,content_bbox_left,content_bbox_top,content_bbox_right,content_bbox_bottom,width,height,deterministic_seed,global_seed,generator_name,generator_version,generated_at_utc,generation_action,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,clean_path,base_mask_path,sensitivity_mask_filename,sensitivity_mask_path,damaged_filename,damaged_path,clean_sha256,base_mask_sha256,sensitivity_mask_sha256,damaged_sha256,sensitivity_mask_file_size_bytes,damaged_file_size_bytes,status,issue,source,title,artist,category,config_version,experiment_name,experiment_version,notebook_stage,full_generation_started_at_utc,full_generation_completed_at_utc
p001__loss_large__size_02pct,p001,p001_loss_large,loss_large,p001__loss_large__size_02pct__mask,2.0,10184,10169,1.9971169557566617,1.7240736219618056,-0.0028830442433382952,0.0028830442433382952,15,0.3840477499446311,69018,13.554628582202112,11.701456705729166,509184,52,0,715,768,768,768,1367668169,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:20.042116+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,data/processed/masks/p001_loss_large_mask.png,p001__loss_large__size_02pct_mask.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_02pct_mask.png,p001__loss_large__size_02pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_02pct_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0c3aa0f9d930a7b8405439b8ec04e899f72bbe219472b0fa155dfa00afb20aad,e3e0d93c3a2eb8c155d69f96eaf3ca0a39371ecb9cc661ed078e60bc6e8ba61e,81ed188b91023ee75526315e2a2a87a71beefa282ae8e0a146f0fec8992ce45f,1400,710313,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p001__loss_large__size_04pct,p001,p001_loss_large,loss_large,p001__loss_large__size_04pct__mask,4.0,20367,20290,3.9848070638511817,3.4400092230902777,-0.015192936148818337,0.015192936148818337,77,0.5420677889277099,69018,13.554628582202112,11.701456705729166,509184,52,0,715,768,768,768,1367668169,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:20.634754+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,data/processed/masks/p001_loss_large_mask.png,p001__loss_large__size_04pct_mask.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_04pct_mask.png,p001__loss_large__size_04pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_04pct_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0c3aa0f9d930a7b8405439b8ec04e899f72bbe219472b0fa155dfa00afb20aad,037408f4addcfd6a0df660e0ede71febbf7cf20f50b6c97540f3b95d08ae55dd,6a914558f5e4ac8ebf934440a7e30fa4f95ba24fbca58c23bd619e355430b8bd,1723,694333,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p001__loss_large__size_06pct,p001,p001_loss_large,loss_large,p001__loss_large__size_06pct__mask,6.0,30551,30565,6.002741641528406,5.182054307725695,0.002741641528405836,0.002741641528405836,14,0.6651793291499724,69018,13.554628582202112,11.701456705729166,509184,52,0,715,768,768,768,1367668169,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:21.212147+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,data/processed/masks/p001_loss_large_mask.png,p001__loss_large__size_06pct_mask.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_06pct_mask.png,p001__loss_large__size_06pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_06pct_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0c3aa0f9d930a7b8405439b8ec04e899f72bbe219472b0fa155dfa00afb20aad,5574c3e0b95b53b61064b3352125046b231535e371ed505a91cf04b231ab0f62,4d8c329a2b346002c4671229d7857104c7d142a1bc06459dc7a05a461774da2d,1955,679312,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p001__loss_large__size_08pct,p001,p001_loss_large,loss_large,p001__loss_large__size_08pct__mask,8.0,40735,40785,8.009874622926093,6.914774576822917,0.009874622926092869,0.009874622926092869,50,0.7695631156211782,69018,13.554628582202112,11.701456705729166,509184,52,0,715,768,768,768,1367668169,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:21.815796+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,data/processed/masks/p001_loss_large_mask.png,p001__loss_large__size_08pct_mask.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_08pct_mask.png,p001__loss_large__size_08pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_08pct_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0c3aa0f9d930a7b8405439b8ec04e899f72bbe219472b0fa155dfa00afb20aad,d2ecf880483f259495f9627f799be85113e04778efb9f473f120d711476bd7b2,366323ccd499deaf01d591695d732de660d44aef60af36036d2ad04bc6e7da6e,2179,666515,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p001__loss_large__size_10pct,p001,p001_loss_large,loss_large,p001__loss_large__size_10pct__mask,10.0,50918,50905,9.997368338360985,8.630540635850695,-0.0026316616390147374,0.0026316616390147374,13,0.8587400104916972,69018,13.554628582202112,11.701456705729166,509184,52,0,715,768,768,768,1367668169,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:22.406177+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,data/processed/masks/p001_loss_large_mask.png,p001__loss_large__size_10pct_mask.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_10pct_mask.png,p001__loss_large__size_10pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0c3aa0f9d930a7b8405439b8ec04e899f72bbe219472b0fa155dfa00afb20aad,7d20b0c2c6ee6afa540dc5bdc0f837f61f8eba0c66db8d56eb60fb1f7ded205e,875e372d35488bc485bedbe62a16fc59a02d779a6440db81c1e101eae2290f39,2402,653852,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p001__loss_large__size_15pct,p001,p001_loss_large,loss_large,p001__loss_large__size_15pct__mask,15.0,76378,76373,14.999096593765712,12.948438856336805,-0.0009034062342880844,0.0009034062342880844,5,1.0517443088570126,69018,13.554628582202112,11.701456705729166,509184,52,0,715,768,768,768,1367668169,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:23.001770+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,data/processed/masks/p001_loss_large_mask.png,p001__loss_large__size_15pct_mask.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_15pct_mask.png,p001__loss_large__size_15pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_15pct_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0c3aa0f9d930a7b8405439b8ec04e899f72bbe219472b0fa155dfa00afb20aad,5d761021e83dd9db865d16e22290845ecc209b2517ec205e54034b3a9aa5e4df,21d2251fee196070ee6ea1133ef92e9fa6751c5e3bc18ebee36221552013c50b,2793,621541,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p001__loss_large__size_20pct,p001,p001_loss_large,loss_large,p001__loss_large__size_20pct__mask,20.0,101837,101967,20.02557032428356,17.287699381510418,0.025570324283560097,0.025570324283560097,130,1.214447732108202,69018,13.554628582202112,11.701456705729166,509184,52,0,715,768,768,768,1367668169,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:23.592429+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,data/processed/masks/p001_loss_large_mask.png,p001__loss_large__size_20pct_mask.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_20pct_mask.png,p001__loss_large__size_20pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_20pct_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0c3aa0f9d930a7b8405439b8ec04e899f72bbe219472b0fa155dfa00afb20aad,d581350e8744c11d75aa1dd87497730193b837bf37ae5bef1db8f829405e2479,482cd1eed1acabb059e89cec123a4670a6f0ed1a0006b6d60b2cb981d1ac5985,2945,587565,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p018__loss_large__size_02pct,p018,p018_loss_large,loss_large,p018__loss_large__size_02pct__mask,2.0,7788,7777,1.997298241288626,1.3185289171006944,-0.002701758711374014,0.002701758711374014,11,0.42935251267477803,42285,10.85968318540434,7.169087727864583,389376,0,130,768,637,768,768,115339684,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:24.245040+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p018_clean.png,data/processed/masks/p018_loss_large_mask.png,p018__loss_large__size_02pct_mask.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_02pct_mask.png,p018__loss_large__size_02pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_02pct_damaged.png,3e223322b3ca2c6f52ebe54a266991be897dd8d6c670ad52393f3262e15574ac,92d98bfddf10642e2801429a64d7dd7660a89c5c00aa08b3b197e881486711a0,70ffcf2c2b4712331aba7f9df3a3751f66ac0787a22c23081037d355f6a4163b,f80038e7f81c1bd32fca3c6aa4bc3a2c0bc629924c2d4384fcd1f36cfa8e7e35,1432,525532,ok,,The Metropolitan Museum of Art,Classical Landscape with Figures,Henri Mauperché,landscape_natural,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p018__loss_large__size_04pct,p018,p018_loss_large,loss_large,p018__loss_large__size_04pct__mask,4.0,15575,15531,3.9886895956607495,2.6331583658854165,-0.011310404339250457,0.011310404339250457,44,0.6056087128993641,42285,10.85968318540434,7.169087727864583,389376,0,130,768,637,768,768,115339684,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:24.709012+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p018_clean.png,data/processed/masks/p018_loss_large_mask.png,p018__loss_large__size_04pct_mask.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_04pct_mask.png,p018__loss_large__size_04pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_04pct_damaged.png,3e223322b3ca2c6f52ebe54a266991be897dd8d6c670ad52393f3262e15574ac,92d98bfddf10642e2801429a64d7dd7660a89c5c00aa08b3b197e881486711a0,e05fff6100976513f351980062f5ed347b6f0512274c66bd9fb35b23cf71ff96,e33a5d6ac897f464764e846a576df6e1de5bfc308d290442ec19f532bd13e760,1722,513993,ok,,The Metropolitan Museum of Art,Classical Landscape with Figures,Henri Mauperché,landscape_natural,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
p018__loss_large__size_06pct,p018,p018_loss_large,loss_large,p018__loss_large__size_06pct__mask,6.0,23363,23407,6.0114131328073634,3.968471950954861,0.011413132807363446,0.011413132807363446,44,0.7417241021887071,42285,10.85968318540434,7.169087727864583,389376,0,130,768,637,768,768,115339684,20260505,damage_size_sensitivity,1.1.0,2026-07-24T20:32:25.167821+00:00,generated,constant_rgb,255,255,255,data/processed/clean/p018_clean.png,data/processed/masks/p018_loss_large_mask.png,p018__loss_large__size_06pct_mask.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_06pct_mask.png,p018__loss_large__size_06pct_damaged.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_06pct_damaged.png,3e223322b3ca2c6f52ebe54a266991be897dd8d6c670ad52393f3262e15574ac,92d98bfddf10642e2801429a64d7dd7660a89c5c00aa08b3b197e881486711a0,07f396a32f83c07924a1eacf7623f44f0904bf5c28eabbcd0143cb6a081f6b88,9dfb5944aa41e41ba563068687d257ea947f2df89b0adc40f9e1d795c253f638,1930,503833,ok,,The Metropolitan Museum of Art,Classical Landscape with Figures,Henri Mauperché,landscape_natural,1.1.0,painting_restoration_50_subset,1.0.0,05_damage_size_sensitivity,2026-07-24T20:32:19.955682+00:00,2026-07-24T20:32:36.343652+00:00
