case_id,variant_id,robustness_group_id,painting_id,painting_index,base_mask_type,mask_type_index,variant_index,global_seed,painting_seed,mask_seed,variant_seed,generation_attempt_index,generation_seed,maximum_generation_attempts,generation_area_tolerance,target_percentage_content,target_pixels,realised_pixels,realised_percentage_content,percentage_error_content,absolute_percentage_error_content,scale_factor,raw_mask_pixels,content_area_pixels,content_x_min,content_y_min,content_x_max,content_y_max,width,height,canvas_area_pixels,padding_area_pixels,actual_mask_area_pixels,damaged_content_pixels,padding_overlap_pixels,actual_mask_area_percentage_content,actual_mask_area_percentage_full,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,bbox_area_pixels,bbox_fill_ratio,bbox_aspect_ratio,connected_component_count,largest_component_pixels,smallest_component_pixels,mean_component_pixels,median_component_pixels,component_area_std_pixels,largest_component_fraction,component_density_per_100k_content_pixels,mean_component_aspect_ratio,maximum_component_aspect_ratio,touches_content_border,minimum_distance_to_content_border_pixels,centroid_x_pixels,centroid_y_pixels,centroid_x_normalised_content,centroid_y_normalised_content,centroid_quadrant,mask_bbox_width_normalised_content,mask_bbox_height_normalised_content,mask_bbox_area_fraction_content_bbox,touches_left_content_border,touches_right_content_border,touches_top_content_border,touches_bottom_content_border,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,clean_sha256,mask_sha256,damaged_sha256,mask_file_size_bytes,damaged_file_size_bytes,mask_generator_name,mask_generator_version,generator_name,generator_version,generated_at_utc,generation_action,status,issue,source,title,artist,category,config_version,experiment_name,experiment_version,notebook_stage,full_generation_started_at_utc,full_generation_finished_at_utc,full_generation_duration_seconds
p001__loss_large__variant_01,p001__loss_large__variant_01,p001__loss_large,p001,0,loss_large,2,1,20260606,3990620007,594704418,314919451,1,2356424663,20,0.5,12.5,63648,63739,12.517871732026144,0.017871732026144116,0.017871732026144116,1.3075386863859069,37287,509184,52,0,715,768,768,768,589824,80640,63739,63739,0,12.517872,10.806444,220,13,566,326,346,313,108298,0.588552,1.105431,1,63739,63739,63739.0,63739.0,0.0,1.0,0.196393,1.105431,1.105431,False,13,395.88203454713755,176.28673182823704,0.519459266687519,0.22983928530409,top_right,0.521870286576169,0.4075520833333333,0.21268932252388134,False,False,False,False,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_large__variant_01_mask.png,data/processed/masks/mask_robustness/p001__loss_large__variant_01_mask.png,p001__loss_large__variant_01_damaged.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_01_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0a9c82f31e317479c4d8a23cd8909682883476a9871537d3d5d8f78763f356f0,1af88b92d731fdfdc9f593d9ebf24b6923e6da4d22ed689f37a11b8834e70549,2559,637451,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:35.366672+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_large__variant_02,p001__loss_large__variant_02,p001__loss_large,p001,0,loss_large,2,2,20260606,3990620007,594704418,2708502276,1,1406249481,20,0.5,12.5,63648,63746,12.51924648064354,0.019246480643539954,0.019246480643539954,0.8284274031560591,92836,509184,52,0,715,768,768,768,589824,80640,63746,63746,0,12.519246,10.807631,236,224,509,656,273,432,117936,0.540513,1.582418,2,33635,30111,31873.0,31873.0,1762.0,0.527641,0.392785,1.065004,1.066946,False,112,377.88102782919714,440.97897907319674,0.4922674136392706,0.5749399987916516,bottom_left,0.4117647058823529,0.5625,0.23161764705882354,False,False,False,False,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_large__variant_02_mask.png,data/processed/masks/mask_robustness/p001__loss_large__variant_02_mask.png,p001__loss_large__variant_02_damaged.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_02_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,87802997261cf08dc9c549cd08bbcae2f5d35ebfb9d966bff7ce91009cd67613,64b9d36299e9270dc29022feccf8955411dcc957ea39ac61b2406350e4c62e14,3390,637965,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:36.524197+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_large__variant_03,p001__loss_large__variant_03,p001__loss_large,p001,0,loss_large,2,3,20260606,3990620007,594704418,1515262985,1,3619899153,20,0.5,12.5,63648,63593,12.489198403720463,-0.010801596279536696,0.010801596279536696,1.0936554408980972,53191,509184,52,0,715,768,768,768,589824,80640,63593,63593,0,12.489198,10.781691,98,113,383,447,285,334,95190,0.668064,1.17193,1,63593,63593,63593.0,63593.0,0.0,1.0,0.196393,1.17193,1.17193,False,46,232.0728067554605,266.8341012375576,0.2720133032559826,0.3478932219524871,top_left,0.4298642533936652,0.4348958333333333,0.18694617269984917,False,False,False,False,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_large__variant_03_mask.png,data/processed/masks/mask_robustness/p001__loss_large__variant_03_mask.png,p001__loss_large__variant_03_damaged.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_03_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,27f062aa52136eaab0012e9c54c942902b7f5e2eddc5a09787f9a6c60fa79f4a,69cf98822aee4a7a0329f97a02af06c550d639f28bb32ebfe1aeb02de56532e5,2591,634655,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:37.606013+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_large__variant_04,p001__loss_large__variant_04,p001__loss_large,p001,0,loss_large,2,4,20260606,3990620007,594704418,2773937824,1,2032285920,20,0.5,12.5,63648,63653,12.50098196329814,0.0009819632981393767,0.0009819632981393767,1.0509469982638375,57602,509184,52,0,715,768,768,768,589824,80640,63653,63653,0,12.500982,10.791863,61,273,352,637,291,364,105924,0.600931,1.250859,1,63653,63653,63653.0,63653.0,0.0,1.0,0.196393,1.250859,1.250859,False,9,213.76343613026881,455.9090380657628,0.2443556437013124,0.5944055255094691,bottom_left,0.43891402714932126,0.4739583333333333,0.20802696078431374,False,False,False,False,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_large__variant_04_mask.png,data/processed/masks/mask_robustness/p001__loss_large__variant_04_mask.png,p001__loss_large__variant_04_damaged.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_04_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,889323369c412c9038dfc9384f46cd2b5ef17e2c1699303072bd5079f59cf421,0167ac8ac702a2ae8bc89abc2c746ee4cb4d6c11ca83185a8a5c5a7a6667f6c9,3038,629579,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:38.718866+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_large__variant_05,p001__loss_large__variant_05,p001__loss_large,p001,0,loss_large,2,5,20260606,3990620007,594704418,1178331872,1,2187058687,20,0.5,12.5,63648,63643,12.49901803670186,-0.0009819632981393767,0.0009819632981393767,1.2592864949100528,40119,509184,52,0,715,768,768,768,589824,80640,63643,63643,0,12.499018,10.790168,314,142,677,439,363,297,107811,0.59032,1.222222,1,63643,63643,63643.0,63643.0,0.0,1.0,0.196393,1.222222,1.222222,False,38,502.4915858774728,281.7088289364109,0.6805008850112882,0.3672866087828043,top_right,0.5475113122171946,0.38671875,0.21173289027149322,False,False,False,False,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_large__variant_05_mask.png,data/processed/masks/mask_robustness/p001__loss_large__variant_05_mask.png,p001__loss_large__variant_05_damaged.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_05_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,a1bf0cf84170f5550885baa7be396bd1102dd691527fb26543dfab3201dc708d,e253beda6803e6db3c2881b3069d9ea91d73c0e05495e6b6b518e96b54172fc5,2419,640108,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:39.838511+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_small__variant_01,p001__loss_small__variant_01,p001__loss_small,p001,0,loss_small,1,1,20260606,3990620007,2690705269,2668877271,1,2061448445,20,0.5,4.5,22913,22079,4.336153531925591,-0.16384646807440895,0.16384646807440895,1.4252348319631873,11280,509184,52,0,715,768,768,768,589824,80640,22079,22079,0,4.336154,3.74332,203,0,670,768,467,768,358656,0.06156,1.64454,4,6218,4807,5519.75,5527.0,499.30921,0.281625,0.785571,1.316961,1.5,True,0,464.8451016803297,393.16345848996787,0.6236330841092594,0.5125990332333349,bottom_right,0.7043740573152338,1.0,0.7043740573152338,False,False,True,True,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_small__variant_01_mask.png,data/processed/masks/mask_robustness/p001__loss_small__variant_01_mask.png,p001__loss_small__variant_01_damaged.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_01_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,76f46fd831d7fc9cd78e010381daea918079210bd64dc980cd762a338b3fb535,cd8e13bd660bf68a56984c195ee456aabd09c74dee40482e84ec0a172fe49e22,2290,696154,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:42:58.593477+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_small__variant_02,p001__loss_small__variant_02,p001__loss_small,p001,0,loss_small,1,2,20260606,3990620007,2690705269,668805427,2,1872051341,20,0.5,4.5,22913,22880,4.493464052287582,-0.006535947712418277,0.006535947712418277,1.062385811572199,20301,509184,52,0,715,768,768,768,589824,80640,22880,22880,0,4.493464,3.879123,82,25,707,768,625,743,464375,0.049271,1.1888,6,6809,2219,3813.333333,3498.0,1420.792697,0.297596,1.178356,1.119712,1.202703,True,0,427.3326486013986,474.8811625874126,0.566967747132022,0.6191410203225718,bottom_right,0.942684766214178,0.9674479166666666,0.9119984131473102,False,False,False,True,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_small__variant_02_mask.png,data/processed/masks/mask_robustness/p001__loss_small__variant_02_mask.png,p001__loss_small__variant_02_damaged.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_02_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,31c1194c49288aa9bce030cffb2cae2b7396105042a8a65268fe5e664f71a6f4,115b547dba5c3c65d59ad368f8aff36246757a3b9a52f49a46b1aad5100d04ae,3268,697611,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:12.732076+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_small__variant_03,p001__loss_small__variant_03,p001__loss_small,p001,0,loss_small,1,3,20260606,3990620007,2690705269,3730115292,1,600477556,20,0.5,4.5,22913,22960,4.509175465057818,0.009175465057817966,0.009175465057817966,1.0942470800695803,19136,509184,52,0,715,768,768,768,589824,80640,22960,22960,0,4.509175,3.892687,57,22,693,768,636,746,474456,0.048392,1.172956,6,4690,3427,3826.666667,3707.5,403.674649,0.204268,1.178356,1.220531,1.446154,True,0,389.8392857142857,474.78214285714284,0.5103312473025464,0.6190119202831067,bottom_right,0.9592760180995475,0.9713541666666666,0.9317967571644042,False,False,False,True,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_small__variant_03_mask.png,data/processed/masks/mask_robustness/p001__loss_small__variant_03_mask.png,p001__loss_small__variant_03_damaged.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_03_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,777d40d90e95fcce1b8c658775d96c1853d086db46e2e05ec34c8b2a3115befe,028b0615ce2fe1d401bdb4ca2619585fd751d44ca57bcfd8a391449fba78db35,2958,697768,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:19.847828+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_small__variant_04,p001__loss_small__variant_04,p001__loss_small,p001,0,loss_small,1,4,20260606,3990620007,2690705269,865393470,1,830198188,20,0.5,4.5,22913,22924,4.502105329311211,0.0021053293112114346,0.0021053293112114346,1.166356336817817,16843,509184,52,0,715,768,768,768,589824,80640,22924,22924,0,4.502105,3.886583,104,77,715,693,611,616,376376,0.060907,1.008183,6,5110,3157,3820.666667,3610.0,688.017845,0.22291,1.178356,1.31846,1.819672,True,0,449.7577211655906,505.4883091956029,0.6008424791021006,0.6590460354571094,bottom_right,0.9215686274509803,0.8020833333333334,0.7391748366013072,False,True,False,False,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_small__variant_04_mask.png,data/processed/masks/mask_robustness/p001__loss_small__variant_04_mask.png,p001__loss_small__variant_04_damaged.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_04_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,cbf9f46c734695dc3e9973df1ee6f2ee802f849e25af33d0fcab6a7e1693a8c4,a53b73e1a101cb930d5dc254dd1b14921e05a5611e3d8142cd1dae8c9212215f,3384,699501,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:25.415305+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
p001__loss_small__variant_05,p001__loss_small__variant_05,p001__loss_small,p001,0,loss_small,1,5,20260606,3990620007,2690705269,2518876798,2,139472596,20,0.5,4.5,22913,22900,4.497391905480141,-0.0026080945198589944,0.0026080945198589944,1.338698465029609,12780,509184,52,0,715,768,768,768,589824,80640,22900,22900,0,4.497392,3.882514,52,45,650,420,598,375,224250,0.102118,1.594667,4,9513,3912,5725.0,4737.5,2213.301041,0.415415,0.785571,1.222426,1.306667,True,0,285.1083406113537,223.36689956331878,0.3521274027361838,0.2912215118165825,top_left,0.9019607843137255,0.48828125,0.4404105392156863,True,False,False,False,constant_rgb,255,255,255,data/processed/clean/p001_clean.png,p001__loss_small__variant_05_mask.png,data/processed/masks/mask_robustness/p001__loss_small__variant_05_mask.png,p001__loss_small__variant_05_damaged.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_05_damaged.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0bce88a8427918d2db1a7551bd2288fd1ce00b72c5d07bc8f9a5aca33da4ed5e,9a8b4bb5910da172ab404301e446e6e738ae95f17481acd909e42e29518615e8,2853,696193,canonical_synthetic_damage_masks,2.0.0,mask_robustness,1.1.0,2026-07-24T22:43:34.267924+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure,1.1.0,painting_restoration_50_subset,1.0.0,06_mask_robustness,2026-07-24T22:42:26.283360+00:00,2026-07-24T22:45:40.751505+00:00,194.468145
