painting_id,category,title,artist,date,style_or_period,medium,source,source_url,license,filename,original_width,original_height,selection_reason,visual_complexity_note,status,notes,raw_filename,raw_image_path,processed_filename,processed_path,processed_width,processed_height,target_size,resize_scale,resized_width,resized_height,pad_left,pad_top,pad_right,pad_bottom,padding_color_r,padding_color_g,padding_color_b,content_x_min,content_y_min,content_x_max,content_y_max,content_width,content_height,preprocessing_method,content_area_pixels,content_area_percentage
p001,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,3427,3968,Classic portrait baseline with strong face and clothing structure.,Single male portrait with dark background and clear facial detail.,selected,Met Open Access.,p001.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p001.jpg,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,768,768,768,0.1935483870967742,663,768,52,0,53,0,33,28,20,52,0,715,768,663,768,aspect_ratio_resize_median_rgb_pad,509184,86.33
p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,2336,4000,Full-figure portrait with strong silhouette and clothing structure.,"Figure, skin, dress, and pose create useful restoration targets.",selected,Met Open Access.,p002.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p002.jpg,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,768,768,768,0.192,449,768,159,0,160,0,53,44,35,159,0,608,768,449,768,aspect_ratio_resize_median_rgb_pad,344832,58.46
p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,3098,3872,Distinct portrait composition with studio context.,"Face, hands, clothing, and background objects.",selected,Met Open Access.,p003.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p003.jpg,p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,768,768,768,0.19834710743801653,614,768,77,0,77,0,58,48,39,77,0,691,768,614,768,aspect_ratio_resize_median_rgb_pad,471552,79.95
p004,portrait_figure,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,1878,Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/438815,Public Domain / Open Access,p004.jpg,4000,3254,Multi-person portrait with larger composition.,"Multiple faces, fabrics, children, and interior setting.",selected,Met Open Access.,p004.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p004.jpg,p004_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p004_clean.png,768,768,768,0.192,768,625,0,71,0,72,88,78,62,0,71,768,696,768,625,aspect_ratio_resize_median_rgb_pad,480000,81.38
p005,portrait_figure,Self-Portrait with Two Pupils,Adélaïde Labille-Guiard,1785,18th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436840,Public Domain / Open Access,p005.jpg,2884,3894,Multi-figure studio portrait.,"Faces, fabrics, and painter-at-work setting.",selected,Met Open Access.,p005.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p005.jpg,p005_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p005_clean.png,768,768,768,0.19722650231124808,569,768,99,0,100,0,69,51,34,99,0,668,768,569,768,aspect_ratio_resize_median_rgb_pad,436992,74.09
p006,portrait_figure,Boy with a Sword,Édouard Manet,1861,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,3000,4000,Cleaner full-figure portrait case.,"Child figure, costume details, and simple background.",selected,Met Open Access.,p006.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p006.jpg,p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,768,768,768,0.192,576,768,96,0,96,0,42,32,17,96,0,672,768,576,768,aspect_ratio_resize_median_rgb_pad,442368,75.0
p007,portrait_figure,Princesse de Broglie,Jean-Auguste-Dominique Ingres,1851-53,Neoclassical,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/459106,Public Domain / Open Access,p007.jpg,3019,4000,Highly detailed portrait with fabric and jewelry.,Fine textures and ornamentation.,selected,Met Open Access.,p007.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p007.jpg,p007_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p007_clean.png,768,768,768,0.192,580,768,94,0,94,0,48,53,46,94,0,674,768,580,768,aspect_ratio_resize_median_rgb_pad,445440,75.52
p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,1787-88,Spanish portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436545,Public Domain / Open Access,p008.jpg,2855,3873,Portrait with props and animals.,Human figure plus animals and objects.,selected,Met Open Access.,p008.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p008.jpg,p008_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p008_clean.png,768,768,768,0.19829589465530598,566,768,101,0,101,0,81,68,52,101,0,667,768,566,768,aspect_ratio_resize_median_rgb_pad,434688,73.7
p009,portrait_figure,Madame Roulin and Her Baby,Vincent van Gogh,1888,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/459123,Public Domain / Open Access,p009.jpg,2987,3721,Portrait with strong brushwork.,Mother-and-child portrait with painterly texture.,selected,Met Open Access.,p009.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p009.jpg,p009_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p009_clean.png,768,768,768,0.20639613007256113,617,768,75,0,76,0,188,160,14,75,0,692,768,617,768,aspect_ratio_resize_median_rgb_pad,473856,80.34
p010,portrait_figure,Joan of Arc,Jules Bastien-Lepage,1879,19th century French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/435621,Public Domain / Open Access,p010.jpg,4000,3622,Figure plus scenery/context case.,Human subject embedded in natural background.,selected,Met Open Access.,p010.jpg,D:\Masters\FH\Thesis\painting-restoration-eval\data\raw\images\p010.jpg,p010_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p010_clean.png,768,768,768,0.192,768,695,0,36,0,37,53,53,42,0,36,768,731,768,695,aspect_ratio_resize_median_rgb_pad,533760,90.49
