dataset_name,case_id,painting_id,clean_path,damaged_path,mask_path,source_case_id,restoration_case_id,model_name,algorithm,inpaint_radius,opencv_version,restoration_generator_name,restoration_generator_version,restored_filename,restored_path,restored_sha256,runtime_seconds,started_at_utc,completed_at_utc,output_written,status,issue
damage_size,p001__loss_large__size_02pct,p001,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_02pct_damaged.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_02pct_mask.png,p001__loss_large__size_02pct,opencv_telea__damage_size__p001__loss_large__size_02pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__size_02pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p001__loss_large__size_02pct_restored_opencv_telea.png,7ccbd16f508ceba2cfbdb9f3de5b15bdce0a858db275da549311f05d4c858fb4,0.5905501999950502,2026-07-23T21:51:50.841450+00:00,2026-07-23T21:51:51.427026+00:00,True,ok,
damage_size,p001__loss_large__size_04pct,p001,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_04pct_damaged.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_04pct_mask.png,p001__loss_large__size_04pct,opencv_telea__damage_size__p001__loss_large__size_04pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__size_04pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p001__loss_large__size_04pct_restored_opencv_telea.png,1797b1069f08b2c6e13bccafb2e93690ca3315d651043c9d92e5fe586682e23e,0.6120110000192653,2026-07-23T21:51:51.427026+00:00,2026-07-23T21:51:52.041431+00:00,True,ok,
damage_size,p001__loss_large__size_06pct,p001,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_06pct_damaged.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_06pct_mask.png,p001__loss_large__size_06pct,opencv_telea__damage_size__p001__loss_large__size_06pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__size_06pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p001__loss_large__size_06pct_restored_opencv_telea.png,b85b494b52c914d721ff7a5b9e4764bb0cf9b297090b830df075eb245ef01e41,0.6414153999940027,2026-07-23T21:51:52.051849+00:00,2026-07-23T21:51:52.689970+00:00,True,ok,
damage_size,p001__loss_large__size_08pct,p001,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_08pct_damaged.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_08pct_mask.png,p001__loss_large__size_08pct,opencv_telea__damage_size__p001__loss_large__size_08pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__size_08pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p001__loss_large__size_08pct_restored_opencv_telea.png,af778ada9b577fb25693f24851df90c9c1614de37f97429f729a02f07d87b2bc,0.6557145999977365,2026-07-23T21:51:52.689970+00:00,2026-07-23T21:51:53.341958+00:00,True,ok,
damage_size,p001__loss_large__size_10pct,p001,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_10pct_mask.png,p001__loss_large__size_10pct,opencv_telea__damage_size__p001__loss_large__size_10pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__size_10pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p001__loss_large__size_10pct_restored_opencv_telea.png,44ea23835b90298e9fed87e9ebb3d3fdb3ff01039efcbb29130d7db92e2aedd4,0.6688075000129174,2026-07-23T21:51:53.341958+00:00,2026-07-23T21:51:54.010583+00:00,True,ok,
damage_size,p001__loss_large__size_15pct,p001,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_15pct_damaged.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_15pct_mask.png,p001__loss_large__size_15pct,opencv_telea__damage_size__p001__loss_large__size_15pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__size_15pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p001__loss_large__size_15pct_restored_opencv_telea.png,e768933136d0769fbd5ddcea6317d1ac2467caebecbf0588d99cf370d14cbe94,0.7146044000110123,2026-07-23T21:51:54.010583+00:00,2026-07-23T21:51:54.731246+00:00,True,ok,
damage_size,p001__loss_large__size_20pct,p001,data/processed/clean/p001_clean.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_20pct_damaged.png,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_20pct_mask.png,p001__loss_large__size_20pct,opencv_telea__damage_size__p001__loss_large__size_20pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__size_20pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p001__loss_large__size_20pct_restored_opencv_telea.png,b0c4cbfa5b6fd1cb2337cfdf32a7b9b5503ace6ddde8b3d508dc5d5e8b7e1782,0.7560299999895506,2026-07-23T21:51:54.742353+00:00,2026-07-23T21:51:55.496301+00:00,True,ok,
damage_size,p018__loss_large__size_02pct,p018,data/processed/clean/p018_clean.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_02pct_damaged.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_02pct_mask.png,p018__loss_large__size_02pct,opencv_telea__damage_size__p018__loss_large__size_02pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p018__loss_large__size_02pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p018__loss_large__size_02pct_restored_opencv_telea.png,99c82bebb0556bee94f2f3d86b086ec148b0feb11ac92bc737fdec0d0c682f89,0.42666490000556223,2026-07-23T21:51:55.496301+00:00,2026-07-23T21:51:55.918850+00:00,True,ok,
damage_size,p018__loss_large__size_04pct,p018,data/processed/clean/p018_clean.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_04pct_damaged.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_04pct_mask.png,p018__loss_large__size_04pct,opencv_telea__damage_size__p018__loss_large__size_04pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p018__loss_large__size_04pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p018__loss_large__size_04pct_restored_opencv_telea.png,8772111c6282367d53b073042d46e20eb912855eb9a1d0d7590b248683814cd6,0.45092589998967014,2026-07-23T21:51:55.918850+00:00,2026-07-23T21:51:56.380374+00:00,True,ok,
damage_size,p018__loss_large__size_06pct,p018,data/processed/clean/p018_clean.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_06pct_damaged.png,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_06pct_mask.png,p018__loss_large__size_06pct,opencv_telea__damage_size__p018__loss_large__size_06pct,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p018__loss_large__size_06pct_restored_opencv_telea.png,data\processed\restored\opencv_telea\damage_size\p018__loss_large__size_06pct_restored_opencv_telea.png,f2c150b386f16002a62cdbda8d004c7dfffbc513348bb817348a1b590769d944,0.46426120001706295,2026-07-23T21:51:56.380374+00:00,2026-07-23T21:51:56.842302+00:00,True,ok,
