dataset_name,case_id,painting_id,clean_path,damaged_path,mask_path,source_case_id,restoration_case_id,model_name,algorithm,inpaint_radius,opencv_version,restoration_generator_name,restoration_generator_version,restored_filename,restored_path,restored_sha256,runtime_seconds,started_at_utc,completed_at_utc,output_written,status,issue
mask_robustness,p001__loss_large__variant_01,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_01_damaged.png,data/processed/masks/mask_robustness/p001__loss_large__variant_01_mask.png,p001__loss_large__variant_01,opencv_telea__mask_robustness__p001__loss_large__variant_01,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__variant_01_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_large__variant_01_restored_opencv_telea.png,35c31a565fa2cc487f0a16e63385c0c8a48949ddde740e073e9c1279e219905c,0.6900370999937877,2026-07-23T21:52:08.368422+00:00,2026-07-23T21:52:09.056291+00:00,True,ok,
mask_robustness,p001__loss_large__variant_02,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_02_damaged.png,data/processed/masks/mask_robustness/p001__loss_large__variant_02_mask.png,p001__loss_large__variant_02,opencv_telea__mask_robustness__p001__loss_large__variant_02,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__variant_02_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_large__variant_02_restored_opencv_telea.png,9e68f7e33faa03f3bcbf8a58c01233c5c4cc5fb77b2291a214b0320aa480d4bd,0.6958592000009958,2026-07-23T21:52:09.061917+00:00,2026-07-23T21:52:09.757273+00:00,True,ok,
mask_robustness,p001__loss_large__variant_03,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_03_damaged.png,data/processed/masks/mask_robustness/p001__loss_large__variant_03_mask.png,p001__loss_large__variant_03,opencv_telea__mask_robustness__p001__loss_large__variant_03,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__variant_03_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_large__variant_03_restored_opencv_telea.png,e162fb357d9dc9ffcc09af7bff7f96afb56514debe5d2b4d967641c2101e2345,0.688668900023913,2026-07-23T21:52:09.757273+00:00,2026-07-23T21:52:10.449576+00:00,True,ok,
mask_robustness,p001__loss_large__variant_04,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_04_damaged.png,data/processed/masks/mask_robustness/p001__loss_large__variant_04_mask.png,p001__loss_large__variant_04,opencv_telea__mask_robustness__p001__loss_large__variant_04,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__variant_04_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_large__variant_04_restored_opencv_telea.png,ca7dc73700f7c03c1abe177525a9abf0c121ae8319e007f46a97e79283ca5266,0.6889545999874827,2026-07-23T21:52:10.452108+00:00,2026-07-23T21:52:11.127896+00:00,True,ok,
mask_robustness,p001__loss_large__variant_05,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_large__variant_05_damaged.png,data/processed/masks/mask_robustness/p001__loss_large__variant_05_mask.png,p001__loss_large__variant_05,opencv_telea__mask_robustness__p001__loss_large__variant_05,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_large__variant_05_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_large__variant_05_restored_opencv_telea.png,75859d4756349923f8762149ca90a525992519d7a7a15d30fa0a83bec27e7d81,0.6857971000135876,2026-07-23T21:52:11.127896+00:00,2026-07-23T21:52:11.827898+00:00,True,ok,
mask_robustness,p001__loss_small__variant_01,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_01_damaged.png,data/processed/masks/mask_robustness/p001__loss_small__variant_01_mask.png,p001__loss_small__variant_01,opencv_telea__mask_robustness__p001__loss_small__variant_01,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_small__variant_01_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_small__variant_01_restored_opencv_telea.png,42f2c34e3818bbf1ef58b253a47a014eece5316cd78efe7020f2f4144bb714d4,0.6266392999968957,2026-07-23T21:52:11.830897+00:00,2026-07-23T21:52:12.449079+00:00,True,ok,
mask_robustness,p001__loss_small__variant_02,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_02_damaged.png,data/processed/masks/mask_robustness/p001__loss_small__variant_02_mask.png,p001__loss_small__variant_02,opencv_telea__mask_robustness__p001__loss_small__variant_02,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_small__variant_02_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_small__variant_02_restored_opencv_telea.png,db5a3071b9eb42f539b608bd258f672f3d992c6368f11e92c07b16d860a38a78,0.619175500003621,2026-07-23T21:52:12.449079+00:00,2026-07-23T21:52:13.079639+00:00,True,ok,
mask_robustness,p001__loss_small__variant_03,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_03_damaged.png,data/processed/masks/mask_robustness/p001__loss_small__variant_03_mask.png,p001__loss_small__variant_03,opencv_telea__mask_robustness__p001__loss_small__variant_03,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_small__variant_03_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_small__variant_03_restored_opencv_telea.png,ac5d30eb579b7919b1e2117496718ffffcd718426aa79f2d0aab3d23b5669828,0.63284289999865,2026-07-23T21:52:13.081648+00:00,2026-07-23T21:52:13.714859+00:00,True,ok,
mask_robustness,p001__loss_small__variant_04,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_04_damaged.png,data/processed/masks/mask_robustness/p001__loss_small__variant_04_mask.png,p001__loss_small__variant_04,opencv_telea__mask_robustness__p001__loss_small__variant_04,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_small__variant_04_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_small__variant_04_restored_opencv_telea.png,92b0366bb57231d79b4e5147eb595e4a5a0ce57655d31d297225ca2444682b08,0.614786299993284,2026-07-23T21:52:13.716870+00:00,2026-07-23T21:52:14.332361+00:00,True,ok,
mask_robustness,p001__loss_small__variant_05,p001,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_05_damaged.png,data/processed/masks/mask_robustness/p001__loss_small__variant_05_mask.png,p001__loss_small__variant_05,opencv_telea__mask_robustness__p001__loss_small__variant_05,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__loss_small__variant_05_restored_opencv_telea.png,data\processed\restored\opencv_telea\mask_robustness\p001__loss_small__variant_05_restored_opencv_telea.png,2d3a97f412b2ad0e5d3698335b6f24b015a4c826abf10554840f787b3e47f4c2,0.6146372999937739,2026-07-23T21:52:14.334113+00:00,2026-07-23T21:52:14.945093+00:00,True,ok,
