dataset_name,case_id,painting_id,clean_path,damaged_path,mask_path,source_case_id,restoration_case_id,model_name,algorithm,inpaint_radius,opencv_version,restoration_generator_name,restoration_generator_version,restored_filename,restored_path,restored_sha256,runtime_seconds,started_at_utc,completed_at_utc,output_written,status,issue
synthetic,p001__dirt_dust__mild,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__mild_degraded.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__mild_effect_mask.png,p001__dirt_dust__mild,opencv_telea__synthetic__p001__dirt_dust__mild,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__dirt_dust__mild_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__dirt_dust__mild_restored_opencv_telea.png,9d1331c2f80c0a3afeea233b92bb8a2beb595ba9ea79fecf0617f737feb03f04,0.5524337000097148,2026-07-23T21:52:44.340848+00:00,2026-07-23T21:52:44.880284+00:00,True,ok,
synthetic,p001__dirt_dust__moderate,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__moderate_degraded.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__moderate_effect_mask.png,p001__dirt_dust__moderate,opencv_telea__synthetic__p001__dirt_dust__moderate,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__dirt_dust__moderate_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__dirt_dust__moderate_restored_opencv_telea.png,5b4a7e12a36e7d0188f6c173ca10b4d36ccdb56e18ad1640d388762a3ccb7575,0.5659105000086129,2026-07-23T21:52:44.895991+00:00,2026-07-23T21:52:45.454331+00:00,True,ok,
synthetic,p001__dirt_dust__severe,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,p001__dirt_dust__severe,opencv_telea__synthetic__p001__dirt_dust__severe,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__dirt_dust__severe_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__dirt_dust__severe_restored_opencv_telea.png,540c98dce80cd58e9f9a3990faab956973c5e1a4448d80a0488d941752b6db6b,0.5860527000040747,2026-07-23T21:52:45.454331+00:00,2026-07-23T21:52:46.044899+00:00,True,ok,
synthetic,p001__partial_transparency__mild,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__partial_transparency__mild_degraded.png,data/processed/masks/synthetic_degradation/p001__partial_transparency__mild_effect_mask.png,p001__partial_transparency__mild,opencv_telea__synthetic__p001__partial_transparency__mild,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__partial_transparency__mild_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__partial_transparency__mild_restored_opencv_telea.png,e9515415e07509932c8c2fad6d37ea34c147b4f3d0c9ab9f7a010f4e78891399,0.6028752999845892,2026-07-23T21:52:46.044899+00:00,2026-07-23T21:52:46.653131+00:00,True,ok,
synthetic,p001__partial_transparency__moderate,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__partial_transparency__moderate_degraded.png,data/processed/masks/synthetic_degradation/p001__partial_transparency__moderate_effect_mask.png,p001__partial_transparency__moderate,opencv_telea__synthetic__p001__partial_transparency__moderate,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__partial_transparency__moderate_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__partial_transparency__moderate_restored_opencv_telea.png,3aa69d3cbaeb7d2a85be42e5529bb7c8177032e9d577f8d81e514c38b2d7a51e,0.7403130000166129,2026-07-23T21:52:46.653131+00:00,2026-07-23T21:52:47.384607+00:00,True,ok,
synthetic,p001__partial_transparency__severe,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__partial_transparency__severe_degraded.png,data/processed/masks/synthetic_degradation/p001__partial_transparency__severe_effect_mask.png,p001__partial_transparency__severe,opencv_telea__synthetic__p001__partial_transparency__severe,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__partial_transparency__severe_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__partial_transparency__severe_restored_opencv_telea.png,dfc5d216a264276e92c442695a7e27a36f4958bba1a3732c666d79765b678f25,1.16678700002376,2026-07-23T21:52:47.400602+00:00,2026-07-23T21:52:48.562182+00:00,True,ok,
synthetic,p001__water_stain__mild,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__water_stain__mild_degraded.png,data/processed/masks/synthetic_degradation/p001__water_stain__mild_effect_mask.png,p001__water_stain__mild,opencv_telea__synthetic__p001__water_stain__mild,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__water_stain__mild_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__water_stain__mild_restored_opencv_telea.png,9cc2a638e5f8c24f503d8e8e91904c23d333002ceb4664290092b3c4752d665a,0.5654144000145607,2026-07-23T21:52:48.562182+00:00,2026-07-23T21:52:49.134118+00:00,True,ok,
synthetic,p001__water_stain__moderate,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__water_stain__moderate_degraded.png,data/processed/masks/synthetic_degradation/p001__water_stain__moderate_effect_mask.png,p001__water_stain__moderate,opencv_telea__synthetic__p001__water_stain__moderate,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__water_stain__moderate_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__water_stain__moderate_restored_opencv_telea.png,f9346f5d7c32fc377f1cc239ae6d8ccc7dc6307ee9bbdb5fc67583e868c9b925,0.5659048999950755,2026-07-23T21:52:49.134118+00:00,2026-07-23T21:52:49.692038+00:00,True,ok,
synthetic,p001__water_stain__severe,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__water_stain__severe_degraded.png,data/processed/masks/synthetic_degradation/p001__water_stain__severe_effect_mask.png,p001__water_stain__severe,opencv_telea__synthetic__p001__water_stain__severe,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__water_stain__severe_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__water_stain__severe_restored_opencv_telea.png,bffc8fc7de969df31c5581838c13c929bdde7958e708d844dc1ff98e244edff2,0.562076900008833,2026-07-23T21:52:49.708159+00:00,2026-07-23T21:52:50.268943+00:00,True,ok,
synthetic,p001__water_stain_dirt__moderate,p001,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__water_stain_dirt__moderate_degraded.png,data/processed/masks/synthetic_degradation/p001__water_stain_dirt__moderate_effect_mask.png,p001__water_stain_dirt__moderate,opencv_telea__synthetic__p001__water_stain_dirt__moderate,opencv_telea,cv2.INPAINT_TELEA,3,4.11.0,restoration_eval.restoration_opencv,2.0.0,p001__water_stain_dirt__moderate_restored_opencv_telea.png,data\processed\restored\opencv_telea\synthetic\p001__water_stain_dirt__moderate_restored_opencv_telea.png,5cebee71b01ce7bc7e9618a69da717f2dd84c38d049b7b81ee673e325601ede4,0.6399885999853723,2026-07-23T21:52:50.268943+00:00,2026-07-23T21:52:50.906765+00:00,True,ok,
