case_id,painting_id,painting_index,degradation_type,severity,severity_rank,is_combined,component_degradations,component_count,global_seed,case_seed,effect_mask_seed,operator_seeds_json,operator_parameters_json,width,height,content_x_min,content_y_min,content_x_max,content_y_max,content_area_pixels,effect_support_pixels,effect_active_pixels,effect_percentage_content,effect_percentage_full,effect_mean_intensity,effect_max_intensity,effect_bbox_x_min,effect_bbox_y_min,effect_bbox_x_max,effect_bbox_y_max,effect_centroid_x,effect_centroid_y,changed_pixels,changed_percentage_full,outside_effect_changed_pixels,inside_effect_changed_pixels,mean_absolute_difference_effect,maximum_absolute_difference,clean_path,effect_mask_filename,effect_mask_path,degraded_filename,degraded_path,clean_sha256,effect_mask_sha256,degraded_sha256,effect_mask_file_size_bytes,degraded_file_size_bytes,generator_name,generator_version,generated_at_utc,generation_action,status,issue,source,title,artist,category
p001__blur__mild,p001,0,blur,mild,1,False,blur,1,20260707,634860667,735484235,[9695596],"[{""blur_radius"": 1.5, ""degradation_type"": ""blur"", ""effect_opacity"": 0.55, ""operator_seed"": 272285644, ""seed"": 9695596}]",768,768,52,0,715,768,509184,60922,48117,9.449825603318251,8.157857259114584,115.07163788266101,204,499,502,715,768,609.8458548953593,635.1736808196687,17617,2.9868231879340277,0,17617,0.23489598721862928,8,data/processed/clean/p001_clean.png,p001__blur__mild_effect_mask.png,data/processed/masks/synthetic_degradation/p001__blur__mild_effect_mask.png,p001__blur__mild_degraded.png,data/processed/degraded/synthetic_degradation/p001__blur__mild_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,200977a2d6ca87fdf08128be1807eec31f735ce2cfe3494d006032bda1f3b225,1465b40735a91bc69e214db9df421f42e90a0d1e8efbd7967eee40738714a4a6,12920,720586,synthetic_degradation,1.0.0,2026-07-23T20:45:42.952967+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__blur__moderate,p001,0,blur,moderate,2,False,blur,1,20260707,2702907268,577883629,[1834576790],"[{""blur_radius"": 3.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.75, ""operator_seed"": 2214173340, ""seed"": 1834576790}]",768,768,52,0,715,768,509184,279736,214399,42.10638983157366,36.34965684678819,111.96685152449405,237,52,3,477,745,269.5759588430916,376.9996221997304,133112,22.56808810763889,0,133112,0.6756835015872108,53,data/processed/clean/p001_clean.png,p001__blur__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__blur__moderate_effect_mask.png,p001__blur__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__blur__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,610e7ea09257b0fa515cf1861d145e1277c35236a090ce6d6dfcd73e49eecc7f,081f98323be4860786e3f9cf939dc1b9307244593dc0034c39b62394c9c65604,42680,689857,synthetic_degradation,1.0.0,2026-07-23T20:45:43.680012+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__blur__severe,p001,0,blur,severe,3,False,blur,1,20260707,967575673,2046225949,[2201620856],"[{""blur_radius"": 5.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.95, ""operator_seed"": 3144373275, ""seed"": 2201620856}]",768,768,52,0,715,768,509184,424095,371398,72.93984100050277,62.96759711371528,144.44716718991486,205,112,0,715,768,419.90040334089036,366.21943036849956,307311,52.102152506510414,0,307311,1.723347363208715,76,data/processed/clean/p001_clean.png,p001__blur__severe_effect_mask.png,data/processed/masks/synthetic_degradation/p001__blur__severe_effect_mask.png,p001__blur__severe_degraded.png,data/processed/degraded/synthetic_degradation/p001__blur__severe_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,4e7230a1e595626ec593b276e00bcabea997f58432c5442e5403f470d649adba,356bfa77c3fa186adad8df2dfb3e335586f8581b114dc0f9059f90a893ba39d6,51124,611271,synthetic_degradation,1.0.0,2026-07-23T20:45:44.425285+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__dirt_dust__mild,p001,0,dirt_dust,mild,1,False,dirt_dust,1,20260707,1651694596,3219752640,[1539027106],"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.05, ""operator_seed"": 3478032899, ""particle_count_estimate"": 10988, ""particle_density"": 0.0002, ""particle_opacity"": 0.24, ""particle_radius_max"": 3, ""particle_radius_min"": 1, ""seed"": 1539027106}]",768,768,52,0,715,768,509184,179470,121673,23.895684074912015,20.62869601779514,61.87712146491005,255,52,0,715,757,367.999967124999,469.4498204203069,128,0.021701388888888888,0,128,0.000542337623743987,1,data/processed/clean/p001_clean.png,p001__dirt_dust__mild_effect_mask.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__mild_effect_mask.png,p001__dirt_dust__mild_degraded.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__mild_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,6fd012bc95081fa5c427940f614e3a9245cf30147b9b6bd17adbc0440e672c32,e418be28c4d4d728980758191e624629a7707b869c6bb7a7a508ba2df2984399,26284,723879,synthetic_degradation,1.0.0,2026-07-23T20:45:51.458174+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__dirt_dust__moderate,p001,0,dirt_dust,moderate,2,False,dirt_dust,1,20260707,3596317806,1394854005,[4129386919],"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.1, ""operator_seed"": 175732196, ""particle_count_estimate"": 7071, ""particle_density"": 0.00045, ""particle_opacity"": 0.36, ""particle_radius_max"": 5, ""particle_radius_min"": 1, ""seed"": 4129386919}]",768,768,52,0,715,768,509184,130222,84027,16.50228601055807,14.246114095052084,56.1308507979578,254,52,0,715,768,182.01166291787163,534.3896961690886,5147,0.8726331922743056,0,5147,0.030634864564615297,5,data/processed/clean/p001_clean.png,p001__dirt_dust__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__moderate_effect_mask.png,p001__dirt_dust__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,962740de5b3a6fe47d41b5c62cbd35dc8763d30194b7add49aa098d6a2b78ac8,49315b66b4a70e9eb938090212d2afd2ade52d041838fb03cbccab9034616d52,23950,723870,synthetic_degradation,1.0.0,2026-07-23T20:45:52.141560+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__dirt_dust__severe,p001,0,dirt_dust,severe,3,False,dirt_dust,1,20260707,970403679,3058281448,[3774832814],"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.16, ""operator_seed"": 1575782543, ""particle_count_estimate"": 17391, ""particle_density"": 0.0008, ""particle_opacity"": 0.5, ""particle_radius_max"": 7, ""particle_radius_min"": 1, ""seed"": 3774832814}]",768,768,52,0,715,768,509184,164404,108658,21.339633609854197,18.422105577256943,58.91830330026321,255,52,0,715,768,413.1862081024867,416.5236982090596,28603,4.849412706163195,0,28603,0.14951785439121515,7,data/processed/clean/p001_clean.png,p001__dirt_dust__severe_effect_mask.png,data/processed/masks/synthetic_degradation/p001__dirt_dust__severe_effect_mask.png,p001__dirt_dust__severe_degraded.png,data/processed/degraded/synthetic_degradation/p001__dirt_dust__severe_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,3d34f45801fe3e0d93cd5fea13a9175faca0ac3fe1665f9e0051582fac39509b,b60241f2138e6b2331de5957a05452d1662028b7180aa27268e0276bdc52429e,28504,723560,synthetic_degradation,1.0.0,2026-07-23T20:45:52.823845+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__discolouration__mild,p001,0,discolouration,mild,1,False,discolouration,1,20260707,1684858599,2292477603,[3741239498],"[{""channel_scale_b"": 0.94, ""channel_scale_g"": 0.99, ""channel_scale_r"": 1.04, ""degradation_type"": ""discolouration"", ""operator_seed"": 439050984, ""seed"": 3741239498}]",768,768,52,0,715,768,509184,74273,52911,10.39133201357466,8.97064208984375,106.03413278902308,188,173,60,428,331,303.11625181909244,196.52248114758746,25849,4.382493760850695,0,25849,0.35748297945866375,7,data/processed/clean/p001_clean.png,p001__discolouration__mild_effect_mask.png,data/processed/masks/synthetic_degradation/p001__discolouration__mild_effect_mask.png,p001__discolouration__mild_degraded.png,data/processed/degraded/synthetic_degradation/p001__discolouration__mild_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,792e713da8c52073a95f23cc9ea2bf5d579e9f6f0761e517fa110a36c4f187d3,dc2b394307bd27801bce61ab526768e773d8e3b8bcd8f492e3173bf32fd54e71,14768,723892,synthetic_degradation,1.0.0,2026-07-23T20:45:49.382408+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__discolouration__moderate,p001,0,discolouration,moderate,2,False,discolouration,1,20260707,947888569,1150949694,[1984037041],"[{""channel_scale_b"": 0.86, ""channel_scale_g"": 0.97, ""channel_scale_r"": 1.09, ""degradation_type"": ""discolouration"", ""operator_seed"": 147221102, ""seed"": 1984037041}]",768,768,52,0,715,768,509184,200430,158262,31.081495098039216,26.832071940104168,126.18274759575893,210,158,0,554,500,344.2486004220849,234.46158901062793,129332,21.92721896701389,0,129332,1.2673817958056846,16,data/processed/clean/p001_clean.png,p001__discolouration__moderate_effect_mask.png,data/processed/masks/synthetic_degradation/p001__discolouration__moderate_effect_mask.png,p001__discolouration__moderate_degraded.png,data/processed/degraded/synthetic_degradation/p001__discolouration__moderate_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,0002a9ae90fed2e54bb2ba0e10b0633c031df6b9a34f6d3c111bd7e038c29478,5ba7678f2f59980dd7a65571c5c7418fd3039cfe81431ed99fe3d2a75fab4d49,30375,723791,synthetic_degradation,1.0.0,2026-07-23T20:45:50.061175+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__discolouration__severe,p001,0,discolouration,severe,3,False,discolouration,1,20260707,163278166,2634348459,[2435664154],"[{""channel_scale_b"": 0.76, ""channel_scale_g"": 0.94, ""channel_scale_r"": 1.15, ""degradation_type"": ""discolouration"", ""operator_seed"": 4238092628, ""seed"": 2435664154}]",768,768,52,0,715,768,509184,452076,390854,76.76085658622424,66.26620822482639,117.09903186356031,170,52,0,688,768,385.32018349562753,382.5665389122281,358130,60.718112521701386,0,358130,2.170928486950572,26,data/processed/clean/p001_clean.png,p001__discolouration__severe_effect_mask.png,data/processed/masks/synthetic_degradation/p001__discolouration__severe_effect_mask.png,p001__discolouration__severe_degraded.png,data/processed/degraded/synthetic_degradation/p001__discolouration__severe_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,133f684f7939ba079c9529a62649d96d2819b9cb674a701061f8f662e1252a8e,9932f7b39082e64b40cc5532923bec4cca4c8857ae73f286e09b9dfd66d21bd9,48218,722926,synthetic_degradation,1.0.0,2026-07-23T20:45:50.773666+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
p001__fading__mild,p001,0,fading,mild,1,False,fading,1,20260707,232348497,2691645834,[3094101212],"[{""brightness_factor"": 1.03, ""contrast_factor"": 0.94, ""degradation_type"": ""fading"", ""operator_seed"": 276722396, ""saturation_factor"": 0.82, ""seed"": 3094101212}]",768,768,52,0,715,768,509184,114143,77383,15.197453179989944,13.119676378038195,95.59448457671581,196,67,236,617,732,351.50091105281524,492.470245402737,35524,6.022813585069445,0,35524,0.2789424961086824,7,data/processed/clean/p001_clean.png,p001__fading__mild_effect_mask.png,data/processed/masks/synthetic_degradation/p001__fading__mild_effect_mask.png,p001__fading__mild_degraded.png,data/processed/degraded/synthetic_degradation/p001__fading__mild_degraded.png,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2,101a6662f76b2d3f46b5fabd3be1c7620777fb02b38ce95d2e7f8ab6f2a31f92,f5954831327820fbd47ce5205e81502fe5d87436ea0ef9d2f90e57251f2b9a43,22042,722905,synthetic_degradation,1.0.0,2026-07-23T20:45:47.288178+00:00,generated,ok,,The Metropolitan Museum of Art,Juan de Pareja,Diego Velázquez,portrait_figure
