metric_row_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,boundary_width_pixels,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,ssim_applicable,metric_runtime_seconds,case_runtime_seconds,metric_schema_version,metric_implementation_name,status,issue
opencv_telea__canonical__canonical__p001_loss_large__boundary_region,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,boundary_region,13263,,,,,69018,False,intensity > 127,8,5,59.55595767674483,6.173439895448491,53.38251778129634,14.881801502927946,69.81665787026566,-54.934856367337716,30.38155148252869,40.225531366532394,9.843979884003705,,,,False,0.010886199946980923,1.9383591000223532,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_large__content_region,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,509184,52.0,0.0,715.0,768.0,69018,False,intensity > 127,8,5,16.387290907281717,7.165669646597955,9.221621260683762,4.875917153720462,22.49911819695827,-17.62320104323781,35.985731974904766,39.57823578523542,3.592503810330655,0.8778301009373667,0.965650390062479,0.0878202891251123,True,0.6514868999947794,1.9383591000223532,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_large__full_image,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,589824,0.0,0.0,768.0,768.0,69018,False,intensity > 127,8,5,14.146840978551793,6.185988249602141,7.960852728949653,4.209287855360243,19.42306688096788,-15.213779025607638,36.62420889117215,40.216712701502814,3.592503810330662,0.8946645358475723,0.9703836040302475,0.07571906818267515,True,0.8488864999962971,1.9383591000223532,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_large__mask_bbox_crop,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,mask_bbox_crop,124600,197.0,71.0,642.0,351.0,69018,False,intensity > 127,8,5,66.96746655965757,29.282859818084535,37.684606741573035,19.92567415730337,91.94374799357945,-72.01807383627607,29.87216491377342,33.46466872410407,3.5925038103306512,0.49152515465372043,0.857035875983399,0.3655107213296786,True,0.13630850001936778,1.9383591000223532,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_large__masked_region,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,masked_region,69018,,,,,69018,False,intensity > 127,8,5,120.89811836525737,52.86511248273397,68.03300588252341,35.97234054884233,165.98845228780897,-130.01611173896663,27.306608192291804,30.899112002622463,3.5925038103306584,,,,False,0.019107200030703098,1.9383591000223532,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_large__outside_mask_region,opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,p001_loss_large,canonical__p001_loss_large,canonical,primary,p001,,,,,opencv_telea,p001_loss_large,loss_large,p001_loss_large,loss_large,outside_mask_region,520806,0.0,0.0,768.0,768.0,69018,False,intensity > 127,8,5,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,,,,False,0.1030462000053376,1.9383591000223532,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_small__boundary_region,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,boundary_region,15211,,,,,18239,False,intensity > 127,8,5,52.46667981504613,6.996953958757916,45.469725856288214,10.557841912650932,63.49470777726645,-52.93686586461551,30.931967787284165,39.681713446838195,8.74974565955403,,,,False,0.010937499988358468,2.457585200027097,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_small__content_region,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,content_region,509184,52.0,0.0,715.0,768.0,18239,False,intensity > 127,8,5,4.083798783936651,0.8476307189542484,3.236168064982403,0.842708464261773,5.494587418300654,-4.651878954038881,42.020160253910404,48.84873673293322,6.828576479022814,0.9547814344160507,0.9931257112632004,0.038344276847149694,True,0.6611088999779895,2.457585200027097,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_small__full_image,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,full_image,589824,0.0,0.0,768.0,768.0,18239,False,intensity > 127,8,5,3.5254669189453125,0.7317437065972222,2.79372321234809,0.7274944164134838,4.743374294704861,-4.015879878291377,42.6586371701778,49.48721364920061,6.828576479022814,0.9610123391225001,0.9940729557741769,0.03306061665167681,True,0.9860335999983363,2.457585200027097,2.0.0,restoration_eval.metrics_classical,ok,
opencv_telea__canonical__canonical__p001_loss_small__mask_bbox_crop,opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,p001_loss_small,canonical__p001_loss_small,canonical,primary,p001,,,,,opencv_telea,p001_loss_small,loss_small,p001_loss_small,loss_small,mask_bbox_crop,360325,64.0,23.0,561.0,748.0,18239,False,intensity > 127,8,5,5.770915146048706,1.1978075348643586,4.573107611184348,1.1908517773306506,7.764534794976757,-6.573683017646106,40.518356722590816,47.34693320161363,6.828576479022814,0.9358750942201516,0.9902515015269033,0.05437640730675175,True,0.495401700027287,2.457585200027097,2.0.0,restoration_eval.metrics_classical,ok,
