spatial_case_id,restoration_case_id,case_id,source_case_id,dataset_name,painting_id,category,title,artist,mask_id,mask_type,model_name,is_zero_control,clean_path,damaged_path,mask_path,restored_path,figure_filename,figure_path,image_width,image_height,full_pixel_count,content_pixel_count,masked_pixel_count,outside_mask_pixel_count,boundary_pixel_count,mask_area_pixels,mask_area_fraction_full,mask_area_percentage_full,content_x_min,content_y_min,content_x_max,content_y_max,mask_bbox_x_min,mask_bbox_y_min,mask_bbox_x_max,mask_bbox_y_max,boundary_width_pixels,boundary_mode,mask_threshold,mse_improvement,mae_improvement,psnr_improvement,ssim_improvement,damaged_error_mean_full,damaged_error_std_full,damaged_error_max_full,restored_error_mean_full,restored_error_std_full,restored_error_max_full,improvement_mean_full,improvement_std_full,improvement_min_full,improvement_max_full,improvement_masked_pixel_count,improvement_masked_mean,improvement_masked_std,improvement_masked_min,improvement_masked_max,improvement_masked_positive_pixels,improvement_masked_negative_pixels,improvement_masked_zero_pixels,improvement_masked_positive_percentage,improvement_masked_negative_percentage,improvement_masked_zero_percentage,improvement_outside_mask_pixel_count,improvement_outside_mask_mean,improvement_outside_mask_std,improvement_outside_mask_min,improvement_outside_mask_max,improvement_outside_mask_positive_pixels,improvement_outside_mask_negative_pixels,improvement_outside_mask_zero_pixels,improvement_outside_mask_positive_percentage,improvement_outside_mask_negative_percentage,improvement_outside_mask_zero_percentage,improvement_boundary_pixel_count,improvement_boundary_mean,improvement_boundary_std,improvement_boundary_min,improvement_boundary_max,improvement_boundary_positive_pixels,improvement_boundary_negative_pixels,improvement_boundary_zero_pixels,improvement_boundary_positive_percentage,improvement_boundary_negative_percentage,improvement_boundary_zero_percentage,improvement_content_pixel_count,improvement_content_mean,improvement_content_std,improvement_content_min,improvement_content_max,improvement_content_positive_pixels,improvement_content_negative_pixels,improvement_content_zero_pixels,improvement_content_positive_percentage,improvement_content_negative_percentage,improvement_content_zero_percentage,damaged_error_masked_mean,damaged_error_masked_std,restored_error_masked_mean,restored_error_masked_std,damaged_error_boundary_mean,damaged_error_boundary_std,restored_error_boundary_mean,restored_error_boundary_std,damaged_error_outside_mask_mean,damaged_error_outside_mask_std,restored_error_outside_mask_mean,restored_error_outside_mask_std,flag_net_masked_degradation,flag_boundary_degradation,flag_outside_mask_degradation,flag_high_negative_masked_percentage,spatial_flag_count,boundary_net_change_class,outside_mask_net_change_class,absolute_error_vmin,absolute_error_vmax,signed_improvement_vmin,signed_improvement_vmax,figure_size_bytes,figure_size_bytes_disk,figure_filesize_mb,figure_width,figure_height,figure_mode,figure_format,figure_sha256,generation_runtime_seconds,spatial_schema_version,implementation_name,status,issue,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked
opencv_telea__canonical__canonical__p001_loss_large,opencv_telea__canonical__canonical__p001_loss_large,canonical__p001_loss_large,canonical__p001_loss_large,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,p001_loss_large,loss_large,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/masks/p001_loss_large_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_loss_large_restored_opencv_telea.png,opencv_telea_canonical_canonical_p001_loss_large_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_loss_large_difference_maps.png,768,768,589824,509184,69018,520806,13263,69018,0.11701456705729167,11.701456705729168,52,0,715,768,197.0,71.0,642.0,351.0,5,both,127,68.03300588252341,-130.01611173896663,3.5925038103306584,,25.746440887451172,71.07860565185547,254.0,1.2979121208190918,6.372347831726074,143.6666717529297,24.448530197143555,67.99813842773438,-56.333335876464844,248.0,69018,208.93577575683594,31.118331909179688,-56.333335876464844,248.0,68991,26,1,99.96087977049464,0.037671332116259525,0.001448897389086905,520806,0.0,0.0,0.0,0.0,0,0,520806,0.0,0.0,100.0,13263,110.26341247558594,112.07878875732422,0.0,248.0,6554,0,6709,49.415667646837065,0.0,50.58433235316293,509184,28.32046890258789,72.4318618774414,-56.333335876464844,248.0,68991,26,440167,13.549325980392158,0.0051062091503267975,86.44556781045752,220.0276641845703,20.696130752563477,11.09188461303711,15.4398832321167,111.622314453125,113.43162536621094,1.3588931560516357,2.4847519397735596,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,2222425,2222425,2.11946964263916,2383,2335,RGBA,PNG,5d4f031eb1fd7837ef0a36814fc789c5552ea4a5010b5909c70e1615f545de38,6.052138000028208,2.0.0,restoration_eval.error_maps,ok,,220.0276641845703,11.09188461303711,208.93577575683594,26,68991,1,0.037671332116259525,99.96087977049464
opencv_telea__canonical__canonical__p001_loss_small,opencv_telea__canonical__canonical__p001_loss_small,canonical__p001_loss_small,canonical__p001_loss_small,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,p001_loss_small,loss_small,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/masks/p001_loss_small_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_loss_small_restored_opencv_telea.png,opencv_telea_canonical_canonical_p001_loss_small_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_loss_small_difference_maps.png,768,768,589824,509184,18239,571585,15211,18239,0.030922783745659724,3.0922783745659723,52,0,715,768,64.0,23.0,561.0,748.0,5,both,127,90.34513953615878,-129.86799349379535,6.828576479022814,,7.1887383460998535,40.32813262939453,252.0,0.14046111702919006,1.3596925735473633,65.33333587646484,7.048277854919434,39.588626861572266,0.0,247.0,18239,227.93150329589844,18.35050392150879,67.33332824707031,247.0,18239,0,0,100.0,0.0,0.0,571585,0.0,0.0,0.0,0.0,0,0,571585,0.0,0.0,100.0,15211,106.20384979248047,115.16492462158203,0.0,247.0,7025,0,8186,46.18368286108737,0.0,53.81631713891263,509184,8.164520263671875,42.5012092590332,0.0,247.0,18239,0,490945,3.5820057189542482,0.0,96.41799428104575,232.47381591796875,14.874892234802246,4.542317867279053,6.30807638168335,107.67239379882812,116.61630249023438,1.468542456626892,3.1988601684570312,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,2132233,2132233,2.0334558486938477,2383,2335,RGBA,PNG,98a7c481784eeca54ef36ce8c7e422b92fab57d045fa505fc301838ca39c175e,6.143617299967445,2.0.0,restoration_eval.error_maps,ok,,232.47381591796875,4.542317867279053,227.93150329589844,0,18239,0,0.0,100.0
opencv_telea__canonical__canonical__p001_mixed_damage,opencv_telea__canonical__canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical__p001_mixed_damage,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,p001_mixed_damage,mixed_damage,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_mixed_damage_damaged.png,data/processed/masks/p001_mixed_damage_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_mixed_damage_restored_opencv_telea.png,opencv_telea_canonical_canonical_p001_mixed_damage_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_mixed_damage_difference_maps.png,768,768,589824,509184,45733,544091,50270,45733,0.07753668891059028,7.753668891059028,52,0,715,768,44.0,0.0,710.0,768.0,5,both,127,65.5330869758526,-111.7254644713154,3.762560248543832,,17.357267379760742,60.31138610839844,255.0,1.0336556434631348,6.522041320800781,108.66666412353516,16.323612213134766,57.09571075439453,0.0,254.3333282470703,45733,210.527587890625,34.03352355957031,40.66666793823242,254.3333282470703,45733,0,0,100.0,0.0,0.0,544091,0.0,0.0,0.0,0.0,0,0,544091,0.0,0.0,100.0,50270,74.68265533447266,104.6791763305664,0.0,254.3333282470703,17306,0,32964,34.42609906504874,0.0,65.57390093495127,509184,18.90880012512207,61.051727294921875,0.0,254.3333282470703,45733,0,463451,8.981625502765208,0.0,91.01837449723479,223.85874938964844,26.18443489074707,13.331174850463867,19.61286735534668,76.84020233154297,107.3322982788086,2.1575424671173096,7.628173351287842,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,2380865,2380865,2.2705698013305664,2383,2335,RGBA,PNG,822b93a25aef0f765fd71fabc22dacb183f8ada71de2def6485c1b89f78a3421,6.206708699988667,2.0.0,restoration_eval.error_maps,ok,,223.85874938964844,13.331174850463867,210.527587890625,0,45733,0,0.0,100.0
opencv_telea__canonical__canonical__p001_scratch_thin,opencv_telea__canonical__canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical__p001_scratch_thin,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,p001_scratch_thin,scratch_thin,opencv_telea,False,data/processed/clean/p001_clean.png,data/processed/masked/p001_scratch_thin_damaged.png,data/processed/masks/p001_scratch_thin_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_scratch_thin_restored_opencv_telea.png,opencv_telea_canonical_canonical_p001_scratch_thin_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_scratch_thin_difference_maps.png,768,768,589824,509184,12058,577766,48370,12058,0.020443386501736112,2.044338650173611,52,0,715,768,44.0,0.0,723.0,768.0,5,both,127,95.50132691988722,-96.99245314314147,8.050169545934164,,4.526925563812256,31.56143569946289,255.0,0.0869733989238739,1.4150022268295288,95.66666412353516,4.439952373504639,30.99813461303711,0.0,253.0,12058,217.18280029296875,28.250825881958008,49.999996185302734,253.0,12058,0,0,100.0,0.0,0.0,577766,0.0,0.0,0.0,0.0,0,0,577766,0.0,0.0,100.0,48370,54.14080047607422,95.0062255859375,0.0,253.0,12058,0,36312,24.92867479842878,0.0,75.07132520157123,509184,5.143113136291504,33.308319091796875,0.0,253.0,12058,0,497126,2.368102689793866,0.0,97.63189731020613,221.43716430664062,26.344423294067383,4.254354000091553,8.956047058105469,55.20134735107422,96.69256591796875,1.0605541467666626,4.835564136505127,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,2288275,2288275,2.1822690963745117,2383,2335,RGBA,PNG,12d0238ba46234efc3a3a9425d9cb773ae055e072e143bb2701c175a5d25948d,6.145921999996062,2.0.0,restoration_eval.error_maps,ok,,221.43716430664062,4.254354000091553,217.18280029296875,0,12058,0,0.0,100.0
opencv_telea__canonical__canonical__p001_zero_control,opencv_telea__canonical__canonical__p001_zero_control,canonical__p001_zero_control,canonical__p001_zero_control,canonical,p001,portrait_figure,Juan de Pareja,Diego Velázquez,p001_zero_control,zero_control,opencv_telea,True,data/processed/clean/p001_clean.png,data/processed/masked/p001_zero_control_damaged.png,data/processed/masks/p001_zero_control_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p001_zero_control_restored_opencv_telea.png,opencv_telea_canonical_canonical_p001_zero_control_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p001_zero_control_difference_maps.png,768,768,589824,509184,0,589824,0,0,0.0,0.0,52,0,715,768,,,,,5,both,127,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,0,0,,,,589824,0.0,0.0,0.0,0.0,0,0,589824,0.0,0.0,100.0,0,,,,,0,0,0,,,,509184,0.0,0.0,0.0,0.0,0,0,509184,0.0,0.0,100.0,,,,,,,,,0.0,0.0,0.0,0.0,False,False,False,False,0,unchanged_or_undefined,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,2010252,2010252,1.9171257019042969,2383,2335,RGBA,PNG,99b5da74fcd27c5624672cf605bd819e0694c4b39a276ed2e2f1b0ccd8cb1c17,6.006048000010196,2.0.0,restoration_eval.error_maps,ok,,,,,0,0,0,,
opencv_telea__canonical__canonical__p002_loss_large,opencv_telea__canonical__canonical__p002_loss_large,canonical__p002_loss_large,canonical__p002_loss_large,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,p002_loss_large,loss_large,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_loss_large_damaged.png,data/processed/masks/p002_loss_large_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_loss_large_restored_opencv_telea.png,opencv_telea_canonical_canonical_p002_loss_large_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_loss_large_difference_maps.png,768,768,589824,344832,37439,552385,9826,37439,0.06347486707899305,6.347486707899305,159,0,608,768,207.0,61.0,442.0,363.0,5,both,127,50.68365429988336,-101.72057658235174,2.7661133867681933,,11.456361770629883,45.499446868896484,246.0,1.3658976554870605,9.765042304992676,186.0,10.09046459197998,42.72507858276367,-141.3333282470703,241.33334350585938,37439,158.9678497314453,71.35555267333984,-141.3333282470703,241.33334350585938,35164,2264,11,93.92344881006437,6.047170063302973,0.029381126632655786,552385,0.0,0.0,0.0,0.0,0,0,552385,0.0,0.0,100.0,9826,93.0240478515625,98.24639892578125,-10.666664123535156,241.33334350585938,4757,8,5061,48.41237533075514,0.08141664970486465,51.50620801954,344832,17.259410858154297,54.759578704833984,-141.3333282470703,241.33334350585938,35164,2264,307404,10.197429472902748,0.6565515961395694,89.14601893095768,180.486572265625,45.89964294433594,21.518718719482422,32.68946838378906,95.56011199951172,100.19658660888672,2.5360608100891113,8.809325218200684,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,1169653,1169653,1.1154680252075195,2383,2335,RGBA,PNG,4e2851a2f69de17962dd1c8e2a58a6acaaf106cd650f9e785b89e582f2565d95,5.362198599963449,2.0.0,restoration_eval.error_maps,ok,,180.486572265625,21.518718719482422,158.9678497314453,2264,35164,11,6.047170063302973,93.92344881006437
opencv_telea__canonical__canonical__p002_loss_small,opencv_telea__canonical__canonical__p002_loss_small,canonical__p002_loss_small,canonical__p002_loss_small,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,p002_loss_small,loss_small,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_loss_small_damaged.png,data/processed/masks/p002_loss_small_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_loss_small_restored_opencv_telea.png,opencv_telea_canonical_canonical_p002_loss_small_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_loss_small_difference_maps.png,768,768,589824,344832,18776,571048,15670,18776,0.03183322482638889,3.183322482638889,159,0,608,768,181.0,43.0,570.0,629.0,5,both,127,89.3021055247834,-102.49561496946455,6.598257129197723,,6.632436752319336,36.74620056152344,255.0,0.17778073251247406,2.0885541439056396,133.0,6.454656600952148,35.80186080932617,-11.0,255.0,18776,202.7647705078125,21.459068298339844,-11.0,255.0,18773,3,0,99.98402215594375,0.015977844056242013,0.0,571048,0.0,0.0,0.0,0.0,0,0,571048,0.0,0.0,100.0,15670,95.32856750488281,103.16056060791016,-11.0,255.0,7299,2,8369,46.579451180599875,0.012763241863433313,53.40778557753669,344832,11.040482521057129,46.279605865478516,-11.0,255.0,18773,3,326056,5.4441003155159615,0.0008699888641425389,94.5550296956199,208.34951782226562,19.74200439453125,5.584753513336182,10.335948944091797,96.99068450927734,104.75148010253906,1.6621145009994507,5.74309778213501,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,1156898,1156898,1.1033039093017578,2383,2335,RGBA,PNG,9a1b81c7ece1388f30e144a3c2fe345598ada38e3ba6389424aab65d11dd4571,5.516874500026461,2.0.0,restoration_eval.error_maps,ok,,208.34951782226562,5.584753513336182,202.7647705078125,3,18773,0,0.015977844056242013,99.98402215594375
opencv_telea__canonical__canonical__p002_mixed_damage,opencv_telea__canonical__canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical__p002_mixed_damage,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,p002_mixed_damage,mixed_damage,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_mixed_damage_damaged.png,data/processed/masks/p002_mixed_damage_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_mixed_damage_restored_opencv_telea.png,opencv_telea_canonical_canonical_p002_mixed_damage_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_mixed_damage_difference_maps.png,768,768,589824,344832,34546,555278,47303,34546,0.058570014105902776,5.857001410590278,159,0,608,768,151.0,0.0,616.0,768.0,5,both,127,61.31352399698952,-110.3759528358324,5.046746149357382,,12.076332092285156,49.00568389892578,255.0,0.3974665403366089,3.513491630554199,125.33333587646484,11.678863525390625,47.44340515136719,0.0,255.0,34546,199.40003967285156,31.605579376220703,0.6666641235351562,255.0,34546,0,0,100.0,0.0,0.0,555278,0.0,0.0,0.0,0.0,0,0,555278,0.0,0.0,100.0,47303,64.93927001953125,98.02820587158203,0.0,255.0,14982,0,32321,31.672409783734643,0.0,68.32759021626535,344832,19.976320266723633,60.69843292236328,0.0,255.0,34546,0,310286,10.018211766889385,0.0,89.98178823311062,206.18624877929688,31.311431884765625,6.7861785888671875,12.938776969909668,66.72611236572266,100.60381317138672,1.7868493795394897,6.8160552978515625,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,1352118,1352118,1.289480209350586,2383,2335,RGBA,PNG,c4b4d446742a582cde19b53891e047ccf9182bcdb7deb7b9e520df03f5530ef8,5.392220300040208,2.0.0,restoration_eval.error_maps,ok,,206.18624877929688,6.7861785888671875,199.40003967285156,0,34546,0,0.0,100.0
opencv_telea__canonical__canonical__p002_scratch_thin,opencv_telea__canonical__canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical__p002_scratch_thin,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,p002_scratch_thin,scratch_thin,opencv_telea,False,data/processed/clean/p002_clean.png,data/processed/masked/p002_scratch_thin_damaged.png,data/processed/masks/p002_scratch_thin_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_scratch_thin_restored_opencv_telea.png,opencv_telea_canonical_canonical_p002_scratch_thin_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_scratch_thin_difference_maps.png,768,768,589824,344832,9599,580225,41930,9599,0.016274346245659724,1.6274346245659723,159,0,608,768,151.0,0.0,616.0,749.0,5,both,127,72.99104073340973,-90.33722262735702,6.539031920122206,,3.5371804237365723,27.766796112060547,255.0,0.0729353129863739,1.1501072645187378,74.33333587646484,3.464245080947876,27.206750869750977,0.0,255.0,9599,212.86538696289062,30.146835327148438,46.66666793823242,255.0,9599,0,0,100.0,0.0,0.0,580225,0.0,0.0,0.0,0.0,0,0,580225,0.0,0.0,100.0,41930,48.73109817504883,90.58975219726562,0.0,255.0,9599,0,32331,22.892916766038635,0.0,77.10708323396136,344832,5.925479412078857,35.37678527832031,0.0,255.0,9599,0,335233,2.783674368968077,0.0,97.21632563103192,217.34701538085938,30.065610885620117,4.481612682342529,7.843470096588135,49.75707244873047,92.44307708740234,1.0259718894958496,4.198704242706299,0.0,0.0,0.0,0.0,False,False,False,False,0,improved,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,1257194,1257194,1.198953628540039,2383,2335,RGBA,PNG,a7e53e1a1b4409dd228275066727369b42799562000d81b1cd0ba7f2925b6b34,5.418610199994873,2.0.0,restoration_eval.error_maps,ok,,217.34701538085938,4.481612682342529,212.86538696289062,0,9599,0,0.0,100.0
opencv_telea__canonical__canonical__p002_zero_control,opencv_telea__canonical__canonical__p002_zero_control,canonical__p002_zero_control,canonical__p002_zero_control,canonical,p002,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,p002_zero_control,zero_control,opencv_telea,True,data/processed/clean/p002_clean.png,data/processed/masked/p002_zero_control_damaged.png,data/processed/masks/p002_zero_control_mask.png,data/processed/restored/opencv_telea/canonical/canonical__p002_zero_control_restored_opencv_telea.png,opencv_telea_canonical_canonical_p002_zero_control_difference_maps.png,outputs/figures/opencv_difference_maps/all_cases/canonical/opencv_telea_canonical_canonical_p002_zero_control_difference_maps.png,768,768,589824,344832,0,589824,0,0,0.0,0.0,159,0,608,768,,,,,5,both,127,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0,0,0,,,,589824,0.0,0.0,0.0,0.0,0,0,589824,0.0,0.0,100.0,0,,,,,0,0,0,,,,344832,0.0,0.0,0.0,0.0,0,0,344832,0.0,0.0,100.0,,,,,,,,,0.0,0.0,0.0,0.0,False,False,False,False,0,unchanged_or_undefined,unchanged_or_undefined,0.0,255.0,-253.3333282470703,253.3333282470703,1042100,1042100,0.9938240051269531,2383,2335,RGBA,PNG,e82db226ce832279334a5a1bf58352234dedf7cd416a36bbad9645c2d1bf4f09,5.276124500029255,2.0.0,restoration_eval.error_maps,ok,,,,,0,0,0,,
