painting_id,filename,category,source,file_path,file_extension,file_size_bytes,file_exists,image_readable,metadata_width,metadata_height,actual_width,actual_height,width_matches_metadata,height_matches_metadata,image_mode,image_format,issue
p001,p001.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p001.jpg,.jpg,3865277,True,True,3427,3968,3427,3968,True,True,RGB,JPEG,
p002,p002.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p002.jpg,.jpg,1574173,True,True,2336,4000,2336,4000,True,True,RGB,JPEG,
p003,p003.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p003.jpg,.jpg,2784397,True,True,3098,3872,3098,3872,True,True,RGB,JPEG,
p004,p004.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p004.jpg,.jpg,4206585,True,True,4000,3254,4000,3254,True,True,RGB,JPEG,
p005,p005.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p005.jpg,.jpg,2652829,True,True,2884,3894,2884,3894,True,True,RGB,JPEG,
p006,p006.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p006.jpg,.jpg,2020536,True,True,3000,4000,3000,4000,True,True,RGB,JPEG,
p007,p007.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p007.jpg,.jpg,3118411,True,True,3019,4000,3019,4000,True,True,RGB,JPEG,
p008,p008.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p008.jpg,.jpg,1646081,True,True,2855,3873,2855,3873,True,True,RGB,JPEG,
p009,p009.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p009.jpg,.jpg,3686942,True,True,2987,3721,2987,3721,True,True,RGB,JPEG,
p010,p010.jpg,portrait_figure,The Metropolitan Museum of Art,data\raw\images\p010.jpg,.jpg,5857405,True,True,4000,3622,4000,3622,True,True,RGB,JPEG,
p011,p011.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p011.jpg,.jpg,2288665,True,True,3811,2618,3811,2618,True,True,RGB,JPEG,
p012,p012.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p012.jpg,.jpg,3001959,True,True,3907,2893,3907,2893,True,True,RGB,JPEG,
p013,p013.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p013.jpg,.jpg,3027140,True,True,3811,2649,3811,2649,True,True,RGB,JPEG,
p014,p014.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p014.jpg,.jpg,3554007,True,True,4000,2266,4000,2266,True,True,RGB,JPEG,
p015,p015.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p015.jpg,.jpg,2863007,True,True,2778,3862,2778,3862,True,True,RGB,JPEG,
p016,p016.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p016.jpg,.jpg,2823812,True,True,3903,2465,3903,2465,True,True,RGB,JPEG,
p017,p017.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p017.jpg,.jpg,2461352,True,True,2581,3501,2581,3501,True,True,RGB,JPEG,
p018,p018.jpg,landscape_natural,The Metropolitan Museum of Art,data\raw\images\p018.jpg,.jpg,3260859,True,True,4000,2643,4000,2643,True,True,RGB,JPEG,
