audit_section,check,observed,expected,passed,details
input,processed_painting_count,50,50,True,
input,canonical_mask_case_count,250,250,True,
generation,damaged_metadata_row_count,250,250,True,
generation,damaged_png_file_count,250,250,True,
uniqueness,duplicate_case_ids,0,0,True,
uniqueness,duplicate_mask_ids,0,0,True,
uniqueness,duplicate_damaged_filenames,0,0,True,
uniqueness,duplicate_damaged_paths,0,0,True,
coverage,invalid_cases_per_mask_type,0,0,True,
inventory,missing_damaged_files,0,0,True,
inventory,orphaned_damaged_files,0,0,True,
inventory,stale_files_removed_before_generation,0,informational,True,
inventory,non_png_files_in_damaged_dir,0,0,True,
inventory,zero_byte_damaged_files,0,0,True,
metadata,generation_status_failures,0,0,True,
metadata,missing_checksum_values,0,0,True,"Columns: clean_sha256, mask_sha256, damaged_sha256"
metadata,invalid_checksum_lengths,0,0,True,
validation,saved_file_validation_failures,0,0,True,
validation,damage_application_validation_failures,0,0,True,
artifact,canonical_metadata_exists,1,1,True,data\processed\metadata\metadata_damaged_images.csv
final,expected_metadata_rows,250,250,True,
final,expected_unique_paintings,50,50,True,
final,expected_unique_mask_types,5,5,True,
final,expected_damaged_files,250,250,True,
final,all_generation_status_ok,0,0,True,
final,all_saved_files_valid,0,0,True,
final,all_damage_applications_valid,0,0,True,
final,outside_mask_changed_pixels,0,0,True,
final,inside_mask_fill_failures,0,0,True,
final,missing_final_artifacts,0,0,True,
final,empty_final_artifacts,0,0,True,
