audit_section,check,observed,expected,passed,details
metadata,metadata_rows,35.0,35,True,
metadata,duplicate_case_ids,0.0,0,True,
metadata,missing_case_ids,0.0,0,True,
metadata,unexpected_case_ids,0.0,0,True,
design,painting_count,5.0,5,True,
design,base_mask_type_count,1.0,1,True,
design,target_level_count,7.0,7,True,
generation,invalid_status_rows,0.0,0,True,
generation,maximum_percentage_error,0.02557032428356,<= 0.5,True,
validation,validation_failures,0.0,0,True,
validation,target_error_failures,0.0,0,True,
validation,outside_mask_changed_pixels,0.0,0,True,
validation,inside_mask_fill_failures,0.0,0,True,
checksums,missing_checksums,0.0,0,True,
checksums,invalid_checksum_lengths,0.0,0,True,
mask_inventory,mask_file_count,35.0,35,True,
mask_inventory,missing_mask_files,0.0,0,True,
mask_inventory,orphan_mask_files,0.0,0,True,
mask_inventory,non_png_mask_files,0.0,0,True,
mask_inventory,zero_byte_mask_files,0.0,0,True,
damaged_inventory,damaged_file_count,35.0,35,True,
damaged_inventory,missing_damaged_files,0.0,0,True,
damaged_inventory,orphan_damaged_files,0.0,0,True,
damaged_inventory,non_png_damaged_files,0.0,0,True,
damaged_inventory,zero_byte_damaged_files,0.0,0,True,
final_outputs,required_artifacts_missing,0.0,0,True,
final_outputs,required_artifacts_empty,0.0,0,True,
final_outputs,painting_progression_figures,5.0,5,True,
final_outputs,metadata_rows_after_reload,35.0,35,True,
final_outputs,final_validation_failures,0.0,0,True,
cleanup,temporary_test_directory_removed,1.0,1,True,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\05_damage_size_sensitivity\tmp_generation_test
