case_id,painting_id,title,dataset_name,category,mask_type,selection_reason,mse_improvement,lpips_improvement,clip_similarity_improvement,dinov2_similarity_improvement,mean_similarity_improvement,error_map_figure_path_project_relative
mask_robustness__p001__loss_large__variant_03,p001,Juan de Pareja,mask_robustness,portrait_figure,,Representative high-scoring category example; Representative high-scoring dataset example | Notebook 16 difference-map figure available,48786.02655029297,0.5163881480693817,0.2597715854644775,0.4432520270347595,0.3515118062496185,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_mask_robustness_mask_robustness_p001_loss_large_variant_03_lama_difference_maps.png
canonical__p050_mixed_damage,p050,Landscape with a Sunlit Stream,canonical,high_texture_brushwork,mixed_damage,Representative high-scoring category example; Representative high-scoring dataset example; Strongest local feature-similarity improvement | Notebook 16 difference-map figure available,40351.88830566406,0.4229215011000633,0.2425989508628845,0.6730470061302185,0.4578229784965515,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p050_mixed_damage_lama_difference_maps.png
canonical__p001_mixed_damage,p001,Juan de Pareja,canonical,portrait_figure,mixed_damage,Slowest restoration runtime | Notebook 16 difference-map figure available,50582.5751953125,0.4799206480383873,0.2869002223014831,0.2151964902877807,0.2510483562946319,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p001_mixed_damage_lama_difference_maps.png
canonical__p027_loss_large,p027,Italian Landscape with the Ponte Lucano over the Aniene River,canonical,architecture_structured,loss_large,Representative high-scoring category example | Notebook 16 difference-map figure available,29947.75030517578,0.5153753161430359,0.3219360709190368,0.3299057483673095,0.3259209096431732,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p027_loss_large_lama_difference_maps.png
canonical__p006_scratch_thin,p006,Boy with a Sword,canonical,portrait_figure,scratch_thin,Strongest local MSE improvement | Notebook 16 difference-map figure available,53519.21222686768,0.4156612791121006,0.2392336726188659,0.2108612060546875,0.2250474393367767,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p006_scratch_thin_lama_difference_maps.png
canonical__p013_mixed_damage,p013,Landscape with a Village in the Distance,canonical,landscape_natural,mixed_damage,Representative high-scoring category example; Strongest local feature-similarity improvement | Notebook 16 difference-map figure available,38569.47204589844,0.3702762238681316,0.167663037776947,0.5774974226951599,0.3725802302360534,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p013_mixed_damage_lama_difference_maps.png
canonical__p044_mixed_damage,p044,Versailles,canonical,high_texture_brushwork,mixed_damage,Strongest local feature-similarity improvement | Notebook 16 difference-map figure available,28698.51336669922,0.3534401915967464,0.2020625472068786,0.5806010365486145,0.3913317918777466,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p044_mixed_damage_lama_difference_maps.png
canonical__p011_loss_large,p011,View of Haarlem and the Haarlemmer Meer,canonical,landscape_natural,loss_large,Strongest local LPIPS improvement | Notebook 16 difference-map figure available,18223.18386077881,0.5608034431934357,0.2530339360237121,0.3088877201080322,0.2809608280658722,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p011_loss_large_lama_difference_maps.png
canonical__p014_mixed_damage,p014,Landscape on a River,canonical,landscape_natural,mixed_damage,Strongest local feature-similarity improvement | Notebook 16 difference-map figure available,29267.156127929688,0.312184365466237,0.1977912187576294,0.5137895941734314,0.3557904064655304,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p014_mixed_damage_lama_difference_maps.png
canonical__p001_scratch_thin,p001,Juan de Pareja,canonical,portrait_figure,scratch_thin,Slowest restoration runtime | Notebook 16 difference-map figure available,49721.89954376221,0.5224274229258299,0.2021543383598327,0.1006813645362854,0.151417851448059,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_canonical_canonical_p001_scratch_thin_lama_difference_maps.png
damage_size__p018__loss_large__size_02pct,p018,Classical Landscape with Figures,damage_size,landscape_natural,,Representative high-scoring dataset example | Notebook 16 difference-map figure available,19928.065673828125,0.3464890122413635,0.2902570366859436,0.2791355848312378,0.2846963107585907,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_damage_size_damage_size_p018_loss_large_size_02pct_lama_difference_maps.png
damage_size__p001__loss_large__size_02pct,p001,Juan de Pareja,damage_size,portrait_figure,,Strongest local LPIPS improvement | Notebook 16 difference-map figure available,45428.89891052246,0.5337638556957245,0.1396721601486206,0.164190411567688,0.1519312858581543,outputs/16_lama_difference_maps/figures/all_cases/all_cases/lama_damage_size_damage_size_p001_loss_large_size_02pct_lama_difference_maps.png
