case_id,dataset_name,painting_id,mask_id,mask_type,evaluation_region,method,source_id,source_relative_path,metric_family,metric_column,metric_name,metric_value_type,metric_direction,metric_value,metric_value_is_numeric,status,issue,restored_path
canonical__p001_loss_large,canonical,p001,p001_loss_large,loss_large,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,6.173439895448491,True,ok,,
canonical__p001_loss_large,canonical,p001,p001_loss_large,loss_large,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,7.165669646597955,True,ok,,
canonical__p001_loss_large,canonical,p001,p001_loss_large,loss_large,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,6.185988249602141,True,ok,,
canonical__p001_loss_large,canonical,p001,p001_loss_large,loss_large,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,29.282859818084532,True,ok,,
canonical__p001_loss_large,canonical,p001,p001_loss_large,loss_large,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,52.86511248273397,True,ok,,
canonical__p001_loss_large,canonical,p001,p001_loss_large,loss_large,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p001_loss_small,canonical,p001,p001_loss_small,loss_small,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,6.996953958757916,True,ok,,
canonical__p001_loss_small,canonical,p001,p001_loss_small,loss_small,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.8476307189542484,True,ok,,
canonical__p001_loss_small,canonical,p001,p001_loss_small,loss_small,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.7317437065972222,True,ok,,
canonical__p001_loss_small,canonical,p001,p001_loss_small,loss_small,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,1.1978075348643586,True,ok,,
canonical__p001_loss_small,canonical,p001,p001_loss_small,loss_small,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,23.66357804704205,True,ok,,
canonical__p001_loss_small,canonical,p001,p001_loss_small,loss_small,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p001_mixed_damage,canonical,p001,p001_mixed_damage,mixed_damage,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,8.93009084278231,True,ok,,
canonical__p001_mixed_damage,canonical,p001,p001_mixed_damage,mixed_damage,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,4.270612064270153,True,ok,,
canonical__p001_mixed_damage,canonical,p001,p001_mixed_damage,mixed_damage,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,3.6867393211082176,True,ok,,
canonical__p001_mixed_damage,canonical,p001,p001_mixed_damage,mixed_damage,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,4.251375072989656,True,ok,,
canonical__p001_mixed_damage,canonical,p001,p001_mixed_damage,mixed_damage,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,47.54832032303442,True,ok,,
canonical__p001_mixed_damage,canonical,p001,p001_mixed_damage,mixed_damage,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p001_scratch_thin,canonical,p001,p001_scratch_thin,scratch_thin,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,4.422762042588381,True,ok,,
canonical__p001_scratch_thin,canonical,p001,p001_scratch_thin,scratch_thin,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.4201408528154852,True,ok,,
canonical__p001_scratch_thin,canonical,p001,p001_scratch_thin,scratch_thin,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.3626997205946181,True,ok,,
canonical__p001_scratch_thin,canonical,p001,p001_scratch_thin,scratch_thin,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.4102406265341188,True,ok,,
canonical__p001_scratch_thin,canonical,p001,p001_scratch_thin,scratch_thin,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,17.741665284458453,True,ok,,
canonical__p001_scratch_thin,canonical,p001,p001_scratch_thin,scratch_thin,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p001_zero_control,canonical,p001,p001_zero_control,zero_control,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p001_zero_control,canonical,p001,p001_zero_control,zero_control,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p001_zero_control,canonical,p001,p001_zero_control,zero_control,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p002_loss_large,canonical,p002,p002_loss_large,loss_large,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,10.2705746658525,True,ok,,
canonical__p002_loss_large,canonical,p002,p002_loss_large,loss_large,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,6.178415382949765,True,ok,,
canonical__p002_loss_large,canonical,p002,p002_loss_large,loss_large,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,3.6121204517505783,True,ok,,
canonical__p002_loss_large,canonical,p002,p002_loss_large,loss_large,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,30.01994269879292,True,ok,,
canonical__p002_loss_large,canonical,p002,p002_loss_large,loss_large,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,56.90630981952866,True,ok,,
canonical__p002_loss_large,canonical,p002,p002_loss_large,loss_large,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p002_loss_small,canonical,p002,p002_loss_small,loss_small,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,7.275898744947884,True,ok,,
canonical__p002_loss_small,canonical,p002,p002_loss_small,loss_small,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,1.3624006279386291,True,ok,,
canonical__p002_loss_small,canonical,p002,p002_loss_small,loss_small,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.7965076587818287,True,ok,,
canonical__p002_loss_small,canonical,p002,p002_loss_small,loss_small,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,2.060939195334732,True,ok,,
canonical__p002_loss_small,canonical,p002,p002_loss_small,loss_small,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,25.021268285754864,True,ok,,
canonical__p002_loss_small,canonical,p002,p002_loss_small,loss_small,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
canonical__p002_mixed_damage,canonical,p002,p002_mixed_damage,mixed_damage,boundary_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,7.628409755547569,True,ok,,
canonical__p002_mixed_damage,canonical,p002,p002_mixed_damage,mixed_damage,content_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,2.7965038047513,True,ok,,
canonical__p002_mixed_damage,canonical,p002,p002_mixed_damage,mixed_damage,full_image,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,1.6349351671006944,True,ok,,
canonical__p002_mixed_damage,canonical,p002,p002_mixed_damage,mixed_damage,mask_bbox_crop,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,2.700280017921147,True,ok,,
canonical__p002_mixed_damage,canonical,p002,p002_mixed_damage,mixed_damage,masked_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,27.91420135471545,True,ok,,
canonical__p002_mixed_damage,canonical,p002,p002_mixed_damage,mixed_damage,outside_mask_region,opencv_telea,opencv_classical_metrics,data/processed/metrics/metrics_opencv_telea_classical.csv,classical_metrics,restored_mse,mse,restored,lower_is_better,0.0,True,ok,,
