summary_section,grouping_columns,summary_mask_type,summary_category,summary_style_or_period,summary_dataset_name,summary_damage_family,case_count,paired_restoration_cases,cases_with_main_local_metrics,lama_majority_cases,opencv_majority_cases,tie_majority_cases,mixed_or_no_vote_cases,needs_visual_review_cases,mixed_metric_winner_cases,family_disagreement_cases,region_disagreement_cases,mean_vote_margin_lama_minus_opencv,median_rank_change_lama_minus_opencv,opencv_runtime_median_seconds,lama_runtime_median_seconds,opencv_runtime_p95_seconds,lama_runtime_p95_seconds,opencv_deterministic_failure_cases,lama_deterministic_failure_cases,opencv_top_failure_patterns,lama_top_failure_patterns
overall,all_cases,all,all,all,all,all,410,410,410,297,46,55,12,410,354,217,345,7.014634146341463,0.0,0.4450317499868106,1.4609382327775366,0.64807054499106,1.4609382327775366,0,50,success_or_not_flagged=410,success_or_not_flagged=360; issue:zero_control_copied_without_model_inference=50
by_mask_type,summary_mask_type,loss_large,all,all,all,all,50,50,50,50,0,0,0,50,50,33,50,10.8,0.25,0.4829880500037689,1.4609382327775366,0.6516852150147315,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_type,summary_mask_type,loss_small,all,all,all,all,50,50,50,49,0,0,1,50,49,20,48,12.96,0.25,0.4068963000026997,1.4609382327775366,0.5475252650066977,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_type,summary_mask_type,mixed_damage,all,all,all,all,50,50,50,50,0,0,0,50,50,23,50,12.56,0.0,0.473158799984958,1.4609382327775366,0.6051824049762217,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_type,summary_mask_type,scratch_thin,all,all,all,all,50,50,50,22,23,0,5,50,50,35,47,-0.56,0.0,0.4108263500093017,1.4609382327775366,0.5493201749923173,1.4609382327775366,0,0,success_or_not_flagged=50,success_or_not_flagged=50
by_mask_type,summary_mask_type,unknown_mask,all,all,all,all,160,160,160,126,23,5,6,160,155,106,150,6.8,0.0,0.4568288500013295,1.4609382327775366,0.6814788250427226,1.4609382327775366,0,0,success_or_not_flagged=160,success_or_not_flagged=160
by_mask_type,summary_mask_type,zero_control,all,all,all,all,50,50,50,0,0,50,0,50,0,0,0,0.0,0.0,0.38879514997825027,0.0,0.5181875600013882,0.0,0,50,success_or_not_flagged=50,issue:zero_control_copied_without_model_inference=50
by_category,summary_category,all,abstraction_surrealism,all,all,all,82,82,82,54,11,12,5,82,69,42,65,7.146341463414634,1.0,0.4313525000179652,1.4609382327775366,0.6070478299807291,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
by_category,summary_category,all,architecture_structured,all,all,all,82,82,82,55,14,12,1,82,70,41,70,5.512195121951219,0.0,0.4134081000229344,1.4609382327775366,0.5523574750171975,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
by_category,summary_category,all,high_texture_brushwork,all,all,all,82,82,82,65,5,11,1,82,71,47,70,7.512195121951219,-1.25,0.45309529997757636,1.4609382327775366,0.6225053599569946,1.4609382327775366,0,10,success_or_not_flagged=82,success_or_not_flagged=72; issue:zero_control_copied_without_model_inference=10
