model_name,is_deterministic_failure,deterministic_failure_pattern,summary_dataset_name,summary_mask_type,summary_category,summary_style_or_period,summary_damage_family,case_count,runtime_available_cases,runtime_median_seconds,case_examples
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,abstraction_surrealism,unknown_style_or_period,zero_control,10,10,0.0,"canonical__p031_zero_control, canonical__p032_zero_control, canonical__p033_zero_control, canonical__p034_zero_control, canonical__p035_zero_control"
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,architecture_structured,unknown_style_or_period,zero_control,10,10,0.0,"canonical__p021_zero_control, canonical__p022_zero_control, canonical__p023_zero_control, canonical__p024_zero_control, canonical__p025_zero_control"
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,landscape_natural,unknown_style_or_period,zero_control,10,10,0.0,"canonical__p011_zero_control, canonical__p012_zero_control, canonical__p013_zero_control, canonical__p014_zero_control, canonical__p015_zero_control"
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,high_texture_brushwork,Post-Impressionism,zero_control,3,3,0.0,"canonical__p041_zero_control, canonical__p043_zero_control, canonical__p048_zero_control"
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,high_texture_brushwork,Impressionism,zero_control,2,2,0.0,"canonical__p044_zero_control, canonical__p047_zero_control"
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,high_texture_brushwork,unknown_style_or_period,zero_control,2,2,0.0,"canonical__p042_zero_control, canonical__p050_zero_control"
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,high_texture_brushwork,Impressionism / modern French painting,zero_control,1,1,0.0,canonical__p046_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,high_texture_brushwork,Impressionist outdoor figure painting,zero_control,1,1,0.0,canonical__p045_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,high_texture_brushwork,Modern French painting,zero_control,1,1,0.0,canonical__p049_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,18th century portraiture,zero_control,1,1,0.0,canonical__p005_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,19th century French painting,zero_control,1,1,0.0,canonical__p010_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,19th century portraiture,zero_control,1,1,0.0,canonical__p002_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,Baroque,zero_control,1,1,0.0,canonical__p001_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,Impressionism,zero_control,1,1,0.0,canonical__p004_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,Neoclassical,zero_control,1,1,0.0,canonical__p007_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,Neoclassical / early 19th century,zero_control,1,1,0.0,canonical__p003_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,Post-Impressionism,zero_control,1,1,0.0,canonical__p009_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,Realism / early modern French painting,zero_control,1,1,0.0,canonical__p006_zero_control
lama,True,issue:zero_control_copied_without_model_inference,canonical,zero_control,portrait_figure,Spanish portraiture,zero_control,1,1,0.0,canonical__p008_zero_control
lama,False,success_or_not_flagged,mask_robustness,unknown_mask,abstraction_surrealism,unknown_style_or_period,mask_robustness,15,15,1.4609382327775366,"mask_robustness__p039__loss_large__variant_01, mask_robustness__p039__loss_large__variant_02, mask_robustness__p039__loss_large__variant_03, mask_robustness__p039__loss_large__variant_04, mask_robustness__p039__loss_large__variant_05"
lama,False,success_or_not_flagged,mask_robustness,unknown_mask,architecture_structured,unknown_style_or_period,mask_robustness,15,15,1.4609382327775366,"mask_robustness__p026__loss_large__variant_01, mask_robustness__p026__loss_large__variant_02, mask_robustness__p026__loss_large__variant_03, mask_robustness__p026__loss_large__variant_04, mask_robustness__p026__loss_large__variant_05"
lama,False,success_or_not_flagged,mask_robustness,unknown_mask,high_texture_brushwork,Post-Impressionism,mask_robustness,15,15,1.4609382327775366,"mask_robustness__p043__loss_large__variant_01, mask_robustness__p043__loss_large__variant_02, mask_robustness__p043__loss_large__variant_03, mask_robustness__p043__loss_large__variant_04, mask_robustness__p043__loss_large__variant_05"
lama,False,success_or_not_flagged,mask_robustness,unknown_mask,landscape_natural,unknown_style_or_period,mask_robustness,15,15,1.4609382327775366,"mask_robustness__p018__loss_large__variant_01, mask_robustness__p018__loss_large__variant_02, mask_robustness__p018__loss_large__variant_03, mask_robustness__p018__loss_large__variant_04, mask_robustness__p018__loss_large__variant_05"
lama,False,success_or_not_flagged,mask_robustness,unknown_mask,portrait_figure,Baroque,mask_robustness,15,15,1.4609382327775366,"mask_robustness__p001__loss_large__variant_01, mask_robustness__p001__loss_large__variant_02, mask_robustness__p001__loss_large__variant_03, mask_robustness__p001__loss_large__variant_04, mask_robustness__p001__loss_large__variant_05"
opencv_telea,False,success_or_not_flagged,mask_robustness,unknown_mask,abstraction_surrealism,unknown_style_or_period,mask_robustness,15,15,0.4138488000025973,"mask_robustness__p039__loss_large__variant_01, mask_robustness__p039__loss_large__variant_02, mask_robustness__p039__loss_large__variant_03, mask_robustness__p039__loss_large__variant_04, mask_robustness__p039__loss_large__variant_05"
opencv_telea,False,success_or_not_flagged,mask_robustness,unknown_mask,architecture_structured,unknown_style_or_period,mask_robustness,15,15,0.3377041000057943,"mask_robustness__p026__loss_large__variant_01, mask_robustness__p026__loss_large__variant_02, mask_robustness__p026__loss_large__variant_03, mask_robustness__p026__loss_large__variant_04, mask_robustness__p026__loss_large__variant_05"
