figure_id,figure_type,title,related_case_id,relative_path,exists,size_bytes,notes
batch5_vote_margin_by_majority_winner,summary_plot,Mean Vote Margin By Majority Winner,,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_majority_winner.png,True,42398,
batch5_vote_margin_by_mask_type,summary_plot,Mean Vote Margin By Mask Type,,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_mask_type.png,True,48654,
batch5_vote_margin_by_damage_family,summary_plot,Mean Vote Margin By Damage Family,,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_damage_family.png,True,48788,
batch5_vote_margin_by_category,summary_plot,Mean Vote Margin By Category,,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_category.png,True,53898,
batch5_vote_margin_by_style_or_period,summary_plot,Mean Vote Margin By Style/Period,,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/plots/batch5_vote_margin_by_style_or_period.png,True,101859,
batch5_panel_01_canonical_p005_loss_large,selected_case_panel,Selected case panel: canonical__p005_loss_large,canonical__p005_loss_large,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_01_canonical_p005_loss_large.png,True,104571,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement; coverage_case"
batch5_panel_02_canonical_p007_loss_large,selected_case_panel,Selected case panel: canonical__p007_loss_large,canonical__p007_loss_large,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_02_canonical_p007_loss_large.png,True,91797,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement; coverage_case"
batch5_panel_03_canonical_p010_loss_large,selected_case_panel,Selected case panel: canonical__p010_loss_large,canonical__p010_loss_large,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_03_canonical_p010_loss_large.png,True,133681,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement; coverage_case"
batch5_panel_04_canonical_p012_loss_large,selected_case_panel,Selected case panel: canonical__p012_loss_large,canonical__p012_loss_large,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_04_canonical_p012_loss_large.png,True,94443,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement"
batch5_panel_05_canonical_p020_mixed_damage,selected_case_panel,Selected case panel: canonical__p020_mixed_damage,canonical__p020_mixed_damage,outputs/20_opencv_lama_comparison_inventory_rebuild_v2/batch5_visual_report/figures/selected_case_panels/batch5_panel_05_canonical_p020_mixed_damage.png,True,113233,"visual_review_reasons=flag_mixed_metric_winners, flag_family_winner_disagreement, flag_region_winner_disagreement, flag_restored_vs_improvement_winner_disagreement, flag_rank_and_vote_disagreement; coverage_case"
