source_case_key,selection_rank,dataset_name,case_id,painting_id,mask_type,clean_path,damaged_path,mask_path,max_abs_delta_output_change_vs_generic,mean_abs_delta_output_change_vs_generic,compared_variants,mean_contextual_output_change,mean_generic_output_change,largest_divergence_prompt_variant_id,largest_divergence_prompt_template_name,largest_abs_delta_output_change_vs_generic,largest_signed_delta_output_change_vs_generic,selection_reason
synthetic_degradation__p001_blur_severe,1,synthetic_degradation,p001__blur__severe,p001,blur,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__blur__severe_degraded.png,data/processed/masks/synthetic_degradation/p001__blur__severe_effect_mask.png,6.9797487612123845,4.916002202917028,4,13.434474097357857,18.350476300274885,p02_artist,artist_context,6.9797487612123845,-6.9797487612123845,highest prompt-output divergence; metadata-missing prompt context example; dataset-mask coverage example
synthetic_degradation__p043_blur_severe,2,synthetic_degradation,p043__blur__severe,p043,blur,data/processed/clean/p043_clean.png,data/processed/degraded/synthetic_degradation/p043__blur__severe_degraded.png,data/processed/masks/synthetic_degradation/p043__blur__severe_effect_mask.png,4.3714723940248845,3.214998457166883,4,13.0882937113444,16.303292168511284,p04_full_context,artwork_full_context,4.3714723940248845,-4.3714723940248845,highest prompt-output divergence; metadata-missing prompt context example
synthetic_degradation__p039_fading_severe,3,synthetic_degradation,p039__fading__severe,p039,fading,data/processed/clean/p039_clean.png,data/processed/degraded/synthetic_degradation/p039__fading__severe_degraded.png,data/processed/masks/synthetic_degradation/p039__fading__severe_effect_mask.png,2.056134824399596,1.4955517804181149,4,11.897777981228298,10.402226200810183,p04_full_context,artwork_full_context,2.056134824399596,2.056134824399596,highest prompt-output divergence; metadata-missing prompt context example
canonical__p014_loss_large,4,canonical,p014_loss_large,p014,loss_large,data\processed\clean\p014_clean.png,data\processed\masked\p014_loss_large_damaged.png,data\processed\masks\p014_loss_large_mask.png,1.907976503725406,1.0723307574236847,4,12.19769640322085,11.125365645797164,p03_artist_style_period,artist_style_period_context,1.907976503725406,1.907976503725406,highest prompt-output divergence; metadata-missing prompt context example
synthetic_degradation__p001_partial_transparency_severe,5,synthetic_degradation,p001__partial_transparency__severe,p001,partial_transparency,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__partial_transparency__severe_degraded.png,data/processed/masks/synthetic_degradation/p001__partial_transparency__severe_effect_mask.png,1.8594569453486685,1.1384420041684757,4,16.01343889589663,15.10875560619213,p03_artist_style_period,artist_style_period_context,1.8594569453486685,1.8594569453486685,highest prompt-output divergence; metadata-missing prompt context example
synthetic_degradation__p039_water_stain_severe,6,synthetic_degradation,p039__water_stain__severe,p039,water_stain,data/processed/clean/p039_clean.png,data/processed/degraded/synthetic_degradation/p039__water_stain__severe_degraded.png,data/processed/masks/synthetic_degradation/p039__water_stain__severe_effect_mask.png,1.857709531430844,0.9354547571252891,4,9.117929529260707,8.311929208260995,p04_full_context,artwork_full_context,1.857709531430844,1.857709531430844,highest prompt-output divergence; metadata-missing prompt context example
synthetic_degradation__p018_blur_severe,7,synthetic_degradation,p018__blur__severe,p018,blur,data/processed/clean/p018_clean.png,data/processed/degraded/synthetic_degradation/p018__blur__severe_degraded.png,data/processed/masks/synthetic_degradation/p018__blur__severe_effect_mask.png,1.77562289767795,1.229151549162688,4,9.756301173457393,8.555006239149305,p04_full_context,artwork_full_context,1.77562289767795,1.77562289767795,highest prompt-output divergence; metadata-missing prompt context example
synthetic_degradation__p001_fading_severe,8,synthetic_degradation,p001__fading__severe,p001,fading,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__fading__severe_degraded.png,data/processed/masks/synthetic_degradation/p001__fading__severe_effect_mask.png,1.7241222240306708,1.2265061272515188,4,11.23267322116428,12.393165305808738,p04_full_context,artwork_full_context,1.7241222240306708,-1.7241222240306708,highest prompt-output divergence; metadata-missing prompt context example
canonical__p004_zero_control,9,canonical,p004_zero_control,p004,zero_control,data\processed\clean\p004_clean.png,data\processed\masked\p004_zero_control_damaged.png,data\processed\masks\p004_zero_control_mask.png,0.0,0.0,4,0.0,0.0,p01_style_period,style_period_context,0.0,0.0,lowest prompt-output divergence control
canonical__p008_zero_control,10,canonical,p008_zero_control,p008,zero_control,data\processed\clean\p008_clean.png,data\processed\masked\p008_zero_control_damaged.png,data\processed\masks\p008_zero_control_mask.png,0.0,0.0,4,0.0,0.0,p01_style_period,style_period_context,0.0,0.0,lowest prompt-output divergence control
canonical__p014_zero_control,11,canonical,p014_zero_control,p014,zero_control,data\processed\clean\p014_clean.png,data\processed\masked\p014_zero_control_damaged.png,data\processed\masks\p014_zero_control_mask.png,0.0,0.0,4,0.0,0.0,p01_style_period,style_period_context,0.0,0.0,lowest prompt-output divergence control
synthetic_degradation__p001_discolouration_severe,12,synthetic_degradation,p001__discolouration__severe,p001,discolouration,data/processed/clean/p001_clean.png,data/processed/degraded/synthetic_degradation/p001__discolouration__severe_degraded.png,data/processed/masks/synthetic_degradation/p001__discolouration__severe_effect_mask.png,1.6290740966796875,1.0076748883282698,4,9.642949139630353,10.18593117042824,p04_full_context,artwork_full_context,1.6290740966796875,-1.6290740966796875,metadata-missing prompt context example
