dataset_name,mask_type,prompt_variant_id,compared_pairs,source_cases,mean_delta_output_change_vs_generic,mean_abs_delta_output_change_vs_generic,validation_pass_rate,mean_runtime_seconds
canonical,loss_large,p01_style_period,10,10,0.0002345332392942545,0.19923366970486134,1.0,9.441885610004828
canonical,loss_large,p02_artist,10,10,-0.13609585232204885,0.5063535337094911,1.0,9.393542740002157
canonical,loss_large,p03_artist_style_period,10,10,-0.11696511727792185,0.5202243946216722,1.0,9.51699519000249
canonical,loss_large,p04_full_context,10,10,0.07812980369285327,0.5104388766818577,1.0,9.590755250002257
canonical,loss_small,p01_style_period,10,10,0.021400451660156295,0.024643339934172247,1.0,9.644282689997635
canonical,loss_small,p02_artist,10,10,-0.037118473759404004,0.04323182282624436,1.0,9.675994870002615
canonical,loss_small,p03_artist_style_period,10,10,-0.04636552598741326,0.04816843668619808,1.0,9.69251286999788
canonical,loss_small,p04_full_context,10,10,-0.04749693693938086,0.05436587863498295,1.0,9.689997469997616
canonical,mixed_damage,p01_style_period,10,10,0.060668210630064404,0.07869008382161428,1.0,9.68859497999656
canonical,mixed_damage,p02_artist,10,10,-0.08955535888671821,0.16296776665581642,1.0,9.675113359998795
canonical,mixed_damage,p03_artist_style_period,10,10,-0.07722377070674132,0.13123366744429976,1.0,9.685859009998968
canonical,mixed_damage,p04_full_context,10,10,-0.01812902379919006,0.20896516022858816,1.0,9.779061999999977
canonical,scratch_thin,p01_style_period,11,11,-0.0024824046125314133,0.011233345828072228,1.0,9.711027999998556
canonical,scratch_thin,p02_artist,11,11,-0.005536371609979763,0.030444983280066115,1.0,9.755022518181994
canonical,scratch_thin,p03_artist_style_period,11,11,-0.010419235486374074,0.031889533354377025,1.0,9.733069763636609
canonical,scratch_thin,p04_full_context,11,11,-0.001115689775357617,0.023054232099642302,1.0,9.673411263637139
canonical,zero_control,p01_style_period,11,11,0.0,0.0,1.0,0.01492292727132069
canonical,zero_control,p02_artist,11,11,0.0,0.0,1.0,0.0044419636357236544
canonical,zero_control,p03_artist_style_period,11,11,0.0,0.0,1.0,0.0027376090914582
canonical,zero_control,p04_full_context,11,11,0.0,0.0,1.0,0.0026550545444478818
damage_size_sensitivity,loss_large,p01_style_period,5,5,-0.08080568666811416,0.1371653238932275,1.0,9.457873360000667
damage_size_sensitivity,loss_large,p02_artist,5,5,-0.07399766710069464,0.23217072663483834,1.0,9.456402059996616
damage_size_sensitivity,loss_large,p03_artist_style_period,5,5,-0.0700051766854756,0.21978431984230404,1.0,9.43382527999347
damage_size_sensitivity,loss_large,p04_full_context,5,5,-0.021791811342593448,0.38013893410011546,1.0,9.450645559999975
mask_robustness,loss_large,p01_style_period,5,5,-0.1194321243851256,0.16114422833477918,1.0,9.44171636000101
mask_robustness,loss_large,p02_artist,5,5,-0.04310754846643512,0.17956859447337942,1.0,9.436736219999148
mask_robustness,loss_large,p03_artist_style_period,5,5,-0.07135552300347144,0.09727964048032334,1.0,9.430097860001842
mask_robustness,loss_large,p04_full_context,5,5,-0.02986687554253429,0.2936486138237857,1.0,9.42899308000051
