case_id,painting_id,mask_id,mask_type,generator_name,generator_version,generated_at_utc,generation_action,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,damage_fill_strategy,damage_fill_r,damage_fill_g,damage_fill_b,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,width,height,mode,format,damaged_file_size_bytes,clean_sha256,mask_sha256,damaged_sha256,status,issue,config_version,experiment_name,experiment_version,notebook_stage,source,title,artist,category,dataset_name,source_metadata_path,source_case_key,source_case_id,source_case_id_original,source_row_status,base_mask_id,base_mask_type,sensitivity_mask_id,target_percentage_content,target_pixels,realised_pixels,realised_percentage_content,realised_percentage_full,percentage_error_content,absolute_percentage_error_content,absolute_pixel_error,scale_factor,base_mask_pixels,base_percentage_content,base_percentage_full,content_area_pixels,content_bbox_left,content_bbox_top,content_bbox_right,content_bbox_bottom,deterministic_seed,global_seed,base_mask_path,sensitivity_mask_filename,sensitivity_mask_path,base_mask_sha256,sensitivity_mask_sha256,sensitivity_mask_file_size_bytes,full_generation_started_at_utc,full_generation_completed_at_utc,variant_id,robustness_group_id,painting_index,mask_type_index,variant_index,painting_seed,mask_seed,variant_seed,generation_attempt_index,generation_seed,maximum_generation_attempts,generation_area_tolerance,raw_mask_pixels,content_x_min,content_y_min,content_x_max,content_y_max,canvas_area_pixels,padding_area_pixels,actual_mask_area_pixels,damaged_content_pixels,padding_overlap_pixels,actual_mask_area_percentage_content,actual_mask_area_percentage_full,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,bbox_area_pixels,bbox_fill_ratio,bbox_aspect_ratio,connected_component_count,largest_component_pixels,smallest_component_pixels,mean_component_pixels,median_component_pixels,component_area_std_pixels,largest_component_fraction,component_density_per_100k_content_pixels,mean_component_aspect_ratio,maximum_component_aspect_ratio,touches_content_border,minimum_distance_to_content_border_pixels,centroid_x_pixels,centroid_y_pixels,centroid_x_normalised_content,centroid_y_normalised_content,centroid_quadrant,mask_bbox_width_normalised_content,mask_bbox_height_normalised_content,mask_bbox_area_fraction_content_bbox,touches_left_content_border,touches_right_content_border,touches_top_content_border,touches_bottom_content_border,mask_file_size_bytes,mask_generator_name,mask_generator_version,full_generation_finished_at_utc,full_generation_duration_seconds,degradation_type,severity,severity_rank,is_combined,component_degradations,component_count,case_seed,effect_mask_seed,operator_seeds_json,operator_parameters_json,effect_support_pixels,effect_active_pixels,effect_percentage_content,effect_percentage_full,effect_mean_intensity,effect_max_intensity,effect_bbox_x_min,effect_bbox_y_min,effect_bbox_x_max,effect_bbox_y_max,effect_centroid_x,effect_centroid_y,changed_pixels,changed_percentage_full,outside_effect_changed_pixels,inside_effect_changed_pixels,mean_absolute_difference_effect,maximum_absolute_difference,effect_mask_filename,effect_mask_path,degraded_filename,degraded_path,effect_mask_sha256,degraded_sha256,effect_mask_file_size_bytes,degraded_file_size_bytes,source_case_index,clean_path_normalized,clean_path_exists,clean_path_in_inventory,damaged_path_normalized,damaged_path_exists,damaged_path_in_inventory,mask_path_normalized,mask_path_exists,mask_path_in_inventory,all_required_paths_present,all_required_files_exist,all_required_paths_in_inventory,source_validation_status,prompt_ablation_subset,prompt_ablation_subset_target,prompt_ablation_subset_minimum,prompt_ablation_random_state
p004_loss_large,p004,p004_loss_large,loss_large,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p004_clean.png,data\processed\clean\p004_clean.png,p004_loss_large_mask.png,data\processed\masks\p004_loss_large_mask.png,p004_loss_large_damaged.png,data\processed\masked\p004_loss_large_damaged.png,white_fill,255.0,255.0,255.0,64390.0,13.414583,10.916816,768,768,RGB,PNG,607297.0,ae8cfa01d84bd2e8c2f41cfdfe1cb25b6f2abf3430135165255c071c08e2ee97,8f1202ad5b4d4e657343d494b8ea1aa8da5357de8165e022815d1b31c41d8008,ed525d85dd92d02a15dacc43a6ed721cfd1bca29c2e5a12ec3e6fd271b7b8b3c,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p004_loss_large,p004_loss_large,p004_loss_large,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,data/processed/clean/p004_clean.png,True,True,data/processed/masked/p004_loss_large_damaged.png,True,True,data/processed/masks/p004_loss_large_mask.png,True,True,True,True,True,ok,True,120,100,2026
p004_loss_small,p004,p004_loss_small,loss_small,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p004_clean.png,data\processed\clean\p004_clean.png,p004_loss_small_mask.png,data\processed\masks\p004_loss_small_mask.png,p004_loss_small_damaged.png,data\processed\masked\p004_loss_small_damaged.png,white_fill,255.0,255.0,255.0,20406.0,4.25125,3.459676,768,768,RGB,PNG,684523.0,ae8cfa01d84bd2e8c2f41cfdfe1cb25b6f2abf3430135165255c071c08e2ee97,50f19669d5bf865b3a112ef5c001a650f1519a8de4fbca1d3a8d5caf8c8a380f,dc979fbb604b003b41b2b81bab9d634f9c82855aef536d593e98beab2b155508,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p004_loss_small,p004_loss_small,p004_loss_small,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,data/processed/clean/p004_clean.png,True,True,data/processed/masked/p004_loss_small_damaged.png,True,True,data/processed/masks/p004_loss_small_mask.png,True,True,True,True,True,ok,True,120,100,2026
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p004_clean.png,data\processed\clean\p004_clean.png,p004_mixed_damage_mask.png,data\processed\masks\p004_mixed_damage_mask.png,p004_mixed_damage_damaged.png,data\processed\masked\p004_mixed_damage_damaged.png,white_fill,255.0,255.0,255.0,49686.0,10.35125,8.423869,768,768,RGB,PNG,655353.0,ae8cfa01d84bd2e8c2f41cfdfe1cb25b6f2abf3430135165255c071c08e2ee97,f406d70632cd64da3771ec5cac6bbbfd6c219b813565da0580f36e95eb422681,a7e2d60320a5d36328406dddc74f5581a2bec72effa1ab89b2dfea968d31ff3d,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p004_mixed_damage,p004_mixed_damage,p004_mixed_damage,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,data/processed/clean/p004_clean.png,True,True,data/processed/masked/p004_mixed_damage_damaged.png,True,True,data/processed/masks/p004_mixed_damage_mask.png,True,True,True,True,True,ok,True,120,100,2026
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p004_clean.png,data\processed\clean\p004_clean.png,p004_scratch_thin_mask.png,data\processed\masks\p004_scratch_thin_mask.png,p004_scratch_thin_damaged.png,data\processed\masked\p004_scratch_thin_damaged.png,white_fill,255.0,255.0,255.0,7733.0,1.611042,1.311069,768,768,RGB,PNG,718472.0,ae8cfa01d84bd2e8c2f41cfdfe1cb25b6f2abf3430135165255c071c08e2ee97,ad77cde65251898d3c3ee0af4d6552083baf2c5ad303dca0b7384091bcba50a3,b609bd0ca19beefe4bb328983af122fb34e87f8a3e29493b92c3846bc97be778,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p004_scratch_thin,p004_scratch_thin,p004_scratch_thin,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,data/processed/clean/p004_clean.png,True,True,data/processed/masked/p004_scratch_thin_damaged.png,True,True,data/processed/masks/p004_scratch_thin_mask.png,True,True,True,True,True,ok,True,120,100,2026
p004_zero_control,p004,p004_zero_control,zero_control,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p004_clean.png,data\processed\clean\p004_clean.png,p004_zero_control_mask.png,data\processed\masks\p004_zero_control_mask.png,p004_zero_control_damaged.png,data\processed\masked\p004_zero_control_damaged.png,white_fill,255.0,255.0,255.0,0.0,0.0,0.0,768,768,RGB,PNG,709746.0,ae8cfa01d84bd2e8c2f41cfdfe1cb25b6f2abf3430135165255c071c08e2ee97,49e2b0f2e0dc8fe44017bdabfa19ff50311b0bdd17623355fd396afa7862f30a,ae8cfa01d84bd2e8c2f41cfdfe1cb25b6f2abf3430135165255c071c08e2ee97,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Madame Georges Charpentier and Her Children,Pierre-Auguste Renoir,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p004_zero_control,p004_zero_control,p004_zero_control,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,data/processed/clean/p004_clean.png,True,True,data/processed/masked/p004_zero_control_damaged.png,True,True,data/processed/masks/p004_zero_control_mask.png,True,True,True,True,True,ok,True,120,100,2026
p008_loss_large,p008,p008_loss_large,loss_large,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p008_clean.png,data\processed\clean\p008_clean.png,p008_loss_large_mask.png,data\processed\masks\p008_loss_large_mask.png,p008_loss_large_damaged.png,data\processed\masked\p008_loss_large_damaged.png,white_fill,255.0,255.0,255.0,45900.0,10.559298,7.781982,768,768,RGB,PNG,460228.0,c346dd6fbd7aaba5e4f4847809473527e96122d3b838931bb703c94ddebd5b6b,48c77d7c9c8094b514eb4cfce8255f2e149142ac9f3971e47bfe6fe4dc00b7db,55eed93d296648df1d940cf19032bc4e005ef638582e3d27acca8b3a580a1647,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p008_loss_large,p008_loss_large,p008_loss_large,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,data/processed/clean/p008_clean.png,True,True,data/processed/masked/p008_loss_large_damaged.png,True,True,data/processed/masks/p008_loss_large_mask.png,True,True,True,True,True,ok,True,120,100,2026
p008_loss_small,p008,p008_loss_small,loss_small,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p008_clean.png,data\processed\clean\p008_clean.png,p008_loss_small_mask.png,data\processed\masks\p008_loss_small_mask.png,p008_loss_small_damaged.png,data\processed\masked\p008_loss_small_damaged.png,white_fill,255.0,255.0,255.0,23917.0,5.502107,4.054938,768,768,RGB,PNG,495975.0,c346dd6fbd7aaba5e4f4847809473527e96122d3b838931bb703c94ddebd5b6b,d60be435f073c30eed37f5501efbfb57c9bcf746d5c8e569a08d17c320d7dc2b,25e0969231e8caaf29dee78456b2734ced7b37cecdc1ae9c6609055c6002c197,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p008_loss_small,p008_loss_small,p008_loss_small,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,data/processed/clean/p008_clean.png,True,True,data/processed/masked/p008_loss_small_damaged.png,True,True,data/processed/masks/p008_loss_small_mask.png,True,True,True,True,True,ok,True,120,100,2026
p008_mixed_damage,p008,p008_mixed_damage,mixed_damage,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p008_clean.png,data\processed\clean\p008_clean.png,p008_mixed_damage_mask.png,data\processed\masks\p008_mixed_damage_mask.png,p008_mixed_damage_damaged.png,data\processed\masked\p008_mixed_damage_damaged.png,white_fill,255.0,255.0,255.0,39423.0,9.069263,6.683858,768,768,RGB,PNG,480832.0,c346dd6fbd7aaba5e4f4847809473527e96122d3b838931bb703c94ddebd5b6b,cadbf7702211402f284b7dab3ee3eb06e6fddd3926926eac70d44db9f3a38284,15cb42d68228eff1c530467188f23372d2271551098cdf9b7355593c9fe19933,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p008_mixed_damage,p008_mixed_damage,p008_mixed_damage,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,data/processed/clean/p008_clean.png,True,True,data/processed/masked/p008_mixed_damage_damaged.png,True,True,data/processed/masks/p008_mixed_damage_mask.png,True,True,True,True,True,ok,True,120,100,2026
p008_scratch_thin,p008,p008_scratch_thin,scratch_thin,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p008_clean.png,data\processed\clean\p008_clean.png,p008_scratch_thin_mask.png,data\processed\masks\p008_scratch_thin_mask.png,p008_scratch_thin_damaged.png,data\processed\masked\p008_scratch_thin_damaged.png,white_fill,255.0,255.0,255.0,10439.0,2.401493,1.76985,768,768,RGB,PNG,521782.0,c346dd6fbd7aaba5e4f4847809473527e96122d3b838931bb703c94ddebd5b6b,9e29d61db07e84b77b580ef240be1a755c0842d926fc3fce474474980ea7139a,c3d5eb7d32c6f399fe52c25bf3e5e8876470e443c9e0af4bb017b81fd5c310c3,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p008_scratch_thin,p008_scratch_thin,p008_scratch_thin,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,data/processed/clean/p008_clean.png,True,True,data/processed/masked/p008_scratch_thin_damaged.png,True,True,data/processed/masks/p008_scratch_thin_mask.png,True,True,True,True,True,ok,True,120,100,2026
p008_zero_control,p008,p008_zero_control,zero_control,canonical_damage_generator,2.0.0,2026-07-24T18:47:20.616478+00:00,generated,p008_clean.png,data\processed\clean\p008_clean.png,p008_zero_control_mask.png,data\processed\masks\p008_zero_control_mask.png,p008_zero_control_damaged.png,data\processed\masked\p008_zero_control_damaged.png,white_fill,255.0,255.0,255.0,0.0,0.0,0.0,768,768,RGB,PNG,516135.0,c346dd6fbd7aaba5e4f4847809473527e96122d3b838931bb703c94ddebd5b6b,49e2b0f2e0dc8fe44017bdabfa19ff50311b0bdd17623355fd396afa7862f30a,c346dd6fbd7aaba5e4f4847809473527e96122d3b838931bb703c94ddebd5b6b,ok,,1.1.0,painting_restoration_50_subset,1.0.0,04_damage_creation,The Metropolitan Museum of Art,Manuel Osorio Manrique de Zuñiga,Francisco de Goya y Lucientes,portrait_figure,canonical,data/processed/metadata/metadata_damaged_images.csv,canonical__p008_zero_control,p008_zero_control,p008_zero_control,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,data/processed/clean/p008_clean.png,True,True,data/processed/masked/p008_zero_control_damaged.png,True,True,data/processed/masks/p008_zero_control_mask.png,True,True,True,True,True,ok,True,120,100,2026
