summary_scope,summary_group,evaluation_region,mask_type,category,prompt_policy_id,prompt_variant_id,rows,cases,mean_mse_improvement,mean_mae_improvement,mean_psnr_improvement,mean_ssim_improvement,mean_damaged_mse,mean_restored_mse,mean_damaged_mae,mean_restored_mae,mean_damaged_psnr,mean_restored_psnr,mean_damaged_ssim,mean_restored_ssim,mean_region_pixel_count,summary_built_at_utc,metric_version
by_category,,,,abstraction_surrealism,,,1094,93,3355.9283,17.0245,2.3178,-0.0403,3954.1571,598.2288,25.8384,8.8139,20.9537,23.8885,0.9366,0.8964,317524.4122,2026-08-07T18:39:56.945854+00:00,2.1.0
by_category,,,,architecture_structured,,,1062,93,4351.7936,22.283,4.1273,-0.0292,4682.0221,330.2285,28.6358,6.3528,21.585,26.7845,0.933,0.9038,293543.8117,2026-08-07T18:39:56.945854+00:00,2.1.0
by_category,,,,high_texture_brushwork,,,1062,93,5231.4146,25.4648,4.3549,-0.0257,5636.2757,404.8611,32.5557,7.0909,19.8678,25.3671,0.9229,0.8972,316928.9623,2026-08-07T18:39:56.945854+00:00,2.1.0
by_category,,,,landscape_natural,,,1038,93,4697.9007,23.2808,4.081,-0.0146,5082.293,384.3923,29.8677,6.5869,21.0611,26.1958,0.928,0.9133,281958.9441,2026-08-07T18:39:56.945854+00:00,2.1.0
by_category,,,,portrait_figure,,,1038,93,7474.1237,31.8162,4.4447,0.0032,8007.2652,533.1415,39.1211,7.3048,20.7922,26.3911,0.9133,0.9165,324962.2736,2026-08-07T18:39:56.945854+00:00,2.1.0
by_evaluation_region,,boundary_region,,,,,851,415,8119.9127,40.415,7.9799,,8526.0706,406.1579,47.5461,7.1311,19.9316,28.4952,,,13617.9718,2026-08-07T18:39:56.881864+00:00,2.1.0
by_evaluation_region,,content_region,,,,,945,465,976.5094,3.9839,3.5985,-0.0242,1203.4046,226.8951,7.6381,3.6542,23.7369,27.7329,0.9492,0.9251,447008.5079,2026-08-07T18:39:56.881864+00:00,2.1.0
by_evaluation_region,,full_image,,,,,945,465,744.204,3.0243,3.5985,-0.0175,917.8124,173.6084,5.792,2.7676,24.9796,28.9756,0.961,0.9436,589824.0,2026-08-07T18:39:56.881864+00:00,2.1.0
by_evaluation_region,,mask_bbox_crop,,,,,851,415,3536.3003,16.3523,3.996,-0.0233,3997.8286,461.5283,23.7961,7.4438,21.2485,25.2445,0.8641,0.8408,299372.4877,2026-08-07T18:39:56.881864+00:00,2.1.0
by_evaluation_region,,masked_region,,,,,851,415,17553.2344,84.1267,3.996,,19046.3609,1493.1265,107.4727,23.346,14.3022,18.2982,,,101847.765,2026-08-07T18:39:56.881864+00:00,2.1.0
by_evaluation_region,,outside_mask_region,,,,,851,415,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,344117.4712,2026-08-07T18:39:56.881864+00:00,2.1.0
by_mask_type,,,blur,,,,210,15,-546.8523,-6.9282,-10.3994,-0.157,21.2057,568.058,1.767,8.6952,37.3766,24.5303,0.9415,0.7844,311117.5524,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,blur_fading,,,,150,5,-245.1617,-3.1602,-8.1789,-0.0898,17.7107,262.8724,1.6012,4.7614,38.452,28.2283,0.979,0.8892,302078.5667,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,dirt_dust,,,,210,15,-154.4803,-1.8437,-21.5952,-0.031,0.7426,155.2229,0.1966,2.0402,54.4653,28.551,0.9989,0.9679,325288.4429,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,discolouration,,,,234,15,-434.745,-4.9764,-8.808,-0.177,32.2923,467.0372,2.3672,7.3436,37.5003,25.9859,0.9957,0.8187,305288.0812,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,fading,,,,210,15,-418.7827,-5.0124,-8.677,-0.1795,35.5954,454.3781,2.5982,7.6106,37.4416,26.3981,0.985,0.8055,312606.6333,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,fading_discolouration,,,,150,5,-211.3285,-3.1801,-9.2915,-0.118,13.7303,225.0587,1.3581,4.5381,39.9562,27.2859,0.9959,0.8779,301000.1333,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,loss_large,,,,1140,110,9502.4659,47.6827,10.759,0.0285,10117.3043,614.8385,57.6661,9.9834,9.466,22.3769,0.8146,0.8431,265100.0947,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,loss_small,,,,858,75,7563.0511,38.7586,13.2601,0.0223,7801.3836,238.3325,43.7358,4.9772,12.5053,28.4174,0.9457,0.968,293377.1562,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,mixed_damage,,,,540,50,7614.7064,37.6265,10.6768,0.0415,8049.3342,434.6278,44.7397,7.1132,10.9952,23.8073,0.8902,0.9317,328908.3037,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,partial_transparency,,,,210,15,-444.0966,-3.2235,-3.5538,-0.156,255.1055,699.2021,8.0246,11.2481,27.918,23.4757,0.9378,0.7818,311439.2619,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,scratch_thin,,,,834,75,6744.9714,30.485,8.8291,0.0246,7448.9877,704.0162,39.7515,9.2665,14.7385,25.3335,0.9426,0.9672,321486.4137,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,water_stain,,,,210,15,-243.7439,-3.6231,-6.9347,-0.1011,18.5422,262.2861,1.8149,5.438,40.0491,31.7275,0.9943,0.8933,284706.5143,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,water_stain_dirt,,,,150,5,-173.1204,-2.5625,-6.3515,-0.0608,17.3896,190.51,1.7602,4.3227,39.263,31.6413,0.9928,0.932,275223.9667,2026-08-07T18:39:56.922088+00:00,2.1.0
by_mask_type,,,zero_control,,,,188,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,523138.7234,2026-08-07T18:39:56.922088+00:00,2.1.0
by_prompt_policy,,,,,sd_inpaint_prompt_ablation_v1,,5294,465,5002.5149,23.8994,3.8522,-0.0216,5453.5024,450.9874,31.1415,7.242,20.8523,25.7114,0.9269,0.9053,307079.3383,2026-08-07T18:39:56.977996+00:00,2.1.0
by_prompt_variant,,,,,,p00_generic,2590,465,5650.3613,27.3051,5.1246,-0.0038,6088.6621,438.3008,34.3562,7.0511,19.3234,25.8138,0.9204,0.9166,305714.0514,2026-08-07T18:39:57.012313+00:00,2.1.0
by_prompt_variant,,,,,,p01_style_period,676,120,4390.2692,20.6859,2.6841,-0.0395,4845.1208,454.8516,28.0623,7.3764,22.3052,25.6778,0.9331,0.8936,308387.0651,2026-08-07T18:39:57.012313+00:00,2.1.0
by_prompt_variant,,,,,,p02_artist,676,120,4384.0872,20.6825,2.6702,-0.0378,4845.1208,461.0336,28.0623,7.3799,22.3052,25.6603,0.9331,0.8953,308387.0651,2026-08-07T18:39:57.012313+00:00,2.1.0
by_prompt_variant,,,,,,p03_artist_style_period,676,120,4379.6144,20.6249,2.6221,-0.0389,4845.1208,465.5064,28.0623,7.4375,22.3052,25.5999,0.9331,0.8942,308387.0651,2026-08-07T18:39:57.012313+00:00,2.1.0
by_prompt_variant,,,,,,p04_full_context,676,120,4373.9556,20.5564,2.557,-0.0385,4845.1208,471.1651,28.0623,7.5059,22.3052,25.5181,0.9331,0.8946,308387.0651,2026-08-07T18:39:57.012313+00:00,2.1.0
by_region_and_mask_type,,boundary_region,blur,,,,35,15,0.0,0.0,0.0,,5.8622,5.8622,0.7898,0.7898,42.85,42.85,,,7982.7714,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,blur_fading,,,,25,5,0.0,0.0,0.0,,0.6135,0.6135,0.1582,0.1582,52.9564,52.9564,,,9578.6,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,dirt_dust,,,,35,15,-524.2509,-6.2244,-26.2488,,2.2162,526.4671,0.4756,6.7,48.4092,22.1604,,,26840.1714,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,discolouration,,,,39,15,0.0,0.0,0.0,,0.4546,0.4546,0.1303,0.1303,51.8425,51.8425,,,7970.1026,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,fading,,,,35,15,0.0,0.0,0.0,,1.6967,1.6967,0.3702,0.3702,53.1003,53.1003,,,8198.8286,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,fading_discolouration,,,,25,5,0.0,0.0,0.0,,0.0169,0.0169,0.0167,0.0167,62.0626,62.0626,,,9591.0,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,loss_large,,,,190,110,13267.9008,69.2763,16.8613,,13589.9629,322.062,77.3094,8.0331,7.1903,24.0515,,,6595.3368,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,loss_small,,,,143,75,13513.0772,70.0354,17.3441,,13801.8233,288.7461,77.3465,7.311,7.0414,24.3855,,,8437.007,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,mixed_damage,,,,90,50,11443.7649,55.4191,11.9007,,12229.9583,786.1934,67.2809,11.8618,7.5495,19.4501,,,29291.3778,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,partial_transparency,,,,35,15,0.0,0.0,0.0,,28.357,28.357,1.6951,1.6951,38.5173,38.5173,,,8423.9429,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,scratch_thin,,,,139,75,10422.4484,47.1496,10.6048,,11495.3549,1072.9065,61.2935,14.1439,7.859,18.4638,,,24360.223,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,water_stain,,,,35,15,-79.8466,-2.3481,-11.0366,,0.2196,80.0661,0.1614,2.5095,58.1985,47.1619,,,9476.4,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,boundary_region,water_stain_dirt,,,,25,5,-29.6483,-1.0338,-5.3218,,0.2413,29.8896,0.2258,1.2596,54.6372,49.3153,,,7385.8,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,blur,,,,35,15,-813.2519,-10.2246,-15.5991,-0.166,30.9473,844.1992,2.4705,12.6951,36.5339,20.9348,0.9362,0.7701,441446.4,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,blur_fading,,,,25,5,-296.616,-3.7968,-12.2684,-0.0872,21.6963,318.3124,1.9334,5.7302,36.268,23.9996,0.9793,0.8921,441446.4,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,dirt_dust,,,,35,15,-75.1262,-0.9198,-25.8306,-0.034,0.4699,75.5961,0.1459,1.0657,56.6534,30.8228,0.9988,0.9648,441446.4,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,discolouration,,,,39,15,-623.0545,-7.0479,-13.212,-0.1856,47.8354,670.8899,3.428,10.4759,35.9828,22.7708,0.9953,0.8097,437838.7692,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,fading,,,,35,15,-621.0153,-7.3625,-13.0155,-0.1928,54.2202,675.2355,3.8401,11.2026,34.9759,21.9603,0.9834,0.7906,441446.4,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,fading_discolouration,,,,25,5,-253.1873,-3.8148,-13.9373,-0.1142,17.5395,270.7268,1.6948,5.5096,38.4459,24.5086,0.9961,0.8818,441446.4,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,loss_large,,,,190,110,2952.6831,14.605,11.9232,0.0135,3186.0232,233.3401,18.1549,3.5499,13.7886,25.7118,0.912,0.9255,445828.0421,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,loss_small,,,,143,75,1187.1297,6.0465,15.5541,0.0188,1228.4138,41.284,6.869,0.8224,17.6246,33.1787,0.9556,0.9744,447813.8182,2026-08-07T18:39:57.040721+00:00,2.1.0
by_region_and_mask_type,,content_region,mixed_damage,,,,90,50,2622.8481,13.0584,13.04,0.0444,2761.6629,138.8148,15.4103,2.3519,14.0952,27.1352,0.8823,0.9266,450696.5333,2026-08-07T18:39:57.040721+00:00,2.1.0
