selected_case_index,figure_id,figure_filename,figure_path,figure_filename_length,figure_relative_path_length,candidate_id,restoration_case_id,case_id,painting_id,category,mask_type,prompt_policy_id,prompt_variant_id,selection_reason,selection_reasons,mse_improvement,ssim_improvement,created_at_utc
1,b4_fig_001,b4_fig_001.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_001.png,14,114,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,p001_loss_small,p001,portrait_figure,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,best_masked_mse_improvement,best_masked_mse_improvement | best_masked_ssim_improvement | outside_mask_degradation_watch | category_representative_best_masked_mse,54261.92067337036,,2026-08-07T18:39:59.683667+00:00
2,b4_fig_002,b4_fig_002.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_002.png,14,114,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,p001__loss_small__variant_03,p001,portrait_figure,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,best_masked_mse_improvement,best_masked_mse_improvement | best_masked_ssim_improvement,52572.77407836914,,2026-08-07T18:40:01.857960+00:00
3,b4_fig_003,b4_fig_003.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_003.png,14,114,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,p036_scratch_thin,p036,abstraction_surrealism,scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,weakest_masked_mse_improvement,weakest_masked_mse_improvement,-4040.078125,,2026-08-07T18:40:03.691523+00:00
4,b4_fig_004,b4_fig_004.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_004.png,14,114,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,p039__water_stain__severe,p039,abstraction_surrealism,water_stain,sd_inpaint_prompt_ablation_v1,p04_full_context,weakest_masked_mse_improvement,weakest_masked_mse_improvement,-3017.133186340332,,2026-08-07T18:40:05.811359+00:00
5,b4_fig_005,b4_fig_005.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_005.png,14,114,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001,portrait_figure,loss_large,sd_inpaint_prompt_ablation_v1,p00_generic,outside_mask_degradation_watch,outside_mask_degradation_watch,0.0,,2026-08-07T18:40:07.962576+00:00
6,b4_fig_006,b4_fig_006.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_006.png,14,114,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,p001_zero_control,p001,portrait_figure,zero_control,sd_inpaint_prompt_ablation_v1,p00_generic,zero_control_largest_restored_shift,zero_control_largest_restored_shift,0.0,0.0,2026-08-07T18:40:10.224075+00:00
7,b4_fig_007,b4_fig_007.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_007.png,14,114,sd__can__p002__zero__p00_generic__s2026__606dc73934,sd__can__p002__zero__p00_generic__s2026__606dc73934,p002_zero_control,p002,portrait_figure,zero_control,sd_inpaint_prompt_ablation_v1,p00_generic,zero_control_largest_restored_shift,zero_control_largest_restored_shift,0.0,0.0,2026-08-07T18:40:12.168305+00:00
8,b4_fig_008,b4_fig_008.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_008.png,14,114,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,p040_loss_large,p040,abstraction_surrealism,loss_large,sd_inpaint_prompt_ablation_v1,p00_generic,category_representative_best_masked_mse,category_representative_best_masked_mse,30905.32861328125,,2026-08-07T18:40:14.235663+00:00
9,b4_fig_009,b4_fig_009.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_009.png,14,114,sd__can__p024__loss_small__p00_generic__s2026__953199848e,sd__can__p024__loss_small__p00_generic__s2026__953199848e,p024_loss_small,p024,architecture_structured,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,category_representative_best_masked_mse,category_representative_best_masked_mse,41754.21487426758,,2026-08-07T18:40:16.293506+00:00
10,b4_fig_010,b4_fig_010.png,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics/b4_fig_010.png,14,114,sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5,sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5,p050_scratch_thin,p050,high_texture_brushwork,scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,category_representative_best_masked_mse,category_representative_best_masked_mse,40869.28173828125,,2026-08-07T18:40:18.264824+00:00
