artifact_key,artifact_stage,batch,artifact_type,path,required,notes,exists,size_bytes,file_count,row_count,column_count,columns,sha256,modified_at_utc
batch0_project_inventory_snapshot,notebook_output,batch0,csv,outputs/22_stable_diffusion_classical_metrics/inventory/batch0_project_inventory_snapshot.csv,True,Inventory snapshot captured at notebook start.,True,1693039,0,4123,17,relative_path | file_name | parent_dir | extension | file_kind | size_bytes | last_modified_iso | depth | csv_row_count | csv_column_count | csv_columns | csv_error | image_width | image_height | image_mode | image_error | sha256_first_1mb,018704067de71db6d41b0ea12492dd9015ac5f8174fa5e3af7678a5739bf9987,2026-08-07T17:34:24.025045+00:00
batch0_validation,notebook_output,batch0,csv,outputs/22_stable_diffusion_classical_metrics/validation/batch0_validation.csv,True,Batch 0 validation checks.,True,1174,0,9,5,check_name | observed | expected | passed | failure_message,7299881208643d539b08caf0e0e82c16c7ba907f881a9010338c34a2f028ef6c,2026-08-07T17:39:24.068857+00:00
stage_manifest,notebook_output,batch0_to_final,json,outputs/22_stable_diffusion_classical_metrics/manifests/stable_diffusion_classical_metrics_stage_manifest.json,True,Notebook-wide stage manifest updated during the run.,True,14058,0,,,,b2063f2f119cef3501ba9d15a66d40b822dafba4eab5f1d500ae5ffb65264d23,2026-08-07T18:48:19.133408+00:00
metric_input_cases,notebook_output,batch1,csv,outputs/22_stable_diffusion_classical_metrics/tables/stable_diffusion_classical_metric_input_cases.csv,True,Standardized candidate-level metric input table.,True,3535074,0,945,278,metric_case_id | dataset_name | case_id | restoration_case_id | candidate_id | source_case_key | source_case_id | source_case_id_original | painting_id | category | title | mask_id | mask_type | model_name | prompt_policy_id | prompt_variant_id | prompt_template_name | prompt_ablation_subset | candidate_index | candidate_seed | effective_candidate_seed | inference_mode | execution_device | cuda_device_name | restoration_generator_version | clean_path | damaged_path | mask_path | restored_path | clean_path_exists | damaged_path_exists | mask_path_exists | restored_path_exists | content_x_min | content_y_min | content_x_max | content_y_max | generator_name | generator_version | generated_at_utc | generation_action | clean_filename | mask_filename | damaged_filename | damage_fill_strategy | damage_fill_r | damage_fill_g | damage_fill_b | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | width | height | mode | format | damaged_file_size_bytes | clean_sha256 | mask_sha256 | damaged_sha256 | status | issue | config_version | experiment_name | experiment_version | notebook_stage | source | artist | source_metadata_path | source_row_status | base_mask_id | base_mask_type | sensitivity_mask_id | target_percentage_content | target_pixels | realised_pixels | realised_percentage_content | realised_percentage_full | percentage_error_content | absolute_percentage_error_content | absolute_pixel_error | scale_factor | base_mask_pixels | base_percentage_content | base_percentage_full | content_area_pixels | content_bbox_left | content_bbox_top | content_bbox_right | content_bbox_bottom | deterministic_seed | global_seed | base_mask_path | sensitivity_mask_filename | sensitivity_mask_path | base_mask_sha256 | sensitivity_mask_sha256 | sensitivity_mask_file_size_bytes | full_generation_started_at_utc | full_generation_completed_at_utc | variant_id | robustness_group_id | painting_index | mask_type_index | variant_index | painting_seed | mask_seed | variant_seed | generation_attempt_index | generation_seed | maximum_generation_attempts | generation_area_tolerance | raw_mask_pixels | canvas_area_pixels | padding_area_pixels | actual_mask_area_pixels | damaged_content_pixels | padding_overlap_pixels | actual_mask_area_percentage_content | actual_mask_area_percentage_full | bbox_x_min | bbox_y_min | bbox_x_max | bbox_y_max | bbox_width | bbox_height | bbox_area_pixels | bbox_fill_ratio | bbox_aspect_ratio | connected_component_count | largest_component_pixels | smallest_component_pixels | mean_component_pixels | median_component_pixels | component_area_std_pixels | largest_component_fraction | component_density_per_100k_content_pixels | mean_component_aspect_ratio | maximum_component_aspect_ratio | touches_content_border | minimum_distance_to_content_border_pixels | centroid_x_pixels | centroid_y_pixels | centroid_x_normalised_content | centroid_y_normalised_content | centroid_quadrant | mask_bbox_width_normalised_content | mask_bbox_height_normalised_content | mask_bbox_area_fraction_content_bbox | touches_left_content_border | touches_right_content_border | touches_top_content_border | touches_bottom_content_border | mask_file_size_bytes | mask_generator_name | mask_generator_version | full_generation_finished_at_utc | full_generation_duration_seconds | degradation_type | severity | severity_rank | is_combined | component_degradations | component_count | case_seed | effect_mask_seed | operator_seeds_json | operator_parameters_json | effect_support_pixels | effect_active_pixels | effect_percentage_content | effect_percentage_full | effect_mean_intensity | effect_max_intensity | effect_bbox_x_min | effect_bbox_y_min | effect_bbox_x_max | effect_bbox_y_max | effect_centroid_x | effect_centroid_y | changed_pixels | changed_percentage_full | outside_effect_changed_pixels | inside_effect_changed_pixels | mean_absolute_difference_effect | maximum_absolute_difference | effect_mask_filename | effect_mask_path | degraded_filename | degraded_path | effect_mask_sha256 | degraded_sha256 | effect_mask_file_size_bytes | degraded_file_size_bytes | source_case_index | clean_path_normalized | clean_path_in_inventory | damaged_path_normalized | damaged_path_in_inventory | mask_path_normalized | mask_path_in_inventory | all_required_paths_present | all_required_files_exist | all_required_paths_in_inventory | source_validation_status | restored_filename | restoration_method | hf_model_id | model_revision | prompt_variant_family | prompt_variant_order | prompt_template | prompt | negative_prompt | prompt_metadata_fields_used | prompt_metadata_missing_fields | prompt_artist_value | prompt_title_value | prompt_style_period_value | prompt_category_value | scheduler_name | num_inference_steps | guidance_scale | strength | inference_size | precision | mask_binary_threshold | preserve_unmasked_pixels | zero_control_behavior | restoration_generator_name | candidate_created_at_utc | audit_status | audit_issue | audit_output_written | audit_runtime_seconds | audit_restored_sha256 | audit_effective_candidate_seed | audit_execution_device | audit_cuda_device_name | audit_restoration_generator_version | audit_mask_raw_nonzero_pixel_count | audit_mask_thresholded_pixel_count | audit_effective_mask_pixel_count | audit_effective_mask_threshold_policy | audit_mask_gray_min | audit_mask_gray_max | validation_validation_passed | validation_validation_issue | validation_status | validation_damaged_exists | validation_mask_exists | validation_restored_exists | validation_restored_width | validation_restored_height | validation_mask_binary_threshold | validation_mask_raw_nonzero_pixel_count | validation_mask_thresholded_pixel_count | validation_effective_mask_pixel_count | validation_effective_mask_threshold_policy | validation_mask_gray_min | validation_mask_gray_max | validation_mask_pixel_count | validation_outside_mask_pixel_count | validation_exact_match_to_damaged | validation_changed_from_damaged | validation_inside_mask_changed | validation_outside_mask_exact_match | validation_mean_abs_diff | validation_max_abs_diff | content_x_min_clean_metadata | content_y_min_clean_metadata | content_x_max_clean_metadata | content_y_max_clean_metadata | category_clean_metadata | title_clean_metadata | metric_input_source_notebook | metric_input_builder_notebook | metric_input_built_at_utc | metric_helper_version_expected,d424c5eeda5f02f2a1a98ba65c51529a7e35814b7744a074cbc36871e147bf17,2026-08-07T17:50:24.120493+00:00
batch2_smoke_metrics,notebook_output,batch2,csv,outputs/22_stable_diffusion_classical_metrics/validation/stable_diffusion_classical_metrics_smoke.csv,True,Batch 2 representative smoke metric output.,True,31707,0,28,58,dataset_name | case_id | painting_id | category | title | mask_id | mask_type | model_name | restoration_case_id | candidate_id | source_case_key | source_case_id | source_case_id_original | prompt_policy_id | prompt_variant_id | prompt_template_name | prompt_ablation_subset | candidate_index | candidate_seed | effective_candidate_seed | inference_mode | execution_device | cuda_device_name | restoration_generator_version | restored_path | damaged_path | mask_path | clean_path | evaluation_region | region_pixel_count | region_x_min | region_y_min | region_x_max | region_y_max | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | damaged_mse | restored_mse | mse_improvement | damaged_mae | restored_mae | mae_improvement | damaged_psnr | restored_psnr | psnr_improvement | damaged_ssim | restored_ssim | ssim_improvement | metric_module | metric_version | metric_timestamp_utc | python_version | numpy_version | pandas_version | skimage_version | status | issue,7af68658294bf11dee85726f686da977c5a2b42a3bfc44d25f7b8c0f00bb2654,2026-08-07T18:00:42.850642+00:00
batch2_validation,notebook_output,batch2,csv,outputs/22_stable_diffusion_classical_metrics/validation/batch2_smoke_validation.csv,True,Batch 2 smoke validation.,True,749,0,12,5,check_name | observed | expected | passed | failure_message,a65a64b492422900b3b58bff642a4b0fb1d20465fda497177a58f5fa7de3e0cb,2026-08-07T18:00:42.854773+00:00
batch3_validation,notebook_output,batch3,csv,outputs/22_stable_diffusion_classical_metrics/validation/stable_diffusion_classical_metrics_validation.csv,True,Batch 3 full classical metric validation.,True,1672,0,18,5,check_name | observed | expected | passed | failure_message,4eb7b81b5fa033b92f59c65465b6167ec3da1ac565760d165394a1972eed05a0,2026-08-07T18:39:55.629318+00:00
classical_metrics,notebook_output,batch3,csv,outputs/22_stable_diffusion_classical_metrics/metrics/stable_diffusion_classical_metrics.csv,True,Main candidate-level classical metrics table.,True,6288950,0,5294,58,dataset_name | case_id | painting_id | category | title | mask_id | mask_type | model_name | restoration_case_id | candidate_id | source_case_key | source_case_id | source_case_id_original | prompt_policy_id | prompt_variant_id | prompt_template_name | prompt_ablation_subset | candidate_index | candidate_seed | effective_candidate_seed | inference_mode | execution_device | cuda_device_name | restoration_generator_version | restored_path | damaged_path | mask_path | clean_path | evaluation_region | region_pixel_count | region_x_min | region_y_min | region_x_max | region_y_max | damaged_area_pixels | damaged_area_percentage_content | damaged_area_percentage_full | damaged_mse | restored_mse | mse_improvement | damaged_mae | restored_mae | mae_improvement | damaged_psnr | restored_psnr | psnr_improvement | damaged_ssim | restored_ssim | ssim_improvement | metric_module | metric_version | metric_timestamp_utc | python_version | numpy_version | pandas_version | skimage_version | status | issue,afe6e2484bb5b4a0838611dfb29dcc1d094feb9a1a0d2e95aafa9de7104b6e6e,2026-08-07T18:39:55.629318+00:00
batch4_diagnostic_figure_dir,notebook_output,batch4,directory,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_diagnostics,True,Directory containing Batch 4 diagnostic PNGs.,True,8766620,11,,,,,2026-08-07T18:40:19.834927+00:00
batch4_figure_manifest,notebook_output,batch4,csv,outputs/22_stable_diffusion_classical_metrics/figures/stable_diffusion_classical_metric_figure_manifest.csv,True,Manifest for short-name diagnostic PNGs.,True,5764,0,11,19,selected_case_index | figure_id | figure_filename | figure_path | figure_filename_length | figure_relative_path_length | candidate_id | restoration_case_id | case_id | painting_id | category | mask_type | prompt_policy_id | prompt_variant_id | selection_reason | selection_reasons | mse_improvement | ssim_improvement | created_at_utc,385cac9104a432346e123ae6f8b2505d63e998ad762787d39bab65b460ef31ba,2026-08-07T18:40:20.278884+00:00
