summary_scope,review_priority_rank,map_id,map_index,candidate_id,is_selected_for_report,selection_group,map_outcome_label,outcome_priority,masked_improvement_rank_desc,restored_error_rank_asc,masked_harm_rank_desc,boundary_improvement_rank_desc,outside_mask_change_rank_desc,damaged_error_mean_masked,restored_error_mean_masked,masked_error_reduction_mean,improvement_mean_masked,positive_improvement_percentage_masked,negative_improvement_percentage_masked,improvement_boundary_mean,improvement_boundary_negative_percentage,improvement_outside_mask_mean,outside_mask_abs_improvement_mean,improvement_content_mean,masked_pixel_count,boundary_pixel_count,case_id,restoration_case_id,painting_id,mask_id,mask_type,category,title,figure_id,figure_filename,figure_path,map_asset_status,map_asset_issue,clean_path,damaged_path,restored_path,mask_path,damaged_error_map_path,damaged_error_map_filename,restored_error_map_path,restored_error_map_filename,signed_improvement_map_path,signed_improvement_map_filename,masked_signed_improvement_map_path,masked_signed_improvement_map_filename,boundary_signed_improvement_map_path,boundary_signed_improvement_map_filename,mask_overlay_path,mask_overlay_filename,boundary_overlay_path,boundary_overlay_filename,has_masked_region
candidate_difference_map_analysis,1,dm_000888,888,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,True,weakest_masked_mse_improvement,likely_harmful_or_failed,1,850,774,2,843,1,7.558403968811035,41.29615020751953,-33.737746238708496,-33.73774337768555,4.191636483371748,95.50411590385248,-8.36641788482666,49.82991911709124,0.0,0.0,-8.685770988464355,151850,13229,p039__water_stain__severe,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,p039,,water_stain,abstraction_surrealism,Painting with Troika,dm_panel_004,dm_panel_004.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_004.png,ok,,data/processed/clean/p039_clean.png,data/processed/degraded/synthetic_degradation/p039__water_stain__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p04_full_context/sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p039__water_stain__severe_effect_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000888_der.png,dm_000888_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000888_rer.png,dm_000888_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000888_sig.png,dm_000888_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000888_msi.png,dm_000888_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000888_bsi.png,dm_000888_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000888_msk.png,dm_000888_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000888_bnd.png,dm_000888_bnd.png,True
candidate_difference_map_analysis,2,dm_000327,327,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,True,weakest_masked_mse_improvement,likely_harmful_or_failed,1,851,850,18,851,1,39.7578353881836,78.74488067626953,-38.98704528808593,-38.9870491027832,22.173965496441067,77.7536494148872,-15.617237091064451,31.172540666150272,0.0,0.0,-0.547898530960083,8289,20656,p036_scratch_thin,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,p036,p036_scratch_thin,scratch_thin,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",dm_panel_003,dm_panel_003.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_003.png,ok,,data/processed/clean/p036_clean.png,data/processed/masked/p036_scratch_thin_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07__restored_stable_diffusion_inpainting.png,data/processed/masks/p036_scratch_thin_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000327_der.png,dm_000327_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000327_rer.png,dm_000327_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000327_sig.png,dm_000327_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000327_msi.png,dm_000327_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000327_bsi.png,dm_000327_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000327_msk.png,dm_000327_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000327_bnd.png,dm_000327_bnd.png,True
candidate_difference_map_analysis,3,dm_000005,5,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,True,zero_control_largest_restored_shift,zero_control_no_mask,6,,,,,1,,,,,,,,,0.0,0.0,0.0,0,0,p001_zero_control,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,p001,p001_zero_control,zero_control,portrait_figure,Juan de Pareja,dm_panel_006,dm_panel_006.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_006.png,ok,,data/processed/clean/p001_clean.png,data/processed/masked/p001_zero_control_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__zero__p00_generic__s2026__3be104a7ae__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_zero_control_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000005_der.png,dm_000005_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000005_rer.png,dm_000005_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000005_sig.png,dm_000005_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000005_msi.png,dm_000005_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000005_bsi.png,dm_000005_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000005_msk.png,dm_000005_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000005_bnd.png,dm_000005_bnd.png,False
candidate_difference_map_analysis,4,dm_000010,10,sd__can__p002__zero__p00_generic__s2026__606dc73934,True,zero_control_largest_restored_shift,zero_control_no_mask,6,,,,,1,,,,,,,,,0.0,0.0,0.0,0,0,p002_zero_control,sd__can__p002__zero__p00_generic__s2026__606dc73934,p002,p002_zero_control,zero_control,portrait_figure,Madame X (Madame Pierre Gautreau),dm_panel_007,dm_panel_007.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_007.png,ok,,data/processed/clean/p002_clean.png,data/processed/masked/p002_zero_control_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p002__zero__p00_generic__s2026__606dc73934__restored_stable_diffusion_inpainting.png,data/processed/masks/p002_zero_control_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000010_der.png,dm_000010_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000010_rer.png,dm_000010_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000010_sig.png,dm_000010_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000010_msi.png,dm_000010_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000010_bsi.png,dm_000010_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000010_msk.png,dm_000010_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000010_bnd.png,dm_000010_bnd.png,False
candidate_difference_map_analysis,5,dm_000364,364,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,True,category_representative_best_masked_mse,mostly_improved,5,268,810,564,116,1,182.85520935058597,48.99811172485352,133.85709762573245,133.85711669921875,99.74210290254372,0.254693406804639,74.90260314941406,0.0742721330956625,0.0,0.0,14.167673110961914,62428,6732,p040_loss_large,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,p040,p040_loss_large,loss_large,abstraction_surrealism,Houses at Murnau,dm_panel_008,dm_panel_008.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_008.png,ok,,data/processed/clean/p040_clean.png,data/processed/masked/p040_loss_large_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p040__loss_large__p00_generic__s2026__8e8011c345__restored_stable_diffusion_inpainting.png,data/processed/masks/p040_loss_large_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000364_der.png,dm_000364_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000364_rer.png,dm_000364_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000364_sig.png,dm_000364_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000364_msi.png,dm_000364_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000364_bsi.png,dm_000364_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000364_msk.png,dm_000364_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000364_bnd.png,dm_000364_bnd.png,True
candidate_difference_map_analysis,6,dm_000165,165,sd__can__p018__scratch_thin__p04_full_context__s2026__fb879521dd,True,category_representative_best_masked_mse,mostly_improved,5,50,288,571,132,1,200.4687347412109,16.48855972290039,183.98017501831052,183.98019409179688,99.76613014169762,0.2338698583023799,73.4405288696289,0.0933552992861065,0.0,0.0,2.2673745155334477,7269,18210,p018_scratch_thin,sd__can__p018__scratch_thin__p04_full_context__s2026__fb879521dd,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,dm_panel_011,dm_panel_011.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_011.png,ok,,data/processed/clean/p018_clean.png,data/processed/masked/p018_scratch_thin_damaged.png,data/processed/restored/stable_diffusion/canonical/p04_full_context/sd__can__p018__scratch_thin__p04_full_context__s2026__fb879521dd__restored_stable_diffusion_inpainting.png,data/processed/masks/p018_scratch_thin_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000165_der.png,dm_000165_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000165_rer.png,dm_000165_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000165_sig.png,dm_000165_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000165_msi.png,dm_000165_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000165_bsi.png,dm_000165_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000165_msk.png,dm_000165_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000165_bnd.png,dm_000165_bnd.png,True
candidate_difference_map_analysis,7,dm_000201,201,sd__can__p024__loss_small__p00_generic__s2026__953199848e,True,category_representative_best_masked_mse,mostly_improved,5,34,165,622,41,1,202.3790740966797,11.03180694580078,191.3472671508789,191.34727478027344,99.8295177788602,0.1656113005358012,91.35413360595705,0.0707785642062689,0.0,0.0,6.660223007202148,20530,9890,p024_loss_small,sd__can__p024__loss_small__p00_generic__s2026__953199848e,p024,p024_loss_small,loss_small,architecture_structured,Interior of the Church of St Bavo in Haarlem,dm_panel_009,dm_panel_009.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_009.png,ok,,data/processed/clean/p024_clean.png,data/processed/masked/p024_loss_small_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p024__loss_small__p00_generic__s2026__953199848e__restored_stable_diffusion_inpainting.png,data/processed/masks/p024_loss_small_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000201_der.png,dm_000201_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000201_rer.png,dm_000201_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000201_sig.png,dm_000201_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000201_msi.png,dm_000201_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000201_bsi.png,dm_000201_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000201_msk.png,dm_000201_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000201_bnd.png,dm_000201_bnd.png,True
candidate_difference_map_analysis,8,dm_000002,2,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,True,best_masked_mse_improvement,mostly_improved,5,1,66,759,6,1,232.47381591796875,5.175667762756348,227.2981481552124,227.2981719970703,100.0,0.0,109.7203140258789,0.0,0.0,0.0,7.028692722320557,18239,8885,p001_loss_small,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,p001,p001_loss_small,loss_small,portrait_figure,Juan de Pareja,dm_panel_001,dm_panel_001.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_001.png,ok,,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_loss_small_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000002_der.png,dm_000002_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000002_rer.png,dm_000002_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000002_sig.png,dm_000002_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000002_msi.png,dm_000002_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000002_bsi.png,dm_000002_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000002_msk.png,dm_000002_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000002_bnd.png,dm_000002_bnd.png,True
candidate_difference_map_analysis,9,dm_000525,525,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,True,best_masked_mse_improvement,mostly_improved,5,2,126,759,17,1,229.209716796875,8.718510627746582,220.49120616912842,220.49122619628903,100.0,0.0,107.46598815917967,0.0,0.0,0.0,8.583032608032227,22960,9481,p001__loss_small__variant_03,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,p001,,loss_small,portrait_figure,Juan de Pareja,dm_panel_002,dm_panel_002.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_002.png,ok,,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_03_damaged.png,data/processed/restored/stable_diffusion/mask_robustness/p00_generic/sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062__restored_stable_diffusion_inpainting.png,data/processed/masks/mask_robustness/p001__loss_small__variant_03_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000525_der.png,dm_000525_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000525_rer.png,dm_000525_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000525_sig.png,dm_000525_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000525_msi.png,dm_000525_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000525_bsi.png,dm_000525_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000525_msk.png,dm_000525_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000525_bnd.png,dm_000525_bnd.png,True
candidate_difference_map_analysis,10,dm_000001,1,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,True,outside_mask_degradation_watch,mostly_improved,5,14,186,759,9,1,220.0276641845703,12.347484588623049,207.68017959594727,207.68017578125,100.0,0.0,109.18219757080078,0.0,0.0,0.0,24.30160522460937,69018,7649,p001_loss_large,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001,p001_loss_large,loss_large,portrait_figure,Juan de Pareja,dm_panel_005,dm_panel_005.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_005.png,ok,,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_large__p00_generic__s2026__9441d9b074__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_loss_large_mask.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000001_der.png,dm_000001_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000001_rer.png,dm_000001_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000001_sig.png,dm_000001_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000001_msi.png,dm_000001_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000001_bsi.png,dm_000001_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000001_msk.png,dm_000001_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000001_bnd.png,dm_000001_bnd.png,True
