figure_id,figure_filename,figure_path,figure_filename_length,selection_group,status,issue,map_id,candidate_id,restoration_case_id,case_id,source_case_key,source_case_id,painting_id,category,title,mask_id,mask_type,prompt_policy_id,prompt_variant_id,prompt_template_name,prompt_ablation_subset,candidate_index,candidate_seed,effective_candidate_seed,inference_mode,execution_device,clean_path,damaged_path,restored_path,mask_path,error_map_module,error_map_version,image_height,image_width,full_pixel_count,content_pixel_count,masked_pixel_count,outside_mask_pixel_count,boundary_pixel_count,damaged_error_mean_full,damaged_error_std_full,damaged_error_max_full,restored_error_mean_full,restored_error_std_full,restored_error_max_full,improvement_mean_full,improvement_std_full,improvement_min_full,improvement_max_full,boundary_width_pixels,boundary_mode,mask_threshold,improvement_masked_pixel_count,improvement_masked_mean,improvement_masked_std,improvement_masked_min,improvement_masked_max,improvement_masked_positive_pixels,improvement_masked_negative_pixels,improvement_masked_zero_pixels,improvement_masked_positive_percentage,improvement_masked_negative_percentage,improvement_masked_zero_percentage,improvement_outside_mask_pixel_count,improvement_outside_mask_mean,improvement_outside_mask_std,improvement_outside_mask_min,improvement_outside_mask_max,improvement_outside_mask_positive_pixels,improvement_outside_mask_negative_pixels,improvement_outside_mask_zero_pixels,improvement_outside_mask_positive_percentage,improvement_outside_mask_negative_percentage,improvement_outside_mask_zero_percentage,improvement_boundary_pixel_count,improvement_boundary_mean,improvement_boundary_std,improvement_boundary_min,improvement_boundary_max,improvement_boundary_positive_pixels,improvement_boundary_negative_pixels,improvement_boundary_zero_pixels,improvement_boundary_positive_percentage,improvement_boundary_negative_percentage,improvement_boundary_zero_percentage,improvement_content_pixel_count,improvement_content_mean,improvement_content_std,improvement_content_min,improvement_content_max,improvement_content_positive_pixels,improvement_content_negative_pixels,improvement_content_zero_pixels,improvement_content_positive_percentage,improvement_content_negative_percentage,improvement_content_zero_percentage,damaged_error_masked_mean,damaged_error_masked_std,restored_error_masked_mean,restored_error_masked_std,damaged_error_boundary_mean,damaged_error_boundary_std,restored_error_boundary_mean,restored_error_boundary_std,damaged_error_outside_mask_mean,damaged_error_outside_mask_std,restored_error_outside_mask_mean,restored_error_outside_mask_std,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked
dm_panel_001,dm_panel_001.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_001.png,16,best_masked_mse_improvement,ok,,dm_000002,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,p001_loss_small,canonical__p001_loss_small,p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,2,2026,2026,model_inference,cuda,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_small_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_loss_small_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,18239,571585,8885,7.1887383460998535,40.32813262939453,252.0,0.1600460410118103,1.3020113706588745,71.0,7.028692722320557,39.47035217285156,0.0,246.66665649414062,3,both,0,18239,227.2981719970703,17.71201515197754,69.33332824707031,246.66665649414062,18239,0,0,100.0,0.0,0.0,571585,0.0,0.0,0.0,0.0,0,0,571585,0.0,0.0,100.0,8885,109.7203140258789,114.73402404785156,0.0,246.66665649414062,4264,0,4621,47.990996060776595,0.0,52.009003939223405,589824,7.028692722320557,39.47035217285156,0.0,246.66665649414062,18239,0,571585,3.0922783745659723,0.0,96.90772162543404,232.47381591796875,14.874892234802246,5.175667762756348,5.372368812561035,111.96698760986328,116.92564392089844,2.2466704845428467,3.794369697570801,0.0,0.0,0.0,0.0,232.47381591796875,5.175667762756348,227.2981719970703,0,18239,0,0.0,100.0
dm_panel_002,dm_panel_002.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_002.png,16,best_masked_mse_improvement,ok,,dm_000525,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062,p001__loss_small__variant_03,mask_robustness__p001_loss_small_variant_03,p001__loss_small__variant_03,p001,portrait_figure,Juan de Pareja,,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,525,2026,2026,model_inference,cuda,data/processed/clean/p001_clean.png,data/processed/damaged/mask_robustness/p001__loss_small__variant_03_damaged.png,data/processed/restored/stable_diffusion/mask_robustness/p00_generic/sd__mrob__p001__loss_small__p00_generic__s2026__77a0be3062__restored_stable_diffusion_inpainting.png,data/processed/masks/mask_robustness/p001__loss_small__variant_03_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,22960,566864,9481,8.922416687011719,44.403594970703125,255.0,0.3393843173980713,2.423137903213501,75.33333587646484,8.583032608032227,42.73832702636719,0.0,247.0,3,both,0,22960,220.49122619628906,14.110020637512207,115.33334350585938,247.0,22960,0,0,100.0,0.0,0.0,566864,0.0,0.0,0.0,0.0,0,0,566864,0.0,0.0,100.0,9481,107.46598815917969,111.31049346923828,0.0,247.0,4593,0,4888,48.44425693492248,0.0,51.55574306507752,589824,8.583032608032227,42.73832702636719,0.0,247.0,22960,0,566864,3.8926866319444446,0.0,96.10731336805556,229.209716796875,12.604303359985352,8.718510627746582,8.819474220275879,110.57929992675781,114.43985748291016,3.113314151763916,5.465315341949463,0.0,0.0,0.0,0.0,229.209716796875,8.718510627746582,220.49122619628906,0,22960,0,0.0,100.0
dm_panel_003,dm_panel_003.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_003.png,16,weakest_masked_mse_improvement,ok,,dm_000327,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07,p036_scratch_thin,canonical__p036_scratch_thin,p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,327,2026,2026,model_inference,cuda,data/processed/clean/p036_clean.png,data/processed/masked/p036_scratch_thin_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p036__scratch_thin__p00_generic__s2026__6a92401a07__restored_stable_diffusion_inpainting.png,data/processed/masks/p036_scratch_thin_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,8289,581535,20656,0.5587305426597595,7.205618858337402,255.0,1.1066288948059082,10.498872756958008,196.6666717529297,-0.547898530960083,9.901091575622559,-176.6666717529297,254.0,3,both,0,8289,-38.9870491027832,74.007080078125,-176.6666717529297,254.0,1838,6445,6,22.173965496441067,77.7536494148872,0.07238508867173363,581535,0.0,0.0,0.0,0.0,0,0,581535,0.0,0.0,100.0,20656,-15.617237091064453,50.60604476928711,-176.6666717529297,254.0,1838,6439,12379,8.898140975987607,31.172540666150272,59.92931835786213,589824,-0.547898530960083,9.901091575622559,-176.6666717529297,254.0,1838,6445,581541,0.3116183810763889,1.0926988389756944,98.59568277994791,39.757835388183594,46.21785354614258,78.74488067626953,41.59097671508789,15.947586059570312,35.17100143432617,31.564823150634766,46.70960998535156,0.0,0.0,0.0,0.0,39.757835388183594,78.74488067626953,-38.9870491027832,6445,1838,6,77.7536494148872,22.173965496441067
dm_panel_004,dm_panel_004.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_004.png,16,weakest_masked_mse_improvement,ok,,dm_000888,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee,p039__water_stain__severe,synthetic_degradation__p039_water_stain_severe,p039__water_stain__severe,p039,abstraction_surrealism,Painting with Troika,,water_stain,sd_inpaint_prompt_ablation_v1,p04_full_context,artwork_full_context,True,883,2026,2026,model_inference,cuda,data/processed/clean/p039_clean.png,data/processed/degraded/synthetic_degradation/p039__water_stain__severe_degraded.png,data/processed/restored/stable_diffusion/synthetic_degradation/p04_full_context/sd__syn__p039__water_stain__p04_full_context__s2026__29cfe733ee__restored_stable_diffusion_inpainting.png,data/processed/masks/synthetic_degradation/p039__water_stain__severe_effect_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,151850,437974,13229,1.945909023284912,4.454937934875488,26.33333396911621,10.631680488586426,23.63674545288086,168.3333282470703,-8.685770988464355,21.063426971435547,-163.3333282470703,17.0,3,both,0,151850,-33.73774337768555,29.63311195373535,-163.3333282470703,17.0,6365,145023,462,4.191636483371748,95.50411590385248,0.30424761277576556,437974,0.0,0.0,0.0,0.0,0,0,437974,0.0,0.0,100.0,13229,-8.36641788482666,14.891066551208496,-142.6666717529297,2.6666665077209473,98,6592,6539,0.7407967344470481,49.82991911709124,49.42928414846171,589824,-8.685770988464355,21.063426971435547,-163.3333282470703,17.0,6365,145023,438436,1.0791354709201388,24.587504069010414,74.33336046006944,7.558403968811035,5.887884616851807,41.29615020751953,30.06315040588379,0.17219744622707367,0.4854455590248108,8.538615226745605,14.94116497039795,0.0,0.0,0.0,0.0,7.558403968811035,41.29615020751953,-33.73774337768555,145023,6365,462,95.50411590385248,4.191636483371748
dm_panel_005,dm_panel_005.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_005.png,16,outside_mask_degradation_watch,ok,,dm_000001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,canonical__p001_loss_large,p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,1,2026,2026,model_inference,cuda,data/processed/clean/p001_clean.png,data/processed/masked/p001_loss_large_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__loss_large__p00_generic__s2026__9441d9b074__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_loss_large_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,69018,520806,7649,25.746440887451172,71.07860565185547,254.0,1.4448354244232178,6.379826068878174,129.0,24.301605224609375,67.45723724365234,0.0,248.6666717529297,3,both,0,69018,207.68017578125,28.35608673095703,28.0,248.6666717529297,69018,0,0,100.0,0.0,0.0,520806,0.0,0.0,0.0,0.0,0,0,520806,0.0,0.0,100.0,7649,109.18219757080078,110.6086654663086,0.0,248.6666717529297,3800,0,3849,49.67969669237809,0.0,50.32030330762191,589824,24.301605224609375,67.45723724365234,0.0,248.6666717529297,69018,0,520806,11.701456705729168,0.0,88.29854329427084,220.0276641845703,20.696130752563477,12.347484588623047,14.601981163024902,112.04157257080078,113.26737213134766,2.8593716621398926,5.360912322998047,0.0,0.0,0.0,0.0,220.0276641845703,12.347484588623047,207.68017578125,0,69018,0,0.0,100.0
dm_panel_006,dm_panel_006.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_006.png,16,zero_control_largest_restored_shift,ok,,dm_000005,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,p001_zero_control,canonical__p001_zero_control,p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,5,2026,2026,copied_zero_control,cuda,data/processed/clean/p001_clean.png,data/processed/masked/p001_zero_control_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p001__zero__p00_generic__s2026__3be104a7ae__restored_stable_diffusion_inpainting.png,data/processed/masks/p001_zero_control_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,0,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,both,0,0,,,,,0,0,0,,,,589824,0.0,0.0,0.0,0.0,0,0,589824,0.0,0.0,100.0,0,,,,,0,0,0,,,,589824,0.0,0.0,0.0,0.0,0,0,589824,0.0,0.0,100.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,0,0,0,,
dm_panel_007,dm_panel_007.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_007.png,16,zero_control_largest_restored_shift,ok,,dm_000010,sd__can__p002__zero__p00_generic__s2026__606dc73934,sd__can__p002__zero__p00_generic__s2026__606dc73934,p002_zero_control,canonical__p002_zero_control,p002_zero_control,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_zero_control,zero_control,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,10,2026,2026,copied_zero_control,cuda,data/processed/clean/p002_clean.png,data/processed/masked/p002_zero_control_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p002__zero__p00_generic__s2026__606dc73934__restored_stable_diffusion_inpainting.png,data/processed/masks/p002_zero_control_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,0,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,both,0,0,,,,,0,0,0,,,,589824,0.0,0.0,0.0,0.0,0,0,589824,0.0,0.0,100.0,0,,,,,0,0,0,,,,589824,0.0,0.0,0.0,0.0,0,0,589824,0.0,0.0,100.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,0,0,0,,
dm_panel_008,dm_panel_008.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_008.png,16,category_representative_best_masked_mse,ok,,dm_000364,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,sd__can__p040__loss_large__p00_generic__s2026__8e8011c345,p040_loss_large,canonical__p040_loss_large,p040_loss_large,p040,abstraction_surrealism,Houses at Murnau,p040_loss_large,loss_large,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,364,2026,2026,model_inference,cuda,data/processed/clean/p040_clean.png,data/processed/masked/p040_loss_large_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p040__loss_large__p00_generic__s2026__8e8011c345__restored_stable_diffusion_inpainting.png,data/processed/masks/p040_loss_large_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,62428,527396,6732,19.353715896606445,57.251522064208984,225.0,5.186045169830322,18.525190353393555,141.6666717529297,14.167673110961914,43.66604232788086,-47.999996185302734,213.3333282470703,3,both,0,62428,133.85711669921875,44.649471282958984,-47.999996185302734,213.3333282470703,62267,159,2,99.74210290254373,0.254693406804639,0.0032036906516306786,527396,0.0,0.0,0.0,0.0,0,0,527396,0.0,0.0,100.0,6732,74.90260314941406,81.68912506103516,-5.0,211.0,3336,5,3391,49.554367201426025,0.07427213309566251,50.37136066547831,589824,14.167673110961914,43.66604232788086,-47.999996185302734,213.3333282470703,62267,159,527398,10.556877983940973,0.026957194010416668,89.41616482204861,182.85520935058594,32.72884750366211,48.998111724853516,33.101444244384766,84.88086700439453,89.57441711425781,9.978263854980469,17.713077545166016,0.0,0.0,0.0,0.0,182.85520935058594,48.998111724853516,133.85711669921875,159,62267,2,0.254693406804639,99.74210290254373
dm_panel_009,dm_panel_009.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_009.png,16,category_representative_best_masked_mse,ok,,dm_000201,sd__can__p024__loss_small__p00_generic__s2026__953199848e,sd__can__p024__loss_small__p00_generic__s2026__953199848e,p024_loss_small,canonical__p024_loss_small,p024_loss_small,p024,architecture_structured,Interior of the Church of St Bavo in Haarlem,p024_loss_small,loss_small,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,True,201,2026,2026,model_inference,cuda,data/processed/clean/p024_clean.png,data/processed/masked/p024_loss_small_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p024__loss_small__p00_generic__s2026__953199848e__restored_stable_diffusion_inpainting.png,data/processed/masks/p024_loss_small_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,20530,569294,9890,7.044208526611328,37.46554183959961,247.3333282470703,0.3839839994907379,3.5370981693267822,164.6666717529297,6.660223007202148,35.7343864440918,-38.333335876464844,241.6666717529297,3,both,0,20530,191.34727478027344,36.70309066772461,-38.333335876464844,241.6666717529297,20495,34,1,99.8295177788602,0.16561130053580128,0.004870920603994155,569294,0.0,0.0,0.0,0.0,0,0,569294,0.0,0.0,100.0,9890,91.35413360595703,98.42878723144531,-36.666664123535156,241.6666717529297,4739,7,5144,47.917087967644086,0.07077856420626896,52.01213346814965,589824,6.660223007202148,35.7343864440918,-38.333335876464844,241.6666717529297,20495,34,569295,3.474765353732639,0.005764431423611111,96.51947021484375,202.3790740966797,28.203866958618164,11.031806945800781,15.555588722229004,96.59564971923828,102.41559600830078,5.241523742675781,12.524168968200684,0.0,0.0,0.0,0.0,202.3790740966797,11.031806945800781,191.34727478027344,34,20495,1,0.16561130053580128,99.8295177788602
dm_panel_010,dm_panel_010.png,outputs/23_stable_diffusion_difference_maps/figures/stable_diffusion_difference_map_selected_panels/dm_panel_010.png,16,category_representative_best_masked_mse,ok,,dm_000457,sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5,sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5,p050_scratch_thin,canonical__p050_scratch_thin,p050_scratch_thin,p050,high_texture_brushwork,Landscape with a Sunlit Stream,p050_scratch_thin,scratch_thin,sd_inpaint_prompt_ablation_v1,p00_generic,generic_restoration,False,457,2026,2026,model_inference,cuda,data/processed/clean/p050_clean.png,data/processed/masked/p050_scratch_thin_damaged.png,data/processed/restored/stable_diffusion/canonical/p00_generic/sd__can__p050__scratch_thin__p00_generic__s2026__bb353c62b5__restored_stable_diffusion_inpainting.png,data/processed/masks/p050_scratch_thin_mask.png,restoration_eval.error_maps,3.0.0,768,768,589824,589824,9208,580616,26951,3.314718723297119,26.656116485595703,255.0,0.9310846328735352,9.217159271240234,226.6666717529297,2.383634567260742,19.809541702270508,0.0,255.0,3,both,0,9208,152.68511962890625,46.77360534667969,20.333335876464844,255.0,9208,0,0,100.0,0.0,0.0,580616,0.0,0.0,0.0,0.0,0,0,580616,0.0,0.0,100.0,26951,52.03646469116211,77.31885528564453,0.0,255.0,9189,0,17762,34.0952098252384,0.0,65.9047901747616,589824,2.383634567260742,19.809541702270508,0.0,255.0,9208,0,580616,1.5611436631944444,0.0,98.43885633680556,212.32632446289062,33.70384216308594,59.64117431640625,44.049625396728516,72.3851318359375,102.54474639892578,20.348669052124023,38.23613739013672,0.0,0.0,0.0,0.0,212.32632446289062,59.64117431640625,152.68511962890625,0,9208,0,0.0,100.0
