map_id,map_index,candidate_id,status,issue,map_asset_count,map_asset_types,error_map_version,boundary_width_pixels,boundary_mode,mask_threshold,error_vmin,error_vmax,improvement_vmin,improvement_vmax,damaged_error_map_filename,restored_error_map_filename,signed_improvement_map_filename,masked_signed_improvement_map_filename,boundary_signed_improvement_map_filename,mask_overlay_filename,boundary_overlay_filename,damaged_error_map_path,restored_error_map_path,signed_improvement_map_path,masked_signed_improvement_map_path,boundary_signed_improvement_map_path,mask_overlay_path,boundary_overlay_path,damaged_error_filename_length,restored_error_filename_length,signed_improvement_filename_length,masked_signed_improvement_filename_length,boundary_signed_improvement_filename_length,mask_overlay_filename_length,boundary_overlay_filename_length,damaged_error_file_size_bytes,restored_error_file_size_bytes,signed_improvement_file_size_bytes,masked_signed_improvement_file_size_bytes,boundary_signed_improvement_file_size_bytes,mask_overlay_file_size_bytes,boundary_overlay_file_size_bytes
dm_000001,1,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000001_der.png,dm_000001_rer.png,dm_000001_sig.png,dm_000001_msi.png,dm_000001_bsi.png,dm_000001_msk.png,dm_000001_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000001_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000001_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000001_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000001_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000001_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000001_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000001_bnd.png,17,17,17,17,17,17,17,104423,111713,86922,85116,14180,631126,632316
dm_000002,2,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000002_der.png,dm_000002_rer.png,dm_000002_sig.png,dm_000002_msi.png,dm_000002_bsi.png,dm_000002_msk.png,dm_000002_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000002_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000002_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000002_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000002_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000002_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000002_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000002_bnd.png,17,17,17,17,17,17,17,38471,35075,31731,30393,17571,704339,706957
dm_000003,3,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000003_der.png,dm_000003_rer.png,dm_000003_sig.png,dm_000003_msi.png,dm_000003_bsi.png,dm_000003_msk.png,dm_000003_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000003_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000003_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000003_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000003_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000003_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000003_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000003_bnd.png,17,17,17,17,17,17,17,93867,98487,87492,87537,50460,675436,675978
dm_000004,4,sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000004_der.png,dm_000004_rer.png,dm_000004_sig.png,dm_000004_msi.png,dm_000004_bsi.png,dm_000004_msk.png,dm_000004_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000004_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000004_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000004_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000004_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000004_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000004_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000004_bnd.png,17,17,17,17,17,17,17,40850,48219,47180,47096,53511,728164,725862
dm_000005,5,sd__can__p001__zero__p00_generic__s2026__3be104a7ae,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000005_der.png,dm_000005_rer.png,dm_000005_sig.png,dm_000005_msi.png,dm_000005_bsi.png,dm_000005_msk.png,dm_000005_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000005_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000005_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000005_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000005_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000005_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000005_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000005_bnd.png,17,17,17,17,17,17,17,4023,4023,4025,2367,2367,723881,723881
dm_000006,6,sd__can__p002__loss_large__p00_generic__s2026__59c0a6e9b9,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000006_der.png,dm_000006_rer.png,dm_000006_sig.png,dm_000006_msi.png,dm_000006_bsi.png,dm_000006_msk.png,dm_000006_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000006_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000006_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000006_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000006_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000006_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000006_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000006_bnd.png,17,17,17,17,17,17,17,56885,67690,51523,50185,12129,292239,292224
dm_000007,7,sd__can__p002__loss_small__p00_generic__s2026__0f60011f8c,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000007_der.png,dm_000007_rer.png,dm_000007_sig.png,dm_000007_msi.png,dm_000007_bsi.png,dm_000007_msk.png,dm_000007_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000007_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000007_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000007_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000007_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000007_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000007_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000007_bnd.png,17,17,17,17,17,17,17,30981,32397,24413,23389,15223,323835,324554
dm_000008,8,sd__can__p002__mixed_damage__p00_generic__s2026__9142f960af,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000008_der.png,dm_000008_rer.png,dm_000008_sig.png,dm_000008_msi.png,dm_000008_bsi.png,dm_000008_msk.png,dm_000008_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000008_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000008_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000008_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000008_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000008_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000008_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000008_bnd.png,17,17,17,17,17,17,17,47064,63981,51567,51307,43950,323137,323886
dm_000009,9,sd__can__p002__scratch_thin__p00_generic__s2026__ae2333cff6,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000009_der.png,dm_000009_rer.png,dm_000009_sig.png,dm_000009_msi.png,dm_000009_bsi.png,dm_000009_msk.png,dm_000009_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000009_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000009_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000009_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000009_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000009_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000009_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000009_bnd.png,17,17,17,17,17,17,17,26513,42336,40797,40569,45776,345345,343378
dm_000010,10,sd__can__p002__zero__p00_generic__s2026__606dc73934,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000010_der.png,dm_000010_rer.png,dm_000010_sig.png,dm_000010_msi.png,dm_000010_bsi.png,dm_000010_msk.png,dm_000010_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000010_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000010_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000010_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000010_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000010_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000010_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000010_bnd.png,17,17,17,17,17,17,17,4023,4023,4025,2367,2367,339472,339472
dm_000011,11,sd__can__p003__loss_large__p00_generic__s2026__6c339d7cc7,ok,,7,damaged_error | restored_error | signed_improvement | masked_signed_improvement | boundary_signed_improvement | mask_overlay | boundary_overlay,3.0.0,3,both,0,0.0,255.0,-242.33334350585938,242.33334350585938,dm_000011_der.png,dm_000011_rer.png,dm_000011_sig.png,dm_000011_msi.png,dm_000011_bsi.png,dm_000011_msk.png,dm_000011_bnd.png,outputs/23_stable_diffusion_difference_maps/maps/damaged_error/dm_000011_der.png,outputs/23_stable_diffusion_difference_maps/maps/restored_error/dm_000011_rer.png,outputs/23_stable_diffusion_difference_maps/maps/signed_improvement/dm_000011_sig.png,outputs/23_stable_diffusion_difference_maps/maps/masked_signed_improvement/dm_000011_msi.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_signed_improvement/dm_000011_bsi.png,outputs/23_stable_diffusion_difference_maps/maps/mask_overlay/dm_000011_msk.png,outputs/23_stable_diffusion_difference_maps/maps/boundary_overlay/dm_000011_bnd.png,17,17,17,17,17,17,17,109779,136102,114508,113265,18301,561852,562788
