summary_scope,group_columns,dataset_name,mask_type,category,prompt_variant_family,is_zero_control,evaluation_region,rows,cases,median_damaged_lpips,median_restored_lpips,median_lpips_improvement,mean_damaged_lpips,mean_restored_lpips,mean_lpips_improvement,improvement_rate,median_region_pixel_count
overall,none,,,,,,,2724,945,0.154168,0.071574,0.093542,0.178591,0.109773,0.068818,0.61674,509184.0
by_evaluation_region,evaluation_region,,,,,,full_image,945,945,0.121364,0.051201,0.072054,0.130986,0.072892,0.058093,0.592593,589824.0
by_evaluation_region,evaluation_region,,,,,,content_region,945,945,0.155152,0.069245,0.083356,0.154951,0.095241,0.05971,0.592593,436992.0
by_evaluation_region,evaluation_region,,,,,,mask_bbox_crop,834,834,0.212747,0.133162,0.159018,0.259318,0.168027,0.091291,0.671463,370881.0
by_dataset_region,dataset_name | evaluation_region,canonical,,,,,full_image,458,458,0.172127,0.039369,0.122359,0.17716,0.049217,0.127943,0.790393,589824.0
by_dataset_region,dataset_name | evaluation_region,canonical,,,,,content_region,458,458,0.198066,0.048953,0.144343,0.206785,0.065135,0.14165,0.790393,446976.0
by_dataset_region,dataset_name | evaluation_region,canonical,,,,,mask_bbox_crop,364,364,0.300115,0.071792,0.204968,0.338262,0.125783,0.212479,0.994505,509797.0
by_dataset_region,dataset_name | evaluation_region,damage_size_sensitivity,,,,,full_image,55,55,0.133736,0.047984,0.074014,0.142922,0.05425,0.088672,1.0,589824.0
by_dataset_region,dataset_name | evaluation_region,damage_size_sensitivity,,,,,content_region,55,55,0.169,0.066614,0.092753,0.17734,0.072598,0.104742,1.0,433152.0
by_dataset_region,dataset_name | evaluation_region,damage_size_sensitivity,,,,,mask_bbox_crop,55,55,0.651564,0.350367,0.295872,0.630107,0.347513,0.282594,1.0,78961.0
by_dataset_region,dataset_name | evaluation_region,mask_robustness,,,,,full_image,143,143,0.17203,0.03295,0.139745,0.195309,0.055899,0.139411,1.0,589824.0
by_dataset_region,dataset_name | evaluation_region,mask_robustness,,,,,content_region,143,143,0.22034,0.046555,0.171983,0.230839,0.071284,0.159555,1.0,433152.0
by_dataset_region,dataset_name | evaluation_region,mask_robustness,,,,,mask_bbox_crop,143,143,0.293124,0.083193,0.188034,0.331608,0.127535,0.204073,1.0,351649.0
by_dataset_region,dataset_name | evaluation_region,synthetic_degradation,,,,,full_image,289,289,0.014293,0.106764,-0.086566,0.02371,0.122369,-0.098659,0.0,589824.0
by_dataset_region,dataset_name | evaluation_region,synthetic_degradation,,,,,content_region,289,289,0.017304,0.138592,-0.111253,0.030994,0.159115,-0.128121,0.0,433152.0
by_dataset_region,dataset_name | evaluation_region,synthetic_degradation,,,,,mask_bbox_crop,272,272,0.025426,0.223022,-0.168829,0.040691,0.209555,-0.168864,0.0,346921.0
by_mask_type_region,mask_type | evaluation_region,,loss_large,,,,full_image,190,190,0.152486,0.061143,0.092751,0.162549,0.061495,0.101054,0.994737,589824.0
by_mask_type_region,mask_type | evaluation_region,,loss_large,,,,content_region,190,190,0.198066,0.081588,0.108601,0.201577,0.082127,0.11945,0.994737,435840.0
by_mask_type_region,mask_type | evaluation_region,,loss_large,,,,mask_bbox_crop,190,190,0.591812,0.296146,0.262277,0.576076,0.303102,0.272974,0.994737,113569.0
by_mask_type_region,mask_type | evaluation_region,,loss_small,,,,full_image,143,143,0.138061,0.018624,0.121007,0.148699,0.022426,0.126273,1.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,loss_small,,,,content_region,143,143,0.162297,0.024424,0.142424,0.176566,0.029483,0.147083,1.0,440064.0
by_mask_type_region,mask_type | evaluation_region,,loss_small,,,,mask_bbox_crop,143,143,0.20311,0.030979,0.172829,0.199563,0.039623,0.15994,1.0,372100.0
by_mask_type_region,mask_type | evaluation_region,,mixed_damage,,,,full_image,90,90,0.341373,0.073425,0.24659,0.322939,0.08977,0.233169,1.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,mixed_damage,,,,content_region,90,90,0.38365,0.107319,0.26218,0.371551,0.121413,0.250138,1.0,446208.0
by_mask_type_region,mask_type | evaluation_region,,mixed_damage,,,,mask_bbox_crop,90,90,0.341373,0.073425,0.24659,0.324957,0.090895,0.234061,1.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,scratch_thin,,,,full_image,139,139,0.252368,0.0462,0.179869,0.256953,0.075888,0.181066,0.992806,589824.0
by_mask_type_region,mask_type | evaluation_region,,scratch_thin,,,,content_region,139,139,0.286295,0.057098,0.185419,0.291245,0.095473,0.195772,0.992806,442368.0
by_mask_type_region,mask_type | evaluation_region,,scratch_thin,,,,mask_bbox_crop,139,139,0.276423,0.056884,0.188034,0.273133,0.084171,0.188961,0.992806,589824.0
by_mask_type_region,mask_type | evaluation_region,,zero_control,,,,full_image,94,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,zero_control,,,,content_region,94,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452352.0
by_mask_type_region,mask_type | evaluation_region,,blur,,,,full_image,35,35,0.089397,0.201029,-0.094104,0.075871,0.177122,-0.101251,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,blur,,,,content_region,35,35,0.114639,0.27787,-0.116068,0.107985,0.236641,-0.128656,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,blur,,,,mask_bbox_crop,35,35,0.126487,0.303774,-0.162069,0.121456,0.271099,-0.149644,0.0,363609.0
by_mask_type_region,mask_type | evaluation_region,,blur_fading,,,,full_image,25,25,0.020912,0.090299,-0.065567,0.021456,0.083121,-0.061665,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,blur_fading,,,,content_region,25,25,0.03392,0.115774,-0.079545,0.031666,0.111449,-0.079783,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,blur_fading,,,,mask_bbox_crop,25,25,0.058759,0.182072,-0.123314,0.062904,0.208433,-0.145528,0.0,218089.0
by_mask_type_region,mask_type | evaluation_region,,dirt_dust,,,,full_image,35,35,0.000265,0.076661,-0.076619,0.000387,0.145258,-0.144871,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,dirt_dust,,,,content_region,35,35,0.000299,0.125199,-0.125138,0.000587,0.17218,-0.171593,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,dirt_dust,,,,mask_bbox_crop,35,35,0.000265,0.080145,-0.080106,0.000393,0.146933,-0.146541,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,discolouration,,,,full_image,39,39,0.017568,0.167922,-0.135171,0.016228,0.144233,-0.128004,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,discolouration,,,,content_region,39,39,0.018861,0.235469,-0.201584,0.019588,0.19025,-0.170662,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,discolouration,,,,mask_bbox_crop,39,39,0.020371,0.259728,-0.242564,0.02302,0.247998,-0.224979,0.0,319225.0
by_mask_type_region,mask_type | evaluation_region,,fading,,,,full_image,35,35,0.021139,0.165948,-0.143339,0.01906,0.145394,-0.126334,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,fading,,,,content_region,35,35,0.023052,0.2389,-0.20309,0.025335,0.193577,-0.168242,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,fading,,,,mask_bbox_crop,35,35,0.025745,0.249061,-0.20894,0.027482,0.227211,-0.199729,0.0,391876.0
by_mask_type_region,mask_type | evaluation_region,,fading_discolouration,,,,full_image,25,25,0.007099,0.078165,-0.071066,0.009609,0.080847,-0.071238,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,fading_discolouration,,,,content_region,25,25,0.009153,0.100207,-0.091053,0.011751,0.105768,-0.094017,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,fading_discolouration,,,,mask_bbox_crop,25,25,0.021426,0.180832,-0.172308,0.017876,0.191142,-0.173266,0.0,287296.0
by_mask_type_region,mask_type | evaluation_region,,partial_transparency,,,,full_image,35,35,0.023695,0.162573,-0.136692,0.046297,0.169744,-0.123446,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,partial_transparency,,,,content_region,35,35,0.029621,0.229642,-0.196643,0.052623,0.220706,-0.168083,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,partial_transparency,,,,mask_bbox_crop,35,35,0.032016,0.269597,-0.230122,0.056782,0.278411,-0.221629,0.0,346921.0
by_mask_type_region,mask_type | evaluation_region,,water_stain,,,,full_image,35,35,0.005565,0.02416,-0.012382,0.008262,0.057341,-0.049079,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,water_stain,,,,content_region,35,35,0.007734,0.030586,-0.019276,0.010199,0.07728,-0.067081,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,water_stain,,,,mask_bbox_crop,23,23,0.021947,0.112814,-0.099291,0.021878,0.109151,-0.087273,0.0,90000.0
by_mask_type_region,mask_type | evaluation_region,,water_stain_dirt,,,,full_image,25,25,0.005014,0.018722,-0.015138,0.007874,0.052812,-0.044939,0.0,589824.0
by_mask_type_region,mask_type | evaluation_region,,water_stain_dirt,,,,content_region,25,25,0.005632,0.032775,-0.027336,0.008898,0.064829,-0.055931,0.0,433152.0
by_mask_type_region,mask_type | evaluation_region,,water_stain_dirt,,,,mask_bbox_crop,20,20,0.02227,0.113987,-0.091716,0.021674,0.124966,-0.103291,0.0,157930.0
by_zero_control_region,is_zero_control | evaluation_region,,,,,False,full_image,851,851,0.134243,0.060296,0.08513,0.145454,0.080944,0.06451,0.658049,589824.0
by_zero_control_region,is_zero_control | evaluation_region,,,,,False,content_region,851,851,0.16788,0.081384,0.10333,0.172066,0.105761,0.066306,0.658049,434688.0
by_zero_control_region,is_zero_control | evaluation_region,,,,,False,mask_bbox_crop,834,834,0.212747,0.133162,0.159018,0.259318,0.168027,0.091291,0.671463,370881.0
by_zero_control_region,is_zero_control | evaluation_region,,,,,True,full_image,94,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589824.0
by_zero_control_region,is_zero_control | evaluation_region,,,,,True,content_region,94,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452352.0
by_category_region,category | evaluation_region,,,portrait_figure,,,full_image,185,185,0.172127,0.061295,0.111897,0.175648,0.111119,0.06453,0.594595,589824.0
by_category_region,category | evaluation_region,,,portrait_figure,,,content_region,185,185,0.197398,0.073079,0.133163,0.193351,0.125169,0.068182,0.594595,509184.0
by_category_region,category | evaluation_region,,,portrait_figure,,,mask_bbox_crop,167,167,0.280618,0.185656,0.217861,0.29859,0.191123,0.107467,0.658683,390625.0
by_category_region,category | evaluation_region,,,landscape_natural,,,full_image,185,185,0.120067,0.040787,0.081544,0.126792,0.058031,0.06876,0.594595,589824.0
by_category_region,category | evaluation_region,,,landscape_natural,,,content_region,185,185,0.169,0.064868,0.108436,0.169838,0.094087,0.075752,0.594595,389376.0
by_category_region,category | evaluation_region,,,landscape_natural,,,mask_bbox_crop,167,167,0.243048,0.115643,0.186492,0.257951,0.153038,0.104913,0.658683,336400.0
by_category_region,category | evaluation_region,,,architecture_structured,,,full_image,189,189,0.153163,0.06823,0.072194,0.14358,0.074397,0.069183,0.57672,589824.0
by_category_region,category | evaluation_region,,,architecture_structured,,,content_region,189,189,0.188619,0.092004,0.095585,0.16941,0.101143,0.068267,0.57672,406272.0
by_category_region,category | evaluation_region,,,architecture_structured,,,mask_bbox_crop,165,165,0.245894,0.12007,0.172366,0.283123,0.18336,0.099764,0.660606,346921.0
by_category_region,category | evaluation_region,,,abstraction_surrealism,,,full_image,197,197,0.088328,0.046271,0.039098,0.084005,0.061554,0.022451,0.593909,589824.0
by_category_region,category | evaluation_region,,,abstraction_surrealism,,,content_region,197,197,0.101128,0.050182,0.038372,0.096341,0.081254,0.015087,0.593909,433152.0
by_category_region,category | evaluation_region,,,abstraction_surrealism,,,mask_bbox_crop,165,165,0.148089,0.062868,0.087349,0.198922,0.163021,0.035901,0.709091,412164.0
by_category_region,category | evaluation_region,,,high_texture_brushwork,,,full_image,189,189,0.126792,0.041828,0.08169,0.127748,0.060335,0.067412,0.603175,589824.0
by_category_region,category | evaluation_region,,,high_texture_brushwork,,,content_region,189,189,0.149612,0.052575,0.102917,0.149423,0.075752,0.07367,0.603175,469248.0
by_category_region,category | evaluation_region,,,high_texture_brushwork,,,mask_bbox_crop,170,170,0.232961,0.091738,0.171724,0.257597,0.150041,0.107556,0.670588,350464.0
by_prompt_family_region,prompt_variant_family | evaluation_region,,,,generic,,full_image,465,465,0.134721,0.046026,0.082615,0.142531,0.060168,0.082364,0.664516,589824.0
by_prompt_family_region,prompt_variant_family | evaluation_region,,,,generic,,content_region,465,465,0.169,0.058007,0.101073,0.167675,0.078344,0.089331,0.664516,436992.0
by_prompt_family_region,prompt_variant_family | evaluation_region,,,,generic,,mask_bbox_crop,410,410,0.257627,0.109693,0.175076,0.287418,0.157738,0.129679,0.753659,351056.5
by_prompt_family_region,prompt_variant_family | evaluation_region,,,,contextual,,full_image,480,480,0.104701,0.063044,0.049983,0.1198,0.08522,0.034581,0.522917,589824.0
by_prompt_family_region,prompt_variant_family | evaluation_region,,,,contextual,,content_region,480,480,0.132311,0.084539,0.055237,0.142624,0.111609,0.031015,0.522917,434688.0
by_prompt_family_region,prompt_variant_family | evaluation_region,,,,contextual,,mask_bbox_crop,424,424,0.189727,0.154936,0.136882,0.232146,0.177977,0.05417,0.591981,371490.5
