artifact_type,source_stage,artifact_id,artifact_path,filename,extension,exists,file_size_bytes,row_count,json_key_count,expected_to_exist
stage_manifest_json,all_batches,stage_manifest,outputs/24_stable_diffusion_lpips_metrics/manifests/stable_diffusion_lpips_metrics_stage_manifest.json,stable_diffusion_lpips_metrics_stage_manifest.json,.json,True,11755,,18.0,True
batch0_inventory_snapshot_csv,batch0,batch0_inventory_snapshot,outputs/24_stable_diffusion_lpips_metrics/inventory/batch0_project_inventory_snapshot.csv,batch0_project_inventory_snapshot.csv,.csv,True,3852768,10800.0,,True
batch0_validation_csv,batch0,batch0_validation,outputs/24_stable_diffusion_lpips_metrics/validation/batch0_validation.csv,batch0_validation.csv,.csv,True,813,12.0,,True
batch1_input_cases_csv,batch1,batch1_input_cases,outputs/24_stable_diffusion_lpips_metrics/tables/stable_diffusion_lpips_input_cases.csv,stable_diffusion_lpips_input_cases.csv,.csv,True,3726923,945.0,,True
batch1_validation_csv,batch1,batch1_validation,outputs/24_stable_diffusion_lpips_metrics/validation/batch1_input_validation.csv,batch1_input_validation.csv,.csv,True,1099,18.0,,True
batch2_smoke_metrics_csv,batch2,batch2_smoke_metrics,outputs/24_stable_diffusion_lpips_metrics/validation/stable_diffusion_lpips_smoke.csv,stable_diffusion_lpips_smoke.csv,.csv,True,7294,8.0,,True
batch2_validation_csv,batch2,batch2_validation,outputs/24_stable_diffusion_lpips_metrics/validation/batch2_smoke_validation.csv,batch2_smoke_validation.csv,.csv,True,1944,19.0,,True
batch3_lpips_metrics_csv,batch3,batch3_lpips_metrics,outputs/24_stable_diffusion_lpips_metrics/metrics/stable_diffusion_lpips_metrics.csv,stable_diffusion_lpips_metrics.csv,.csv,True,2299164,2724.0,,True
batch3_validation_csv,batch3,batch3_validation,outputs/24_stable_diffusion_lpips_metrics/validation/stable_diffusion_lpips_metrics_validation.csv,stable_diffusion_lpips_metrics_validation.csv,.csv,True,1961,18.0,,True
batch4_selected_cases_csv,batch4,batch4_selected_cases,outputs/24_stable_diffusion_lpips_metrics/analysis/stable_diffusion_lpips_selected_cases.csv,stable_diffusion_lpips_selected_cases.csv,.csv,True,79791,56.0,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0003__content_region__lpips,data/processed/clean/p001_clean.png,p001_clean.png,.png,True,723881,,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0043__content_region__lpips,data/processed/clean/p005_clean.png,p005_clean.png,.png,True,745221,,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0188__content_region__lpips,data/processed/clean/p022_clean.png,p022_clean.png,.png,True,731075,,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0228__content_region__lpips,data/processed/clean/p026_clean.png,p026_clean.png,.png,True,758090,,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0263__content_region__lpips,data/processed/clean/p029_clean.png,p029_clean.png,.png,True,689175,,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0396__content_region__lpips,data/processed/clean/p044_clean.png,p044_clean.png,.png,True,759092,,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0397__content_region__lpips,data/processed/clean/p044_clean.png,p044_clean.png,.png,True,759092,,,True
batch4_selected_reference__clean_path,batch4,strongest_improvement__content_region__sd24_0398__content_region__lpips,data/processed/clean/p044_clean.png,p044_clean.png,.png,True,759092,,,True
