summary_scope,summary_key,group_columns,row_count,feature_case_count,unique_paintings,mean_clip_damaged_similarity,mean_clip_restored_similarity,mean_clip_similarity_improvement,median_clip_similarity_improvement,mean_dinov2_damaged_similarity,mean_dinov2_restored_similarity,mean_dinov2_similarity_improvement,median_dinov2_similarity_improvement,mean_similarity_improvement,median_mean_similarity_improvement,mean_absolute_feature_model_improvement_gap,median_absolute_feature_model_improvement_gap,clip_improved_count,dinov2_improved_count,both_models_improved_count,direction_disagreement_count,clip_improvement_rate,dinov2_improvement_rate,both_models_improved_rate,direction_disagreement_rate,evaluation_region,mask_type,category,style,dataset_name,model_name,is_zero_control,feature_direction_label
overall,all_cases,,2724,945,50,0.912477,0.963251,0.050773,0.053264,0.902292,0.917884,0.015591,0.016419,0.033182,0.041676,0.06525,0.044135,1691,1490,1490,201,0.620778,0.54699,0.54699,0.073789,,,,,,,,
by_evaluation_region,content_region,evaluation_region,945,945,50,0.919176,0.966834,0.047658,0.051447,0.924816,0.931644,0.006829,0.008177,0.027244,0.033846,0.058889,0.03859,562,494,494,68,0.594709,0.522751,0.522751,0.071958,content_region,,,,,,,
by_evaluation_region,full_image,evaluation_region,945,945,50,0.928282,0.970459,0.042177,0.045342,0.907815,0.928816,0.021001,0.012963,0.031589,0.036935,0.058717,0.042057,563,502,502,61,0.595767,0.531217,0.531217,0.06455,full_image,,,,,,,
by_evaluation_region,mask_bbox_crop,evaluation_region,834,834,50,0.88698,0.951023,0.064043,0.065896,0.870513,0.889903,0.01939,0.025873,0.041716,0.048001,0.079859,0.052898,566,494,494,72,0.678657,0.592326,0.592326,0.086331,mask_bbox_crop,,,,,,,
by_mask_type_and_region,loss_large | content_region,mask_type|evaluation_region,190,190,50,0.845438,0.962,0.116562,0.116357,0.889143,0.917202,0.028058,0.044449,0.07231,0.082737,0.0962,0.079407,190,145,145,45,1.0,0.763158,0.763158,0.236842,content_region,loss_large,,,,,,
by_mask_type_and_region,loss_large | full_image,mask_type|evaluation_region,190,190,50,0.874266,0.968176,0.093909,0.092951,0.873423,0.913475,0.040052,0.046654,0.06698,0.073086,0.079294,0.06554,189,147,147,42,0.994737,0.773684,0.773684,0.221053,full_image,loss_large,,,,,,
by_mask_type_and_region,loss_large | mask_bbox_crop,mask_type|evaluation_region,190,190,50,0.745935,0.918207,0.172272,0.16904,0.744021,0.815412,0.071391,0.080883,0.121831,0.126112,0.129255,0.108702,189,143,143,46,0.994737,0.752632,0.752632,0.242105,mask_bbox_crop,loss_large,,,,,,
by_mask_type_and_region,loss_small | content_region,mask_type|evaluation_region,143,143,50,0.889058,0.982231,0.093173,0.094522,0.922672,0.972565,0.049893,0.036145,0.071533,0.062349,0.065631,0.049395,143,136,136,7,1.0,0.951049,0.951049,0.048951,content_region,loss_small,,,,,,
by_mask_type_and_region,loss_small | full_image,mask_type|evaluation_region,143,143,50,0.900362,0.986429,0.086066,0.086948,0.907563,0.971984,0.064421,0.042971,0.075244,0.068232,0.056638,0.042452,143,138,138,5,1.0,0.965035,0.965035,0.034965,full_image,loss_small,,,,,,
by_mask_type_and_region,loss_small | mask_bbox_crop,mask_type|evaluation_region,143,143,50,0.892833,0.980552,0.08772,0.081161,0.918,0.963246,0.045245,0.037034,0.066483,0.06055,0.062462,0.044575,143,133,133,10,1.0,0.93007,0.93007,0.06993,mask_bbox_crop,loss_small,,,,,,
by_mask_type_and_region,scratch_thin | content_region,mask_type|evaluation_region,139,139,50,0.900489,0.970827,0.070337,0.064281,0.887706,0.938691,0.050986,0.039069,0.060662,0.05369,0.047636,0.034372,138,123,123,15,0.992806,0.884892,0.884892,0.107914,content_region,scratch_thin,,,,,,
by_mask_type_and_region,scratch_thin | full_image,mask_type|evaluation_region,139,139,50,0.907456,0.976061,0.068605,0.066199,0.854132,0.93679,0.082658,0.077651,0.075631,0.063419,0.055041,0.047709,139,127,127,12,1.0,0.913669,0.913669,0.086331,full_image,scratch_thin,,,,,,
by_mask_type_and_region,scratch_thin | mask_bbox_crop,mask_type|evaluation_region,139,139,50,0.906995,0.975242,0.068247,0.065117,0.869432,0.937786,0.068354,0.058069,0.0683,0.057687,0.047509,0.035828,139,127,127,12,1.0,0.913669,0.913669,0.086331,mask_bbox_crop,scratch_thin,,,,,,
by_mask_type_and_region,zero_control | content_region,mask_type|evaluation_region,94,94,50,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,content_region,zero_control,,,,,,
by_mask_type_and_region,zero_control | full_image,mask_type|evaluation_region,94,94,50,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,full_image,zero_control,,,,,,
by_mask_type_and_region,mixed_damage | content_region,mask_type|evaluation_region,90,90,50,0.832137,0.960329,0.128192,0.131775,0.779081,0.902612,0.123531,0.110051,0.125861,0.111772,0.063026,0.041417,90,90,90,0,1.0,1.0,1.0,0.0,content_region,mixed_damage,,,,,,
by_mask_type_and_region,mixed_damage | full_image,mask_type|evaluation_region,90,90,50,0.837239,0.960463,0.123224,0.112746,0.715782,0.892395,0.176613,0.129056,0.149919,0.127049,0.094959,0.063816,90,90,90,0,1.0,1.0,1.0,0.0,full_image,mixed_damage,,,,,,
by_mask_type_and_region,mixed_damage | mask_bbox_crop,mask_type|evaluation_region,90,90,50,0.836171,0.959903,0.123732,0.112379,0.720513,0.892058,0.171546,0.130625,0.147639,0.127049,0.090307,0.060585,90,90,90,0,1.0,1.0,1.0,0.0,mask_bbox_crop,mixed_damage,,,,,,
by_mask_type_and_region,discolouration | content_region,mask_type|evaluation_region,39,39,5,0.996601,0.924057,-0.072544,-0.04854,0.996985,0.87127,-0.125715,-0.155266,-0.09913,-0.110334,0.079827,0.07757,0,0,0,0,0.0,0.0,0.0,0.0,content_region,discolouration,,,,,,
by_mask_type_and_region,discolouration | full_image,mask_type|evaluation_region,39,39,5,0.996671,0.925165,-0.071506,-0.064433,0.996743,0.861896,-0.134847,-0.1557,-0.103177,-0.127787,0.08607,0.061758,0,0,0,0,0.0,0.0,0.0,0.0,full_image,discolouration,,,,,,
by_mask_type_and_region,discolouration | mask_bbox_crop,mask_type|evaluation_region,39,39,5,0.996572,0.916614,-0.079958,-0.054389,0.996675,0.843423,-0.153252,-0.15001,-0.116605,-0.117746,0.090505,0.056828,0,0,0,0,0.0,0.0,0.0,0.0,mask_bbox_crop,discolouration,,,,,,
by_mask_type_and_region,blur | content_region,mask_type|evaluation_region,35,35,5,0.967922,0.927301,-0.04062,-0.023394,0.948756,0.844944,-0.103812,-0.100575,-0.072216,-0.070609,0.07459,0.062726,1,0,0,1,0.028571,0.0,0.0,0.028571,content_region,blur,,,,,,
by_mask_type_and_region,blur | full_image,mask_type|evaluation_region,35,35,5,0.973086,0.934592,-0.038494,-0.015713,0.937249,0.845714,-0.091535,-0.079855,-0.065015,-0.057097,0.066244,0.049015,2,0,0,2,0.057143,0.0,0.0,0.057143,full_image,blur,,,,,,
by_mask_type_and_region,blur | mask_bbox_crop,mask_type|evaluation_region,35,35,5,0.958437,0.920573,-0.037864,-0.012282,0.933837,0.826929,-0.106908,-0.094528,-0.072386,-0.068674,0.077383,0.062632,5,1,1,4,0.142857,0.028571,0.028571,0.114286,mask_bbox_crop,blur,,,,,,
by_mask_type_and_region,dirt_dust | content_region,mask_type|evaluation_region,35,35,5,0.999808,0.958029,-0.041779,-0.035084,0.999591,0.966489,-0.033102,-0.028154,-0.037441,-0.026109,0.013895,0.010657,0,0,0,0,0.0,0.0,0.0,0.0,content_region,dirt_dust,,,,,,
by_mask_type_and_region,dirt_dust | full_image,mask_type|evaluation_region,35,35,5,0.999852,0.956223,-0.04363,-0.035673,0.999682,0.960829,-0.038852,-0.029113,-0.041241,-0.027261,0.012689,0.00713,0,0,0,0,0.0,0.0,0.0,0.0,full_image,dirt_dust,,,,,,
by_mask_type_and_region,dirt_dust | mask_bbox_crop,mask_type|evaluation_region,35,35,5,0.999849,0.956372,-0.043477,-0.035796,0.999665,0.960565,-0.0391,-0.029113,-0.041289,-0.027308,0.012628,0.006656,0,0,0,0,0.0,0.0,0.0,0.0,mask_bbox_crop,dirt_dust,,,,,,
by_mask_type_and_region,fading | content_region,mask_type|evaluation_region,35,35,5,0.993419,0.934744,-0.058675,-0.044931,0.992893,0.864997,-0.127896,-0.12543,-0.093285,-0.096098,0.081892,0.079518,0,0,0,0,0.0,0.0,0.0,0.0,content_region,fading,,,,,,
by_mask_type_and_region,fading | full_image,mask_type|evaluation_region,35,35,5,0.992257,0.940593,-0.051664,-0.042002,0.989883,0.872541,-0.117343,-0.125149,-0.084503,-0.094922,0.074857,0.075542,0,0,0,0,0.0,0.0,0.0,0.0,full_image,fading,,,,,,
by_mask_type_and_region,fading | mask_bbox_crop,mask_type|evaluation_region,35,35,5,0.991456,0.927523,-0.063933,-0.050275,0.991493,0.848225,-0.143268,-0.146448,-0.103601,-0.098677,0.083274,0.090699,0,0,0,0,0.0,0.0,0.0,0.0,mask_bbox_crop,fading,,,,,,
by_mask_type_and_region,partial_transparency | content_region,mask_type|evaluation_region,35,35,5,0.990362,0.93187,-0.058492,-0.041835,0.985219,0.854298,-0.130921,-0.147621,-0.094707,-0.108831,0.081693,0.056035,0,0,0,0,0.0,0.0,0.0,0.0,content_region,partial_transparency,,,,,,
by_mask_type_and_region,partial_transparency | full_image,mask_type|evaluation_region,35,35,5,0.987524,0.93644,-0.051085,-0.033648,0.983266,0.850748,-0.132518,-0.14173,-0.091801,-0.102614,0.086537,0.075514,0,0,0,0,0.0,0.0,0.0,0.0,full_image,partial_transparency,,,,,,
by_mask_type_and_region,partial_transparency | mask_bbox_crop,mask_type|evaluation_region,35,35,5,0.988541,0.930727,-0.057813,-0.038799,0.98247,0.81817,-0.1643,-0.149935,-0.111057,-0.106289,0.110262,0.090951,0,0,0,0,0.0,0.0,0.0,0.0,mask_bbox_crop,partial_transparency,,,,,,
