artifact_id,batch,artifact_role,artifact_type,path,required,file_exists,is_file,is_directory,size_bytes,csv_rows,csv_columns,png_count,status,issue,notes
010_batch1_input_cases_csv,batch1,input_cases_csv,csv,outputs/25_stable_diffusion_feature_similarity/tables/stable_diffusion_feature_input_cases.csv,True,True,True,False,3981426,945.0,336.0,0,ok,,Discovered from notebook global: BATCH1_INPUT_CASES_PATH
011_batch1_validation_csv,batch1,validation_csv,validation_csv,outputs/25_stable_diffusion_feature_similarity/validation/batch1_input_validation.csv,True,True,True,False,2144,23.0,6.0,0,ok,,Discovered from notebook global: BATCH1_VALIDATION_PATH
012_batch2_validation_csv,batch2,validation_csv,validation_csv,outputs/25_stable_diffusion_feature_similarity/validation/batch2_smoke_validation.csv,True,True,True,False,2229,19.0,6.0,0,ok,,Discovered from notebook global: BATCH2_VALIDATION_PATH
001_batch3_feature_similarity_metrics,batch3,feature_similarity_metrics,csv,outputs/25_stable_diffusion_feature_similarity/metrics/stable_diffusion_feature_similarity_metrics.csv,True,True,True,False,2467756,2724.0,59.0,0,ok,,
013_batch3_validation_csv,batch3,validation_csv,validation_csv,outputs/25_stable_diffusion_feature_similarity/validation/stable_diffusion_feature_similarity_metrics_validation.csv,True,True,True,False,3678,31.0,6.0,0,ok,,Discovered from notebook global: BATCH3_VALIDATION_PATH
003_batch4_selected_cases_csv,batch4,selected_cases_csv,csv,outputs/25_stable_diffusion_feature_similarity/analysis/stable_diffusion_feature_similarity_selected_cases.csv,True,True,True,False,58616,60.0,39.0,0,ok,,
002_batch4_summary_csv,batch4,summary_csv,csv,outputs/25_stable_diffusion_feature_similarity/analysis/stable_diffusion_feature_similarity_summary.csv,True,True,True,False,25433,90.0,34.0,0,ok,,
004_batch4_validation_csv,batch4,validation_csv,validation_csv,outputs/25_stable_diffusion_feature_similarity/validation/batch4_analysis_validation.csv,True,True,True,False,1441,13.0,6.0,0,ok,,
007_batch5_aggregate_figure_directory,batch5,aggregate_figure_directory,directory,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_aggregate_plots,True,True,False,True,527112,,,5,ok,,
005_batch5_figure_manifest_csv,batch5,figure_manifest_csv,csv,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_figure_manifest.csv,True,True,True,False,19358,65.0,14.0,0,ok,,
008_batch5_selected_case_panel_directory,batch5,selected_case_panel_directory,directory,outputs/25_stable_diffusion_feature_similarity/figures/stable_diffusion_feature_similarity_selected_case_panels,True,True,False,True,5776632,,,60,ok,,
006_batch5_validation_csv,batch5,validation_csv,validation_csv,outputs/25_stable_diffusion_feature_similarity/validation/batch5_figure_validation.csv,True,True,True,False,741,9.0,6.0,0,ok,,
009_stage_stage_manifest_json,stage,stage_manifest_json,json,outputs/25_stable_diffusion_feature_similarity/manifests/stable_diffusion_feature_similarity_stage_manifest.json,False,True,True,False,11188,,,0,ok,,
