feature_row_id,feature_case_id,metric_case_id,restoration_case_id,source_case_id,source_case_id_original,case_id,dataset_name,metric_applicability,painting_id,category,title,artist,style,model_name,mask_id,mask_type,metric_mask_id,metric_mask_type,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,mask_area_pixels,is_zero_control,mask_threshold_rule,mask_bbox_margin,feature_input_size,clip_model_name,clip_model_revision,dinov2_model_name,dinov2_model_revision,clean_embedding_id,damaged_embedding_id,restored_embedding_id,embedding_group_id,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,mean_similarity_improvement,metric_runtime_seconds,case_runtime_seconds,feature_similarity_schema_version,feature_similarity_implementation_name,device,python_version,numpy_version,pandas_version,pillow_version,torch_version,torchvision_version,transformers_version,status,issue
sd24_0001__full_image__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,full_image,589824,0,0,768,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0001__full_image__clean,sd24_0001__full_image__damaged,sd24_0001__full_image__restored,canonical__p001__full_image,0.7656404972076416,0.9096142053604126,0.143973708152771,0.9003574848175049,0.9768934845924377,0.07653599977493286,0.11025485396385193,0.3318665999977384,0.7765794000006281,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0001__content_region__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,content_region,509184,52,0,715,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0001__content_region__clean,sd24_0001__content_region__damaged,sd24_0001__content_region__restored,canonical__p001__content_region,0.7647113800048828,0.9002927541732788,0.135581374168396,0.8845031261444092,0.9737405776977539,0.08923745155334473,0.11240941286087036,0.1883942999993451,0.7765794000006281,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0001__mask_bbox_crop__feature_similarity,sd24_0001,sd24_0001,sd__can__p001__loss_large__p00_generic__s2026__9441d9b074,p001_loss_large,p001_loss_large,p001_loss_large,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_loss_large,loss_large,p001_loss_large,loss_large,mask_bbox_crop,198025,197,0,642,445,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0001__mask_bbox_crop__clean,sd24_0001__mask_bbox_crop__damaged,sd24_0001__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.6968082785606384,0.929973304271698,0.23316502571105957,0.7667974233627319,0.94178307056427,0.17498564720153809,0.20407533645629883,0.16492559999460354,0.7765794000006281,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0002__full_image__feature_similarity,sd24_0002,sd24_0002,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,p001_loss_small,p001_loss_small,p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_loss_small,loss_small,p001_loss_small,loss_small,full_image,589824,0,0,768,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0002__full_image__clean,sd24_0002__full_image__damaged,sd24_0002__full_image__restored,canonical__p001__full_image,0.8789300322532654,0.9949832558631897,0.11605322360992432,0.9145395755767822,0.9969382882118225,0.08239871263504028,0.0992259681224823,0.19967689999612048,0.6909275999933016,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0002__content_region__feature_similarity,sd24_0002,sd24_0002,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,p001_loss_small,p001_loss_small,p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_loss_small,loss_small,p001_loss_small,loss_small,content_region,509184,52,0,715,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0002__content_region__clean,sd24_0002__content_region__damaged,sd24_0002__content_region__restored,canonical__p001__content_region,0.8871951103210449,0.9947478771209717,0.10755276679992676,0.9191185235977173,0.9976944923400879,0.0785759687423706,0.09306436777114868,0.20136000000638887,0.6909275999933016,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0002__mask_bbox_crop__feature_similarity,sd24_0002,sd24_0002,sd__can__p001__loss_small__p00_generic__s2026__d6c5849fa0,p001_loss_small,p001_loss_small,p001_loss_small,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_loss_small,loss_small,p001_loss_small,loss_small,mask_bbox_crop,525625,0,23,725,748,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0002__mask_bbox_crop__clean,sd24_0002__mask_bbox_crop__damaged,sd24_0002__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.8775657415390015,0.9968463182449341,0.11928057670593262,0.9412903189659119,0.998586893081665,0.057296574115753174,0.0882885754108429,0.18613590000313707,0.6909275999933016,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0003__full_image__feature_similarity,sd24_0003,sd24_0003,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,full_image,589824,0,0,768,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0003__full_image__clean,sd24_0003__full_image__damaged,sd24_0003__full_image__restored,canonical__p001__full_image,0.6738892793655396,0.9117696285247803,0.23788034915924072,0.7721320986747742,0.9683548808097839,0.19622278213500977,0.21705156564712524,0.204709699988598,0.694867099984549,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0003__content_region__feature_similarity,sd24_0003,sd24_0003,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,content_region,509184,52,0,715,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0003__content_region__clean,sd24_0003__content_region__damaged,sd24_0003__content_region__restored,canonical__p001__content_region,0.6879823207855225,0.8767296671867371,0.1887473464012146,0.7524926662445068,0.9702326059341431,0.21773993968963623,0.20324364304542542,0.1915539000183344,0.694867099984549,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0003__mask_bbox_crop__feature_similarity,sd24_0003,sd24_0003,sd__can__p001__mixed_damage__p00_generic__s2026__6b27938af9,p001_mixed_damage,p001_mixed_damage,p001_mixed_damage,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_mixed_damage,mixed_damage,p001_mixed_damage,mixed_damage,mask_bbox_crop,589824,0,0,768,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0003__mask_bbox_crop__clean,sd24_0003__mask_bbox_crop__damaged,sd24_0003__mask_bbox_crop__restored,canonical__p001__mask_bbox_crop,0.6738892793655396,0.9117696285247803,0.23788034915924072,0.7721320986747742,0.9683548808097839,0.19622278213500977,0.21705156564712524,0.20515389999491163,0.694867099984549,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
sd24_0004__full_image__feature_similarity,sd24_0004,sd24_0004,sd__can__p001__scratch_thin__p00_generic__s2026__ccbc26b41e,p001_scratch_thin,p001_scratch_thin,p001_scratch_thin,canonical,primary,p001,portrait_figure,Juan de Pareja,Diego Velázquez,,stable_diffusion_inpainting,p001_scratch_thin,scratch_thin,p001_scratch_thin,scratch_thin,full_image,589824,0,0,768,768,0,True,> 127,8,224,openai/clip-vit-base-patch32,default,dinov2_vits14,torchhub-default,sd24_0004__full_image__clean,sd24_0004__full_image__damaged,sd24_0004__full_image__restored,canonical__p001__full_image,0.7972686290740967,0.9021209478378296,0.10485231876373291,0.8988736867904663,0.9477450847625732,0.048871397972106934,0.07686185836791992,0.19318770000245422,0.7073830000008456,2.1.0,restoration_eval.metrics_feature_similarity,cuda,3.12.6,1.26.4,2.3.3,9.5.0,2.5.1+cu121,0.20.1+cu121,4.48.3,ok,
