section,item,value,note
audit_shape,candidate_rows,945,
audit_shape,column_count,417,
evidence,metric_columns,24,
evidence,difference_map_columns,60,
evidence,prompt_columns,18,
evidence,seed_columns,15,
evidence,runtime_columns,6,
evidence,memory_columns,6,
candidate_status,successful,945,
runtime,full_generation_duration_seconds__non_null,143,
runtime,full_generation_duration_seconds__median,194.468145,
runtime,full_generation_duration_seconds__p90,194.468145,
runtime,runtime_seconds__non_null,945,
runtime,runtime_seconds__median,9.624446400004672,
runtime,runtime_seconds__p90,10.468638980001561,
runtime,lpips__metric_runtime_seconds__non_null,945,
runtime,lpips__metric_runtime_seconds__median,0.06868873333830071,
runtime,lpips__metric_runtime_seconds__p90,0.0781434666724332,
runtime,lpips__case_runtime_seconds__non_null,945,
runtime,lpips__case_runtime_seconds__median,0.3465626000252086,
runtime,lpips__case_runtime_seconds__p90,0.3944045999960508,
memory,before_cuda_memory_allocated_bytes__non_null,945,
memory,before_cuda_memory_allocated_bytes__median,2180775424.0,
memory,before_cuda_memory_allocated_bytes__p90,2180775424.0,
memory,before_cuda_memory_reserved_bytes__non_null,945,
memory,before_cuda_memory_reserved_bytes__median,3258974208.0,
memory,before_cuda_memory_reserved_bytes__p90,3258974208.0,
memory,before_cuda_max_memory_allocated_bytes__non_null,945,
memory,before_cuda_max_memory_allocated_bytes__median,2821253632.0,
memory,before_cuda_max_memory_allocated_bytes__p90,2821253632.0,
memory,after_cuda_memory_allocated_bytes__non_null,945,
memory,after_cuda_memory_allocated_bytes__median,2180775424.0,
memory,after_cuda_memory_allocated_bytes__p90,2180775424.0,
memory,after_cuda_memory_reserved_bytes__non_null,945,
memory,after_cuda_memory_reserved_bytes__median,3258974208.0,
memory,after_cuda_memory_reserved_bytes__p90,3258974208.0,
metric,classical__damaged_mae__non_null,945,
metric,classical__damaged_mae__median,31.347423362731934,
metric,classical__damaged_mae__best_observed,0.0,
metric_direction,classical__damaged_mae,lower_is_better,
metric,classical__damaged_mse__non_null,945,
metric,classical__damaged_mse__median,4519.455078125,
metric,classical__damaged_mse__best_observed,0.0,
metric_direction,classical__damaged_mse,lower_is_better,
metric,classical__damaged_psnr__non_null,945,
metric,classical__damaged_psnr__median,inf,
metric,classical__damaged_psnr__best_observed,inf,
metric_direction,classical__damaged_psnr,higher_is_better,
metric,classical__damaged_ssim__non_null,945,
metric,classical__damaged_ssim__median,0.9489465835793233,
metric,classical__damaged_ssim__best_observed,1.0,
metric_direction,classical__damaged_ssim,higher_is_better,
metric,classical__mae_improvement__non_null,945,
metric,classical__mae_improvement__median,24.108897018432618,
metric,classical__mae_improvement__best_observed,78.91218605041504,
metric_direction,classical__mae_improvement,higher_is_better,
metric,classical__mse_improvement__non_null,945,
metric,classical__mse_improvement__median,4076.0509799957267,
metric,classical__mse_improvement__best_observed,18689.016273498535,
metric_direction,classical__mse_improvement,higher_is_better,
metric,classical__psnr_improvement__non_null,945,
metric,classical__psnr_improvement__median,7.287989076945829,
metric,classical__psnr_improvement__best_observed,25.358453213487664,
metric_direction,classical__psnr_improvement,higher_is_better,
metric,classical__restored_mae__non_null,945,
metric,classical__restored_mae__median,6.228218847513199,
metric,classical__restored_mae__best_observed,0.0,
metric_direction,classical__restored_mae,lower_is_better,
metric,classical__restored_mse__non_null,945,
metric,classical__restored_mse__median,336.2927185058594,
metric,classical__restored_mse__best_observed,0.0,
metric_direction,classical__restored_mse,lower_is_better,
metric,classical__restored_psnr__non_null,945,
metric,classical__restored_psnr__median,inf,
metric,classical__restored_psnr__best_observed,inf,
metric_direction,classical__restored_psnr,higher_is_better,
metric,classical__restored_ssim__non_null,945,
metric,classical__restored_ssim__median,0.9446327701434672,
metric,classical__restored_ssim__best_observed,1.0,
metric_direction,classical__restored_ssim,higher_is_better,
metric,classical__ssim_improvement__non_null,945,
metric,classical__ssim_improvement__median,0.010523276591376399,
metric,classical__ssim_improvement__best_observed,0.17059412208422575,
metric_direction,classical__ssim_improvement,higher_is_better,
metric,difference_map__boundary_signed_improvement_file_size_bytes__non_null,945,
metric,difference_map__boundary_signed_improvement_file_size_bytes__median,16592.0,
metric,difference_map__boundary_signed_improvement_file_size_bytes__best_observed,72759.0,
metric_direction,difference_map__boundary_signed_improvement_file_size_bytes,higher_is_better,
metric,difference_map__boundary_signed_improvement_filename_length__non_null,945,
metric,difference_map__boundary_signed_improvement_filename_length__median,17.0,
metric,difference_map__boundary_signed_improvement_filename_length__best_observed,17.0,
metric_direction,difference_map__boundary_signed_improvement_filename_length,higher_is_better,
metric,difference_map__masked_signed_improvement_file_size_bytes__non_null,945,
metric,difference_map__masked_signed_improvement_file_size_bytes__median,52615.0,
metric,difference_map__masked_signed_improvement_file_size_bytes__best_observed,401838.0,
metric_direction,difference_map__masked_signed_improvement_file_size_bytes,higher_is_better,
metric,difference_map__masked_signed_improvement_filename_length__non_null,945,
metric,difference_map__masked_signed_improvement_filename_length__median,17.0,
metric,difference_map__masked_signed_improvement_filename_length__best_observed,17.0,
metric_direction,difference_map__masked_signed_improvement_filename_length,higher_is_better,
metric,difference_map__signed_improvement_file_size_bytes__non_null,945,
metric,difference_map__signed_improvement_file_size_bytes__median,53617.0,
metric,difference_map__signed_improvement_file_size_bytes__best_observed,400835.0,
metric_direction,difference_map__signed_improvement_file_size_bytes,higher_is_better,
metric,difference_map__signed_improvement_filename_length__non_null,945,
metric,difference_map__signed_improvement_filename_length__median,17.0,
metric,difference_map__signed_improvement_filename_length__best_observed,17.0,
metric_direction,difference_map__signed_improvement_filename_length,higher_is_better,
metric,lpips__damaged_lpips__non_null,945,
metric,lpips__damaged_lpips__median,0.17688075204690293,
metric,lpips__damaged_lpips__best_observed,0.0,
metric_direction,lpips__damaged_lpips,lower_is_better,
metric,lpips__is_zero_control__non_null,945,
metric,lpips__is_zero_control__median,0.0,
metric,lpips__is_zero_control__best_observed,0.0,
metric_direction,lpips__is_zero_control,lower_is_better,
metric,lpips__lpips_improvement__non_null,945,
metric,lpips__lpips_improvement__median,0.09716572612524026,
metric,lpips__lpips_improvement__best_observed,0.4091247171163559,
metric_direction,lpips__lpips_improvement,higher_is_better,
metric,lpips__lpips_input_size__non_null,945,
metric,lpips__lpips_input_size__median,256.0,
metric,lpips__lpips_input_size__best_observed,256.0,
metric_direction,lpips__lpips_input_size,lower_is_better,
metric,lpips__prompt_ablation_subset__non_null,945,
metric,lpips__prompt_ablation_subset__median,1.0,
metric,lpips__prompt_ablation_subset__best_observed,0.0,
metric_direction,lpips__prompt_ablation_subset,lower_is_better,
metric,lpips__restored_lpips__non_null,945,
metric,lpips__restored_lpips__median,0.09223162382841106,
metric,lpips__restored_lpips__best_observed,0.0,
metric_direction,lpips__restored_lpips,lower_is_better,
