figure_order,figure_id,figure_group,title,caption,file_path,relative_path,source_table,source_rows,candidate_rows,representative_role,report_candidate_id,evidence_columns,notes,file_exists,is_png,file_size_bytes,width_px,height_px,png_readable,html_ready,validation_message
1,sd_candidate_metric_rank_distribution,aggregate_plot,Stable Diffusion Candidate Mean Metric-Rank Distribution,Distribution of candidate-level mean percentile ranks across available selected-region metrics.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\aggregate_plots\candidate_metric_rank_distribution.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/aggregate_plots/candidate_metric_rank_distribution.png,batch4_report_audit_df,945,945,,,batch4_rank__classical_damaged_mae;batch4_rank__classical_damaged_mse;batch4_rank__classical_damaged_psnr;batch4_rank__classical_damaged_ssim;batch4_rank__classical_mae_improvement;batch4_rank__classical_mse_improvement;batch4_rank__classical_psnr_improvement;batch4_rank__classical_restored_mae;batch4_rank__classical_restored_mse;batch4_rank__classical_restored_psnr;batch4_rank__classical_restored_ssim;batch4_rank__classical_ssim_improvement;batch4_rank__difference_map_boundary_signed_improvement_file_size_bytes;batch4_rank__difference_map_boundary_signed_improvement_filename_length;batch4_rank__difference_map_masked_signed_improvement_file_size_bytes;batch4_rank__difference_map_masked_signed_improvement_filename_length;batch4_rank__difference_map_signed_improvement_file_size_bytes;batch4_rank__difference_map_signed_improvement_filename_length;batch4_rank__lpips_damaged_lpips;batch4_rank__lpips_is_zero_control;batch4_rank__lpips_lpips_improvement;batch4_rank__lpips_lpips_input_size;batch4_rank__lpips_prompt_ablation_subset;batch4_rank__lpips_restored_lpips,,True,True,50486,1322,816,True,True,
2,sd_candidate_status_distribution,aggregate_plot,Stable Diffusion Candidate Status Distribution,"Counts of candidate-level restoration statuses used to identify successful, warning, and unknown cases.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\aggregate_plots\candidate_status_distribution.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/aggregate_plots/candidate_status_distribution.png,batch4_report_audit_df,945,945,,,batch3_candidate_status,,True,True,34922,1252,869,True,True,
3,sd_metric_evidence_coverage,aggregate_plot,Stable Diffusion Metric Evidence Coverage,Coverage of numeric metric columns after Batch 2 consolidation. Low-coverage metrics are visible instead of silently dropped.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\aggregate_plots\metric_evidence_coverage.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/aggregate_plots/metric_evidence_coverage.png,batch4_report_audit_df,945,945,,,classical__damaged_mae;classical__damaged_mse;classical__damaged_psnr;classical__damaged_ssim;classical__mae_improvement;classical__mse_improvement;classical__psnr_improvement;classical__restored_mae;classical__restored_mse;classical__restored_psnr;classical__restored_ssim;classical__ssim_improvement;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__signed_improvement_filename_length;lpips__damaged_lpips;lpips__is_zero_control;lpips__lpips_improvement;lpips__lpips_input_size;lpips__prompt_ablation_subset;lpips__restored_lpips,,True,True,188741,2449,1082,True,True,
4,sd_metric_family_coverage,aggregate_plot,Stable Diffusion Metric Family Coverage,"Compact overview of classical, LPIPS, and feature-metric evidence available for report discussion.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\aggregate_plots\metric_family_coverage.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/aggregate_plots/metric_family_coverage.png,batch4_report_audit_df,945,945,,,classical__damaged_mae;classical__damaged_mse;classical__damaged_psnr;classical__damaged_ssim;classical__mae_improvement;classical__mse_improvement;classical__psnr_improvement;classical__restored_mae;classical__restored_mse;classical__restored_psnr;classical__restored_ssim;classical__ssim_improvement;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__signed_improvement_filename_length;lpips__damaged_lpips;lpips__is_zero_control;lpips__lpips_improvement;lpips__lpips_input_size;lpips__prompt_ablation_subset;lpips__restored_lpips,,True,True,52612,1290,851,True,True,
5,sd_representative_candidate_policy_overview,aggregate_plot,Stable Diffusion Representative Candidate Policy Overview,"Metric-rank positions of selected representative candidates. Roles are policy selections, not claims of universal restoration quality.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\aggregate_plots\representative_candidate_policy_overview.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/aggregate_plots/representative_candidate_policy_overview.png,batch4_representative_candidates_df,8,7,,,representative_role;metric_rank_mean,,True,True,72809,1937,816,True,True,
6,sd_runtime_vs_metric_rank,aggregate_plot,Stable Diffusion Runtime Versus Metric Evidence,Candidate runtime reference plotted against mean metric rank to expose expensive candidates and possible tradeoffs.,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\aggregate_plots\runtime_vs_metric_rank.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/aggregate_plots/runtime_vs_metric_rank.png,batch4_report_audit_df,945,945,,,batch4_runtime_numeric__full_generation_duration_seconds;batch4_runtime_numeric__runtime_seconds;batch4_runtime_numeric__lpips_metric_runtime_seconds;batch4_runtime_numeric__lpips_case_runtime_seconds;batch4_metric_rank_mean,,True,True,109475,1330,872,True,True,
7,sd_candidate_panel__difference_map_available_candidate__sd_candidate_189f26cdeed04200,representative_candidate_panel,Representative Candidate Panel: difference_map_available_candidate,"Selected Stable Diffusion candidate panel combining available visual evidence, metric-policy context, and difference-map evidence where available.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\candidate_panels\sd_candidate_panel__difference_map_available_candidate__sd_candidate_189f26cdeed04200.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/candidate_panels/sd_candidate_panel__difference_map_available_candidate__sd_candidate_189f26cdeed04200.png,batch4_representative_candidates_df + batch4_report_audit_df,945,1,difference_map_available_candidate,sd_candidate_189f26cdeed04200,difference_map__damaged_error_map_path;difference_map__damaged_error_map_filename;difference_map__damaged_error_filename_length;difference_map__damaged_error_file_size_bytes;difference_map__restored_error_map_path;difference_map__restored_error_map_filename;difference_map__restored_error_filename_length;difference_map__restored_error_file_size_bytes;difference_map__status;difference_map__error_map_version;difference_map__error_vmin;difference_map__error_vmax;difference_map__error_map_module;difference_map__damaged_error_mean_full;difference_map__damaged_error_std_full;difference_map__damaged_error_max_full;difference_map__restored_error_mean_full;difference_map__restored_error_std_full;difference_map__restored_error_max_full;difference_map__damaged_error_masked_mean;difference_map__damaged_error_masked_std;difference_map__restored_error_masked_mean;difference_map__restored_error_masked_std;difference_map__damaged_error_boundary_mean;difference_map__damaged_error_boundary_std;difference_map__restored_error_boundary_mean;difference_map__restored_error_boundary_std;difference_map__damaged_error_outside_mask_mean;difference_map__damaged_error_outside_mask_std;difference_map__restored_error_outside_mask_mean;difference_map__restored_error_outside_mask_std;difference_map__damaged_error_mean_masked;difference_map__restored_error_mean_masked;clean_path;mask_path;damaged_path;source_metadata_path;base_mask_path;sensitivity_mask_path;effect_mask_path;degraded_path;clean_path_normalized;clean_path_exists;clean_path_in_inventory;damaged_path_normalized;damaged_path_exists;damaged_path_in_inventory;mask_path_normalized;mask_path_exists;mask_path_in_inventory;all_required_paths_present;all_required_paths_in_inventory;restored_path;difference_map__clean_path;difference_map__damaged_path;difference_map__restored_path;difference_map__mask_path;difference_map__signed_improvement_map_path;difference_map__masked_signed_improvement_map_path;difference_map__boundary_signed_improvement_map_path;difference_map__mask_overlay_path;difference_map__boundary_overlay_path;difference_map__signed_improvement_map_filename;difference_map__signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_map_filename;difference_map__masked_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_map_filename;difference_map__boundary_signed_improvement_filename_length;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__mask_overlay_filename;difference_map__mask_overlay_filename_length;difference_map__mask_overlay_file_size_bytes;difference_map__boundary_overlay_filename;difference_map__boundary_overlay_filename_length;difference_map__boundary_overlay_file_size_bytes;difference_map__image_height;difference_map__image_width;clean_filename;mask_filename;damaged_filename;damaged_file_size_bytes;sensitivity_mask_filename;sensitivity_mask_file_size_bytes;mask_file_size_bytes;mean_absolute_difference_effect;maximum_absolute_difference;effect_mask_filename;degraded_filename;effect_mask_file_size_bytes;degraded_file_size_bytes;all_required_files_exist;restored_filename;inside_mask_max_abs_diff;outside_mask_max_abs_diff;diffusers_version;batch3_has_difference_map;classical__damaged_mae;classical__damaged_mse;classical__damaged_psnr;classical__damaged_ssim;classical__mae_improvement;classical__mse_improvement;classical__psnr_improvement;classical__restored_mae;classical__restored_mse;classical__restored_psnr;classical__restored_ssim;classical__ssim_improvement;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__signed_improvement_filename_length;lpips__damaged_lpips;lpips__is_zero_control;lpips__lpips_improvement;lpips__lpips_input_size;lpips__prompt_ablation_subset;lpips__restored_lpips,built_with_restored_candidate,True,True,172853,1550,653,True,True,
8,sd_candidate_panel__fast_successful_candidate__sd_candidate_72d917e63e54e65c,representative_candidate_panel,Representative Candidate Panel: fast_successful_candidate,"Selected Stable Diffusion candidate panel combining available visual evidence, metric-policy context, and difference-map evidence where available.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\candidate_panels\sd_candidate_panel__fast_successful_candidate__sd_candidate_72d917e63e54e65c.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/candidate_panels/sd_candidate_panel__fast_successful_candidate__sd_candidate_72d917e63e54e65c.png,batch4_representative_candidates_df + batch4_report_audit_df,945,1,fast_successful_candidate,sd_candidate_72d917e63e54e65c,difference_map__damaged_error_map_path;difference_map__damaged_error_map_filename;difference_map__damaged_error_filename_length;difference_map__damaged_error_file_size_bytes;difference_map__restored_error_map_path;difference_map__restored_error_map_filename;difference_map__restored_error_filename_length;difference_map__restored_error_file_size_bytes;difference_map__status;difference_map__error_map_version;difference_map__error_vmin;difference_map__error_vmax;difference_map__error_map_module;difference_map__damaged_error_mean_full;difference_map__damaged_error_std_full;difference_map__damaged_error_max_full;difference_map__restored_error_mean_full;difference_map__restored_error_std_full;difference_map__restored_error_max_full;difference_map__damaged_error_masked_mean;difference_map__damaged_error_masked_std;difference_map__restored_error_masked_mean;difference_map__restored_error_masked_std;difference_map__damaged_error_boundary_mean;difference_map__damaged_error_boundary_std;difference_map__restored_error_boundary_mean;difference_map__restored_error_boundary_std;difference_map__damaged_error_outside_mask_mean;difference_map__damaged_error_outside_mask_std;difference_map__restored_error_outside_mask_mean;difference_map__restored_error_outside_mask_std;difference_map__damaged_error_mean_masked;difference_map__restored_error_mean_masked;clean_path;mask_path;damaged_path;source_metadata_path;base_mask_path;sensitivity_mask_path;effect_mask_path;degraded_path;clean_path_normalized;clean_path_exists;clean_path_in_inventory;damaged_path_normalized;damaged_path_exists;damaged_path_in_inventory;mask_path_normalized;mask_path_exists;mask_path_in_inventory;all_required_paths_present;all_required_paths_in_inventory;restored_path;difference_map__clean_path;difference_map__damaged_path;difference_map__restored_path;difference_map__mask_path;difference_map__signed_improvement_map_path;difference_map__masked_signed_improvement_map_path;difference_map__boundary_signed_improvement_map_path;difference_map__mask_overlay_path;difference_map__boundary_overlay_path;difference_map__signed_improvement_map_filename;difference_map__signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_map_filename;difference_map__masked_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_map_filename;difference_map__boundary_signed_improvement_filename_length;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__mask_overlay_filename;difference_map__mask_overlay_filename_length;difference_map__mask_overlay_file_size_bytes;difference_map__boundary_overlay_filename;difference_map__boundary_overlay_filename_length;difference_map__boundary_overlay_file_size_bytes;difference_map__image_height;difference_map__image_width;clean_filename;mask_filename;damaged_filename;damaged_file_size_bytes;sensitivity_mask_filename;sensitivity_mask_file_size_bytes;mask_file_size_bytes;mean_absolute_difference_effect;maximum_absolute_difference;effect_mask_filename;degraded_filename;effect_mask_file_size_bytes;degraded_file_size_bytes;all_required_files_exist;restored_filename;inside_mask_max_abs_diff;outside_mask_max_abs_diff;diffusers_version;batch3_has_difference_map;classical__damaged_mae;classical__damaged_mse;classical__damaged_psnr;classical__damaged_ssim;classical__mae_improvement;classical__mse_improvement;classical__psnr_improvement;classical__restored_mae;classical__restored_mse;classical__restored_psnr;classical__restored_ssim;classical__ssim_improvement;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__signed_improvement_filename_length;lpips__damaged_lpips;lpips__is_zero_control;lpips__lpips_improvement;lpips__lpips_input_size;lpips__prompt_ablation_subset;lpips__restored_lpips,built_with_restored_candidate,True,True,71421,1550,653,True,True,
9,sd_candidate_panel__high_memory_candidate__sd_candidate_000c396305a705f7,representative_candidate_panel,Representative Candidate Panel: high_memory_candidate,"Selected Stable Diffusion candidate panel combining available visual evidence, metric-policy context, and difference-map evidence where available.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\candidate_panels\sd_candidate_panel__high_memory_candidate__sd_candidate_000c396305a705f7.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/candidate_panels/sd_candidate_panel__high_memory_candidate__sd_candidate_000c396305a705f7.png,batch4_representative_candidates_df + batch4_report_audit_df,945,1,high_memory_candidate,sd_candidate_000c396305a705f7,difference_map__damaged_error_map_path;difference_map__damaged_error_map_filename;difference_map__damaged_error_filename_length;difference_map__damaged_error_file_size_bytes;difference_map__restored_error_map_path;difference_map__restored_error_map_filename;difference_map__restored_error_filename_length;difference_map__restored_error_file_size_bytes;difference_map__status;difference_map__error_map_version;difference_map__error_vmin;difference_map__error_vmax;difference_map__error_map_module;difference_map__damaged_error_mean_full;difference_map__damaged_error_std_full;difference_map__damaged_error_max_full;difference_map__restored_error_mean_full;difference_map__restored_error_std_full;difference_map__restored_error_max_full;difference_map__damaged_error_masked_mean;difference_map__damaged_error_masked_std;difference_map__restored_error_masked_mean;difference_map__restored_error_masked_std;difference_map__damaged_error_boundary_mean;difference_map__damaged_error_boundary_std;difference_map__restored_error_boundary_mean;difference_map__restored_error_boundary_std;difference_map__damaged_error_outside_mask_mean;difference_map__damaged_error_outside_mask_std;difference_map__restored_error_outside_mask_mean;difference_map__restored_error_outside_mask_std;difference_map__damaged_error_mean_masked;difference_map__restored_error_mean_masked;clean_path;mask_path;damaged_path;source_metadata_path;base_mask_path;sensitivity_mask_path;effect_mask_path;degraded_path;clean_path_normalized;clean_path_exists;clean_path_in_inventory;damaged_path_normalized;damaged_path_exists;damaged_path_in_inventory;mask_path_normalized;mask_path_exists;mask_path_in_inventory;all_required_paths_present;all_required_paths_in_inventory;restored_path;difference_map__clean_path;difference_map__damaged_path;difference_map__restored_path;difference_map__mask_path;difference_map__signed_improvement_map_path;difference_map__masked_signed_improvement_map_path;difference_map__boundary_signed_improvement_map_path;difference_map__mask_overlay_path;difference_map__boundary_overlay_path;difference_map__signed_improvement_map_filename;difference_map__signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_map_filename;difference_map__masked_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_map_filename;difference_map__boundary_signed_improvement_filename_length;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__mask_overlay_filename;difference_map__mask_overlay_filename_length;difference_map__mask_overlay_file_size_bytes;difference_map__boundary_overlay_filename;difference_map__boundary_overlay_filename_length;difference_map__boundary_overlay_file_size_bytes;difference_map__image_height;difference_map__image_width;clean_filename;mask_filename;damaged_filename;damaged_file_size_bytes;sensitivity_mask_filename;sensitivity_mask_file_size_bytes;mask_file_size_bytes;mean_absolute_difference_effect;maximum_absolute_difference;effect_mask_filename;degraded_filename;effect_mask_file_size_bytes;degraded_file_size_bytes;all_required_files_exist;restored_filename;inside_mask_max_abs_diff;outside_mask_max_abs_diff;diffusers_version;batch3_has_difference_map;classical__damaged_mae;classical__damaged_mse;classical__damaged_psnr;classical__damaged_ssim;classical__mae_improvement;classical__mse_improvement;classical__psnr_improvement;classical__restored_mae;classical__restored_mse;classical__restored_psnr;classical__restored_ssim;classical__ssim_improvement;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__signed_improvement_filename_length;lpips__damaged_lpips;lpips__is_zero_control;lpips__lpips_improvement;lpips__lpips_input_size;lpips__prompt_ablation_subset;lpips__restored_lpips,built_with_restored_candidate,True,True,252996,1550,653,True,True,
10,sd_candidate_panel__median_metric_evidence__sd_candidate_e0253d35510ef0c0,representative_candidate_panel,Representative Candidate Panel: median_metric_evidence,"Selected Stable Diffusion candidate panel combining available visual evidence, metric-policy context, and difference-map evidence where available.",D:\Masters\FH\Thesis\painting-restoration-eval\outputs\26_stable_diffusion_report_generation\figures\stable_diffusion_report\candidate_panels\sd_candidate_panel__median_metric_evidence__sd_candidate_e0253d35510ef0c0.png,outputs/26_stable_diffusion_report_generation/figures/stable_diffusion_report/candidate_panels/sd_candidate_panel__median_metric_evidence__sd_candidate_e0253d35510ef0c0.png,batch4_representative_candidates_df + batch4_report_audit_df,945,1,median_metric_evidence,sd_candidate_e0253d35510ef0c0,difference_map__damaged_error_map_path;difference_map__damaged_error_map_filename;difference_map__damaged_error_filename_length;difference_map__damaged_error_file_size_bytes;difference_map__restored_error_map_path;difference_map__restored_error_map_filename;difference_map__restored_error_filename_length;difference_map__restored_error_file_size_bytes;difference_map__status;difference_map__error_map_version;difference_map__error_vmin;difference_map__error_vmax;difference_map__error_map_module;difference_map__damaged_error_mean_full;difference_map__damaged_error_std_full;difference_map__damaged_error_max_full;difference_map__restored_error_mean_full;difference_map__restored_error_std_full;difference_map__restored_error_max_full;difference_map__damaged_error_masked_mean;difference_map__damaged_error_masked_std;difference_map__restored_error_masked_mean;difference_map__restored_error_masked_std;difference_map__damaged_error_boundary_mean;difference_map__damaged_error_boundary_std;difference_map__restored_error_boundary_mean;difference_map__restored_error_boundary_std;difference_map__damaged_error_outside_mask_mean;difference_map__damaged_error_outside_mask_std;difference_map__restored_error_outside_mask_mean;difference_map__restored_error_outside_mask_std;difference_map__damaged_error_mean_masked;difference_map__restored_error_mean_masked;clean_path;mask_path;damaged_path;source_metadata_path;base_mask_path;sensitivity_mask_path;effect_mask_path;degraded_path;clean_path_normalized;clean_path_exists;clean_path_in_inventory;damaged_path_normalized;damaged_path_exists;damaged_path_in_inventory;mask_path_normalized;mask_path_exists;mask_path_in_inventory;all_required_paths_present;all_required_paths_in_inventory;restored_path;difference_map__clean_path;difference_map__damaged_path;difference_map__restored_path;difference_map__mask_path;difference_map__signed_improvement_map_path;difference_map__masked_signed_improvement_map_path;difference_map__boundary_signed_improvement_map_path;difference_map__mask_overlay_path;difference_map__boundary_overlay_path;difference_map__signed_improvement_map_filename;difference_map__signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_map_filename;difference_map__masked_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_map_filename;difference_map__boundary_signed_improvement_filename_length;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__mask_overlay_filename;difference_map__mask_overlay_filename_length;difference_map__mask_overlay_file_size_bytes;difference_map__boundary_overlay_filename;difference_map__boundary_overlay_filename_length;difference_map__boundary_overlay_file_size_bytes;difference_map__image_height;difference_map__image_width;clean_filename;mask_filename;damaged_filename;damaged_file_size_bytes;sensitivity_mask_filename;sensitivity_mask_file_size_bytes;mask_file_size_bytes;mean_absolute_difference_effect;maximum_absolute_difference;effect_mask_filename;degraded_filename;effect_mask_file_size_bytes;degraded_file_size_bytes;all_required_files_exist;restored_filename;inside_mask_max_abs_diff;outside_mask_max_abs_diff;diffusers_version;batch3_has_difference_map;classical__damaged_mae;classical__damaged_mse;classical__damaged_psnr;classical__damaged_ssim;classical__mae_improvement;classical__mse_improvement;classical__psnr_improvement;classical__restored_mae;classical__restored_mse;classical__restored_psnr;classical__restored_ssim;classical__ssim_improvement;difference_map__boundary_signed_improvement_file_size_bytes;difference_map__boundary_signed_improvement_filename_length;difference_map__masked_signed_improvement_file_size_bytes;difference_map__masked_signed_improvement_filename_length;difference_map__signed_improvement_file_size_bytes;difference_map__signed_improvement_filename_length;lpips__damaged_lpips;lpips__is_zero_control;lpips__lpips_improvement;lpips__lpips_input_size;lpips__prompt_ablation_subset;lpips__restored_lpips,built_with_restored_candidate,True,True,134002,1550,653,True,True,
