case_id,painting_id,base_mask_type,target_percentage_content,deterministic_seed_policy,global_seed,realised_percentage_content,absolute_percentage_error_content,deterministic_seed,sensitivity_mask_path,damaged_path,sensitivity_mask_sha256,damaged_sha256,generator_name,generator_version,generated_at_utc,status
p001__loss_large__size_02pct,p001,loss_large,2.0,sha256(global_seed|painting_id|base_mask_type),20260505,1.9971169557566617,0.0028830442433382952,1367668169,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_02pct_mask.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_02pct_damaged.png,e3e0d93c3a2eb8c155d69f96eaf3ca0a39371ecb9cc661ed078e60bc6e8ba61e,81ed188b91023ee75526315e2a2a87a71beefa282ae8e0a146f0fec8992ce45f,damage_size_sensitivity,1.1.0,2026-07-23T11:01:32.654077+00:00,ok
p001__loss_large__size_04pct,p001,loss_large,4.0,sha256(global_seed|painting_id|base_mask_type),20260505,3.9848070638511817,0.015192936148818337,1367668169,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_04pct_mask.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_04pct_damaged.png,037408f4addcfd6a0df660e0ede71febbf7cf20f50b6c97540f3b95d08ae55dd,6a914558f5e4ac8ebf934440a7e30fa4f95ba24fbca58c23bd619e355430b8bd,damage_size_sensitivity,1.1.0,2026-07-23T11:01:33.280565+00:00,ok
p001__loss_large__size_06pct,p001,loss_large,6.0,sha256(global_seed|painting_id|base_mask_type),20260505,6.002741641528406,0.002741641528405836,1367668169,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_06pct_mask.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_06pct_damaged.png,5574c3e0b95b53b61064b3352125046b231535e371ed505a91cf04b231ab0f62,4d8c329a2b346002c4671229d7857104c7d142a1bc06459dc7a05a461774da2d,damage_size_sensitivity,1.1.0,2026-07-23T11:01:33.901388+00:00,ok
p001__loss_large__size_08pct,p001,loss_large,8.0,sha256(global_seed|painting_id|base_mask_type),20260505,8.009874622926093,0.009874622926092869,1367668169,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_08pct_mask.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_08pct_damaged.png,d2ecf880483f259495f9627f799be85113e04778efb9f473f120d711476bd7b2,366323ccd499deaf01d591695d732de660d44aef60af36036d2ad04bc6e7da6e,damage_size_sensitivity,1.1.0,2026-07-23T11:01:34.487830+00:00,ok
p001__loss_large__size_10pct,p001,loss_large,10.0,sha256(global_seed|painting_id|base_mask_type),20260505,9.997368338360985,0.0026316616390147374,1367668169,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_10pct_mask.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_10pct_damaged.png,7d20b0c2c6ee6afa540dc5bdc0f837f61f8eba0c66db8d56eb60fb1f7ded205e,875e372d35488bc485bedbe62a16fc59a02d779a6440db81c1e101eae2290f39,damage_size_sensitivity,1.1.0,2026-07-23T11:01:35.059113+00:00,ok
p001__loss_large__size_15pct,p001,loss_large,15.0,sha256(global_seed|painting_id|base_mask_type),20260505,14.999096593765712,0.0009034062342880844,1367668169,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_15pct_mask.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_15pct_damaged.png,5d761021e83dd9db865d16e22290845ecc209b2517ec205e54034b3a9aa5e4df,21d2251fee196070ee6ea1133ef92e9fa6751c5e3bc18ebee36221552013c50b,damage_size_sensitivity,1.1.0,2026-07-23T11:01:35.654000+00:00,ok
p001__loss_large__size_20pct,p001,loss_large,20.0,sha256(global_seed|painting_id|base_mask_type),20260505,20.02557032428356,0.025570324283560097,1367668169,data/processed/masks/damage_size_sensitivity/p001__loss_large__size_20pct_mask.png,data/processed/damaged/damage_size_sensitivity/p001__loss_large__size_20pct_damaged.png,d581350e8744c11d75aa1dd87497730193b837bf37ae5bef1db8f829405e2479,482cd1eed1acabb059e89cec123a4670a6f0ed1a0006b6d60b2cb981d1ac5985,damage_size_sensitivity,1.1.0,2026-07-23T11:01:36.237699+00:00,ok
p018__loss_large__size_02pct,p018,loss_large,2.0,sha256(global_seed|painting_id|base_mask_type),20260505,1.997298241288626,0.002701758711374014,115339684,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_02pct_mask.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_02pct_damaged.png,70ffcf2c2b4712331aba7f9df3a3751f66ac0787a22c23081037d355f6a4163b,f80038e7f81c1bd32fca3c6aa4bc3a2c0bc629924c2d4384fcd1f36cfa8e7e35,damage_size_sensitivity,1.1.0,2026-07-23T11:01:36.892653+00:00,ok
p018__loss_large__size_04pct,p018,loss_large,4.0,sha256(global_seed|painting_id|base_mask_type),20260505,3.9886895956607495,0.011310404339250457,115339684,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_04pct_mask.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_04pct_damaged.png,e05fff6100976513f351980062f5ed347b6f0512274c66bd9fb35b23cf71ff96,e33a5d6ac897f464764e846a576df6e1de5bfc308d290442ec19f532bd13e760,damage_size_sensitivity,1.1.0,2026-07-23T11:01:37.313615+00:00,ok
p018__loss_large__size_06pct,p018,loss_large,6.0,sha256(global_seed|painting_id|base_mask_type),20260505,6.0114131328073634,0.011413132807363446,115339684,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_06pct_mask.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_06pct_damaged.png,07f396a32f83c07924a1eacf7623f44f0904bf5c28eabbcd0143cb6a081f6b88,9dfb5944aa41e41ba563068687d257ea947f2df89b0adc40f9e1d795c253f638,damage_size_sensitivity,1.1.0,2026-07-23T11:01:37.759081+00:00,ok
p018__loss_large__size_08pct,p018,loss_large,8.0,sha256(global_seed|painting_id|base_mask_type),20260505,8.009995479947403,0.009995479947402686,115339684,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_08pct_mask.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_08pct_damaged.png,aed1e45828f838811cb041e885216af4a0e78ee3fd61d33cbb0d58fdbbef2a13,76adb93b80d3db52e74387cd3f2b8efd7c706584f5bec58d4a2b8fddb8288222,damage_size_sensitivity,1.1.0,2026-07-23T11:01:38.188418+00:00,ok
p018__loss_large__size_10pct,p018,loss_large,10.0,sha256(global_seed|painting_id|base_mask_type),20260505,10.010632396449704,0.010632396449704373,115339684,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_10pct_mask.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_10pct_damaged.png,40e864bfaef8ae761b580bcd0b24684d36e2db85004a68244fdfca4f3f545836,8bd85be641ba6413f55cb008f03bfe5330f12c05eff24d7dd0590f594ac1da58,damage_size_sensitivity,1.1.0,2026-07-23T11:01:38.616723+00:00,ok
p018__loss_large__size_15pct,p018,loss_large,15.0,sha256(global_seed|painting_id|base_mask_type),20260505,14.97832429322814,0.021675706771860703,115339684,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_15pct_mask.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_15pct_damaged.png,6bf05921a588610391f9273164747e8da8dee2fe2f1e0503ca62b641b5b766e0,b6009af1055bcfa94209652a541273ad520b5434d33707a97b9648573a91bb72,damage_size_sensitivity,1.1.0,2026-07-23T11:01:39.062002+00:00,ok
p018__loss_large__size_20pct,p018,loss_large,20.0,sha256(global_seed|painting_id|base_mask_type),20260505,20.01561472715319,0.015614727153188568,115339684,data/processed/masks/damage_size_sensitivity/p018__loss_large__size_20pct_mask.png,data/processed/damaged/damage_size_sensitivity/p018__loss_large__size_20pct_damaged.png,0104a23a1f7fb2b22db215e49e726ce4d0c77d81dbcc3e9ce097e4ac4397f62c,b8b6b7126f36fa399298f8ca9ba09ac466cf100f200bf580a393e66cca967f70,damage_size_sensitivity,1.1.0,2026-07-23T11:01:39.490643+00:00,ok
p026__loss_large__size_02pct,p026,loss_large,2.0,sha256(global_seed|painting_id|base_mask_type),20260505,2.0053067895400125,0.005306789540012513,2820786575,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_02pct_mask.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_02pct_damaged.png,f3765fe8e4af33f835a6603a68f8b9076213c3d084c4e444d05473df38ea4aaa,cff6e450ffcbd2d0f19d1058d7d4dcd4d7dd90c20f111a95d811466fa351e576,damage_size_sensitivity,1.1.0,2026-07-23T11:01:39.985672+00:00,ok
p026__loss_large__size_04pct,p026,loss_large,4.0,sha256(global_seed|painting_id|base_mask_type),20260505,3.9980604127284183,0.001939587271581722,2820786575,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_04pct_mask.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_04pct_damaged.png,59d2d4a77accc227d4bab5bc41dbcff9947b38bec832a53a21d6d936103e9ccb,6cc2938e94fa1c4f227e8499e02bb838f2725136fbd8ff9777a90cb397b4fef1,damage_size_sensitivity,1.1.0,2026-07-23T11:01:40.320447+00:00,ok
p026__loss_large__size_06pct,p026,loss_large,6.0,sha256(global_seed|painting_id|base_mask_type),20260505,6.008043872085696,0.008043872085695902,2820786575,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_06pct_mask.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_06pct_damaged.png,37eabb715d65c8e705fcefaa3da16811e796b0ec2168c468ff9d0a8da788a44e,74cc74cbb9dc6dbf55460d72dd2efe3c4b991f94383a0954d427bdc09d1db724,damage_size_sensitivity,1.1.0,2026-07-23T11:01:40.641166+00:00,ok
p026__loss_large__size_08pct,p026,loss_large,8.0,sha256(global_seed|painting_id|base_mask_type),20260505,7.986767485822306,0.013232514177693666,2820786575,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_08pct_mask.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_08pct_damaged.png,0fdbba0af2c98ef80a003bc40d8f2c239b9a7b4741ac88bcc462938074172493,bbd975fe27cb1c16aee288f3a330b6e9c1338ebc35065fa09b788f584204624a,damage_size_sensitivity,1.1.0,2026-07-23T11:01:40.972655+00:00,ok
p026__loss_large__size_10pct,p026,loss_large,10.0,sha256(global_seed|painting_id|base_mask_type),20260505,9.998720069313169,0.0012799306868309657,2820786575,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_10pct_mask.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_10pct_damaged.png,8501d0097c0b75dafbc9832e475eb0d9e0041cedfeed28e4145e3711a4558d5d,4a3145aaaaa579b1bc89b9bf6625de1a0e96f5d7dac2f49523bef7629cf29b4d,damage_size_sensitivity,1.1.0,2026-07-23T11:01:41.300766+00:00,ok
p026__loss_large__size_15pct,p026,loss_large,15.0,sha256(global_seed|painting_id|base_mask_type),20260505,15.00398747637051,0.003987476370509668,2820786575,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_15pct_mask.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_15pct_damaged.png,732474090a278371dc14ac8a0b91ab2466ded8fadceec861613b38b91c692e13,a241b61fd52ab99b3e11842fefaf224000aa095a6bfa453ff523bcbe04df920c,damage_size_sensitivity,1.1.0,2026-07-23T11:01:41.622406+00:00,ok
p026__loss_large__size_20pct,p026,loss_large,20.0,sha256(global_seed|painting_id|base_mask_type),20260505,19.98660995589162,0.013390044108380295,2820786575,data/processed/masks/damage_size_sensitivity/p026__loss_large__size_20pct_mask.png,data/processed/damaged/damage_size_sensitivity/p026__loss_large__size_20pct_damaged.png,140f1a2e9aa5c0628089f63f4dd7a49066abf48c628dbf79a45007609fbaad1c,e1ad000fba6d4738d607b57b09218f95a719ed01883267ea22005e58248591a2,damage_size_sensitivity,1.1.0,2026-07-23T11:01:41.955279+00:00,ok
p039__loss_large__size_02pct,p039,loss_large,2.0,sha256(global_seed|painting_id|base_mask_type),20260505,2.0046080821513,0.004608082151300152,2859847220,data/processed/masks/damage_size_sensitivity/p039__loss_large__size_02pct_mask.png,data/processed/damaged/damage_size_sensitivity/p039__loss_large__size_02pct_damaged.png,6a74c655d3511b55a1288726bd68267d2597b0708ee68100f7855e7252108bfa,095e17d977651b1c7beea28219a106d319d7c76861cb949cbd3ccee2fbea6a7e,damage_size_sensitivity,1.1.0,2026-07-23T11:01:42.388152+00:00,ok
p039__loss_large__size_04pct,p039,loss_large,4.0,sha256(global_seed|painting_id|base_mask_type),20260505,4.000674128250591,0.0006741282505906554,2859847220,data/processed/masks/damage_size_sensitivity/p039__loss_large__size_04pct_mask.png,data/processed/damaged/damage_size_sensitivity/p039__loss_large__size_04pct_damaged.png,f8453f236fb4b1f8ce6e391a81fc764582bc82227c7b3d8902985c3a5cb0fc87,caddcc42816e8df3a398b7e420216c42fedb1314c16534a02a78205487a3e101,damage_size_sensitivity,1.1.0,2026-07-23T11:01:42.789747+00:00,ok
p039__loss_large__size_06pct,p039,loss_large,6.0,sha256(global_seed|painting_id|base_mask_type),20260505,5.9907376625295505,0.009262337470449467,2859847220,data/processed/masks/damage_size_sensitivity/p039__loss_large__size_06pct_mask.png,data/processed/damaged/damage_size_sensitivity/p039__loss_large__size_06pct_damaged.png,9a53d05bb9621b0f51e31425188c9028a4c31ae90664886baf7aad9efe0e5f2d,bd3127c06564120426c11a3adde6821949a5cd40e089f1db6252df0cf5cd0688,damage_size_sensitivity,1.1.0,2026-07-23T11:01:43.192902+00:00,ok
p039__loss_large__size_08pct,p039,loss_large,8.0,sha256(global_seed|painting_id|base_mask_type),20260505,7.986341976950355,0.013658023049645251,2859847220,data/processed/masks/damage_size_sensitivity/p039__loss_large__size_08pct_mask.png,data/processed/damaged/damage_size_sensitivity/p039__loss_large__size_08pct_damaged.png,efa893c54ceb9dbce934b8050bb714b2776b248fc61e9db9475710e46d5187cf,947cb1b76847500a5e76b7fc8a40f13754159bc433fcc37b6e8d742682bd5310,damage_size_sensitivity,1.1.0,2026-07-23T11:01:43.589127+00:00,ok
p039__loss_large__size_10pct,p039,loss_large,10.0,sha256(global_seed|painting_id|base_mask_type),20260505,10.020731752364066,0.02073175236406577,2859847220,data/processed/masks/damage_size_sensitivity/p039__loss_large__size_10pct_mask.png,data/processed/damaged/damage_size_sensitivity/p039__loss_large__size_10pct_damaged.png,f7e36fe2d60e6908ddc247e81eefaf6eaefd576fbcc0e70f7489820a3a21b07e,d872eebd0f1706057ef21a3b3cf8291c23f3076361f1c9fb63f59d2a71207d15,damage_size_sensitivity,1.1.0,2026-07-23T11:01:43.991094+00:00,ok
p039__loss_large__size_15pct,p039,loss_large,15.0,sha256(global_seed|painting_id|base_mask_type),20260505,14.987117686170214,0.01288231382978644,2859847220,data/processed/masks/damage_size_sensitivity/p039__loss_large__size_15pct_mask.png,data/processed/damaged/damage_size_sensitivity/p039__loss_large__size_15pct_damaged.png,5e04ea9cf7b004995e2578356cbeba0881e6104a4076fcf5a74878063e00a6af,0e6a11093da6c1c98061bbf5ced5d283b350cf568c2881d73e14ca8253a4c264,damage_size_sensitivity,1.1.0,2026-07-23T11:01:44.398491+00:00,ok
