case_id,category,mask_type,selection_reasons,selection_count,has_uncertainty_heatmap,has_texture_disagreement,case_diagnostic_grid_path,case_report_html_path,uncertainty_masked_mean_uncertainty,uncertainty_boundary_mean_uncertainty,uncertainty_outside_mask_mean_uncertainty,case_diagnostic_grid_path_exists,case_report_html_path_exists
p009_loss_large,portrait_figure,loss_large,category_representative__portrait_figure; highest_stable_diffusion_boundary_uncertainty; highest_stable_diffusion_masked_uncertainty,3,True,True,outputs/figures/case_diagnostics/selected_case_grids/p009_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p009_loss_large_case_diagnostic.html,37.62174606323242,8.28358268737793,3.7987701892852783,True,True
p011_loss_large,landscape_natural,loss_large,category_representative__landscape_natural; highest_stable_diffusion_masked_uncertainty; mask_type_representative__loss_large,3,True,True,outputs/figures/case_diagnostics/selected_case_grids/p011_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p011_loss_large_case_diagnostic.html,38.24580001831055,4.813465118408203,1.5599974393844604,True,True
p001_loss_large,portrait_figure,loss_large,lama_strong_refined_metric_wins; stable_diffusion_low_refined_metric_wins; texture_refined_disagreement,3,False,True,outputs/figures/case_diagnostics/selected_case_grids/p001_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p001_loss_large_case_diagnostic.html,,,,True,True
p011_mixed_damage,landscape_natural,mixed_damage,highest_stable_diffusion_masked_uncertainty; mask_type_representative__mixed_damage,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p011_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p011_mixed_damage_case_diagnostic.html,24.741758346557617,4.385313987731934,1.7836830615997314,True,True
p031_loss_large,abstraction_surrealism,loss_large,category_representative__abstraction_surrealism; highest_stable_diffusion_masked_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p031_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p031_loss_large_case_diagnostic.html,27.72749328613281,7.723886489868164,3.0941431522369385,True,True
p041_loss_large,high_texture_brushwork,loss_large,high_texture_brushwork_representative; highest_stable_diffusion_boundary_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p041_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p041_loss_large_case_diagnostic.html,16.199604034423828,10.067052841186523,3.367184400558472,True,True
p041_loss_small,high_texture_brushwork,loss_small,high_texture_brushwork_representative; highest_stable_diffusion_boundary_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p041_loss_small_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p041_loss_small_case_diagnostic.html,13.953582763671877,9.221172332763672,3.3167850971221924,True,True
p041_mixed_damage,high_texture_brushwork,mixed_damage,high_texture_brushwork_representative; highest_stable_diffusion_boundary_uncertainty,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p041_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p041_mixed_damage_case_diagnostic.html,18.26451301574707,10.275064468383787,3.833238124847412,True,True
p043_loss_large,high_texture_brushwork,loss_large,category_representative__high_texture_brushwork; high_texture_brushwork_representative,2,True,True,outputs/figures/case_diagnostics/selected_case_grids/p043_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p043_loss_large_case_diagnostic.html,21.62515640258789,6.009873390197754,2.034850597381592,True,True
p009_mixed_damage,portrait_figure,mixed_damage,highest_stable_diffusion_boundary_uncertainty,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p009_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p009_mixed_damage_case_diagnostic.html,21.4506893157959,8.090476036071777,3.770991563796997,True,True
p018_scratch_thin,landscape_natural,scratch_thin,mask_type_representative__scratch_thin,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p018_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p018_scratch_thin_case_diagnostic.html,15.35952377319336,4.709848880767822,2.0840365886688232,True,True
p026_loss_large,architecture_structured,loss_large,category_representative__architecture_structured,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p026_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p026_loss_large_case_diagnostic.html,21.28169059753418,5.811616897583008,2.12684965133667,True,True
p031_mixed_damage,abstraction_surrealism,mixed_damage,stable_diffusion_low_refined_metric_wins,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p031_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p031_mixed_damage_case_diagnostic.html,17.724803924560547,6.311362266540527,3.122543811798096,True,True
p031_scratch_thin,abstraction_surrealism,scratch_thin,stable_diffusion_low_refined_metric_wins,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p031_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p031_scratch_thin_case_diagnostic.html,12.58636474609375,5.724575519561768,3.180925130844116,True,True
p037_loss_large,abstraction_surrealism,loss_large,highest_stable_diffusion_masked_uncertainty,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p037_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p037_loss_large_case_diagnostic.html,25.15011405944824,3.5728683471679688,1.6218587160110474,True,True
p037_loss_small,abstraction_surrealism,loss_small,mask_type_representative__loss_small,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p037_loss_small_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p037_loss_small_case_diagnostic.html,22.33177757263184,5.407199382781982,1.7943834066390991,True,True
p037_scratch_thin,abstraction_surrealism,scratch_thin,opencv_strong_refined_metric_wins,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p037_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p037_scratch_thin_case_diagnostic.html,12.810831069946287,4.282959461212158,2.0764236450195312,True,True
p041_scratch_thin,high_texture_brushwork,scratch_thin,high_texture_brushwork_representative,1,True,True,outputs/figures/case_diagnostics/selected_case_grids/p041_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p041_scratch_thin_case_diagnostic.html,10.916192054748535,7.015199661254883,3.933914422988892,True,True
p001_loss_small,portrait_figure,loss_small,texture_refined_disagreement,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p001_loss_small_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p001_loss_small_case_diagnostic.html,,,,True,True
p001_mixed_damage,portrait_figure,mixed_damage,texture_refined_disagreement,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p001_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p001_mixed_damage_case_diagnostic.html,,,,True,True
p001_scratch_thin,portrait_figure,scratch_thin,texture_refined_disagreement,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p001_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p001_scratch_thin_case_diagnostic.html,,,,True,True
p002_loss_large,portrait_figure,loss_large,texture_refined_disagreement,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p002_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p002_loss_large_case_diagnostic.html,,,,True,True
p002_loss_small,portrait_figure,loss_small,texture_refined_disagreement,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p002_loss_small_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p002_loss_small_case_diagnostic.html,,,,True,True
p002_mixed_damage,portrait_figure,mixed_damage,texture_refined_disagreement,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p002_mixed_damage_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p002_mixed_damage_case_diagnostic.html,,,,True,True
p002_scratch_thin,portrait_figure,scratch_thin,texture_refined_disagreement,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p002_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p002_scratch_thin_case_diagnostic.html,,,,True,True
p019_loss_large,landscape_natural,loss_large,lama_strong_refined_metric_wins,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p019_loss_large_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p019_loss_large_case_diagnostic.html,,,,True,True
p019_loss_small,landscape_natural,loss_small,lama_strong_refined_metric_wins,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p019_loss_small_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p019_loss_small_case_diagnostic.html,,,,True,True
p024_scratch_thin,architecture_structured,scratch_thin,opencv_strong_refined_metric_wins,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p024_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p024_scratch_thin_case_diagnostic.html,,,,True,True
p030_scratch_thin,architecture_structured,scratch_thin,opencv_strong_refined_metric_wins,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p030_scratch_thin_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p030_scratch_thin_case_diagnostic.html,,,,True,True
p032_loss_small,abstraction_surrealism,loss_small,stable_diffusion_low_refined_metric_wins,1,False,True,outputs/figures/case_diagnostics/selected_case_grids/p032_loss_small_case_diagnostic_grid.png,outputs/reports/case_diagnostics/selected_cases/p032_loss_small_case_diagnostic.html,,,,True,True
