case_id,painting_id,category,mask_type,overall_metric_vote,texture_winner_model
p043_loss_large,p043,high_texture_brushwork,loss_large,lama,stable_diffusion_inpainting
p033_loss_large,p033,abstraction_surrealism,loss_large,lama,stable_diffusion_inpainting
p040_loss_large,p040,abstraction_surrealism,loss_large,opencv_telea,stable_diffusion_inpainting
p039_loss_large,p039,abstraction_surrealism,loss_large,lama,stable_diffusion_inpainting
p046_loss_large,p046,high_texture_brushwork,loss_large,lama,stable_diffusion_inpainting
p005_loss_large,p005,portrait_figure,loss_large,lama,stable_diffusion_inpainting
p030_loss_large,p030,architecture_structured,loss_large,lama,stable_diffusion_inpainting
p045_loss_large,p045,high_texture_brushwork,loss_large,lama,stable_diffusion_inpainting
p035_loss_large,p035,abstraction_surrealism,loss_large,lama,stable_diffusion_inpainting
p009_loss_large,p009,portrait_figure,loss_large,lama,stable_diffusion_inpainting
p017_loss_large,p017,landscape_natural,loss_large,tie_lama_opencv_telea,stable_diffusion_inpainting
p038_loss_large,p038,abstraction_surrealism,loss_large,lama,stable_diffusion_inpainting
p007_loss_large,p007,portrait_figure,loss_large,lama,stable_diffusion_inpainting
p048_loss_large,p048,high_texture_brushwork,loss_large,lama,stable_diffusion_inpainting
p015_loss_large,p015,landscape_natural,loss_large,tie_lama_opencv_telea,stable_diffusion_inpainting
p041_mixed_damage,p041,high_texture_brushwork,mixed_damage,tie_lama_opencv_telea,lama
p016_mixed_damage,p016,landscape_natural,mixed_damage,tie_lama_opencv_telea,lama
p034_loss_large,p034,abstraction_surrealism,loss_large,lama,stable_diffusion_inpainting
p020_loss_large,p020,landscape_natural,loss_large,tie_lama_opencv_telea,lama
p041_loss_small,p041,high_texture_brushwork,loss_small,tie_lama_opencv_telea,lama
p029_loss_large,p029,architecture_structured,loss_large,lama,stable_diffusion_inpainting
p027_loss_large,p027,architecture_structured,loss_large,lama,stable_diffusion_inpainting
p050_loss_small,p050,high_texture_brushwork,loss_small,tie_lama_opencv_telea,lama
p041_loss_large,p041,high_texture_brushwork,loss_large,tie_lama_opencv_telea,stable_diffusion_inpainting
p027_loss_small,p027,architecture_structured,loss_small,tie_lama_opencv_telea,lama
p050_mixed_damage,p050,high_texture_brushwork,mixed_damage,tie_lama_opencv_telea,lama
p042_scratch_thin,p042,high_texture_brushwork,scratch_thin,tie_lama_opencv_telea,lama
p036_loss_large,p036,abstraction_surrealism,loss_large,lama,stable_diffusion_inpainting
p030_loss_small,p030,architecture_structured,loss_small,tie_lama_opencv_telea,lama
p019_loss_large,p019,landscape_natural,loss_large,lama,stable_diffusion_inpainting
p026_loss_large,p026,architecture_structured,loss_large,lama,stable_diffusion_inpainting
p010_loss_large,p010,portrait_figure,loss_large,tie_lama_opencv_telea,lama
p016_scratch_thin,p016,landscape_natural,scratch_thin,tie_lama_opencv_telea,lama
p026_loss_small,p026,architecture_structured,loss_small,tie_lama_opencv_telea,lama
p010_loss_small,p010,portrait_figure,loss_small,tie_lama_opencv_telea,lama
p049_loss_small,p049,high_texture_brushwork,loss_small,tie_lama_opencv_telea,lama
p047_loss_large,p047,high_texture_brushwork,loss_large,lama,stable_diffusion_inpainting
p009_scratch_thin,p009,portrait_figure,scratch_thin,opencv_telea,lama
p015_loss_small,p015,landscape_natural,loss_small,tie_lama_opencv_telea,lama
p041_scratch_thin,p041,high_texture_brushwork,scratch_thin,opencv_telea,lama
p029_scratch_thin,p029,architecture_structured,scratch_thin,opencv_telea,lama
p017_scratch_thin,p017,landscape_natural,scratch_thin,opencv_telea,lama
p001_mixed_damage,p001,portrait_figure,mixed_damage,tie_lama_opencv_telea,lama
p027_scratch_thin,p027,architecture_structured,scratch_thin,opencv_telea,lama
p033_scratch_thin,p033,abstraction_surrealism,scratch_thin,opencv_telea,lama
p050_scratch_thin,p050,high_texture_brushwork,scratch_thin,opencv_telea,lama
p040_scratch_thin,p040,abstraction_surrealism,scratch_thin,opencv_telea,lama
p028_scratch_thin,p028,architecture_structured,scratch_thin,opencv_telea,lama
p015_scratch_thin,p015,landscape_natural,scratch_thin,opencv_telea,lama
p019_scratch_thin,p019,landscape_natural,scratch_thin,opencv_telea,lama
p014_scratch_thin,p014,landscape_natural,scratch_thin,opencv_telea,lama
p026_scratch_thin,p026,architecture_structured,scratch_thin,opencv_telea,lama
p039_scratch_thin,p039,abstraction_surrealism,scratch_thin,tie_lama_opencv_telea,lama
