model,nonzero_texture_wins,dashboard_section,cases,mean_brushstroke_proxy_distance,median_brushstroke_proxy_distance,mean_brushstroke_orientation_histogram_l1_distance,mean_brushstroke_orientation_coherence_difference,mask_type,mean_glcm_texture_distance,median_glcm_texture_distance,mean_gabor_texture_distance,median_gabor_texture_distance,mean_combined_texture_distance,median_combined_texture_distance
lama,175.0,texture_winner_summary_nonzero,,,,,,,,,,,,
stable_diffusion_inpainting,24.0,texture_winner_summary_nonzero,,,,,,,,,,,,
opencv_telea,1.0,texture_winner_summary_nonzero,,,,,,,,,,,,
lama,,brushstroke_proxy_summary_by_model,250.0,0.0064047204607436,0.0016449078874612,0.0087191297251755,0.0074698066908409,,,,,,,
opencv_telea,,brushstroke_proxy_summary_by_model,250.0,0.0110162904757493,0.0041838146951913,0.0148729968857223,0.0122202613545676,,,,,,,
stable_diffusion_inpainting,,brushstroke_proxy_summary_by_model,250.0,0.0185392164264061,0.0153025958847226,0.0298815236880949,0.0314973854632905,,,,,,,
lama,,high_texture_brushwork_summary,10.0,0.0243364405827113,0.0205326850660775,,,loss_large,0.2097042355539479,0.1393037441170975,0.0002744677667852,0.0002218627105931,0.2368214162338514,0.1822327146622294
stable_diffusion_inpainting,,high_texture_brushwork_summary,10.0,0.0364879580268862,0.0290815920335185,,,loss_large,0.1951780860187945,0.1384414244222027,0.0002230493605049,0.0001693597700396,0.2438458547600342,0.2159464769926592
opencv_telea,,high_texture_brushwork_summary,10.0,0.0387627445183895,0.0342926460449603,,,loss_large,0.3118788927739807,0.2715496881154706,0.0004037013976241,0.000403875082671,0.3571302324315444,0.3448611503238181
lama,,high_texture_brushwork_summary,10.0,0.0016654875792282,0.0012987998938348,,,loss_small,0.0056189123426669,0.0030144787864169,8.097066059839165e-06,5.963012926478244e-06,0.009234703990283,0.0069182271253308
opencv_telea,,high_texture_brushwork_summary,10.0,0.005168221308283,0.0048006378984528,,,loss_small,0.0382054910463042,0.0304625289215912,4.47600690176751e-05,4.8180552093860405e-05,0.0430623297585995,0.0408221840470858
stable_diffusion_inpainting,,high_texture_brushwork_summary,10.0,0.0170117883539574,0.0186662036399061,,,loss_small,0.1608332765899806,0.0910843735674779,0.0001154078737754,7.716133994315418e-05,0.1415679714489799,0.1122520579320756
lama,,high_texture_brushwork_summary,10.0,0.0035650430310147,0.0026305745398272,,,mixed_damage,0.0285181072306181,0.0183686376788839,3.42963043226258e-05,3.394975645895479e-05,0.0317231385193135,0.0267240092735776
opencv_telea,,high_texture_brushwork_summary,10.0,0.0072742247862669,0.0071010996440235,,,mixed_damage,0.0709989799643233,0.0527535831311098,8.366554559142155e-05,7.697228407994145e-05,0.0742076228303986,0.0654834328827375
stable_diffusion_inpainting,,high_texture_brushwork_summary,10.0,0.0169243974870004,0.0166556965905467,,,mixed_damage,0.1330903397510006,0.0729323770461617,9.896993376371928e-05,6.468538718812768e-05,0.1257856172606165,0.0935857966169741
lama,,high_texture_brushwork_summary,10.0,0.0013711603808453,0.0010979827401916,,,scratch_thin,0.0115241171617596,0.006536661234312,1.310730583899375e-05,6.25849995982585e-06,0.0123573262903828,0.0084025760294275
opencv_telea,,high_texture_brushwork_summary,10.0,0.0022927086206341,0.0017753592543756,,,scratch_thin,0.0279820940350238,0.0164230651965441,3.2963382232857185e-05,2.2546581350899248e-05,0.027764026773081,0.0198463502215117
stable_diffusion_inpainting,,high_texture_brushwork_summary,10.0,0.0159768232157058,0.0138876194788906,,,scratch_thin,0.1346940159270217,0.0931015783433274,0.000122530229567,0.0001280628459733,0.1327582272543793,0.1148328442566193
lama,,high_texture_brushwork_summary,10.0,0.0,0.0,,,zero_control,0.0,0.0,0.0,0.0,0.0,0.0
opencv_telea,,high_texture_brushwork_summary,10.0,0.0,0.0,,,zero_control,0.0,0.0,0.0,0.0,0.0,0.0
stable_diffusion_inpainting,,high_texture_brushwork_summary,10.0,0.0,0.0,,,zero_control,0.0,0.0,0.0,0.0,0.0,0.0
