case_id,painting_id,category,mask_type,selection_reasons,selection_count,masked_mean_uncertainty,boundary_mean_uncertainty,outside_mask_mean_uncertainty,heatmap_png_path,overlay_png_path,selected_detail_figure_path
p011_loss_large,p011,landscape_natural,loss_large,category_representative_high_uncertainty__landscape_natural; highest_masked_uncertainty; mask_type_representative_high_uncertainty__loss_large; uncertainty_performance_quadrant__high_uncertainty_low_reference_performance,4,38.24580001831055,4.813465118408203,1.5599974393844604,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p011_loss_large_uncertainty_selected_detail.png
p009_loss_large,p009,portrait_figure,loss_large,category_representative_high_uncertainty__portrait_figure; highest_boundary_uncertainty; highest_masked_uncertainty; uncertainty_performance_quadrant__high_uncertainty_high_reference_performance,4,37.62174606323242,8.28358268737793,3.7987701892852783,outputs/figures/uncertainty_heatmaps/heatmap_images/p009_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p009_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p009_loss_large_uncertainty_selected_detail.png
p031_loss_large,p031,abstraction_surrealism,loss_large,category_representative_high_uncertainty__abstraction_surrealism; highest_masked_uncertainty; uncertainty_performance_quadrant__high_uncertainty_low_reference_performance,3,27.72749328613281,7.723886489868164,3.0941431522369385,outputs/figures/uncertainty_heatmaps/heatmap_images/p031_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p031_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p031_loss_large_uncertainty_selected_detail.png
p037_loss_large,p037,abstraction_surrealism,loss_large,highest_masked_uncertainty; uncertainty_performance_quadrant__high_uncertainty_high_reference_performance,2,25.15011405944824,3.5728683471679688,1.6218587160110474,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p037_loss_large_uncertainty_selected_detail.png
p011_mixed_damage,p011,landscape_natural,mixed_damage,highest_masked_uncertainty; mask_type_representative_high_uncertainty__mixed_damage,2,24.741758346557617,4.385313987731934,1.7836830615997314,outputs/figures/uncertainty_heatmaps/heatmap_images/p011_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p011_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p011_mixed_damage_uncertainty_selected_detail.png
p037_loss_small,p037,abstraction_surrealism,loss_small,mask_type_representative_high_uncertainty__loss_small; uncertainty_performance_quadrant__middle_region,2,22.33177757263184,5.407199382781982,1.7943834066390991,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_loss_small_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_loss_small_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p037_loss_small_uncertainty_selected_detail.png
p041_mixed_damage,p041,high_texture_brushwork,mixed_damage,highest_boundary_uncertainty; highest_outside_mask_uncertainty,2,18.26451301574707,10.275064468383787,3.833238124847412,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p041_mixed_damage_uncertainty_selected_detail.png
p041_scratch_thin,p041,high_texture_brushwork,scratch_thin,highest_outside_mask_uncertainty; lowest_masked_uncertainty,2,10.916192054748535,7.015199661254883,3.933914422988892,outputs/figures/uncertainty_heatmaps/heatmap_images/p041_scratch_thin_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p041_scratch_thin_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p041_scratch_thin_uncertainty_selected_detail.png
p037_mixed_damage,p037,abstraction_surrealism,mixed_damage,uncertainty_performance_quadrant__middle_region,1,22.276716232299805,4.1103835105896,1.9422420263290403,outputs/figures/uncertainty_heatmaps/heatmap_images/p037_mixed_damage_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p037_mixed_damage_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p037_mixed_damage_uncertainty_selected_detail.png
p043_loss_large,p043,high_texture_brushwork,loss_large,category_representative_high_uncertainty__high_texture_brushwork,1,21.62515640258789,6.009873390197754,2.034850597381592,outputs/figures/uncertainty_heatmaps/heatmap_images/p043_loss_large_uncertainty_heatmap.png,outputs/figures/uncertainty_heatmaps/overlay_images/p043_loss_large_uncertainty_overlay.png,outputs/figures/uncertainty_heatmaps/selected_cases/p043_loss_large_uncertainty_selected_detail.png
