original_case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,combined_uncertainty_index,uncertainty_rank_high_to_low,masked_std_mean,masked_mad_mean,bbox_std_mean,mean_pairwise_lpips,mean_clip_uncertainty_distance,mean_dinov2_uncertainty_distance
p011_loss_large,p011,p011_loss_large,loss_large,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,0.9834162335148644,1,0.1499835401773452,0.1333269029855728,0.0818590372800827,0.447395771741867,0.232995867729187,0.6022597427169482
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,0.719251401201778,2,0.1475362777709961,0.1290014237165451,0.08997443318367,0.3724637379248937,0.0768074393272399,0.1542406578858693
p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,Improvisation No. 30 (Cannons),relatively_weak_or_disagreement_prone_stable_diffusion,0.5625869738362576,3,0.1087352633476257,0.095316857099533,0.0677480772137641,0.3181108136971791,0.0665062367916107,0.2554130256175995
p018_loss_large,p018,p018_loss_large,loss_large,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,0.5287961206693911,4,0.0884078592061996,0.0771210864186286,0.048079315572977,0.2883592595656712,0.1204099853833516,0.3888624260822932
p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,View of a Village along a River,relatively_weak_or_disagreement_prone_stable_diffusion,0.4841082828630068,5,0.0834576189517974,0.0722278729081153,0.0536560639739036,0.3453392585118611,0.0940742890040079,0.2332913875579834
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,relatively_strong_stable_diffusion,0.4290620717541782,6,0.0986279100179672,0.0867098197340965,0.0527497008442878,0.264517975350221,0.0416373014450073,0.1314655443032582
p010_loss_large,p010,p010_loss_large,loss_large,portrait_figure,Joan of Arc,relatively_weak_or_disagreement_prone_stable_diffusion,0.4258681795151037,7,0.0672446563839912,0.0584901496767997,0.0424951612949371,0.3324731936057408,0.0971122086048126,0.2801148891448974
p043_loss_large,p043,p043_loss_large,loss_large,high_texture_brushwork,The Card Players,relatively_strong_stable_diffusion,0.4116464237619671,8,0.0848045349121093,0.0732998624444007,0.0524045228958129,0.3016952176888783,0.0551075140635172,0.134131650129954
p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,0.3581157763880629,9,0.0732654333114624,0.0632195398211479,0.0439492985606193,0.2510444050033887,0.048016478617986,0.2114883959293365
p011_mixed_damage,p011,p011_mixed_damage,mixed_damage,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,0.3561871615550787,10,0.0970265045762062,0.0844122469425201,0.0178241543471813,0.1517621129751205,0.0459924737612406,0.2923093438148498
p011_loss_small,p011,p011_loss_small,loss_small,landscape_natural,View of Haarlem and the Haarlemmer Meer,relatively_weak_or_disagreement_prone_stable_diffusion,0.2716852770258381,11,0.0771278142929077,0.0671223774552345,0.0138295721262693,0.1357464082539081,0.0583656231562296,0.2141347626845041
p041_loss_large,p041,p041_loss_large,loss_large,high_texture_brushwork,Wheat Field with Cypresses,relatively_weak_or_disagreement_prone_stable_diffusion,0.2716580054608581,12,0.0635278671979904,0.0548385679721832,0.0436413362622261,0.2427143827080726,0.0203673342863718,0.0891456802686055
p009_mixed_damage,p009,p009_mixed_damage,mixed_damage,portrait_figure,Madame Roulin and Her Baby,relatively_strong_stable_diffusion,0.2170964034660105,13,0.0841203480958938,0.0730425715446472,0.0239552818238735,0.0820663223663965,0.0141990582148234,0.0664688348770141
