original_case_id,category,mask_type,combined_uncertainty_index,refined_stable_diffusion_metric_wins,refined_overall_metric_vote,uncertainty_performance_quadrant
p011_loss_large,landscape_natural,loss_large,0.9834162335148644,0,lama,high_uncertainty_low_reference_performance
p009_loss_large,portrait_figure,loss_large,0.719251401201778,2,lama,high_uncertainty_high_reference_performance
p031_loss_large,abstraction_surrealism,loss_large,0.5625869738362576,0,lama,high_uncertainty_low_reference_performance
p018_loss_large,landscape_natural,loss_large,0.5287961206693911,1,lama,high_uncertainty_high_reference_performance
p026_loss_large,architecture_structured,loss_large,0.4841082828630068,0,lama,high_uncertainty_low_reference_performance
p037_loss_large,abstraction_surrealism,loss_large,0.4290620717541782,4,stable_diffusion_inpainting,high_uncertainty_high_reference_performance
p010_loss_large,portrait_figure,loss_large,0.4258681795151037,0,tie_lama_opencv_telea,high_uncertainty_low_reference_performance
p043_loss_large,high_texture_brushwork,loss_large,0.4116464237619671,2,lama,high_uncertainty_high_reference_performance
p021_loss_large,architecture_structured,loss_large,0.3581157763880629,2,lama,high_uncertainty_high_reference_performance
p011_mixed_damage,landscape_natural,mixed_damage,0.3561871615550787,0,lama,high_uncertainty_low_reference_performance
p011_loss_small,landscape_natural,loss_small,0.2716852770258381,0,lama,middle_region
p041_loss_large,high_texture_brushwork,loss_large,0.2716580054608581,0,tie_lama_opencv_telea,middle_region
p009_mixed_damage,portrait_figure,mixed_damage,0.2170964034660105,0,lama,middle_region
p037_loss_small,abstraction_surrealism,loss_small,0.2088747860216995,0,lama,middle_region
p037_mixed_damage,abstraction_surrealism,mixed_damage,0.2071330105506151,0,lama,middle_region
p009_loss_small,portrait_figure,loss_small,0.1797715444955574,0,lama,middle_region
p041_mixed_damage,high_texture_brushwork,mixed_damage,0.1750115597170615,0,tie_lama_opencv_telea,middle_region
p031_loss_small,abstraction_surrealism,loss_small,0.1560691781826365,0,lama,middle_region
p026_mixed_damage,architecture_structured,mixed_damage,0.1482435932823626,0,lama,middle_region
p031_mixed_damage,abstraction_surrealism,mixed_damage,0.1481308736016542,0,lama,middle_region
p043_mixed_damage,high_texture_brushwork,mixed_damage,0.1386281304341537,0,lama,middle_region
p026_loss_small,architecture_structured,loss_small,0.1379854532034289,0,tie_lama_opencv_telea,middle_region
p018_loss_small,landscape_natural,loss_small,0.1326831610310082,0,lama,middle_region
p043_loss_small,high_texture_brushwork,loss_small,0.1279408688657338,0,lama,middle_region
p018_mixed_damage,landscape_natural,mixed_damage,0.1256506999483674,0,lama,middle_region
p010_mixed_damage,portrait_figure,mixed_damage,0.1212553476875463,0,lama,middle_region
p041_loss_small,high_texture_brushwork,loss_small,0.1200619647212116,0,tie_lama_opencv_telea,middle_region
p021_mixed_damage,architecture_structured,mixed_damage,0.1107607378488904,0,lama,middle_region
p018_scratch_thin,landscape_natural,scratch_thin,0.1012089483086184,0,lama,middle_region
p010_scratch_thin,portrait_figure,scratch_thin,0.0892079981255189,0,tie_lama_opencv_telea,middle_region
p037_scratch_thin,abstraction_surrealism,scratch_thin,0.0692666016421072,0,opencv_telea,low_uncertainty_low_reference_performance
p009_scratch_thin,portrait_figure,scratch_thin,0.0681428645759546,0,opencv_telea,low_uncertainty_low_reference_performance
p031_scratch_thin,abstraction_surrealism,scratch_thin,0.0580835210021661,0,opencv_telea,low_uncertainty_low_reference_performance
p041_scratch_thin,high_texture_brushwork,scratch_thin,0.0540970309560501,0,opencv_telea,low_uncertainty_low_reference_performance
p026_scratch_thin,architecture_structured,scratch_thin,0.0532397879571507,0,opencv_telea,low_uncertainty_low_reference_performance
p043_scratch_thin,high_texture_brushwork,scratch_thin,0.0484318549584944,0,lama,low_uncertainty_low_reference_performance
p021_loss_small,architecture_structured,loss_small,0.0403774405942174,0,lama,low_uncertainty_low_reference_performance
p010_loss_small,portrait_figure,loss_small,0.0366313102055265,0,tie_lama_opencv_telea,low_uncertainty_low_reference_performance
p021_scratch_thin,architecture_structured,scratch_thin,0.0234146082349439,0,lama,low_uncertainty_low_reference_performance
p011_scratch_thin,landscape_natural,scratch_thin,0.0043489072746971,0,lama,low_uncertainty_low_reference_performance
