publication_schema_version,publication_run_id,artifact_id,producer_notebook,local_relative_path,storage_tier,provider,repository_id,revision,path_in_repository,remote_uri,sha256,size_bytes,media_role,publication_status,publication_commit_url,published_at_utc,verification_status,verified_at_utc,verification_error
external_artifact_publication.v1,external_publication_20260913T143916Z,external_9319a0048559ee189abd,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p001__loss_large/sdxl__a502c0783c0a__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p001__loss_large/sdxl__a502c0783c0a__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p001__loss_large/sdxl__a502c0783c0a__p00_generic__seed2026.png,774155e02de9c86796b6cf0f0c7d4ed7fce6c48313abe78b395a6547f143e40d,739667,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:24Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_fda86e19140c6136371d,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p018__mixed_damage/sdxl__5d3f1bc4bed2__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p018__mixed_damage/sdxl__5d3f1bc4bed2__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p018__mixed_damage/sdxl__5d3f1bc4bed2__p00_generic__seed2026.png,f50d97bd8b3f0bc081860c28927a27b7a1025c1149b07b097ed87ec40d865aae,556712,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:26Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_43dd1ea5baed7f6324c1,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p039__loss_large/sdxl__37161b5099c0__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p039__loss_large/sdxl__37161b5099c0__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p039__loss_large/sdxl__37161b5099c0__p00_generic__seed2026.png,1f94c2292693a96638ddfeabfc1272a8b075958460af1a18c9b36188b713187f,720814,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:30Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_23b13cefe6cec4278542,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p043__mixed_damage/sdxl__d6119e004ea0__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p043__mixed_damage/sdxl__d6119e004ea0__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p043__mixed_damage/sdxl__d6119e004ea0__p00_generic__seed2026.png,205e7464f548b8d0fe843172cef708fcd9bbdc63af1fbbc6d8d06be2b2660d5d,791806,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:31Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_593551275d38b9930cf0,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p051__loss_small/sdxl__a74605091256__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p051__loss_small/sdxl__a74605091256__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p051__loss_small/sdxl__a74605091256__p00_generic__seed2026.png,9dad77524416d9a7c0e6345c0dbe756f466acedd8c2aac9bc2719240d850c941,806907,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:32Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_f54a458bc999a2f69acb,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p061__scratch_thin/sdxl__91b938159727__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p061__scratch_thin/sdxl__91b938159727__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p061__scratch_thin/sdxl__91b938159727__p00_generic__seed2026.png,192236a8b584e8e8409c0f8d2a84985945b7d5aa472b4ecf1e8874d0d6bb128c,714513,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:33Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_014d381a449613fa4681,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p101__loss_small/sdxl__8a97c5d7d00f__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p101__loss_small/sdxl__8a97c5d7d00f__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p101__loss_small/sdxl__8a97c5d7d00f__p00_generic__seed2026.png,cc697b9f3f5dfdec6e52bfc58e7390473805baf01316e0613fa197ad2961dd3c,622384,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:34Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_6711b75079cb4481914d,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p111__scratch_thin/sdxl__028c615db1d3__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p111__scratch_thin/sdxl__028c615db1d3__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p111__scratch_thin/sdxl__028c615db1d3__p00_generic__seed2026.png,10479b79454e154f5e5cf7c6fbbb45ce648aa51a822823bffcfa00fe39c8084c,779398,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:35Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_439f7e85567dc2ed2cc3,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p151__loss_small/sdxl__073c550267e6__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p151__loss_small/sdxl__073c550267e6__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p151__loss_small/sdxl__073c550267e6__p00_generic__seed2026.png,59d86952879d44d583695990cc9af69a7d3af78b976daba91cf3e89ac1f4937a,704564,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:36Z,
external_artifact_publication.v1,external_publication_20260913T143916Z,external_158c6c86bc48869dd7ee,12_sdxl_feasibility_or_restoration,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p161__scratch_thin/sdxl__2fade6809e99__p00_generic__seed2026.png,candidates,huggingface_dataset,RahulMaddineni264/painting-restoration-eval-candidates,main,outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p161__scratch_thin/sdxl__2fade6809e99__p00_generic__seed2026.png,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/resolve/main/outputs/12_sdxl_feasibility_or_restoration/images/restored/canonical_missing_region/canonical__p161__scratch_thin/sdxl__2fade6809e99__p00_generic__seed2026.png,979d9db48ee278558f4aa38605ea38ea0121d706122ce94e5c125eb54c016beb,660578,restored,published_verified,https://huggingface.co/datasets/RahulMaddineni264/painting-restoration-eval-candidates/commit/db9fb6fa3693b55057cd3a2d532d1a2895eb3184,2026-09-13T16:26:54Z,verified,2026-09-13T16:30:37Z,
