case_id,variant_id,robustness_group_id,painting_id,base_mask_type,variant_index,target_percentage_content,global_seed,seed_policy,expected_mask_filename,expected_damaged_filename
p001__scratch_thin__variant_01,p001__scratch_thin__variant_01,p001__scratch_thin,p001,scratch_thin,1,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__scratch_thin__variant_01_mask.png,p001__scratch_thin__variant_01_damaged.png
p001__scratch_thin__variant_02,p001__scratch_thin__variant_02,p001__scratch_thin,p001,scratch_thin,2,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__scratch_thin__variant_02_mask.png,p001__scratch_thin__variant_02_damaged.png
p001__scratch_thin__variant_03,p001__scratch_thin__variant_03,p001__scratch_thin,p001,scratch_thin,3,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__scratch_thin__variant_03_mask.png,p001__scratch_thin__variant_03_damaged.png
p001__scratch_thin__variant_04,p001__scratch_thin__variant_04,p001__scratch_thin,p001,scratch_thin,4,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__scratch_thin__variant_04_mask.png,p001__scratch_thin__variant_04_damaged.png
p001__scratch_thin__variant_05,p001__scratch_thin__variant_05,p001__scratch_thin,p001,scratch_thin,5,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__scratch_thin__variant_05_mask.png,p001__scratch_thin__variant_05_damaged.png
p001__loss_small__variant_01,p001__loss_small__variant_01,p001__loss_small,p001,loss_small,1,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_small__variant_01_mask.png,p001__loss_small__variant_01_damaged.png
p001__loss_small__variant_02,p001__loss_small__variant_02,p001__loss_small,p001,loss_small,2,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_small__variant_02_mask.png,p001__loss_small__variant_02_damaged.png
p001__loss_small__variant_03,p001__loss_small__variant_03,p001__loss_small,p001,loss_small,3,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_small__variant_03_mask.png,p001__loss_small__variant_03_damaged.png
p001__loss_small__variant_04,p001__loss_small__variant_04,p001__loss_small,p001,loss_small,4,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_small__variant_04_mask.png,p001__loss_small__variant_04_damaged.png
p001__loss_small__variant_05,p001__loss_small__variant_05,p001__loss_small,p001,loss_small,5,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_small__variant_05_mask.png,p001__loss_small__variant_05_damaged.png
p001__loss_large__variant_01,p001__loss_large__variant_01,p001__loss_large,p001,loss_large,1,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_large__variant_01_mask.png,p001__loss_large__variant_01_damaged.png
p001__loss_large__variant_02,p001__loss_large__variant_02,p001__loss_large,p001,loss_large,2,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_large__variant_02_mask.png,p001__loss_large__variant_02_damaged.png
p001__loss_large__variant_03,p001__loss_large__variant_03,p001__loss_large,p001,loss_large,3,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_large__variant_03_mask.png,p001__loss_large__variant_03_damaged.png
p001__loss_large__variant_04,p001__loss_large__variant_04,p001__loss_large,p001,loss_large,4,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_large__variant_04_mask.png,p001__loss_large__variant_04_damaged.png
p001__loss_large__variant_05,p001__loss_large__variant_05,p001__loss_large,p001,loss_large,5,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p001__loss_large__variant_05_mask.png,p001__loss_large__variant_05_damaged.png
p018__scratch_thin__variant_01,p018__scratch_thin__variant_01,p018__scratch_thin,p018,scratch_thin,1,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__scratch_thin__variant_01_mask.png,p018__scratch_thin__variant_01_damaged.png
p018__scratch_thin__variant_02,p018__scratch_thin__variant_02,p018__scratch_thin,p018,scratch_thin,2,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__scratch_thin__variant_02_mask.png,p018__scratch_thin__variant_02_damaged.png
p018__scratch_thin__variant_03,p018__scratch_thin__variant_03,p018__scratch_thin,p018,scratch_thin,3,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__scratch_thin__variant_03_mask.png,p018__scratch_thin__variant_03_damaged.png
p018__scratch_thin__variant_04,p018__scratch_thin__variant_04,p018__scratch_thin,p018,scratch_thin,4,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__scratch_thin__variant_04_mask.png,p018__scratch_thin__variant_04_damaged.png
p018__scratch_thin__variant_05,p018__scratch_thin__variant_05,p018__scratch_thin,p018,scratch_thin,5,2.0,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__scratch_thin__variant_05_mask.png,p018__scratch_thin__variant_05_damaged.png
p018__loss_small__variant_01,p018__loss_small__variant_01,p018__loss_small,p018,loss_small,1,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_small__variant_01_mask.png,p018__loss_small__variant_01_damaged.png
p018__loss_small__variant_02,p018__loss_small__variant_02,p018__loss_small,p018,loss_small,2,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_small__variant_02_mask.png,p018__loss_small__variant_02_damaged.png
p018__loss_small__variant_03,p018__loss_small__variant_03,p018__loss_small,p018,loss_small,3,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_small__variant_03_mask.png,p018__loss_small__variant_03_damaged.png
p018__loss_small__variant_04,p018__loss_small__variant_04,p018__loss_small,p018,loss_small,4,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_small__variant_04_mask.png,p018__loss_small__variant_04_damaged.png
p018__loss_small__variant_05,p018__loss_small__variant_05,p018__loss_small,p018,loss_small,5,4.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_small__variant_05_mask.png,p018__loss_small__variant_05_damaged.png
p018__loss_large__variant_01,p018__loss_large__variant_01,p018__loss_large,p018,loss_large,1,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_large__variant_01_mask.png,p018__loss_large__variant_01_damaged.png
p018__loss_large__variant_02,p018__loss_large__variant_02,p018__loss_large,p018,loss_large,2,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_large__variant_02_mask.png,p018__loss_large__variant_02_damaged.png
p018__loss_large__variant_03,p018__loss_large__variant_03,p018__loss_large,p018,loss_large,3,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_large__variant_03_mask.png,p018__loss_large__variant_03_damaged.png
p018__loss_large__variant_04,p018__loss_large__variant_04,p018__loss_large,p018,loss_large,4,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_large__variant_04_mask.png,p018__loss_large__variant_04_damaged.png
p018__loss_large__variant_05,p018__loss_large__variant_05,p018__loss_large,p018,loss_large,5,12.5,20260606,sha256(global_seed || painting_id || mask_type || mask_type_index || variant_index),p018__loss_large__variant_05_mask.png,p018__loss_large__variant_05_damaged.png
