dataset_name,evaluation_region,mask_type,category,inference_mode,source_mask_semantics,lama_applicability,metric,row_count,valid_count,mean_value,median_value,std_value,min_value,max_value,positive_improvement_count,zero_improvement_count,negative_improvement_count,positive_improvement_share
canonical,full_image,loss_large,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,3600.9052001953123,3753.1868896484375,1339.294264738885,1476.786865234375,5726.787109375,,,,
canonical,content_region,loss_large,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,4604.055432128906,4844.8310546875,1487.4891327072728,1838.2054443359375,6633.74560546875,,,,
canonical,masked_region,loss_large,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,36907.76904296875,37518.154296875,9488.63711153952,15856.4873046875,48940.8125,,,,
canonical,boundary_region,loss_large,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,18926.8099609375,19172.1396484375,4916.015834726636,8548.984375,25403.802734375,,,,
canonical,outside_mask_region,loss_large,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_large,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,18830.728564453126,20256.591796875,6230.397850269606,7920.89013671875,27109.126953125,,,,
canonical,full_image,loss_small,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,1249.0100708007812,1348.6654052734375,323.1781544557978,623.4476318359375,1679.8555908203125,,,,
canonical,content_region,loss_small,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,1635.325457763672,1606.9244995117188,481.9545141844856,776.0255737304688,2389.2001953125,,,,
canonical,masked_region,loss_small,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,38158.0650390625,39431.89453125,10311.679886747836,20360.13671875,54324.203125,,,,
canonical,boundary_region,loss_small,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,18608.6275390625,19164.390625,4793.555494920058,9701.548828125,26233.27734375,,,,
canonical,outside_mask_region,loss_small,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_small,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,2690.3345703125,2704.3994140625,707.9567922053963,1600.7611083984375,3703.260986328125,,,,
canonical,full_image,mixed_damage,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,2805.0701171875,2665.7965087890625,667.7901079017091,1920.02783203125,3946.83544921875,,,,
canonical,content_region,mixed_damage,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,3636.7039306640627,3731.49658203125,828.3253676340896,2389.920654296875,4828.9677734375,,,,
canonical,masked_region,mixed_damage,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,39949.245703125,40463.494140625,7440.503112257852,28016.38671875,50902.8046875,,,,
canonical,boundary_region,mixed_damage,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,17276.097265625,17002.966796875,2702.4961097612118,13624.5947265625,21586.921875,,,,
canonical,outside_mask_region,mixed_damage,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,mixed_damage,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,3647.2778564453124,3693.44580078125,733.0749735546665,2534.0859375,4714.3828125,,,,
canonical,full_image,scratch_thin,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,749.038818359375,700.2454833984375,238.69043436538703,442.3892517089844,1145.242431640625,,,,
canonical,content_region,scratch_thin,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,975.4847778320312,935.5650634765625,317.72306452044955,550.6568603515625,1526.9898681640625,,,,
canonical,masked_region,scratch_thin,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,41437.44765625,42638.755859375,8999.536414653121,21611.06640625,53555.17578125,,,,
canonical,boundary_region,scratch_thin,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,15181.384423828125,15078.27587890625,3372.134772434977,7704.68701171875,20632.263671875,,,,
canonical,outside_mask_region,scratch_thin,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,scratch_thin,portrait_figure,model_inference,binary_missing_content,primary,damaged_mse,10,10,973.1032043457031,979.4922180175781,302.72689932615873,541.67529296875,1485.7197265625,,,,
canonical,full_image,zero_control,portrait_figure,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,content_region,zero_control,portrait_figure,copied_zero_control,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,full_image,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,1736.6752502441407,1580.430419921875,1015.1622446246214,336.56134033203125,3597.986328125,,,,
canonical,content_region,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,2469.190118408203,2239.58447265625,1375.07494317022,488.61846923828125,4725.67626953125,,,,
canonical,masked_region,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,20048.002563476562,19784.6083984375,10557.743676915221,3364.153564453125,35527.43359375,,,,
canonical,boundary_region,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,10006.064916992187,10860.47998046875,4837.132092603093,2252.083740234375,15312.931640625,,,,
canonical,outside_mask_region,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_large,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,9704.587353515624,9908.412109375,5168.307840270796,1808.93017578125,17468.73046875,,,,
canonical,full_image,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,633.5193473815918,636.2691955566406,298.569897744345,117.9967269897461,1139.4671630859375,,,,
canonical,content_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,896.3080078125,933.9259948730469,381.70381933247575,171.30715942382812,1300.313232421875,,,,
canonical,masked_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,21102.413525390624,21371.01171875,9491.741974848243,5340.49267578125,39360.7734375,,,,
canonical,boundary_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,10424.630419921876,10627.306640625,4709.47444860418,2542.6337890625,19184.396484375,,,,
canonical,outside_mask_region,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,0.0,0.0,0.0,0.0,0.0,,,,
canonical,mask_bbox_crop,loss_small,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,1621.0963134765625,1483.46240234375,770.0000979254016,575.8124389648438,3163.88525390625,,,,
canonical,full_image,mixed_damage,landscape_natural,model_inference,binary_missing_content,primary,damaged_mse,10,10,1568.823782348633,1384.7871704101562,859.0173285993758,321.7438659667969,2833.8173828125,,,,
