case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,67242,13.2058,11.4003,5585.92138671875,137.7127227783203,5448.20866394043,25.05849838256836,6.236044406890869,18.82245397567749,10.659855414890488,26.741062958675315,16.081207543784828,0.8971780498447481,0.8169609094404148,-0.08021714040433336,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,content_region,509184,52.0,0.0,715.0,768.0,67242,13.2058,11.4003,6470.57080078125,157.4672088623047,6313.103591918945,29.02703857421875,6.727409839630127,22.299628734588623,10.021377672633216,26.158902312682276,16.137524640049058,0.880745318084777,0.7943501425898054,-0.08639517549497155,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,masked_region,67242,,,,,67242,13.2058,11.4003,48997.8046875,864.7740478515625,48133.03063964844,219.8046417236328,19.11393165588379,200.69071006774902,1.229037386651714,18.76177713044742,17.532739743795705,,,,ok,
p001_loss_large,p001,portrait_figure,Juan de Pareja,p001_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,126750,221.0,356.0,596.0,694.0,67242,13.2058,11.4003,25993.767578125,495.2366638183594,25498.53091430664,116.60829162597656,12.929866790771484,103.67842483520508,3.982111294698374,21.182675715752044,17.20056442105367,0.5126608186735168,0.6312875854130108,0.11862676673949402,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,24198,4.7523,4.1026,1928.028076171875,41.172786712646484,1886.8552894592285,8.864421844482422,3.940423011779785,4.923998832702637,15.27967007007666,31.984700983647876,16.705030913571214,0.9537997743549651,0.8522290106842405,-0.1015707636707246,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,content_region,509184,52.0,0.0,715.0,768.0,24198,4.7523,4.1026,2233.37109375,46.71527099609375,2186.6558227539062,10.268289566040039,4.2713727951049805,5.996916770935059,14.641194700500485,31.43621488327145,16.795020182770966,0.946416176649138,0.8346070858784684,-0.11180909077066958,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,masked_region,24198,,,,,24198,4.7523,4.1026,46995.5,82.74346160888672,46912.75653839111,216.0694580078125,5.205071926116943,210.86438608169556,1.4102408630948342,28.953466750288573,27.54322588719374,,,,ok,
p001_loss_small,p001,portrait_figure,Juan de Pareja,p001_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,306081,72.0,105.0,711.0,584.0,24198,4.7523,4.1026,3715.3466796875,47.623600006103516,3667.7230796813965,17.081911087036133,4.353079795837402,12.72883129119873,12.43081016781919,31.352581389781605,18.921771221962416,0.9104038829178961,0.8325813926629592,-0.07782249025493693,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,44392,8.7183,7.5263,3818.905029296875,123.17123413085938,3695.7337951660156,16.89411735534668,5.990519046783447,10.903598308563232,12.31141502642579,27.22571067949696,14.91429565307117,0.9062294725936528,0.8216684027554783,-0.08456106983817457,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,content_region,509184,52.0,0.0,715.0,768.0,44392,8.7183,7.5263,4423.70751953125,137.93968200683594,4285.767837524414,19.569652557373047,6.296427249908447,13.2732253074646,11.672939556934889,26.733911403954693,15.060971847019804,0.8932741602462747,0.8027550257533753,-0.09051913449289939,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,44392,,,,,44392,8.7183,7.5263,50740.69921875,913.9703369140625,49826.72888183594,224.46737670898438,15.700501441955566,208.7668752670288,1.0772391326102264,18.521482600176554,17.444243467566327,,,,ok,
p001_mixed_damage,p001,portrait_figure,Juan de Pareja,p001_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,521472,44.0,0.0,723.0,768.0,44392,8.7183,7.5263,4319.46728515625,137.0321044921875,4182.4351806640625,19.1085205078125,6.272067070007324,12.836453437805176,11.776501717805122,26.76258033343747,14.986078615632348,0.8938289125057404,0.8000802640206524,-0.09374864848508802,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,8012,1.5735,1.3584,658.9262084960938,149.90179443359375,509.0244140625,2.9604079723358154,5.64008092880249,-2.679672956466675,19.94243579107491,26.372735291674402,6.430299500599492,0.9538924905467704,0.8166762295559664,-0.13721626099080397,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,content_region,509184,52.0,0.0,715.0,768.0,8012,1.5735,1.3584,763.2811279296875,170.16358947753906,593.1175384521484,3.429250955581665,6.0309906005859375,-2.6017396450042725,19.30395836253012,25.82213722749412,6.518178864964,0.9502119395686556,0.7981067977443695,-0.15210514182428603,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,8012,,,,,8012,1.5735,1.3584,48508.5546875,6207.443359375,42301.111328125,217.93804931640625,62.235687255859375,155.70236206054688,1.2726202585418058,10.201675953997643,8.929055695455837,,,,ok,
p001_scratch_thin,p001,portrait_figure,Juan de Pareja,p001_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,521472,44.0,0.0,723.0,768.0,8012,1.5735,1.3584,745.2952880859375,168.099365234375,577.1959228515625,3.3484437465667725,6.000768184661865,-2.6523244380950928,19.407519853303274,25.87514287379235,6.467623020489075,0.9477950635908456,0.7940203090435394,-0.15377475454730627,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,ok,
p001_zero_control,p001,portrait_figure,Juan de Pareja,p001_zero_control,zero_control,stable_diffusion_inpainting,content_region,509184,52.0,0.0,715.0,768.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,,1.0,1.0,0.0,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,full_image,589824,0.0,0.0,768.0,768.0,49705,14.4143,8.4271,4317.18603515625,89.33113861083984,4227.85489654541,19.01308822631836,5.471755504608154,13.541332721710205,11.77879597293645,28.620774913450923,16.841978940514473,0.921262237309962,0.9019190441951671,-0.019343193114794932,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,content_region,344832,159.0,0.0,608.0,768.0,49705,14.4143,8.4271,7384.40673828125,135.4763641357422,7248.930374145508,32.52128219604492,6.042214870452881,26.47906732559204,9.447647509478076,26.81216828172648,17.364520772248405,0.8645639386686043,0.8405619566017656,-0.02400198206683868,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,masked_region,49705,,,,,49705,14.4143,8.4271,51229.8515625,705.6051635742188,50524.24639892578,225.61866760253906,17.72877311706543,207.88989448547363,1.0355726334957343,19.64518610592808,18.609613472432343,,,,ok,
p002_loss_large,p002,portrait_figure,Madame X (Madame Pierre Gautreau),p002_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,91728,283.0,443.0,595.0,737.0,49705,14.4143,8.4271,27760.109375,400.2214050292969,27359.887969970703,122.2568588256836,11.597258567810059,110.65960025787354,3.6965918795881842,22.10780048587925,18.411208606291066,0.4812249287468924,0.6941568178494152,0.2129318891025228,ok,
