evaluation_region,mask_type,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
content_region,loss_large,50,50,3298.9742,131.988,3166.9863,19.0271,2.5025,16.5246,13.5845,28.7428,15.1583,0.9031,0.9348,0.0317,454656.0
content_region,loss_small,50,50,1185.8752,16.0174,1169.8578,6.7963,0.4837,6.3126,17.983,38.1504,20.1674,0.9555,0.9823,0.0268,454656.0
content_region,mixed_damage,50,50,2744.7069,57.3847,2687.3222,15.5419,1.4038,14.1381,14.2714,31.8542,17.5828,0.8852,0.9556,0.0703,454656.0
content_region,scratch_thin,50,50,633.0685,5.4914,627.5771,3.462,0.1961,3.2659,20.7378,41.9792,21.2415,0.9395,0.993,0.0535,454656.0
content_region,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,454656.0
full_image,loss_large,50,50,2550.7766,107.6721,2443.1045,14.7026,1.9745,12.7281,14.7528,29.9111,15.1583,0.9253,0.9496,0.0243,589824.0
full_image,loss_small,50,50,901.8392,12.3683,889.471,5.1609,0.3693,4.7916,19.1513,39.3187,20.1674,0.9662,0.9866,0.0203,589824.0
full_image,mixed_damage,50,50,2083.1693,43.7791,2039.3903,11.7803,1.0647,10.7156,15.4397,33.0225,17.5828,0.9105,0.9657,0.0553,589824.0
full_image,scratch_thin,50,50,481.5154,4.1326,477.3828,2.642,0.1498,2.4922,21.9061,43.1475,21.2415,0.951,0.9938,0.0429,589824.0
full_image,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,589824.0
mask_bbox_crop,loss_large,50,50,13865.4574,532.9531,13332.5043,80.324,10.5375,69.7865,7.34,22.4983,15.1583,0.581,0.716,0.135,115579.46
mask_bbox_crop,loss_small,50,50,2017.412,29.2047,1988.2073,11.6861,0.8675,10.8186,15.5992,35.7666,20.1674,0.9219,0.968,0.0461,272146.4
mask_bbox_crop,mixed_damage,50,50,2795.053,59.0162,2736.0368,15.8496,1.442,14.4076,14.1849,31.7677,17.5828,0.8795,0.9533,0.0738,447125.9
mask_bbox_crop,scratch_thin,50,50,662.8797,5.7444,657.1354,3.6185,0.2044,3.4141,20.5676,41.8091,21.2415,0.933,0.9916,0.0586,440307.5
masked_region,loss_large,50,50,25580.7229,1025.3471,24555.3758,148.1165,19.623,128.4935,4.5927,19.7509,15.1583,,,,58769.48
masked_region,loss_small,50,50,26519.8804,372.1267,26147.7537,152.0709,11.0655,141.0054,4.3729,24.5403,20.1674,,,,19951.84
masked_region,mixed_damage,50,50,27237.5939,568.5042,26669.0898,153.7445,13.8625,139.882,4.2923,21.8751,17.5828,,,,45450.92
masked_region,scratch_thin,50,50,28644.7328,257.2593,28387.4735,157.0701,9.1239,147.9462,4.0641,25.3056,21.2415,,,,10000.84
