evaluation_region,mask_type,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
content_region,loss_large,50,50,3298.9743,208.1588,3090.8154,19.0271,3.2784,15.7487,13.5845,26.2,12.6155,0.9031,0.9346,0.0315,454656.0
content_region,loss_small,50,50,1185.8752,26.356,1159.5192,6.7963,0.6053,6.191,17.983,35.3761,17.3931,0.9555,0.9811,0.0257,454656.0
content_region,mixed_damage,50,50,2744.7068,86.0537,2658.6531,15.5419,1.7071,13.8347,14.2714,29.6674,15.396,0.8852,0.9558,0.0705,454656.0
content_region,scratch_thin,50,50,633.0685,7.0755,625.993,3.462,0.1935,3.2685,20.7378,41.2289,20.4911,0.9395,0.9946,0.0552,454656.0
content_region,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,454656.0
full_image,loss_large,50,50,2550.7766,170.3802,2380.3965,14.7026,2.5922,12.1103,14.7528,27.3683,12.6155,0.9253,0.9493,0.024,589824.0
full_image,loss_small,50,50,901.8392,21.2281,880.6111,5.1609,0.4691,4.6918,19.1513,36.5444,17.3931,0.9662,0.9856,0.0194,589824.0
full_image,mixed_damage,50,50,2083.1693,66.2633,2016.906,11.7803,1.2999,10.4803,15.4397,30.8357,15.396,0.9105,0.9656,0.0552,589824.0
full_image,scratch_thin,50,50,481.5154,5.3239,476.1915,2.642,0.1473,2.4947,21.9061,42.3972,20.4911,0.951,0.995,0.0441,589824.0
full_image,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,589824.0
mask_bbox_crop,loss_large,50,50,13865.458,809.9539,13055.5041,80.324,13.5675,66.7565,7.34,19.9555,12.6155,0.581,0.717,0.136,115579.46
mask_bbox_crop,loss_small,50,50,2017.412,46.7286,1970.6834,11.6861,1.0738,10.6123,15.5992,32.9923,17.3931,0.9219,0.9661,0.0442,272146.4
mask_bbox_crop,mixed_damage,50,50,2795.053,88.554,2706.499,15.8496,1.7517,14.0979,14.1849,29.5809,15.396,0.8795,0.9533,0.0738,447125.9
mask_bbox_crop,scratch_thin,50,50,662.8797,7.3103,655.5694,3.6185,0.2014,3.4171,20.5676,41.0587,20.4911,0.933,0.9931,0.0601,440307.5
masked_region,loss_large,50,50,25580.7231,1580.9898,23999.7333,148.1165,25.4762,122.6403,4.5927,17.2082,12.6155,,,,58769.48
masked_region,loss_small,50,50,26519.8802,616.9986,25902.8816,152.0709,13.8619,138.209,4.3729,21.766,17.3931,,,,19951.84
masked_region,mixed_damage,50,50,27237.5942,855.7749,26381.8193,153.7445,16.875,136.8694,4.2923,19.6883,15.396,,,,45450.92
masked_region,scratch_thin,50,50,28644.7329,325.064,28319.6689,157.0701,9.0014,148.0687,4.0641,24.5552,20.4911,,,,10000.84
