evaluation_region,mask_type,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
content_region,loss_large,50,50,3298.9742,449.2082,2849.766,19.0271,11.0468,7.9803,13.5845,22.3592,8.7747,0.9031,0.6517,-0.2514,454656.0
content_region,loss_small,50,50,1185.8752,187.8962,997.979,6.7963,8.423,-1.6267,17.983,26.0539,8.0709,0.9555,0.6811,-0.2743,454656.0
content_region,mixed_damage,50,50,2744.7069,307.719,2436.9879,15.5419,10.029,5.5129,14.2714,23.6281,9.3567,0.8852,0.6446,-0.2406,454656.0
content_region,scratch_thin,50,50,633.0685,241.1082,391.9603,3.462,9.0898,-5.6278,20.7378,24.6145,3.8767,0.9395,0.6579,-0.2815,454656.0
content_region,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,454656.0
full_image,loss_large,50,50,2550.7766,359.405,2191.3715,14.7026,9.0789,5.6237,14.7528,23.4758,8.7229,0.9253,0.7289,-0.1964,589824.0
full_image,loss_small,50,50,901.8392,147.0965,754.7428,5.1609,7.0036,-1.8427,19.1513,27.1001,7.9488,0.9662,0.7519,-0.2143,589824.0
full_image,mixed_damage,50,50,2083.1693,236.9194,1846.2499,11.7803,8.2518,3.5285,15.4397,24.7307,9.291,0.9105,0.7226,-0.1878,589824.0
full_image,scratch_thin,50,50,481.5154,189.715,291.8004,2.642,7.5542,-4.9122,21.9061,25.6997,3.7937,0.951,0.732,-0.2189,589824.0
full_image,zero_control,50,50,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,589824.0
mask_bbox_crop,loss_large,50,50,13865.4574,1404.1463,12461.311,80.324,22.0439,58.2801,7.34,17.7522,10.4122,0.581,0.4819,-0.0991,115579.46
mask_bbox_crop,loss_small,50,50,2017.412,222.5328,1794.8792,11.6861,9.1229,2.5632,15.5992,25.3321,9.7329,0.9219,0.6588,-0.2631,272146.4
mask_bbox_crop,mixed_damage,50,50,2795.053,311.1002,2483.9528,15.8496,10.0457,5.8039,14.1849,23.5991,9.4142,0.8795,0.6436,-0.236,447125.9
mask_bbox_crop,scratch_thin,50,50,662.8797,243.7137,419.166,3.6185,9.0897,-5.4712,20.5676,24.5597,3.9921,0.933,0.6583,-0.2747,440307.5
masked_region,loss_large,50,50,25580.7229,2456.2937,23124.4291,148.1165,33.1949,114.9217,4.5927,15.4167,10.824,,,,58769.48
masked_region,loss_small,50,50,26519.8804,883.1812,25636.6992,152.0709,18.9522,133.1187,4.3729,19.8759,15.5031,,,,19951.84
masked_region,mixed_damage,50,50,27237.5939,1502.5608,25735.0331,153.7445,24.8676,128.8769,4.2923,16.8108,12.5185,,,,45450.92
masked_region,scratch_thin,50,50,28644.7328,2974.5301,25670.2027,157.0701,39.4016,117.6685,4.0641,13.9892,9.9251,,,,10000.84
