case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p013_mixed_damage,p013,landscape_natural,Landscape with a Village in the Distance,p013_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,42332,10.3221,7.1771,0.7245901823043823,0.9581748247146606,0.23358464241027832,0.6110111474990845,0.8744724988937378,0.2634613513946533,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p021_mixed_damage,p021,architecture_structured,Interior of the Oude Kerk in Delft,p021_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,50041,10.0397,8.4841,0.7696847915649414,0.9935266375541687,0.2238418459892273,0.8578055500984192,0.9686282873153687,0.11082273721694946,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p022_loss_small,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_small,loss_small,opencv_telea,mask_bbox_crop,342225,111,105,696,690,24273,5.2852,4.1153,0.7598941326141357,0.9771827459335327,0.21728861331939697,0.9314420223236084,0.9731722474098206,0.04173022508621216,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p007_mixed_damage,p007,portrait_figure,Princesse de Broglie,p007_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,42099,9.4511,7.1376,0.7757822275161743,0.9816029071807861,0.20582067966461182,0.6985129117965698,0.9717574715614319,0.27324455976486206,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p030_scratch_thin,p030,architecture_structured,Interior with Five Women,p030_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,11225,2.8942,1.9031,0.8035192489624023,0.9998231530189514,0.19630390405654907,0.826187014579773,0.9994170665740967,0.17323005199432373,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p030_mixed_damage,p030,architecture_structured,Interior with Five Women,p030_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,589824,0,0,768,768,46497,11.9887,7.8832,0.7783498764038086,0.9739546775817871,0.19560480117797852,0.745064377784729,0.8041889667510986,0.05912458896636963,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p037_scratch_thin,p037,abstraction_surrealism,In the Sea,p037_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,12338,2.7746,2.0918,0.8077753186225891,0.9995492696762085,0.19177395105361938,0.909679114818573,0.9995486736297607,0.08986955881118774,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p008_mixed_damage,p008,portrait_figure,Manuel Osorio Manrique de Zuñiga,p008_mixed_damage,mixed_damage,opencv_telea,mask_bbox_crop,485809,36,0,733,697,38912,8.9517,6.5972,0.7980606555938721,0.9895729422569275,0.19151228666305542,0.774750292301178,0.9858614802360535,0.2111111879348755,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p022_scratch_thin,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,454276,47,0,721,674,11554,2.5158,1.9589,0.8087652921676636,0.998127818107605,0.1893625259399414,0.9227061867713928,0.9980694651603699,0.07536327838897705,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p003_scratch_thin,p003,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,p003_scratch_thin,scratch_thin,opencv_telea,mask_bbox_crop,589824,0,0,768,768,10496,2.2258,1.7795,0.8120349645614624,0.9996553659439087,0.1876204013824463,0.7849439978599548,0.9988716840744019,0.21392768621444702,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
