case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p045_loss_large,p045,high_texture_brushwork,Two Girls with Parasols,p045_loss_large,loss_large,opencv_telea,mask_bbox_crop,267289,65,93,582,610,84613,17.1877,14.3455,0.8209693431854248,0.7176942825317383,-0.10327506065368652,0.8421834707260132,0.6894647479057312,-0.15271872282028198,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p046_loss_large,p046,high_texture_brushwork,Boating,p046_loss_large,loss_large,opencv_telea,mask_bbox_crop,107584,82,260,410,588,46619,10.3587,7.9039,0.7497086524963379,0.6590616106987,-0.09064704179763794,0.7862265110015869,0.6372487545013428,-0.14897775650024414,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p009_loss_large,p009,portrait_figure,Madame Roulin and Her Baby,p009_loss_large,loss_large,opencv_telea,mask_bbox_crop,136161,85,0,454,369,58251,12.293,9.876,0.7947430610656738,0.7285798788070679,-0.06616318225860596,0.687800407409668,0.38806086778640747,-0.2997395396232605,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p015_loss_large,p015,landscape_natural,Landscape,p015_loss_large,loss_large,opencv_telea,mask_bbox_crop,113569,202,431,539,768,53971,12.7309,9.1504,0.7769405245780945,0.730167031288147,-0.04677349328994751,0.5043560266494751,0.30698728561401367,-0.19736874103546143,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p028_loss_large,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_loss_large,loss_large,opencv_telea,mask_bbox_crop,154449,213,230,606,623,60196,14.7609,10.2058,0.8268415331840515,0.786331832408905,-0.040509700775146484,0.881481409072876,0.7483184933662415,-0.13316291570663452,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p017_loss_large,p017,landscape_natural,Picturesque Landscape,p017_loss_large,loss_large,opencv_telea,mask_bbox_crop,142884,138,390,516,768,45832,10.5437,7.7705,0.8738003969192505,0.842863917350769,-0.030936479568481445,0.7864407300949097,0.4994490146636963,-0.2869917154312134,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p014_loss_large,p014,landscape_natural,Landscape on a River,p014_loss_large,loss_large,opencv_telea,mask_bbox_crop,142884,88,241,466,619,57683,17.2662,9.7797,0.7785896062850952,0.7671440839767456,-0.01144552230834961,0.5308947563171387,0.22687754034996033,-0.30401721596717834,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p033_loss_large,p033,abstraction_surrealism,Movement,p033_loss_large,loss_large,opencv_telea,mask_bbox_crop,260100,95,0,605,510,87686,14.9639,14.8665,0.8820111751556396,0.8740226030349731,-0.007988572120666504,0.8447743654251099,0.7074869871139526,-0.13728737831115723,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p004_loss_large,p004,portrait_figure,Madame Georges Charpentier and Her Children,p004_loss_large,loss_large,opencv_telea,mask_bbox_crop,179776,205,271,629,695,56801,11.8335,9.6302,0.8696917295455933,0.8622362613677979,-0.00745546817779541,0.8860812187194824,0.7463287115097046,-0.13975250720977783,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,opencv_telea,mask_bbox_crop,446224,38,47,706,715,88089,15.3959,14.9348,0.9372341632843018,0.9319057464599609,-0.00532841682434082,0.7952632308006287,0.7813467979431152,-0.013916432857513428,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
