case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_clip_improvement,winner_dinov2_improvement
p001_loss_large,p001,p001_loss_large,loss_large,portrait_figure,Juan de Pareja,-0.0028921961784362,0.0418266654014587,0.1667868494987487,0.2536272406578064,0.119137167930603,0.2484029531478881,lama,lama
p001_loss_small,p001,p001_loss_small,loss_small,portrait_figure,Juan de Pareja,0.0886038541793823,0.0489463806152343,0.0891089439392089,0.0506902337074279,0.0711422562599182,0.0376319885253906,lama,lama
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,portrait_figure,Juan de Pareja,0.09855717420578,0.1796562075614929,0.1023889183998107,0.1972331404685974,0.0605040788650512,0.1679370403289795,lama,lama
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,portrait_figure,Juan de Pareja,0.1416660547256469,0.0740264058113098,0.1417280435562133,0.074596107006073,0.0434409379959106,-0.0055909156799316,lama,lama
p002_loss_large,p002,p002_loss_large,loss_large,portrait_figure,Madame X (Madame Pierre Gautreau),0.0995152592658996,0.0114876627922058,0.2455524802207946,0.1723087430000305,0.222472608089447,0.1196770668029785,lama,lama
p002_loss_small,p002,p002_loss_small,loss_small,portrait_figure,Madame X (Madame Pierre Gautreau),0.058715283870697,0.052019715309143,0.0602330565452575,0.0549894571304321,0.0458941459655761,0.0282710790634155,lama,lama
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,portrait_figure,Madame X (Madame Pierre Gautreau),0.1386072635650634,0.109947919845581,0.1466238498687744,0.1316931247711181,0.1067594289779663,0.0203089118003845,lama,lama
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,portrait_figure,Madame X (Madame Pierre Gautreau),0.1097153425216674,0.1251502037048339,0.1096439361572265,0.1252999901771545,0.0437761545181274,-0.0119901299476623,opencv_telea,lama
p003_loss_large,p003,p003_loss_large,loss_large,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.0239050388336181,-0.1431516408920288,0.130828857421875,0.1201722025871276,0.1141000986099243,0.1084542870521545,lama,lama
p003_loss_small,p003,p003_loss_small,loss_small,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.0589359998703002,0.013973593711853,0.0647614598274231,0.0311581492424011,0.0557383298873901,0.0142415165901184,lama,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.180758535861969,0.1679142117500305,0.1960471272468567,0.1980892419815063,0.1875447630882263,0.1357249021530151,lama,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.1876204013824463,0.213927686214447,0.1877723336219787,0.2140811085700988,0.1549835205078125,0.0534685254096984,lama,lama
p004_loss_large,p004,p004_loss_large,loss_large,portrait_figure,Madame Georges Charpentier and Her Children,-0.0074554681777954,-0.1397525072097778,0.116869568824768,0.0119840502738952,0.099894106388092,-0.0339831113815307,lama,lama
p004_loss_small,p004,p004_loss_small,loss_small,portrait_figure,Madame Georges Charpentier and Her Children,0.0458605289459228,0.010292649269104,0.0467602610588073,0.0187365412712097,0.0267199873924255,-0.0391765832901001,lama,lama
