case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_lpips_improvement,lama_lpips_improvement,stable_diffusion_inpainting_lpips_improvement,winner_lpips_improvement
p001_loss_large,p001,p001_loss_large,loss_large,portrait_figure,Juan de Pareja,0.3182264566421509,0.4446377009153366,0.3911323845386505,lama
p001_loss_small,p001,p001_loss_small,loss_small,portrait_figure,Juan de Pareja,0.3331829719245434,0.3380720471031964,0.3060020729899406,lama
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,portrait_figure,Juan de Pareja,0.3858439400792122,0.3917700815945864,0.2444644421339035,lama
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,portrait_figure,Juan de Pareja,0.4198856446892023,0.4202968664467335,0.1617195010185241,lama
p002_loss_large,p002,p002_loss_large,loss_large,portrait_figure,Madame X (Madame Pierre Gautreau),0.3871159255504608,0.4482363909482956,0.407475858926773,lama
p002_loss_small,p002,p002_loss_small,loss_small,portrait_figure,Madame X (Madame Pierre Gautreau),0.1377413086593151,0.1468900917097926,0.1138432398438453,lama
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,portrait_figure,Madame X (Madame Pierre Gautreau),0.3730815201997757,0.4018230140209198,0.1999838352203369,lama
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,portrait_figure,Madame X (Madame Pierre Gautreau),0.2840117247542366,0.2852567431982606,0.121918112039566,lama
p003_loss_large,p003,p003_loss_large,loss_large,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.2405246496200561,0.3809850662946701,0.3396731615066528,lama
p003_loss_small,p003,p003_loss_small,loss_small,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.1296817678958177,0.1533064404502511,0.1131276823580265,lama
p003_mixed_damage,p003,p003_mixed_damage,mixed_damage,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.3058203123509884,0.3398829251527786,0.2872752100229263,lama
p003_scratch_thin,p003,p003_scratch_thin,scratch_thin,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,0.2505736900493502,0.251789633766748,0.1330270543694496,lama
p004_loss_large,p004,p004_loss_large,loss_large,portrait_figure,Madame Georges Charpentier and Her Children,0.152153342962265,0.2492253631353378,0.1889379024505615,lama
p004_loss_small,p004,p004_loss_small,loss_small,portrait_figure,Madame Georges Charpentier and Her Children,0.1195256486535072,0.1252485485747456,0.0728057622909545,lama
p004_mixed_damage,p004,p004_mixed_damage,mixed_damage,portrait_figure,Madame Georges Charpentier and Her Children,0.2629296705126762,0.2828941158950329,0.201812282204628,lama
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,portrait_figure,Madame Georges Charpentier and Her Children,0.2376733038108796,0.2387948483228683,0.1790601760149002,lama
p005_loss_large,p005,p005_loss_large,loss_large,portrait_figure,Self-Portrait with Two Pupils,0.1593762636184692,0.2661608457565307,0.2590415775775909,lama
p005_loss_small,p005,p005_loss_small,loss_small,portrait_figure,Self-Portrait with Two Pupils,0.2298265751451254,0.2436609547585249,0.191028743982315,lama
p005_mixed_damage,p005,p005_mixed_damage,mixed_damage,portrait_figure,Self-Portrait with Two Pupils,0.2131952606141567,0.2397049069404602,0.1993796452879905,lama
p005_scratch_thin,p005,p005_scratch_thin,scratch_thin,portrait_figure,Self-Portrait with Two Pupils,0.1541001272853464,0.1544984970241785,0.1065663993358612,lama
p006_loss_large,p006,p006_loss_large,loss_large,portrait_figure,Boy with a Sword,0.3838444203138351,0.43988998234272,0.2863410115242004,lama
p006_loss_small,p006,p006_loss_small,loss_small,portrait_figure,Boy with a Sword,0.3169105108827352,0.3319579930976033,0.291860569268465,lama
p006_mixed_damage,p006,p006_mixed_damage,mixed_damage,portrait_figure,Boy with a Sword,0.4087226986885071,0.4240191401913762,0.3003390878438949,lama
p006_scratch_thin,p006,p006_scratch_thin,scratch_thin,portrait_figure,Boy with a Sword,0.4611257668584585,0.4653345406404696,0.1453761458396911,lama
p007_loss_large,p007,p007_loss_large,loss_large,portrait_figure,Princesse de Broglie,0.2660217881202698,0.3687368482351303,0.3342435359954834,lama
p007_loss_small,p007,p007_loss_small,loss_small,portrait_figure,Princesse de Broglie,0.184266809374094,0.1974436063319444,0.1272604316473007,lama
p007_mixed_damage,p007,p007_mixed_damage,mixed_damage,portrait_figure,Princesse de Broglie,0.294059831649065,0.3061812072992325,0.2141256928443908,lama
p007_scratch_thin,p007,p007_scratch_thin,scratch_thin,portrait_figure,Princesse de Broglie,0.3206091322936117,0.3219847255386412,0.1989440247416496,lama
p008_loss_large,p008,p008_loss_large,loss_large,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.227487027645111,0.2994775325059891,0.2662034034729004,lama
p008_loss_small,p008,p008_loss_small,loss_small,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.1952443420886993,0.2078405474312603,0.109080322086811,lama
p008_mixed_damage,p008,p008_mixed_damage,mixed_damage,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.3103460557758808,0.337734873406589,0.247022733092308,lama
p008_scratch_thin,p008,p008_scratch_thin,scratch_thin,portrait_figure,Manuel Osorio Manrique de Zuñiga,0.3107778206467628,0.3120766319334507,0.1598789691925048,lama
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,0.2772508859634399,0.3605985790491104,0.1938725113868713,lama
