case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength
p040_loss_large,p040,p040_loss_large,loss_large,abstraction_surrealism,Houses at Murnau,29661.27905273437,11.36820967839638,,0.1465998589992523,0.057957112789154,-0.1731972694396972,28801.917236328125,10.00721315804944,,0.1822912395000457,0.1431777477264404,0.0888788700103759,28093.213623046875,9.136983906178452,,0.1547966599464416,0.1459025740623474,-0.0452993512153625,opencv_telea,opencv_telea,no_valid_values,lama,stable_diffusion_inpainting,lama,2,2,1,1,tie_lama_opencv_telea,True,False,False,False,False,4,2,5
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,portrait_figure,Juan de Pareja,50520.93118286133,23.63391920787114,,0.3858439400792122,0.09855717420578,0.1796562075614929,50444.49594116211,22.337665877820644,,0.3917700815945864,0.1023889183998107,0.1972331404685974,49826.72888183594,17.444243467566327,,0.2444644421339035,0.0605040788650512,0.1679370403289795,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,portrait_figure,Madame X (Madame Pierre Gautreau),50114.38048553467,28.59980972725987,,0.2840117247542366,0.1097153425216674,0.1251502037048339,50163.59069824219,33.98111193330545,,0.2852567431982606,0.1096439361572265,0.1252999901771545,46487.78466796875,11.328454270204762,,0.121918112039566,0.0437761545181274,-0.0119901299476623,lama,lama,no_valid_values,lama,opencv_telea,lama,1,4,0,1,lama,True,False,False,False,False,3,4,4
p004_scratch_thin,p004,p004_scratch_thin,scratch_thin,portrait_figure,Madame Georges Charpentier and Her Children,32575.33320617676,23.52255144631537,,0.2376733038108796,0.103688895702362,0.1556568741798401,32578.40739440918,23.61535806220705,,0.2387948483228683,0.103634238243103,0.1548500657081604,31850.838012695312,15.753555275591284,,0.1790601760149002,0.0895023345947265,0.0757519006729126,lama,lama,no_valid_values,lama,opencv_telea,opencv_telea,2,3,0,1,lama,True,False,False,False,False,3,3,4
p005_loss_large,p005,p005_loss_large,loss_large,portrait_figure,Self-Portrait with Two Pupils,35037.200439453125,14.37125370282389,,0.1593762636184692,0.0355778932571411,0.039504051208496,34549.271240234375,13.01327381494895,,0.2661608457565307,0.1002587676048278,0.1052160263061523,34622.197509765625,13.19116743432456,,0.2590415775775909,0.0503495335578918,0.0178481340408325,opencv_telea,opencv_telea,no_valid_values,lama,lama,lama,2,3,0,1,lama,True,False,False,False,False,3,3,4
p007_loss_large,p007,p007_loss_large,loss_large,portrait_figure,Princesse de Broglie,28616.42529296875,12.97945453845283,,0.2660217881202698,0.0284808278083801,0.021985650062561,29367.071228027344,15.943782882389293,,0.3687368482351303,0.1158956885337829,0.178906500339508,28620.2158203125,12.990306090407833,,0.3342435359954834,0.1530967950820922,0.1407266855239868,lama,lama,no_valid_values,lama,stable_diffusion_inpainting,lama,0,4,1,1,lama,True,False,False,False,False,3,4,4
p007_scratch_thin,p007,p007_scratch_thin,scratch_thin,portrait_figure,Princesse de Broglie,36727.08415222168,23.41865771248851,,0.3206091322936117,0.1504017114639282,0.0904030799865722,36750.94657897949,24.08443938196526,,0.3219847255386412,0.1501604914665222,0.0904164314270019,33821.682373046875,10.793600678301978,,0.1989440247416496,0.1057859659194946,0.0440046787261962,lama,lama,no_valid_values,lama,opencv_telea,lama,1,4,0,1,lama,True,False,False,False,False,3,4,4
p008_scratch_thin,p008,p008_scratch_thin,scratch_thin,portrait_figure,Manuel Osorio Manrique de Zuñiga,39434.62716674805,21.76696620988519,,0.3107778206467628,0.0926941633224487,0.2066290974617004,39466.96548461914,22.333723707547037,,0.3120766319334507,0.0928665399551391,0.2055748105049133,36312.1494140625,10.689926928444844,,0.1598789691925048,0.0212588310241699,0.0210705399513244,lama,lama,no_valid_values,lama,lama,opencv_telea,1,4,0,1,lama,True,False,False,False,False,3,4,4
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,18937.0322265625,10.109878746659383,,0.2772508859634399,-0.0661631822586059,-0.2997395396232605,19110.28686523437,10.494177756542122,,0.3605985790491104,0.1298187375068664,0.0682291388511657,14208.7275390625,4.9100932973564575,,0.1938725113868713,0.1394519209861755,0.1910362839698791,lama,lama,no_valid_values,lama,stable_diffusion_inpainting,stable_diffusion_inpainting,0,3,2,1,lama,True,False,False,False,False,3,3,4
p009_scratch_thin,p009,p009_scratch_thin,scratch_thin,portrait_figure,Madame Roulin and Her Baby,21377.748962402344,14.209867538352285,,0.1686782645992934,0.061643362045288,0.0827470421791076,21376.606018066406,14.20398255331219,,0.1689676744863391,0.061998426914215,0.0825287103652954,17224.64697265625,6.4813496088069416,,0.0703356564044952,0.0310767889022827,-0.0080227851867675,opencv_telea,opencv_telea,no_valid_values,lama,lama,opencv_telea,3,2,0,1,opencv_telea,True,False,False,False,False,3,3,4
