case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength
p009_loss_large,p009,p009_loss_large,loss_large,portrait_figure,Madame Roulin and Her Baby,18937.0322265625,10.109878746659383,0.1279449971814874,0.2772508859634399,-0.0661631822586059,-0.2997395396232605,19110.28686523437,10.494177756542122,0.0956642407500258,0.3605985790491104,0.1298187375068664,0.0682291388511657,14208.7275390625,4.9100932973564575,-0.2402667881871068,0.1938725113868713,0.1394519209861755,0.1910362839698791,lama,lama,opencv_telea,lama,stable_diffusion_inpainting,stable_diffusion_inpainting,1,3,2,0,lama,True,False,False,False,False,3,3,3
p024_loss_large,p024,p024_loss_large,loss_large,architecture_structured,Interior of the Church of St Bavo in Haarlem,27863.74584960937,12.984900099653276,0.1678887143234259,0.2307801246643066,0.1021432280540466,-0.115026831626892,28470.362182617188,15.284530922575314,0.1512541749363065,0.3547512590885162,0.1850593090057373,0.1021957993507385,25933.097900390625,9.351774866247656,-0.0396450624478657,0.3654626607894897,0.1614338159561157,0.0717297196388244,lama,lama,opencv_telea,stable_diffusion_inpainting,lama,lama,1,4,1,0,lama,True,False,False,False,False,3,4,3
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,32042.75341796875,13.63063682744562,0.1970196503323995,0.2409384548664093,0.0630731582641601,-0.0893460512161254,31426.18505859375,12.093437474189368,0.1864120684087166,0.2988933175802231,0.1647880673408508,0.0804858207702636,32135.70556640625,13.917993769741576,0.0675870679054061,0.3427233397960663,0.1687482595443725,0.0161963701248168,stable_diffusion_inpainting,stable_diffusion_inpainting,opencv_telea,stable_diffusion_inpainting,stable_diffusion_inpainting,lama,1,1,4,0,stable_diffusion_inpainting,True,False,False,False,False,3,4,3
p040_loss_large,p040,p040_loss_large,loss_large,abstraction_surrealism,Houses at Murnau,29661.27905273437,11.36820967839638,0.1333405793983298,0.1465998589992523,0.057957112789154,-0.1731972694396972,28801.917236328125,10.00721315804944,0.1075898742254181,0.1822912395000457,0.1431777477264404,0.0888788700103759,28093.213623046875,9.136983906178452,-0.1300573014422523,0.1547966599464416,0.1459025740623474,-0.0452993512153625,opencv_telea,opencv_telea,opencv_telea,lama,stable_diffusion_inpainting,lama,3,2,1,0,opencv_telea,True,False,False,False,False,3,3,3
p046_loss_large,p046,p046_loss_large,loss_large,high_texture_brushwork,Boating,18686.536376953125,11.855581808172122,0.0977576723010649,0.1424265205860138,-0.0906470417976379,-0.1489777565002441,19018.35595703125,13.130938676017363,0.0873700235715269,0.2607779502868652,0.1572717428207397,-0.1007546186447143,17703.577880859375,9.41572610237474,-0.1716668792517534,0.2023821175098419,0.1502583026885986,0.1002488732337951,lama,lama,opencv_telea,lama,lama,stable_diffusion_inpainting,1,4,1,0,lama,True,False,False,False,False,3,4,3
p048_loss_large,p048,p048_loss_large,loss_large,high_texture_brushwork,A Farm in Brittany,27720.657470703125,14.455165766853446,0.1573508856492959,0.191657543182373,0.0072274208068847,-0.2544845640659332,28284.35922241211,17.893217058849977,0.1499989683525098,0.2719768285751343,0.2022416591644287,0.1768238544464111,27452.81188964844,13.451936867711195,-0.0826675072461414,0.2626664936542511,0.2082928419113159,0.1441987752914428,lama,lama,opencv_telea,lama,stable_diffusion_inpainting,lama,1,4,1,0,lama,True,False,False,False,False,3,4,3
p050_loss_large,p050,p050_loss_large,loss_large,high_texture_brushwork,Landscape with a Sunlit Stream,36170.44073486328,16.46662178166921,0.1787401309506733,0.2030299305915832,0.0626245141029357,-0.1228090822696685,36316.64410400391,17.30278099249465,0.1056332730298229,0.4179140031337738,0.3441696166992187,0.3743863701820373,35462.07409667969,13.798415884977626,-0.1195018808830539,0.2976932525634765,0.2580386400222778,0.4131391048431396,lama,lama,opencv_telea,lama,lama,stable_diffusion_inpainting,1,4,1,0,lama,True,False,False,False,False,3,4,3
p001_loss_small,p001,p001_loss_small,loss_small,portrait_figure,Juan de Pareja,46962.81076812744,31.5765155885504,0.0790746575492647,0.3331829719245434,0.0886038541793823,0.0489463806152343,46980.14071369171,34.85685238522643,0.0780122295346862,0.3380720471031964,0.0891089439392089,0.0506902337074279,46912.75653839111,27.54322588719374,-0.0778224902549369,0.3060020729899406,0.0711422562599182,0.0376319885253906,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,portrait_figure,Juan de Pareja,50520.93118286133,23.63391920787114,0.085102870062997,0.3858439400792122,0.09855717420578,0.1796562075614929,50444.49594116211,22.337665877820644,0.083533776195798,0.3917700815945864,0.1023889183998107,0.1972331404685974,49826.72888183594,17.444243467566327,-0.093748648485088,0.2444644421339035,0.0605040788650512,0.1679370403289795,opencv_telea,opencv_telea,opencv_telea,lama,lama,lama,3,3,0,0,tie_lama_opencv_telea,True,False,False,False,False,2,3,2
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,portrait_figure,Juan de Pareja,48335.43656921387,24.47466047771981,0.0472760689419137,0.4198856446892023,0.1416660547256469,0.0740264058113098,48363.67512512207,25.24811209532254,0.0472119839499205,0.4202968664467335,0.1417280435562133,0.074596107006073,42301.111328125,8.929055695455837,-0.1537747545473062,0.1617195010185241,0.0434409379959106,-0.0055909156799316,lama,lama,opencv_telea,lama,lama,lama,1,5,0,0,lama,True,False,False,False,False,2,5,2
