case_id,category,mask_type,old_overall_metric_vote,refined_overall_metric_vote,refined_opencv_telea_metric_wins,refined_lama_metric_wins,refined_stable_diffusion_inpainting_metric_wins,refined_metric_ties,overall_vote_changed
p001_loss_large,portrait_figure,loss_large,lama,lama,0,6,0,0,False
p001_loss_small,portrait_figure,loss_small,lama,lama,1,5,0,0,False
p001_mixed_damage,portrait_figure,mixed_damage,lama,tie_lama_opencv_telea,3,3,0,0,True
p001_scratch_thin,portrait_figure,scratch_thin,lama,lama,1,5,0,0,False
p002_loss_large,portrait_figure,loss_large,lama,lama,0,6,0,0,False
p002_loss_small,portrait_figure,loss_small,lama,lama,0,6,0,0,False
p002_mixed_damage,portrait_figure,mixed_damage,lama,lama,0,6,0,0,False
p002_scratch_thin,portrait_figure,scratch_thin,lama,lama,1,5,0,0,False
p003_loss_large,portrait_figure,loss_large,lama,lama,0,6,0,0,False
p003_loss_small,portrait_figure,loss_small,lama,lama,0,6,0,0,False
p003_mixed_damage,portrait_figure,mixed_damage,lama,lama,0,6,0,0,False
p003_scratch_thin,portrait_figure,scratch_thin,lama,lama,0,6,0,0,False
p004_loss_large,portrait_figure,loss_large,lama,lama,0,6,0,0,False
p004_loss_small,portrait_figure,loss_small,lama,lama,1,5,0,0,False
p004_mixed_damage,portrait_figure,mixed_damage,lama,lama,1,5,0,0,False
p004_scratch_thin,portrait_figure,scratch_thin,lama,tie_lama_opencv_telea,3,3,0,0,True
p005_loss_large,portrait_figure,loss_large,lama,lama,2,4,0,0,False
p005_loss_small,portrait_figure,loss_small,lama,lama,0,6,0,0,False
p005_mixed_damage,portrait_figure,mixed_damage,lama,lama,0,6,0,0,False
p005_scratch_thin,portrait_figure,scratch_thin,lama,lama,0,6,0,0,False
p006_loss_large,portrait_figure,loss_large,lama,lama,0,6,0,0,False
p006_loss_small,portrait_figure,loss_small,lama,lama,0,6,0,0,False
p006_mixed_damage,portrait_figure,mixed_damage,lama,lama,0,6,0,0,False
p006_scratch_thin,portrait_figure,scratch_thin,lama,lama,0,6,0,0,False
p007_loss_large,portrait_figure,loss_large,lama,lama,0,5,1,0,False
p007_loss_small,portrait_figure,loss_small,lama,lama,0,6,0,0,False
p007_mixed_damage,portrait_figure,mixed_damage,lama,lama,0,6,0,0,False
p007_scratch_thin,portrait_figure,scratch_thin,lama,lama,2,4,0,0,False
p008_loss_large,portrait_figure,loss_large,lama,lama,0,6,0,0,False
p008_loss_small,portrait_figure,loss_small,lama,lama,0,6,0,0,False
p008_mixed_damage,portrait_figure,mixed_damage,lama,lama,0,6,0,0,False
p008_scratch_thin,portrait_figure,scratch_thin,lama,lama,2,4,0,0,False
p009_loss_large,portrait_figure,loss_large,lama,lama,1,3,2,0,False
p009_loss_small,portrait_figure,loss_small,lama,lama,1,5,0,0,False
p009_mixed_damage,portrait_figure,mixed_damage,lama,lama,1,5,0,0,False
p009_scratch_thin,portrait_figure,scratch_thin,opencv_telea,opencv_telea,4,2,0,0,False
p010_loss_large,portrait_figure,loss_large,lama,tie_lama_opencv_telea,3,3,0,0,True
p010_loss_small,portrait_figure,loss_small,lama,tie_lama_opencv_telea,3,3,0,0,True
p010_mixed_damage,portrait_figure,mixed_damage,lama,lama,1,5,0,0,False
p010_scratch_thin,portrait_figure,scratch_thin,lama,tie_lama_opencv_telea,3,3,0,0,True
p011_loss_large,landscape_natural,loss_large,lama,lama,1,5,0,0,False
p011_loss_small,landscape_natural,loss_small,lama,lama,1,5,0,0,False
p011_mixed_damage,landscape_natural,mixed_damage,lama,lama,1,5,0,0,False
p011_scratch_thin,landscape_natural,scratch_thin,lama,lama,1,5,0,0,False
p012_loss_large,landscape_natural,loss_large,lama,lama,0,6,0,0,False
p012_loss_small,landscape_natural,loss_small,lama,lama,0,6,0,0,False
p012_mixed_damage,landscape_natural,mixed_damage,lama,lama,0,6,0,0,False
p012_scratch_thin,landscape_natural,scratch_thin,lama,lama,1,5,0,0,False
p013_loss_large,landscape_natural,loss_large,lama,lama,1,5,0,0,False
p013_loss_small,landscape_natural,loss_small,lama,lama,2,4,0,0,False
p013_mixed_damage,landscape_natural,mixed_damage,lama,lama,1,5,0,0,False
p013_scratch_thin,landscape_natural,scratch_thin,lama,lama,1,5,0,0,False
p014_loss_large,landscape_natural,loss_large,lama,lama,1,5,0,0,False
p014_loss_small,landscape_natural,loss_small,lama,lama,1,5,0,0,False
p014_mixed_damage,landscape_natural,mixed_damage,lama,lama,1,5,0,0,False
p014_scratch_thin,landscape_natural,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p015_loss_large,landscape_natural,loss_large,lama,tie_lama_opencv_telea,3,3,0,0,True
p015_loss_small,landscape_natural,loss_small,lama,tie_lama_opencv_telea,3,3,0,0,True
p015_mixed_damage,landscape_natural,mixed_damage,lama,lama,1,5,0,0,False
p015_scratch_thin,landscape_natural,scratch_thin,opencv_telea,opencv_telea,4,2,0,0,False
p016_loss_large,landscape_natural,loss_large,lama,lama,1,5,0,0,False
p016_loss_small,landscape_natural,loss_small,lama,lama,2,4,0,0,False
p016_mixed_damage,landscape_natural,mixed_damage,lama,tie_lama_opencv_telea,3,3,0,0,True
p016_scratch_thin,landscape_natural,scratch_thin,lama,tie_lama_opencv_telea,3,3,0,0,True
p017_loss_large,landscape_natural,loss_large,lama,tie_lama_opencv_telea,3,3,0,0,True
p017_loss_small,landscape_natural,loss_small,lama,lama,1,5,0,0,False
p017_mixed_damage,landscape_natural,mixed_damage,lama,lama,1,5,0,0,False
p017_scratch_thin,landscape_natural,scratch_thin,opencv_telea,opencv_telea,4,2,0,0,False
p018_loss_large,landscape_natural,loss_large,lama,lama,0,5,1,0,False
p018_loss_small,landscape_natural,loss_small,lama,lama,0,6,0,0,False
p018_mixed_damage,landscape_natural,mixed_damage,lama,lama,2,4,0,0,False
p018_scratch_thin,landscape_natural,scratch_thin,lama,lama,1,5,0,0,False
p019_loss_large,landscape_natural,loss_large,lama,lama,0,6,0,0,False
p019_loss_small,landscape_natural,loss_small,lama,lama,0,6,0,0,False
p019_mixed_damage,landscape_natural,mixed_damage,lama,lama,1,5,0,0,False
p019_scratch_thin,landscape_natural,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p020_loss_large,landscape_natural,loss_large,lama,tie_lama_opencv_telea,3,3,0,0,True
p020_loss_small,landscape_natural,loss_small,lama,lama,1,5,0,0,False
p020_mixed_damage,landscape_natural,mixed_damage,lama,lama,1,5,0,0,False
p020_scratch_thin,landscape_natural,scratch_thin,lama,lama,1,5,0,0,False
p021_loss_large,architecture_structured,loss_large,lama,lama,0,4,2,0,False
p021_loss_small,architecture_structured,loss_small,lama,lama,0,6,0,0,False
p021_mixed_damage,architecture_structured,mixed_damage,lama,lama,0,6,0,0,False
p021_scratch_thin,architecture_structured,scratch_thin,lama,lama,0,6,0,0,False
p022_loss_large,architecture_structured,loss_large,lama,lama,0,6,0,0,False
p022_loss_small,architecture_structured,loss_small,lama,lama,0,6,0,0,False
p022_mixed_damage,architecture_structured,mixed_damage,lama,lama,0,6,0,0,False
p022_scratch_thin,architecture_structured,scratch_thin,lama,lama,1,5,0,0,False
p023_loss_large,architecture_structured,loss_large,lama,lama,0,6,0,0,False
p023_loss_small,architecture_structured,loss_small,lama,lama,0,6,0,0,False
p023_mixed_damage,architecture_structured,mixed_damage,lama,lama,0,6,0,0,False
p023_scratch_thin,architecture_structured,scratch_thin,opencv_telea,opencv_telea,4,2,0,0,False
p024_loss_large,architecture_structured,loss_large,lama,lama,1,4,1,0,False
p024_loss_small,architecture_structured,loss_small,lama,lama,0,6,0,0,False
p024_mixed_damage,architecture_structured,mixed_damage,lama,lama,0,6,0,0,False
p024_scratch_thin,architecture_structured,scratch_thin,opencv_telea,opencv_telea,6,0,0,0,False
p025_loss_large,architecture_structured,loss_large,lama,lama,0,6,0,0,False
p025_loss_small,architecture_structured,loss_small,lama,lama,0,6,0,0,False
p025_mixed_damage,architecture_structured,mixed_damage,lama,lama,0,6,0,0,False
p025_scratch_thin,architecture_structured,scratch_thin,lama,lama,2,4,0,0,False
p026_loss_large,architecture_structured,loss_large,lama,lama,1,5,0,0,False
p026_loss_small,architecture_structured,loss_small,lama,tie_lama_opencv_telea,3,3,0,0,True
p026_mixed_damage,architecture_structured,mixed_damage,lama,lama,1,5,0,0,False
p026_scratch_thin,architecture_structured,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p027_loss_large,architecture_structured,loss_large,lama,lama,1,5,0,0,False
p027_loss_small,architecture_structured,loss_small,lama,tie_lama_opencv_telea,3,3,0,0,True
p027_mixed_damage,architecture_structured,mixed_damage,lama,lama,1,5,0,0,False
p027_scratch_thin,architecture_structured,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p028_loss_large,architecture_structured,loss_large,lama,lama,1,5,0,0,False
p028_loss_small,architecture_structured,loss_small,lama,lama,1,5,0,0,False
p028_mixed_damage,architecture_structured,mixed_damage,lama,lama,1,5,0,0,False
p028_scratch_thin,architecture_structured,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p029_loss_large,architecture_structured,loss_large,lama,lama,0,6,0,0,False
p029_loss_small,architecture_structured,loss_small,lama,lama,0,6,0,0,False
p029_mixed_damage,architecture_structured,mixed_damage,lama,lama,0,6,0,0,False
p029_scratch_thin,architecture_structured,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p030_loss_large,architecture_structured,loss_large,lama,lama,0,6,0,0,False
p030_loss_small,architecture_structured,loss_small,opencv_telea,tie_lama_opencv_telea,3,3,0,0,True
p030_mixed_damage,architecture_structured,mixed_damage,lama,lama,0,6,0,0,False
p030_scratch_thin,architecture_structured,scratch_thin,opencv_telea,opencv_telea,6,0,0,0,False
p031_loss_large,abstraction_surrealism,loss_large,lama,lama,1,5,0,0,False
p031_loss_small,abstraction_surrealism,loss_small,lama,lama,0,6,0,0,False
p031_mixed_damage,abstraction_surrealism,mixed_damage,lama,lama,1,5,0,0,False
p031_scratch_thin,abstraction_surrealism,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p032_loss_large,abstraction_surrealism,loss_large,lama,lama,0,5,1,0,False
p032_loss_small,abstraction_surrealism,loss_small,lama,lama,0,6,0,0,False
p032_mixed_damage,abstraction_surrealism,mixed_damage,lama,lama,1,5,0,0,False
p032_scratch_thin,abstraction_surrealism,scratch_thin,lama,lama,1,5,0,0,False
p033_loss_large,abstraction_surrealism,loss_large,lama,lama,0,5,1,0,False
p033_loss_small,abstraction_surrealism,loss_small,lama,lama,0,6,0,0,False
p033_mixed_damage,abstraction_surrealism,mixed_damage,lama,lama,0,6,0,0,False
p033_scratch_thin,abstraction_surrealism,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p034_loss_large,abstraction_surrealism,loss_large,lama,lama,1,5,0,0,False
p034_loss_small,abstraction_surrealism,loss_small,lama,lama,0,6,0,0,False
p034_mixed_damage,abstraction_surrealism,mixed_damage,lama,lama,0,6,0,0,False
p034_scratch_thin,abstraction_surrealism,scratch_thin,lama,lama,1,5,0,0,False
p035_loss_large,abstraction_surrealism,loss_large,lama,lama,0,6,0,0,False
p035_loss_small,abstraction_surrealism,loss_small,lama,lama,0,6,0,0,False
p035_mixed_damage,abstraction_surrealism,mixed_damage,lama,lama,0,6,0,0,False
p035_scratch_thin,abstraction_surrealism,scratch_thin,opencv_telea,opencv_telea,5,1,0,0,False
p036_loss_large,abstraction_surrealism,loss_large,lama,lama,0,6,0,0,False
p036_loss_small,abstraction_surrealism,loss_small,lama,lama,1,5,0,0,False
p036_mixed_damage,abstraction_surrealism,mixed_damage,lama,lama,0,6,0,0,False
