case_id,painting_id,mask_type,texture_winner_model,texture_winner_distance,texture_winner_glcm_distance,texture_winner_gabor_distance,texture_winner_brushstroke_proxy_distance,category,lama_texture_distance,lama_brushstroke_proxy_distance,opencv_telea_texture_distance,opencv_telea_brushstroke_proxy_distance,stable_diffusion_inpainting_texture_distance,stable_diffusion_inpainting_brushstroke_proxy_distance,texture_margin_best_vs_second,painting_id_refined,mask_type_refined,category_refined,overall_metric_vote,texture_disagrees_with_refined_vote
p043_loss_large,p043,loss_large,stable_diffusion_inpainting,0.07139375334738766,0.05842035559100693,4.771107033111313e-05,0.013088404336612893,high_texture_brushwork,0.4678078284219447,0.056892317288793674,0.5769947281397382,0.058368969079831884,0.07139375334738766,0.013088404336612893,0.396414075074557,p043,loss_large,high_texture_brushwork,lama,True
p033_loss_large,p033,loss_large,stable_diffusion_inpainting,0.11226499433242844,0.13222588151615952,8.751976054949522e-05,0.013461291833548694,abstraction_surrealism,0.490017156656573,0.02780162329261254,0.5642638997058698,0.033135025279892406,0.11226499433242844,0.013461291833548694,0.3777521623241446,p033,loss_large,abstraction_surrealism,lama,True
p040_loss_large,p040,loss_large,stable_diffusion_inpainting,0.16398404379680234,0.17422997926866393,0.0001300133408055287,0.021824657866790508,abstraction_surrealism,0.4754796826637142,0.02760719116861472,0.5406801261115557,0.03499499156317848,0.16398404379680234,0.021824657866790508,0.3114956388669119,p040,loss_large,abstraction_surrealism,opencv_telea,True
p039_loss_large,p039,loss_large,stable_diffusion_inpainting,0.20050782718618906,0.20500063020215706,0.00020530642251573297,0.020963897229569334,abstraction_surrealism,0.48994090276430713,0.048348811925323754,0.5382214974851616,0.05601414569651675,0.20050782718618906,0.020963897229569334,0.28943307557811804,p039,loss_large,abstraction_surrealism,lama,True
p046_loss_large,p046,loss_large,stable_diffusion_inpainting,0.09457348200126243,0.05539420094643436,9.029140277526176e-05,0.016260836690942953,high_texture_brushwork,0.33029033764381577,0.03904967981362751,0.43197350708454446,0.04688444991549509,0.09457348200126243,0.016260836690942953,0.23571685564255335,p046,loss_large,high_texture_brushwork,lama,True
p005_loss_large,p005,loss_large,stable_diffusion_inpainting,0.21917047250447932,0.25343186322439487,0.0002511712433647485,0.015153934456963674,portrait_figure,0.43281664659829744,0.027196044135431863,0.5294541851202644,0.03734305961388965,0.21917047250447932,0.015153934456963674,0.21364617409381811,p005,loss_large,portrait_figure,lama,True
p030_loss_large,p030,loss_large,stable_diffusion_inpainting,0.09889584830589264,0.040640030769048076,8.605018607706881e-05,0.02049440948459887,architecture_structured,0.3025263566562136,0.026144400949702287,0.4141608469194253,0.03142682873512501,0.09889584830589264,0.02049440948459887,0.20363050835032093,p030,loss_large,architecture_structured,lama,True
p045_loss_large,p045,loss_large,stable_diffusion_inpainting,0.1748253491989914,0.16619204983619923,0.00015409537998260884,0.023567568170923398,high_texture_brushwork,0.3752049257507318,0.020312937454564448,0.48567225764179084,0.03942676746355455,0.1748253491989914,0.023567568170923398,0.20037957655174038,p045,loss_large,high_texture_brushwork,lama,True
p035_loss_large,p035,loss_large,stable_diffusion_inpainting,0.27384373283288793,0.2698959485840578,0.00031915863779409265,0.024285947239708786,abstraction_surrealism,0.4543789254650332,0.04073317732335496,0.6604383418690203,0.06046063161750623,0.27384373283288793,0.024285947239708786,0.1805351926321453,p035,loss_large,abstraction_surrealism,lama,True
p009_loss_large,p009,loss_large,stable_diffusion_inpainting,0.2612948053471151,0.12108053880085883,0.0002767879316976728,0.045123207880664144,portrait_figure,0.4417407848502461,0.017951002707413257,0.5937627159815677,0.023800171630373606,0.2612948053471151,0.045123207880664144,0.18044597950313102,p009,loss_large,portrait_figure,lama,True
p017_loss_large,p017,loss_large,stable_diffusion_inpainting,0.2205398034672362,0.34114810407113055,0.0001544562565666359,0.018325148296722476,landscape_natural,0.3955637490861839,0.03953024064655388,0.7186683663334508,0.06314475693993586,0.2205398034672362,0.018325148296722476,0.1750239456189477,p017,loss_large,landscape_natural,tie_lama_opencv_telea,True
p038_loss_large,p038,loss_large,stable_diffusion_inpainting,0.14104632518048207,0.07981009289575164,0.00011492509069058444,0.02750483042734374,abstraction_surrealism,0.26880230233358987,0.026516779981142564,0.32781611840580555,0.03692956940447114,0.14104632518048207,0.02750483042734374,0.1277559771531078,p038,loss_large,abstraction_surrealism,lama,True
p007_loss_large,p007,loss_large,stable_diffusion_inpainting,0.09294745388541585,0.04495262806580923,0.00012054473755279143,0.012574830077455362,portrait_figure,0.2172477422094217,0.02528895620675761,0.3418359660486263,0.041826448290935965,0.09294745388541585,0.012574830077455362,0.12430028832400584,p007,loss_large,portrait_figure,lama,True
p048_loss_large,p048,loss_large,stable_diffusion_inpainting,0.11893123157088963,0.02612921012097851,5.583973696867915e-05,0.03459561589611371,high_texture_brushwork,0.2141140358695032,0.022189206326647698,0.2696223994910954,0.028640623396145256,0.11893123157088963,0.03459561589611371,0.09518280429861357,p048,loss_large,high_texture_brushwork,lama,True
p015_loss_large,p015,loss_large,stable_diffusion_inpainting,0.20837726065670706,0.1678995479214809,0.0002420449711497746,0.02351318993254674,landscape_natural,0.3017995500366299,0.032333685553092406,0.46714154614223286,0.04892426151370238,0.20837726065670706,0.02351318993254674,0.09342228937992283,p015,loss_large,landscape_natural,tie_lama_opencv_telea,True
