mask_type,model,cases,mean_glcm_texture_distance,median_glcm_texture_distance,mean_gabor_texture_distance,median_gabor_texture_distance,mean_brushstroke_proxy_distance,median_brushstroke_proxy_distance,mean_combined_texture_distance,median_combined_texture_distance
loss_large,lama,10,0.20970423555394793,0.13930374411709756,0.00027446776678522144,0.00022186271059314045,0.02433644058271135,0.020532685066077548,0.23682141623385142,0.18223271466222946
loss_large,stable_diffusion_inpainting,10,0.19517808601879455,0.1384414244222027,0.00022304936050497067,0.0001693597700396863,0.03648795802688626,0.029081592033518552,0.24384585476003423,0.2159464769926592
loss_large,opencv_telea,10,0.3118788927739807,0.2715496881154706,0.0004037013976241643,0.00040387508267100605,0.038762744518389555,0.03429264604496038,0.35713023243154446,0.34486115032381814
loss_small,lama,10,0.0056189123426669966,0.003014478786416974,8.097066059839165e-06,5.963012926478244e-06,0.001665487579228293,0.0012987998938348907,0.00923470399028302,0.006918227125330807
loss_small,opencv_telea,10,0.03820549104630426,0.030462528921591223,4.47600690176751e-05,4.8180552093860405e-05,0.005168221308283013,0.004800637898452802,0.04306232975859951,0.04082218404708586
loss_small,stable_diffusion_inpainting,10,0.1608332765899806,0.09108437356747799,0.00011540787377541987,7.716133994315418e-05,0.017011788353957436,0.018666203639906117,0.14156797144897995,0.11225205793207564
mixed_damage,lama,10,0.02851810723061813,0.01836863767888393,3.42963043226258e-05,3.394975645895479e-05,0.003565043031014728,0.002630574539827243,0.03172313851931353,0.0267240092735776
mixed_damage,opencv_telea,10,0.07099897996432333,0.05275358313110981,8.366554559142155e-05,7.697228407994145e-05,0.007274224786266982,0.007101099644023525,0.0742076228303986,0.06548343288273753
mixed_damage,stable_diffusion_inpainting,10,0.1330903397510006,0.07293237704616172,9.896993376371927e-05,6.468538718812768e-05,0.01692439748700045,0.016655696590546748,0.1257856172606165,0.09358579661697417
scratch_thin,lama,10,0.011524117161759637,0.0065366612343120585,1.310730583899375e-05,6.25849995982585e-06,0.0013711603808453294,0.0010979827401916224,0.01235732629038281,0.008402576029427528
scratch_thin,opencv_telea,10,0.027982094035023858,0.016423065196544122,3.2963382232857185e-05,2.2546581350899248e-05,0.0022927086206341865,0.0017753592543756336,0.02776402677308103,0.019846350221511773
scratch_thin,stable_diffusion_inpainting,10,0.1346940159270217,0.09310157834332747,0.000122530229567024,0.00012806284597335267,0.01597682321570583,0.013887619478890622,0.1327582272543793,0.11483284425661933
zero_control,lama,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_control,opencv_telea,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zero_control,stable_diffusion_inpainting,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
