category,model,cases,mean_glcm_texture_distance,median_glcm_texture_distance,mean_gabor_texture_distance,median_gabor_texture_distance,mean_brushstroke_proxy_distance,median_brushstroke_proxy_distance,mean_combined_texture_distance,median_combined_texture_distance
abstraction_surrealism,lama,50,0.07800398708096458,0.00911872466470635,8.625579748021468e-05,1.4778134401758902e-05,0.006842002758710883,0.0014329472522430489,0.07643535103570354,0.012791419907210971
abstraction_surrealism,stable_diffusion_inpainting,50,0.09529584315702828,0.07997612111343047,9.75153269694974e-05,7.602966659057378e-05,0.012411348828001965,0.011992962146412527,0.10085478312518997,0.09043935282981092
abstraction_surrealism,opencv_telea,50,0.12329575194235835,0.03527887137054503,0.0001331714972791039,3.7925221962737815e-05,0.011085594924142026,0.003999932597847566,0.12032126595950125,0.03670764350555313
architecture_structured,lama,50,0.04242833136841208,0.005416574294712411,6.0863118932390733e-05,9.437869350158174e-06,0.007057891976429539,0.0015127170235486103,0.055417352511579615,0.008285733222635865
architecture_structured,opencv_telea,50,0.08104900302906502,0.027131059925742156,0.00012510070664627668,4.1284050552998094e-05,0.012789058416779934,0.004329038118577752,0.10740325291586528,0.03959309221516656
architecture_structured,stable_diffusion_inpainting,50,0.11371062386677558,0.07905338566352758,0.00012735212022443968,7.243591652894641e-05,0.019067484076341745,0.015870666570472928,0.13544668854806668,0.1130291163817074
high_texture_brushwork,lama,50,0.05107307445779854,0.007107042922042785,6.599368860133603e-05,7.0568128725911935e-06,0.006187626314759939,0.001834558843810118,0.05802731700676615,0.009696850362634176
high_texture_brushwork,opencv_telea,50,0.08981309156392642,0.035683507118241586,0.00011301807889322363,4.387388468247881e-05,0.010699579846714748,0.004644710539430273,0.10043284235872471,0.042030966270397215
high_texture_brushwork,stable_diffusion_inpainting,50,0.12475914365735949,0.07136171358881274,0.00011199147952222677,7.306396252174978e-05,0.017280193416709996,0.015088850559566967,0.128791534144802,0.105635048882786
landscape_natural,lama,50,0.05036203889181367,0.012957658650584562,4.782424254594304e-05,1.1419055014762453e-05,0.005934811988823368,0.0018294223503416216,0.05029494906305848,0.01471293188582606
landscape_natural,opencv_telea,50,0.11834643288495021,0.038416132833885126,0.00012146734689725457,4.871085420661794e-05,0.011536924183633024,0.004957855779236197,0.11540526080595491,0.04408072485812921
landscape_natural,stable_diffusion_inpainting,50,0.16759994423036428,0.1463391703863821,0.0001470355671675558,0.00010255126494098838,0.027389253212142285,0.024416043538602755,0.182483307452415,0.1711185202903775
portrait_figure,lama,50,0.042018948367548645,0.004009937888219509,5.489821330633828e-05,4.668711065948098e-06,0.006001269264994475,0.001803773061325324,0.050312388316177695,0.006396853314632958
portrait_figure,opencv_telea,50,0.07313664265412505,0.01945260069987234,9.787261951488076e-05,3.235214892486841e-05,0.008970295007476942,0.0036557190447593048,0.08464613771923503,0.028018763322790196
portrait_figure,stable_diffusion_inpainting,50,0.1321096922199555,0.10958281795099462,0.00016028346885712375,0.00012115755082170847,0.016547802598834604,0.013111280914386968,0.14757093335729118,0.13277387773358237
