case_id,painting_id,mask_id,mask_type,category,title,artist,date,style_or_period,medium,source,source_url,license,filename,damaged_mse_opencv,damaged_mse_lama,restored_mse_opencv,restored_mse_lama,restored_mse_delta_lama_minus_opencv,mse_improvement_opencv,mse_improvement_lama,mse_improvement_delta_lama_minus_opencv,winner_mse_improvement,damaged_mae_opencv,damaged_mae_lama,restored_mae_opencv,restored_mae_lama,restored_mae_delta_lama_minus_opencv,mae_improvement_opencv,mae_improvement_lama,mae_improvement_delta_lama_minus_opencv,winner_mae_improvement,damaged_psnr_opencv,damaged_psnr_lama,restored_psnr_opencv,restored_psnr_lama,restored_psnr_delta_lama_minus_opencv,psnr_improvement_opencv,psnr_improvement_lama,psnr_improvement_delta_lama_minus_opencv,winner_psnr_improvement,damaged_lpips_opencv,damaged_lpips_lama,restored_lpips_opencv,restored_lpips_lama,restored_lpips_delta_lama_minus_opencv,lpips_improvement_opencv,lpips_improvement_lama,lpips_improvement_delta_lama_minus_opencv,winner_lpips_improvement,clip_damaged_similarity_opencv,clip_damaged_similarity_lama,clip_restored_similarity_opencv,clip_restored_similarity_lama,clip_restored_similarity_delta_lama_minus_opencv,clip_similarity_improvement_opencv,clip_similarity_improvement_lama,clip_similarity_improvement_delta_lama_minus_opencv,winner_clip_similarity_improvement,dinov2_damaged_similarity_opencv,dinov2_damaged_similarity_lama,dinov2_restored_similarity_opencv,dinov2_restored_similarity_lama,dinov2_restored_similarity_delta_lama_minus_opencv,dinov2_similarity_improvement_opencv,dinov2_similarity_improvement_lama,dinov2_similarity_improvement_delta_lama_minus_opencv,winner_dinov2_similarity_improvement,clean_path,damaged_path,mask_path,restored_path_opencv,restored_path_lama,lama_metric_wins,opencv_metric_wins,metric_ties,overall_metric_vote,clean_path_resolved,damaged_path_resolved,mask_path_resolved,restored_path_opencv_resolved,restored_path_lama_resolved,lama_mse_win_but_dinov2_loss,lama_lpips_win_but_dinov2_loss,opencv_mse_loss_but_dinov2_win,opencv_lpips_loss_but_dinov2_win,lama_all_main_metrics_win,opencv_all_main_metrics_win,mixed_metric_outcome
p001_loss_large,p001,p001_loss_large,loss_large,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,48997.8046875,48997.8046875,981.8536376953124,294.1728515625,-687.6807861328124,48015.95104980469,48703.6318359375,687.6807861328125,lama,219.8046112060547,219.8046417236328,19.00289535522461,9.788515090942385,-9.214380264282225,200.80171585083008,210.01612663269043,9.214410781860352,lama,1.229037386651714,1.229037386651714,18.210336073770225,23.44477770520706,5.234441631436834,16.981298687118507,22.215740318555344,5.234441631436837,lama,0.5921071767807007,0.5921071767807007,0.2738807201385498,0.147469475865364,-0.1264112442731858,0.3182264566421509,0.4446377009153366,0.12641124427318573,lama,0.8108999729156494,0.8109001517295837,0.8080077767372131,0.9776870012283324,0.16967922449111927,-0.0028921961784362,0.1667868494987487,0.1696790456771849,lama,0.7064647078514099,0.7064647078514099,0.7482913732528687,0.9600919485092164,0.21180057525634777,0.0418266654014587,0.2536272406578064,0.2118005752563477,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p001_loss_large_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p001_loss_large_restored_lama.png,False,False,False,False,True,False,False
p001_loss_small,p001,p001_loss_small,loss_small,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,46995.5,46995.5,32.689231872558594,15.359286308288574,-17.32994556427002,46962.81076812744,46980.14071369171,17.32994556427002,lama,216.0694580078125,216.0694580078125,3.5549495220184326,2.889164447784424,-0.6657850742340088,212.51450848579407,213.18029356002808,0.6657850742340088,lama,1.4102408630948342,1.4102408630948342,32.986756451645235,36.26709324832127,3.280336796676032,31.5765155885504,34.85685238522643,3.280336796676032,lama,0.3410093188285827,0.3410093188285827,0.0078263469040393,0.0029372717253863,-0.004889075178653,0.3331829719245434,0.3380720471031964,0.004889075178653002,lama,0.9106937050819396,0.9106937050819396,0.999297559261322,0.9998026490211488,0.0005050897598267712,0.0886038541793823,0.0891089439392089,0.0005050897598266046,lama,0.9489419460296632,0.9489419460296632,0.9978883266448976,0.9996321797370912,0.0017438530921936035,0.0489463806152343,0.0506902337074279,0.0017438530921936035,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_small_restored_opencv_telea.png,data/processed/restored/lama/p001_loss_small_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p001_loss_small_restored_lama.png,False,False,False,False,True,False,False
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,50740.69921875,50740.69921875,219.76803588867188,296.2032775878906,76.43524169921875,50520.93118286133,50444.49594116211,-76.43524169921875,opencv,224.4674072265625,224.4673767089844,7.844874382019043,8.57044792175293,0.7255735397338867,216.62253284454343,215.89692878723145,-0.7256040573119833,opencv,1.0772391326102264,1.0772391326102264,24.71115834048137,23.41490501043087,-1.2962533300504973,23.63391920787114,22.337665877820644,-1.2962533300504973,opencv,0.4163284003734588,0.4163284003734588,0.0304844602942466,0.0245583187788724,-0.005926141515374201,0.3858439400792122,0.3917700815945864,0.005926141515374184,lama,0.8958069682121277,0.8958069086074829,0.9943641424179076,0.9981958270072936,0.0038316845893859863,0.09855717420578,0.1023889183998107,0.0038317441940306923,lama,0.7951979041099548,0.7951979041099548,0.9748541116714478,0.9924310445785522,0.017576932907104492,0.1796562075614929,0.1972331404685974,0.01757693290710452,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_mixed_damage_restored_opencv_telea.png,data/processed/restored/lama/p001_mixed_damage_restored_lama.png,3,1,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p001_mixed_damage_restored_lama.png,False,False,False,False,False,False,True
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,portrait_figure,Juan de Pareja,Diego Velázquez,1650,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,48508.55859375,48508.5546875,173.1220245361328,144.8795623779297,-28.242462158203125,48335.43656921387,48363.67512512207,28.238555908203125,lama,217.93804931640625,217.93804931640625,6.558287620544434,6.475494861602783,-0.08279275894165039,211.37976169586184,211.46255445480347,0.08279275894162197,lama,1.272619908817357,1.2726202585418058,25.747280386537167,26.520732353864343,0.7734519673271762,24.47466047771981,25.24811209532254,0.7734516176027313,lama,0.4253467917442322,0.4253467917442322,0.0054611470550298,0.0050499252974987,-0.0004112217575310993,0.4198856446892023,0.4202968664467335,0.0004112217575311661,lama,0.857966423034668,0.8579663038253784,0.9996324777603148,0.9996943473815918,6.186962127696649e-05,0.1416660547256469,0.1417280435562133,6.198883056640625e-05,lama,0.9249415397644044,0.9249415397644044,0.998967945575714,0.9995376467704772,0.0005697011947631836,0.0740264058113098,0.074596107006073,0.0005697011947631975,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_scratch_thin_restored_opencv_telea.png,data/processed/restored/lama/p001_scratch_thin_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p001_scratch_thin_restored_lama.png,False,False,False,False,True,False,False
p002_loss_large,p002,p002_loss_large,loss_large,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,51229.84765625,51229.8515625,315.2899169921875,94.77253723144533,-220.5173797607422,50914.55773925781,51135.07902526856,220.52128601074946,lama,225.61866760253903,225.61866760253903,11.879395484924316,6.4565534591674805,-5.422842025756836,213.73927211761475,219.1621141433716,5.422842025756864,lama,1.0355729646430696,1.0355726334957345,23.14370278685415,28.363978532422983,5.220275745568834,22.10812982221108,27.32840589892725,5.220276076716171,lama,0.5892032980918884,0.5892032980918884,0.2020873725414276,0.1409669071435928,-0.061120465397834806,0.3871159255504608,0.4482363909482956,0.06112046539783478,lama,0.724332869052887,0.7243326306343079,0.8238481283187866,0.9698851108551024,0.1460369825363158,0.0995152592658996,0.2455524802207946,0.146037220954895,lama,0.7628775835037231,0.7628775835037231,0.774365246295929,0.9351863265037536,0.1608210802078246,0.0114876627922058,0.1723087430000305,0.16082108020782468,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p002_loss_large_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p002_loss_large_restored_lama.png,False,False,False,False,True,False,False
p002_loss_small,p002,p002_loss_small,loss_small,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,45094.36328125,45094.36328125,73.05841827392578,44.49993133544922,-28.558486938476562,45021.30486297608,45049.86334991455,28.558486938469287,lama,211.52651977539065,211.52651977539065,5.103739738464356,3.77626371383667,-1.3274760246276864,206.42278003692627,207.750256061554,1.3274760246277424,lama,1.5895810166933888,1.5895810166933888,29.49410095433047,31.64721020014136,2.1531092458108887,27.904519937637083,30.05762918344797,2.153109245810885,lama,0.1513971984386444,0.1513971984386444,0.0136558897793293,0.0045071067288517,-0.0091487830504776,0.1377413086593151,0.1468900917097926,0.009148783050477477,lama,0.939056158065796,0.9390560388565063,0.9977714419364928,0.999289095401764,0.0015176534652712181,0.058715283870697,0.0602330565452575,0.0015177726745604983,lama,0.942081093788147,0.942081093788147,0.99410080909729,0.9970705509185792,0.0029697418212891735,0.052019715309143,0.0549894571304321,0.002969741821289104,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_small_restored_opencv_telea.png,data/processed/restored/lama/p002_loss_small_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p002_loss_small_restored_lama.png,False,False,False,False,True,False,False
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,45998.87890625,45998.8828125,281.3128662109375,142.59649658203125,-138.71636962890625,45717.56604003906,45856.28631591797,138.72027587890625,lama,212.27674865722656,212.27674865722656,9.358214378356934,5.881187438964844,-3.47702693939209,202.91853427886963,206.3955612182617,3.4770269393920614,lama,1.5033311376812983,1.50333076887606,23.63890765223754,26.589715052944364,2.9508074007068252,22.13557651455624,25.086384284068306,2.950807769512064,lama,0.4236736595630646,0.4236736595630646,0.0505921393632888,0.0218506455421447,-0.028741493821144104,0.3730815201997757,0.4018230140209198,0.028741493821144104,lama,0.8460491895675659,0.8460490703582764,0.9846564531326294,0.9926729202270508,0.008016467094421387,0.1386072635650634,0.1466238498687744,0.008016586303710993,lama,0.8311237692832947,0.8311237692832947,0.9410716891288756,0.9628168940544128,0.02174520492553722,0.109947919845581,0.1316931247711181,0.02174520492553711,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_mixed_damage_restored_opencv_telea.png,data/processed/restored/lama/p002_mixed_damage_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p002_mixed_damage_restored_lama.png,False,False,False,False,True,False,False
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,portrait_figure,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,50183.65625,50183.65625,69.27576446533203,20.0655517578125,-49.21021270751953,50114.38048553467,50163.59069824219,49.21021270751953,lama,222.0612030029297,222.0612030029297,3.182985544204712,2.4319188594818115,-0.7510666847229004,218.87821745872495,219.62928414344788,0.7510666847229288,lama,1.1251806117602,1.1251806117602,29.72499033902007,35.10629254506565,5.381302206045579,28.59980972725987,33.98111193330545,5.381302206045579,lama,0.285620242357254,0.285620242357254,0.0016085176030173,0.0003634991589933,-0.001245018444024,0.2840117247542366,0.2852567431982606,0.0012450184440240264,lama,0.8899277448654175,0.889927864074707,0.999643087387085,0.9995718002319336,-7.128715515136719e-05,0.1097153425216674,0.1096439361572265,-7.140636444090409e-05,opencv,0.874204158782959,0.874204158782959,0.999354362487793,0.9995041489601136,0.00014978647232066766,0.1251502037048339,0.1252999901771545,0.00014978647232061215,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_scratch_thin_restored_opencv_telea.png,data/processed/restored/lama/p002_scratch_thin_restored_lama.png,3,1,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p002_scratch_thin_restored_lama.png,False,False,False,False,False,False,True
p003_loss_large,p003,p003_loss_large,loss_large,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,32118.875,32118.875,843.3235473632812,415.78509521484375,-427.5384521484375,31275.55145263672,31703.08990478516,427.53845214844114,lama,175.64564514160156,175.64566040039062,19.97798538208008,11.717487335205078,-8.260498046875004,155.66765975952148,163.92817306518555,8.260513305664062,lama,3.0632003565132297,3.0632003565132297,18.87086133958141,21.942114438906582,3.0712530993251725,15.80766098306818,18.87891408239336,3.0712530993251814,lama,0.5375250577926636,0.5375250577926636,0.2970004081726074,0.1565399914979934,-0.140460416674614,0.2405246496200561,0.3809850662946701,0.140460416674614,lama,0.8102953433990479,0.8102954626083374,0.834200382232666,0.9411243200302124,0.10692393779754639,0.0239050388336181,0.130828857421875,0.10692381858825689,lama,0.8174824714660645,0.8174824714660645,0.6743308305740356,0.937654674053192,0.2633238434791564,-0.1431516408920288,0.1201722025871276,0.2633238434791564,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p003_loss_large_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p003_loss_large_restored_lama.png,False,False,False,False,True,False,False
p003_loss_small,p003,p003_loss_small,loss_small,portrait_figure,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,35625.2265625,35625.2265625,452.4289855957031,87.73627471923828,-364.69271087646484,35172.7975769043,35537.49028778076,364.69271087646484,lama,185.119873046875,185.119873046875,12.185491561889648,5.647937297821045,-6.5375542640686035,172.93438148498535,179.47193574905396,6.5375542640686035,lama,2.6132272589960537,2.6132272589960537,21.57529939943813,28.69901170543972,7.12371230600159,18.962072140442075,26.08578444644366,7.123712306001586,lama,0.1557527482509613,0.1557527482509613,0.0260709803551435,0.0024463078007102,-0.023624672554433297,0.1296817678958177,0.1533064404502511,0.0236246725544334,lama,0.9348210096359252,0.93482106924057,0.9937570095062256,0.9995825290679932,0.005825519561767578,0.0589359998703002,0.0647614598274231,0.005825459957122893,lama,0.965388000011444,0.965388000011444,0.9793615937232972,0.9965461492538452,0.017184555530547985,0.013973593711853,0.0311581492424011,0.0171845555305481,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_loss_small_restored_opencv_telea.png,data/processed/restored/lama/p003_loss_small_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p003_loss_small_restored_lama.png,False,False,False,False,True,False,False
