case_id,painting_id,mask_id,mask_type,category,title,artist,date,style_or_period,medium,source,source_url,license,filename,damaged_mse_opencv,damaged_mse_lama,restored_mse_opencv,restored_mse_lama,restored_mse_delta_lama_minus_opencv,mse_improvement_opencv,mse_improvement_lama,mse_improvement_delta_lama_minus_opencv,winner_mse_improvement,damaged_mae_opencv,damaged_mae_lama,restored_mae_opencv,restored_mae_lama,restored_mae_delta_lama_minus_opencv,mae_improvement_opencv,mae_improvement_lama,mae_improvement_delta_lama_minus_opencv,winner_mae_improvement,damaged_psnr_opencv,damaged_psnr_lama,restored_psnr_opencv,restored_psnr_lama,restored_psnr_delta_lama_minus_opencv,psnr_improvement_opencv,psnr_improvement_lama,psnr_improvement_delta_lama_minus_opencv,winner_psnr_improvement,damaged_lpips_opencv,damaged_lpips_lama,restored_lpips_opencv,restored_lpips_lama,restored_lpips_delta_lama_minus_opencv,lpips_improvement_opencv,lpips_improvement_lama,lpips_improvement_delta_lama_minus_opencv,winner_lpips_improvement,clip_damaged_similarity_opencv,clip_damaged_similarity_lama,clip_restored_similarity_opencv,clip_restored_similarity_lama,clip_restored_similarity_delta_lama_minus_opencv,clip_similarity_improvement_opencv,clip_similarity_improvement_lama,clip_similarity_improvement_delta_lama_minus_opencv,winner_clip_similarity_improvement,dinov2_damaged_similarity_opencv,dinov2_damaged_similarity_lama,dinov2_restored_similarity_opencv,dinov2_restored_similarity_lama,dinov2_restored_similarity_delta_lama_minus_opencv,dinov2_similarity_improvement_opencv,dinov2_similarity_improvement_lama,dinov2_similarity_improvement_delta_lama_minus_opencv,winner_dinov2_similarity_improvement,clean_path,damaged_path,mask_path,restored_path_opencv,restored_path_lama,lama_metric_wins,opencv_metric_wins,metric_ties,overall_metric_vote,clean_path_resolved,damaged_path_resolved,mask_path_resolved,restored_path_opencv_resolved,restored_path_lama_resolved,lama_mse_win_but_dinov2_loss,lama_lpips_win_but_dinov2_loss,opencv_mse_loss_but_dinov2_win,opencv_lpips_loss_but_dinov2_win,lama_all_main_metrics_win,opencv_all_main_metrics_win,mixed_metric_outcome,selection_reason,selection_metric,comparison_figure_path
p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,Improvisation No. 30 (Cannons),Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8991/improvisation-no-30-cannons,CC0 Public Domain Designation,p031.jpg,17712.353515625,17712.3515625,1563.6517333984375,1002.1624755859376,-561.4892578124999,16148.701782226562,16710.189086914062,561.4873046875,lama,126.08995819091795,126.08995819091795,28.328582763671875,22.99975204467773,-5.328830718994144,97.7613754272461,103.09020614624023,5.328830718994141,lama,5.648040892916488,5.648041371809062,16.189403302423912,18.121422236379257,1.9320189339553444,10.541362409507425,12.473380864570196,1.9320184550627708,lama,0.3698729872703552,0.3698729872703552,0.2569723427295685,0.1859126389026641,-0.07105970382690438,0.1129006445407867,0.183960348367691,0.07105970382690431,lama,0.8108415603637695,0.8108417987823486,0.9160819053649902,0.9726417660713196,0.056559860706329346,0.1052403450012207,0.1617999672889709,0.05655962228775019,lama,0.7942200899124146,0.7942200899124146,0.7118755578994751,0.865737795829773,0.15386223793029785,-0.0823445320129394,0.0715177059173584,0.1538622379302978,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p031_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p031_loss_large_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p031_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p031_loss_large_restored_lama.png,False,False,False,False,True,False,False,Representative category example,lama_metric_wins,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p031_loss_large_opencv_vs_lama.png
p032_loss_large,p032,p032_loss_large,loss_large,abstraction_surrealism,Composition (No. 1) Gray-Red,Piet Mondrian,,,,Art Institute of Chicago,https://www.artic.edu/artworks/65821/composition-no-1-gray-red,CC0 Public Domain Designation,p032.jpg,7354.85400390625,7354.853515625,4368.19775390625,58.09700393676758,-4310.100749969482,2986.65625,7296.756511688232,4310.100261688232,lama,61.183589935302734,61.183589935302734,32.82170486450195,5.210862636566162,-27.61084222793579,28.36188507080078,55.97272729873657,27.61084222793579,lama,9.465063045966383,9.465063334290068,11.727780696588203,30.48926624472063,18.761485548132427,2.262717650621818,21.02420291043056,18.761485259808744,lama,0.2490488886833191,0.2490488886833191,0.1771260797977447,0.0023550884798169,-0.17477099131792778,0.0719228088855743,0.2466938002035021,0.17477099131792778,lama,0.9372341632843018,0.9372342228889464,0.9319057464599608,0.9986445903778076,0.06673884391784679,-0.0053284168243408,0.061410367488861,0.06673878431320181,lama,0.7952632308006287,0.7952632308006287,0.7813467979431152,0.9914481043815612,0.21010130643844593,-0.0139164328575134,0.1961848735809326,0.210101306438446,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p032_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p032_loss_large_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p032_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p032_loss_large_restored_lama.png,False,False,False,False,True,False,False,Strongest LaMa advantage by masked-region MSE improvement,mse_improvement_delta_lama_minus_opencv,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p032_loss_large_opencv_vs_lama.png
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,Arnold Böcklin,,,,Art Institute of Chicago,https://www.artic.edu/artworks/110507/in-the-sea,CC0 Public Domain Designation,p037.jpg,33494.56640625,33494.56640625,1451.81298828125,2068.38134765625,616.568359375,32042.75341796875,31426.18505859375,-616.568359375,opencv,177.57240295410156,177.57241821289062,26.10465431213379,28.899503707885746,2.7948493957519567,151.46774864196777,148.67291450500488,-2.7948341369628906,opencv,2.881060007318896,2.881060007318896,16.511696834764514,14.974497481508264,-1.5371993532562502,13.63063682744562,12.093437474189368,-1.537199353256252,opencv,0.5041353106498718,0.5041353106498718,0.2631968557834625,0.2052419930696487,-0.05795486271381384,0.2409384548664093,0.2988933175802231,0.05795486271381378,lama,0.7857884168624878,0.7857882976531982,0.848861575126648,0.9505763649940492,0.10171478986740123,0.0630731582641601,0.1647880673408508,0.1017149090766907,lama,0.844184398651123,0.844184398651123,0.7548383474349976,0.9246702194213868,0.16983187198638927,-0.0893460512161254,0.0804858207702636,0.169831871986389,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p037_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p037_loss_large_restored_lama.png,3,1,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p037_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p037_loss_large_restored_lama.png,False,False,False,False,False,False,True,Strongest OpenCV advantage by masked-region MSE improvement,mse_improvement_delta_lama_minus_opencv,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p037_loss_large_opencv_vs_lama.png
p040_loss_large,p040,p040_loss_large,loss_large,abstraction_surrealism,Houses at Murnau,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/129849/houses-at-murnau,CC0 Public Domain Designation,p040.jpg,31996.23046875,31996.23046875,2334.951416015625,3194.313232421875,859.36181640625,29661.27905273437,28801.917236328125,-859.3618164062464,opencv,169.3944091796875,169.3944091796875,34.092140197753906,37.59150695800781,3.4993667602539062,135.3022689819336,131.8029022216797,-3.4993667602539062,opencv,3.079815445183623,3.079815445183623,14.448025123580004,13.087028603233062,-1.3609965203469425,11.36820967839638,10.00721315804944,-1.360996520346939,opencv,0.4651392102241516,0.4651392102241516,0.3185393512248993,0.2828479707241058,-0.03569138050079351,0.1465998589992523,0.1822912395000457,0.0356913805007934,lama,0.7848982214927673,0.784898042678833,0.8428553342819214,0.9280757904052734,0.08522045612335205,0.057957112789154,0.1431777477264404,0.0852206349372864,lama,0.6292569637298584,0.6292569637298584,0.4560596942901611,0.7181358337402344,0.2620761394500733,-0.1731972694396972,0.0888788700103759,0.26207613945007313,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p040_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p040_loss_large_restored_lama.png,3,1,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p040_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p040_loss_large_restored_lama.png,False,False,False,False,False,False,True,Strongest OpenCV advantage by masked-region MSE improvement,mse_improvement_delta_lama_minus_opencv,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p040_loss_large_opencv_vs_lama.png
p032_loss_small,p032,p032_loss_small,loss_small,abstraction_surrealism,Composition (No. 1) Gray-Red,Piet Mondrian,,,,Art Institute of Chicago,https://www.artic.edu/artworks/65821/composition-no-1-gray-red,CC0 Public Domain Designation,p032.jpg,8350.02734375,8350.02734375,2846.248779296875,37.79656982421875,-2808.4522094726562,5503.778564453125,8312.230773925781,2808.4522094726562,lama,67.46461486816406,67.46461486816406,21.478710174560547,3.904797077178955,-17.573913097381592,45.98590469360352,63.55981779098511,17.573913097381585,lama,8.913924632022368,8.913924632022368,13.588075035054912,32.356279730415274,18.76820469536036,4.674150403032543,23.442355098392905,18.76820469536036,lama,0.131635308265686,0.131635308265686,0.0414771288633346,0.0003785037552006,-0.041098625108134,0.0901581794023513,0.1312568045104853,0.041098625108134,lama,0.901099443435669,0.9010993838310242,0.9769713878631592,0.9997981190681458,0.022826731204986572,0.0758719444274902,0.0986987352371215,0.022826790809631292,lama,0.9477355480194092,0.9477355480194092,0.9485560655593872,0.9997496008872986,0.05119353532791138,0.000820517539978,0.0520140528678894,0.0511935353279114,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p032_loss_small_restored_opencv_telea.png,data/processed/restored/lama/p032_loss_small_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p032_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p032_loss_small_restored_lama.png,False,False,False,False,True,False,False,Strongest LaMa advantage by masked-region MSE improvement,mse_improvement_delta_lama_minus_opencv,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p032_loss_small_opencv_vs_lama.png
p036_scratch_thin,p036,p036_scratch_thin,scratch_thin,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",Piet Mondrian,,,,Art Institute of Chicago,https://www.artic.edu/artworks/109819/lozenge-composition-with-yellow-black-blue-red-and-gray,CC0 Public Domain Designation,p036.jpg,2009.9451904296875,2009.9451904296875,38.38523483276367,23.089704513549805,-15.295530319213867,1971.559955596924,1986.8554859161377,15.29553031921364,lama,29.34335327148437,29.34335327148437,1.6090614795684814,2.3825721740722656,0.7735106945037842,27.734291791915894,26.96078109741211,-0.7735106945037842,opencv,15.098961461431877,15.098961461431877,32.28916158994954,34.49661985722753,2.2074582672779854,17.190200128517667,19.39765839579565,2.207458267277982,lama,0.1054271608591079,0.1054271608591079,0.000719440751709,0.0008030412718653,8.360052015630006e-05,0.1047077201073989,0.1046241195872426,-8.360052015629615e-05,opencv,0.9261479377746582,0.9261481761932372,0.9998781681060792,0.9989223480224608,-0.0009558200836183861,0.0737302303314209,0.0727741718292236,-0.0009560585021972934,opencv,0.9730130434036256,0.9730130434036256,0.9911391735076904,0.9795359373092652,-0.011603236198425182,0.0181261301040649,0.0065228939056396,-0.0116032361984253,opencv,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p036_scratch_thin_restored_opencv_telea.png,data/processed/restored/lama/p036_scratch_thin_restored_lama.png,1,3,0,opencv,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p036_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p036_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p036_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p036_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p036_scratch_thin_restored_lama.png,True,False,True,False,False,False,True,Strongest OpenCV advantage by mask-bbox DINOv2 improvement,dinov2_similarity_improvement_delta_lama_minus_opencv,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p036_scratch_thin_opencv_vs_lama.png
p039_scratch_thin,p039,p039_scratch_thin,scratch_thin,abstraction_surrealism,Painting with Troika,Wassily Kandinsky,,,,Art Institute of Chicago,https://www.artic.edu/artworks/8983/painting-with-troika,CC0 Public Domain Designation,p039.jpg,24804.263671875,24804.26171875,163.3673858642578,152.11068725585938,-11.256698608398438,24640.896286010742,24652.15103149414,11.254745483398438,lama,148.12588500976562,148.12588500976562,7.056824684143066,8.487168312072754,1.4303436279296875,141.06906032562256,139.63871669769287,-1.4303436279296875,opencv,4.185540215734315,4.185540557704331,25.999150011619182,26.309206323297687,0.31005631167850467,21.813609795884872,22.123665765593355,0.3100559697084826,lama,0.1894590407609939,0.1894590407609939,0.0010588932782411,0.0005932805943302,-0.00046561268391090004,0.1884001474827528,0.1888657601666636,0.00046561268391079325,lama,0.9405330419540404,0.9405329823493958,0.9997389316558838,0.9996257424354552,-0.00011318922042857782,0.0592058897018432,0.0590927600860595,-0.00011312961578369835,opencv,0.8804906606674194,0.8804906606674194,0.9995622634887696,0.9980205297470092,-0.001541733741760476,0.1190716028213501,0.1175298690795898,-0.0015417337417602955,opencv,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p039_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p039_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p039_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p039_scratch_thin_restored_opencv_telea.png,data/processed/restored/lama/p039_scratch_thin_restored_lama.png,2,2,0,mixed_tie,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p039_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p039_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p039_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p039_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p039_scratch_thin_restored_lama.png,True,True,True,True,False,False,True,Metric disagreement case,mixed_metric_outcome,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p039_scratch_thin_opencv_vs_lama.png
p022_loss_large,p022,p022_loss_large,loss_large,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",Emanuel de Witte,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-of-a-Protestant-Gothic-Church-with-a-Gravedigger-in-the-Choir--46eceb3566e0be6f1e30680ef03509c0,Public domain,p022.jpg,34829.26171875,34829.265625,2198.2958984375,485.62005615234375,-1712.6758422851562,32630.9658203125,34343.645568847656,1712.6797485351562,lama,182.5520782470703,182.55206298828125,32.51010513305664,14.72416877746582,-17.78593635559082,150.04197311401367,167.82789421081543,17.785921096801758,lama,2.7113609211944096,2.711360434114684,14.709942112656666,21.26783746028837,6.557895347631703,11.998581191462256,18.556477026173685,6.557895834711429,lama,0.5423682928085327,0.5423682928085327,0.3193618059158325,0.1969578564167022,-0.12240394949913033,0.2230064868927002,0.3454104363918304,0.1224039494991302,lama,0.7214128971099854,0.7214130163192749,0.8034976124763489,0.969574809074402,0.1660771965980531,0.0820847153663635,0.2481617927551269,0.1660770773887634,lama,0.8092225193977356,0.8092225193977356,0.7169266939163208,0.8918256163597107,0.1748989224433899,-0.0922958254814148,0.0826030969619751,0.1748989224433899,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p022_loss_large_restored_opencv_telea.png,data/processed/restored/lama/p022_loss_large_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p022_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p022_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p022_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p022_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p022_loss_large_restored_lama.png,False,False,False,False,True,False,False,Strongest LaMa advantage by masked-region MSE improvement,mse_improvement_delta_lama_minus_opencv,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p022_loss_large_opencv_vs_lama.png
p029_loss_small,p029,p029_loss_small,loss_small,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",workshop of Johannes Vinckboons,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/The-Trading-Post-of-the-Dutch-East-India-Company-in-Hooghly-Bengal--d17e986c21eff4ae7608c35080d128e1,Public domain,p029.jpg,24284.58984375,24284.58984375,670.308349609375,331.76641845703125,-338.54193115234375,23614.281494140625,23952.82342529297,338.54193115234375,lama,152.0787353515625,152.0787353515625,16.604694366455078,12.62485408782959,-3.9798402786254883,135.47404098510742,139.4538812637329,3.9798402786254883,lama,4.277495880434278,4.277495880434278,19.86805731707374,22.922479364336183,3.0544220472624453,15.59056143663946,18.644983483901903,3.0544220472624435,lama,0.1895317733287811,0.1895317733287811,0.040559034794569,0.0142005821689963,-0.026358452625572702,0.1489727385342121,0.1753311911597848,0.02635845262557268,lama,0.9040383696556092,0.904038429260254,0.9857181310653688,0.9968153238296508,0.011097192764282005,0.0816797614097595,0.0927768945693969,0.01109713315963741,lama,0.9546407461166382,0.9546407461166382,0.971582055091858,0.993943452835083,0.022361397743224987,0.0169413089752197,0.0393027067184448,0.022361397743225105,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p029_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p029_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p029_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p029_loss_small_restored_opencv_telea.png,data/processed/restored/lama/p029_loss_small_restored_lama.png,4,0,0,lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p029_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p029_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p029_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p029_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p029_loss_small_restored_lama.png,False,False,False,False,True,False,False,Representative category example,lama_metric_wins,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p029_loss_small_opencv_vs_lama.png
p024_scratch_thin,p024,p024_scratch_thin,scratch_thin,architecture_structured,Interior of the Church of St Bavo in Haarlem,Johannes Bosboom,,,,Rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Interior-of-the-Church-of-St-Bavo-in-Haarlem--b31dd103930167349dc1a3b0a51bb271,Public domain,p024.jpg,35586.66015625,35586.66015625,73.33023834228516,152.03570556640625,78.7054672241211,35513.329917907715,35434.624450683594,-78.7054672241211,opencv,183.5314178466797,183.5314178466797,5.535653591156006,7.911763668060303,2.376110076904297,177.99576425552368,175.61965417861938,-2.376110076904297,opencv,2.6179312992428394,2.6179312992428394,29.477972643003504,26.31134766939953,-3.166624973603973,26.860041343760663,23.69341637015669,-3.166624973603973,opencv,0.2976979911327362,0.2976979911327362,0.0005670731770806,0.0033486245665699,0.0027815513894893,0.2971309179556556,0.2943493665661663,-0.002781551389489323,opencv,0.9108138680458068,0.910813808441162,0.9997974038124084,0.998398780822754,-0.00139862298965443,0.0889835357666015,0.0875849723815918,-0.0013985633850096962,opencv,0.942931830883026,0.942931830883026,0.999644696712494,0.992871880531311,-0.006772816181182972,0.0567128658294677,0.0499400496482849,-0.006772816181182799,opencv,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p024_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p024_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p024_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p024_scratch_thin_restored_opencv_telea.png,data/processed/restored/lama/p024_scratch_thin_restored_lama.png,0,4,0,opencv,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p024_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p024_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p024_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p024_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\p024_scratch_thin_restored_lama.png,False,False,False,False,False,True,False,Strongest OpenCV advantage by mask-bbox LPIPS improvement,lpips_improvement_delta_lama_minus_opencv,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_vs_lama\p024_scratch_thin_opencv_vs_lama.png
