case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength,selection_reason,opencv_telea_clean_path,opencv_telea_damaged_path,opencv_telea_restored_path,opencv_telea_mask_path,lama_clean_path,lama_damaged_path,lama_restored_path,lama_mask_path,stable_diffusion_inpainting_clean_path,stable_diffusion_inpainting_damaged_path,stable_diffusion_inpainting_restored_path,stable_diffusion_inpainting_mask_path,comparison_figure_path
p031_loss_large,p031,p031_loss_large,loss_large,abstraction_surrealism,Improvisation No. 30 (Cannons),16148.701782226562,10.541362409507425,,0.1129006445407867,0.1052403450012207,-0.0823445320129394,16710.189086914062,12.473380864570196,,0.183960348367691,0.1617999672889709,0.0715177059173584,15065.325927734377,8.255180764984829,,0.1551523804664611,0.1481353044509887,0.0635701417922973,lama,lama,no_valid_values,lama,lama,lama,0,5,0,1,lama,True,False,False,False,False,,5.0,,category_mask_representative,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p031_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_large_damaged.png,data/processed/restored/lama/p031_loss_large_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_large_damaged.png,data/processed/restored/stable_diffusion_inpainting/p031_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p031_loss_large_opencv_lama_stable_diffusion_comparison.png
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,32042.75341796875,13.63063682744562,,0.2409384548664093,0.0630731582641601,-0.0893460512161254,31426.18505859375,12.093437474189368,,0.2988933175802231,0.1647880673408508,0.0804858207702636,32135.70556640625,13.917993769741576,,0.3427233397960663,0.1687482595443725,0.0161963701248168,stable_diffusion_inpainting,stable_diffusion_inpainting,no_valid_values,stable_diffusion_inpainting,stable_diffusion_inpainting,lama,0,1,4,1,stable_diffusion_inpainting,True,False,False,False,False,,,,majority_vote_stable_diffusion_inpainting,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p037_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,data/processed/restored/lama/p037_loss_large_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_loss_large_damaged.png,data/processed/restored/stable_diffusion_inpainting/p037_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p037_loss_large_opencv_lama_stable_diffusion_comparison.png
p040_loss_large,p040,p040_loss_large,loss_large,abstraction_surrealism,Houses at Murnau,29661.27905273437,11.36820967839638,,0.1465998589992523,0.057957112789154,-0.1731972694396972,28801.917236328125,10.00721315804944,,0.1822912395000457,0.1431777477264404,0.0888788700103759,28093.213623046875,9.136983906178452,,0.1547966599464416,0.1459025740623474,-0.0452993512153625,opencv_telea,opencv_telea,no_valid_values,lama,stable_diffusion_inpainting,lama,2,2,1,1,tie_lama_opencv_telea,True,False,False,False,False,4.0,2.0,5.0,metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p040_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_loss_large_damaged.png,data/processed/restored/lama/p040_loss_large_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_loss_large_damaged.png,data/processed/restored/stable_diffusion_inpainting/p040_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p040_loss_large_opencv_lama_stable_diffusion_comparison.png
p031_loss_small,p031,p031_loss_small,loss_small,abstraction_surrealism,Improvisation No. 30 (Cannons),17825.910400390625,12.590338957506304,,0.0724778193980455,0.0486063361167907,0.0209041833877563,18224.127197265625,14.689348362916473,,0.0833474975079298,0.0526665449142456,0.0375400781631469,17307.213989257812,10.831684929484013,,0.0372164100408554,0.0327880382537841,0.0023928880691528,lama,lama,no_valid_values,lama,lama,lama,0,5,0,1,lama,True,False,False,False,False,,5.0,,category_mask_representative,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p031_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_small_damaged.png,data/processed/restored/lama/p031_loss_small_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_loss_small_damaged.png,data/processed/restored/stable_diffusion_inpainting/p031_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p031_loss_small_opencv_lama_stable_diffusion_comparison.png
p032_loss_small,p032,p032_loss_small,loss_small,abstraction_surrealism,Composition (No. 1) Gray-Red,5503.778564453125,4.674150403032543,,0.0901581794023513,0.0758719444274902,0.000820517539978,8312.230773925781,23.442355098392905,,0.1312568045104853,0.0986987352371215,0.0520140528678894,8251.094635009766,19.263479976064385,,0.1133538065478205,0.092082142829895,0.0343816876411438,lama,lama,no_valid_values,lama,lama,lama,0,5,0,1,lama,True,False,False,False,False,,,,majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p032_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,data/processed/restored/lama/p032_loss_small_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_loss_small_damaged.png,data/processed/restored/stable_diffusion_inpainting/p032_loss_small_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p032_loss_small_opencv_lama_stable_diffusion_comparison.png
p031_mixed_damage,p031,p031_mixed_damage,mixed_damage,abstraction_surrealism,Improvisation No. 30 (Cannons),17329.050659179688,14.241429928724475,,0.1742813140153885,0.0687707066535949,0.1111024618148803,17533.616607666016,15.80083558792646,,0.1942980363965034,0.0725948810577392,0.1257736086845398,16620.9189453125,11.136058567816614,,0.1159544736146926,0.031994879245758,0.0817086696624755,lama,lama,no_valid_values,lama,lama,lama,0,5,0,1,lama,True,False,False,False,False,,5.0,,category_mask_representative,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p031_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_mixed_damage_damaged.png,data/processed/restored/lama/p031_mixed_damage_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p031_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p031_mixed_damage_damaged.png,data/processed/restored/stable_diffusion_inpainting/p031_mixed_damage_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p031_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p031_mixed_damage_opencv_lama_stable_diffusion_comparison.png
p032_scratch_thin,p032,p032_scratch_thin,scratch_thin,abstraction_surrealism,Composition (No. 1) Gray-Red,5656.185775756836,14.029498172374575,,0.1657966878265142,0.0361457467079162,0.1979222297668457,5807.219451904297,18.57151247632283,,0.1719016930437646,0.0373775362968444,0.218056321144104,-136.9814453125,-0.0998615883386389,,-0.0692371129989624,-0.0107872486114501,-0.0238412618637084,lama,lama,no_valid_values,lama,lama,lama,0,5,0,1,lama,True,False,False,False,False,,5.0,,category_mask_representative,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p032_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_scratch_thin_damaged.png,data/processed/restored/lama/p032_scratch_thin_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p032_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p032_scratch_thin_damaged.png,data/processed/restored/stable_diffusion_inpainting/p032_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p032_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p032_scratch_thin_opencv_lama_stable_diffusion_comparison.png
p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,abstraction_surrealism,In the Sea,20778.46942138672,20.48779823328857,,0.268456075922586,0.1917739510536193,0.0898695588111877,20753.019485473636,19.93467533441813,,0.2682767242658883,0.1915016174316406,0.0895138382911682,19806.36828613281,12.572466354418928,,0.1940653175115585,0.1726832389831543,-0.0182195305824279,opencv_telea,opencv_telea,no_valid_values,opencv_telea,opencv_telea,opencv_telea,5,0,0,1,opencv_telea,True,False,False,False,False,,,,majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p037_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_scratch_thin_damaged.png,data/processed/restored/lama/p037_scratch_thin_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p037_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p037_scratch_thin_damaged.png,data/processed/restored/stable_diffusion_inpainting/p037_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p037_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p037_scratch_thin_opencv_lama_stable_diffusion_comparison.png
p040_scratch_thin,p040,p040_scratch_thin,scratch_thin,abstraction_surrealism,Houses at Murnau,29017.90608215332,22.137096613123017,,0.2210181622067466,0.0492585897445678,0.220974326133728,28903.977630615234,19.993210106129403,,0.2206530689727515,0.0491319894790649,0.2206225991249084,26005.68798828125,9.61441887149924,,0.124578095972538,0.0189971923828125,-0.0351556539535522,opencv_telea,opencv_telea,no_valid_values,opencv_telea,opencv_telea,opencv_telea,5,0,0,1,opencv_telea,True,False,False,False,False,,,,majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p040_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_scratch_thin_damaged.png,data/processed/restored/lama/p040_scratch_thin_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p040_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p040_scratch_thin_damaged.png,data/processed/restored/stable_diffusion_inpainting/p040_scratch_thin_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p040_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p040_scratch_thin_opencv_lama_stable_diffusion_comparison.png
p030_loss_large,p030,p030_loss_large,loss_large,architecture_structured,Interior with Five Women,29748.995727539062,14.333533844763927,,0.1774259507656097,0.0300440192222595,-0.2441242337226867,30330.6767578125,17.4387098458663,,0.3114605993032455,0.10984468460083,0.1260564923286438,29672.559326171875,14.051405046001635,,0.2953331470489502,0.1076409220695495,0.0414581298828125,lama,lama,no_valid_values,lama,lama,lama,0,5,0,1,lama,True,False,False,False,False,,,,category_mask_representative; majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p030_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p030_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p030_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p030_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p030_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p030_loss_large_damaged.png,data/processed/restored/lama/p030_loss_large_restored_lama.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p030_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p030_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p030_loss_large_damaged.png,data/processed/restored/stable_diffusion_inpainting/p030_loss_large_restored_stable_diffusion_inpainting.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p030_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p030_loss_large_opencv_lama_stable_diffusion_comparison.png
