case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_mse_improvement,opencv_telea_psnr_improvement,opencv_telea_ssim_improvement,opencv_telea_lpips_improvement,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_mse_improvement,lama_psnr_improvement,lama_ssim_improvement,lama_lpips_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_mse_improvement,stable_diffusion_inpainting_psnr_improvement,stable_diffusion_inpainting_ssim_improvement,stable_diffusion_inpainting_lpips_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_mse_improvement,winner_psnr_improvement,winner_ssim_improvement,winner_lpips_improvement,winner_clip_improvement,winner_dinov2_improvement,opencv_telea_metric_wins,lama_metric_wins,stable_diffusion_inpainting_metric_wins,metric_ties,overall_metric_vote,mixed_metric_outcome,all_metrics_same_winner,opencv_telea_all_metrics_win,lama_all_metrics_win,stable_diffusion_inpainting_all_metrics_win,num_unique_metric_winners,max_model_metric_wins,disagreement_strength,refined_selection_reason,comparison_figure_path
p035_loss_large,p035,p035_loss_large,loss_large,abstraction_surrealism,The Bewitched Mill,9811.5234375,6.554645271157381,0.0611639487873071,0.0719987750053405,0.0880398154258728,-0.0701621770858764,10581.60302734375,7.960509815905181,0.0853725059427735,0.1552884876728058,0.1628056764602661,0.0876283049583435,9628.76708984375,6.278583984073019,-0.1295084568496088,0.1037282943725586,0.1527618169784546,0.0406903624534606,lama,lama,lama,lama,lama,lama,0,6,0,0,lama,False,True,False,True,False,,6.0,,refined_category_mask_representative,
p037_loss_large,p037,p037_loss_large,loss_large,abstraction_surrealism,In the Sea,32042.75341796875,13.63063682744562,0.1970196503323995,0.2409384548664093,0.0630731582641601,-0.0893460512161254,31426.18505859375,12.093437474189368,0.1864120684087166,0.2988933175802231,0.1647880673408508,0.0804858207702636,32135.70556640625,13.917993769741576,0.0675870679054061,0.3427233397960663,0.1687482595443725,0.0161963701248168,stable_diffusion_inpainting,stable_diffusion_inpainting,opencv_telea,stable_diffusion_inpainting,stable_diffusion_inpainting,lama,1,1,4,0,stable_diffusion_inpainting,True,False,False,False,False,,,,refined_majority_vote_stable_diffusion_inpainting; refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p037_loss_large_opencv_lama_stable_diffusion_comparison.png
p040_loss_large,p040,p040_loss_large,loss_large,abstraction_surrealism,Houses at Murnau,29661.27905273437,11.36820967839638,0.1333405793983298,0.1465998589992523,0.057957112789154,-0.1731972694396972,28801.917236328125,10.00721315804944,0.1075898742254181,0.1822912395000457,0.1431777477264404,0.0888788700103759,28093.213623046875,9.136983906178452,-0.1300573014422523,0.1547966599464416,0.1459025740623474,-0.0452993512153625,opencv_telea,opencv_telea,opencv_telea,lama,stable_diffusion_inpainting,lama,3,2,1,0,opencv_telea,True,False,False,False,False,3.0,3.0,3.0,old_vs_refined_vote_changed; refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p040_loss_large_opencv_lama_stable_diffusion_comparison.png
p031_loss_small,p031,p031_loss_small,loss_small,abstraction_surrealism,Improvisation No. 30 (Cannons),17825.910400390625,12.590338957506304,0.0270251269659741,0.0724778193980455,0.0486063361167907,0.0209041833877563,18224.127197265625,14.689348362916473,0.0330698530494065,0.0833474975079298,0.0526665449142456,0.0375400781631469,17307.213989257812,10.831684929484013,-0.27655894988303,0.0372164100408554,0.0327880382537841,0.0023928880691528,lama,lama,lama,lama,lama,lama,0,6,0,0,lama,False,True,False,True,False,,,,refined_majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p031_loss_small_opencv_lama_stable_diffusion_comparison.png
p032_loss_small,p032,p032_loss_small,loss_small,abstraction_surrealism,Composition (No. 1) Gray-Red,5503.778564453125,4.674150403032543,0.0201232228675332,0.0901581794023513,0.0758719444274902,0.000820517539978,8312.230773925781,23.442355098392905,0.0279641258500628,0.1312568045104853,0.0986987352371215,0.0520140528678894,8251.094635009766,19.263479976064385,-0.105277473096963,0.1133538065478205,0.092082142829895,0.0343816876411438,lama,lama,lama,lama,lama,lama,0,6,0,0,lama,False,True,False,True,False,,,,refined_majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p032_loss_small_opencv_lama_stable_diffusion_comparison.png
p034_loss_small,p034,p034_loss_small,loss_small,abstraction_surrealism,Painting with Green Center,21242.189086914062,12.406286295299465,0.0342603206936941,0.076949767768383,0.0253113508224487,0.0344797372817993,21676.210388183597,14.179043212993532,0.0371318747248999,0.0798747930675745,0.0266960859298706,0.041860818862915,21135.934448242188,12.06380875616433,-0.2501183836290371,0.0457362905144691,0.0139082670211792,0.0173852443695068,lama,lama,lama,lama,lama,lama,0,6,0,0,lama,False,True,False,True,False,,6.0,,refined_category_mask_representative,
p033_mixed_damage,p033,p033_mixed_damage,mixed_damage,abstraction_surrealism,Movement,25064.468017578125,10.557945269272984,0.0505242172771365,0.1404244229197502,0.0322310328483581,0.0586774349212646,25920.942260742188,12.458185289277631,0.0514868952607223,0.1577677428722381,0.042694866657257,0.0692540407180786,25415.0517578125,11.238588003462077,-0.342762122840752,0.1263585947453975,0.0326557159423828,0.0631607770919799,lama,lama,lama,lama,lama,lama,0,6,0,0,lama,False,True,False,True,False,,6.0,,refined_category_mask_representative,
p037_scratch_thin,p037,p037_scratch_thin,scratch_thin,abstraction_surrealism,In the Sea,20778.46942138672,20.48779823328857,0.0732903079684477,0.268456075922586,0.1917739510536193,0.0898695588111877,20753.019485473636,19.93467533441813,0.0700528103143328,0.2682767242658883,0.1915016174316406,0.0895138382911682,19806.36828613281,12.572466354418928,-0.1745834234708793,0.1940653175115585,0.1726832389831543,-0.0182195305824279,opencv_telea,opencv_telea,opencv_telea,opencv_telea,opencv_telea,opencv_telea,6,0,0,0,opencv_telea,False,True,True,False,False,,,,refined_category_mask_representative; refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p037_scratch_thin_opencv_lama_stable_diffusion_comparison.png
p039_scratch_thin,p039,p039_scratch_thin,scratch_thin,abstraction_surrealism,Painting with Troika,24640.896286010742,21.813609795884872,0.060798367421716,0.1884001474827528,0.0592058897018432,0.1190716028213501,24652.15103149414,22.123665765593355,0.056952470369756,0.1888657601666636,0.0590927600860595,0.1175298690795898,23084.13256835937,11.589652493548764,-0.273123106622743,0.1305820234119892,0.0287420749664306,-0.0108201503753662,lama,lama,opencv_telea,lama,opencv_telea,opencv_telea,3,3,0,0,tie_lama_opencv_telea,True,False,False,False,False,,,,old_vs_refined_vote_changed,
p040_scratch_thin,p040,p040_scratch_thin,scratch_thin,abstraction_surrealism,Houses at Murnau,29017.90608215332,22.137096613123017,0.0689566369007368,0.2210181622067466,0.0492585897445678,0.220974326133728,28903.977630615234,19.993210106129403,0.0609097173667467,0.2206530689727515,0.0491319894790649,0.2206225991249084,26005.68798828125,9.61441887149924,-0.3827439279095318,0.124578095972538,0.0189971923828125,-0.0351556539535522,opencv_telea,opencv_telea,opencv_telea,opencv_telea,opencv_telea,opencv_telea,6,0,0,0,opencv_telea,False,True,True,False,False,,,,refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p040_scratch_thin_opencv_lama_stable_diffusion_comparison.png
