check,observed,expected,passed
expected_metadata_rows,250,250,True
expected_unique_paintings,50,50,True
expected_unique_mask_types,5,5,True
expected_files_on_disk,250,250,True
all_generation_status_ok,0,0,True
all_saved_files_valid,0,0,True
all_damage_applications_valid,0,0,True
all_inventory_checks_pass,0,0,True
outside_mask_changes,0,0,True
inside_mask_fill_failures,0,0,True
mask_pixel_count_difference,0,0,True
changed_pixel_count_difference,0,0,True
all_checksums_present,0,0,True
all_required_exports_exist,0,0,True
