diagnostic_reason,dataset_name,case_id,restoration_case_id,painting_id,category,mask_type,evaluation_region,has_nonzero_mask,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,clean_path,damaged_path,mask_path,restored_path
best_psnr_improvement,canonical,canonical__p006_loss_small,lama__canonical__canonical__p006_loss_small,p006,portrait_figure,loss_small,mask_bbox_crop,True,3086.408203125,0.8821015357971191,3085.526101589203,13.885722160339355,0.1372595578432083,13.748462602496147,13.236269962889448,48.675617826539934,35.43934786365048,0.9235699012754632,0.9949864515028354,0.07141655022737214,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p006_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p006_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p006_loss_small_restored_lama.png
median_psnr_improvement,canonical,canonical__p023_loss_small,lama__canonical__canonical__p023_loss_small,p023,architecture_structured,loss_small,mask_bbox_crop,True,2856.443115234375,38.691551208496094,2817.751564025879,17.60879898071289,1.3624213933944702,16.24637758731842,13.572547811623298,32.254642192111405,18.682094380488106,0.8765427231232786,0.9512962303352408,0.07475350721196217,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p023_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p023_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p023_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p023_loss_small_restored_lama.png
worst_psnr_improvement,canonical,canonical__p009_loss_large,lama__canonical__canonical__p009_loss_large,p009,portrait_figure,loss_large,mask_bbox_crop,True,7920.89013671875,1521.993408203125,6398.896728515625,53.17084884643555,18.41693115234375,34.7539176940918,9.143063712301112,16.30667589371075,7.163612181409638,0.5604313470816803,0.6122077554113687,0.05177640832968844,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p009_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p009_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p009_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\canonical\canonical__p009_loss_large_restored_lama.png
best_psnr_improvement,damage_size,damage_size__p026__loss_large__size_02pct,lama__damage_size__damage_size__p026__loss_large__size_02pct,p026,architecture_structured,,mask_bbox_crop,True,7391.85302734375,17.61622428894043,7374.23680305481,59.01738739013672,2.245365858078003,56.772021532058716,9.443270376731975,35.67167529788083,26.228404921148858,0.6456575779855752,0.8752049770633895,0.2295473990778143,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p026_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\damaged\damage_size_sensitivity\p026__loss_large__size_02pct_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\damage_size_sensitivity\p026__loss_large__size_02pct_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\damage_size\damage_size__p026__loss_large__size_02pct_restored_lama.png
median_psnr_improvement,damage_size,damage_size__p001__loss_large__size_08pct,lama__damage_size__damage_size__p001__loss_large__size_08pct,p001,portrait_figure,,mask_bbox_crop,True,25284.478515625,485.2337341308594,24799.24478149414,115.8332748413086,8.261897087097168,107.57137775421143,4.102263599933538,21.271293748613203,17.169030148679667,0.48916980845193264,0.8077795978555272,0.3186097894035946,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\damaged\damage_size_sensitivity\p001__loss_large__size_08pct_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\damage_size_sensitivity\p001__loss_large__size_08pct_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\damage_size\damage_size__p001__loss_large__size_08pct_restored_lama.png
worst_psnr_improvement,damage_size,damage_size__p018__loss_large__size_02pct,lama__damage_size__damage_size__p018__loss_large__size_02pct,p018,landscape_natural,,mask_bbox_crop,True,10120.2548828125,1356.86474609375,8763.39013671875,63.98019027709961,18.315671920776367,45.66451835632324,8.078889103399156,16.805438020458162,8.726548917059006,0.5659387912723606,0.7479389128834146,0.18200012161105406,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p018_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\damaged\damage_size_sensitivity\p018__loss_large__size_02pct_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\damage_size_sensitivity\p018__loss_large__size_02pct_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\damage_size\damage_size__p018__loss_large__size_02pct_restored_lama.png
best_psnr_improvement,mask_robustness,mask_robustness__p001__scratch_thin__variant_01,lama__mask_robustness__mask_robustness__p001__scratch_thin__variant_01,p001,portrait_figure,,mask_bbox_crop,True,3535.292236328125,1.9282227754592896,3533.3640135526657,15.074751853942871,0.23245705664157867,14.842294797301292,12.646550413548097,45.27923152585597,32.63268111230787,0.9051787908687317,0.9874621873347827,0.0822833964660511,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\damaged\mask_robustness\p001__scratch_thin__variant_01_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\mask_robustness\p001__scratch_thin__variant_01_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\mask_robustness\mask_robustness__p001__scratch_thin__variant_01_restored_lama.png
median_psnr_improvement,mask_robustness,mask_robustness__p039__scratch_thin__variant_03,lama__mask_robustness__mask_robustness__p039__scratch_thin__variant_03,p039,abstraction_surrealism,,mask_bbox_crop,True,459.25140380859375,4.336014747619629,454.9153890609741,2.891603708267212,0.1985790878534317,2.69302462041378,21.510298683660704,41.75989610216054,20.249597418499835,0.9418114508864007,0.9914368303699569,0.049625379483556165,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p039_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\damaged\mask_robustness\p039__scratch_thin__variant_03_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\mask_robustness\p039__scratch_thin__variant_03_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\mask_robustness\mask_robustness__p039__scratch_thin__variant_03_restored_lama.png
worst_psnr_improvement,mask_robustness,mask_robustness__p039__loss_large__variant_03,lama__mask_robustness__mask_robustness__p039__loss_large__variant_03,p039,abstraction_surrealism,,mask_bbox_crop,True,16583.05859375,1363.50390625,15219.5546875,91.79576110839844,21.551902770996094,70.24385833740234,5.93415725613772,16.784239743948895,10.850082487811175,0.5050664703544603,0.6137899253993809,0.10872345504492065,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p039_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\damaged\mask_robustness\p039__loss_large__variant_03_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\mask_robustness\p039__loss_large__variant_03_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\mask_robustness\mask_robustness__p039__loss_large__variant_03_restored_lama.png
best_psnr_improvement,synthetic_degradation,synthetic_degradation__p026__water_stain__moderate,lama__synthetic_degradation__synthetic_degradation__p026__water_stain__moderate,p026,architecture_structured,,mask_bbox_crop,True,8.585114479064941,8.585114479064941,0.0,1.8432847261428833,1.8432847261428833,0.0,38.79334270189296,38.79334270189296,0.0,0.9956621361941966,0.9956621361941966,0.0,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p026_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p026__water_stain__moderate_degraded.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p026__water_stain__moderate_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\lama\synthetic_degradation\synthetic_degradation__p026__water_stain__moderate_restored_lama.png
