diagnostic_reason,dataset_name,case_id,painting_id,panel_path,panel_size_mb
best_psnr_improvement,canonical,canonical__p006_loss_small,p006,outputs/metrics/diagnostics/panels/canonical__best_psnr_improvement__canonical_p006_loss_small.png,0.501
median_psnr_improvement,canonical,canonical__p023_loss_small,p023,outputs/metrics/diagnostics/panels/canonical__median_psnr_improvement__canonical_p023_loss_small.png,0.721
worst_psnr_improvement,canonical,canonical__p009_loss_large,p009,outputs/metrics/diagnostics/panels/canonical__worst_psnr_improvement__canonical_p009_loss_large.png,0.964
best_psnr_improvement,damage_size,damage_size__p026__loss_large__size_02pct,p026,outputs/metrics/diagnostics/panels/damage_size__best_psnr_improvement__damage_size_p026_loss_large_size_02pct.png,0.731
median_psnr_improvement,damage_size,damage_size__p001__loss_large__size_08pct,p001,outputs/metrics/diagnostics/panels/damage_size__median_psnr_improvement__damage_size_p001_loss_large_size_08pct.png,0.736
worst_psnr_improvement,damage_size,damage_size__p018__loss_large__size_02pct,p018,outputs/metrics/diagnostics/panels/damage_size__worst_psnr_improvement__damage_size_p018_loss_large_size_02pct.png,0.549
best_psnr_improvement,mask_robustness,mask_robustness__p001__scratch_thin__variant_01,p001,outputs/metrics/diagnostics/panels/mask_robustness__best_psnr_improvement__mask_robustness_p001_scratch_thin_variant_01.png,0.699
median_psnr_improvement,mask_robustness,mask_robustness__p039__scratch_thin__variant_03,p039,outputs/metrics/diagnostics/panels/mask_robustness__median_psnr_improvement__mask_robustness_p039_scratch_thin_variant_03.png,0.789
worst_psnr_improvement,mask_robustness,mask_robustness__p039__loss_large__variant_03,p039,outputs/metrics/diagnostics/panels/mask_robustness__worst_psnr_improvement__mask_robustness_p039_loss_large_variant_03.png,0.792
best_psnr_improvement,synthetic_degradation,synthetic_degradation__p026__water_stain__moderate,p026,outputs/metrics/diagnostics/panels/synthetic_degradation__best_psnr_improvement__synthetic_degradation_p026_water_stain_moderate.png,0.845
median_psnr_improvement,synthetic_degradation,synthetic_degradation__p043__partial_transparency__moderate,p043,outputs/metrics/diagnostics/panels/synthetic_degradation__median_psnr_improvement__synthetic_degradation_p043_partial_transparency_moderate.png,1.27
worst_psnr_improvement,synthetic_degradation,synthetic_degradation__p001__dirt_dust__mild,p001,outputs/metrics/diagnostics/panels/synthetic_degradation__worst_psnr_improvement__synthetic_degradation_p001_dirt_dust_mild.png,0.737
